species,link,lag,coef
Blue Whale,K->P,11,-0.21177860356675737
Blue Whale,E->K,11,2.3371738343943812e-05
Blue Whale,E->P,12,0.0002689541392853589
Blue Whale,K->P,12,-0.2026164533441353
Blue Whale,E->K,12,-9.541752353778502e-05
Blue Whale,E->P,13,0.0003717316784668194
Blue Whale,K->P,13,-0.17766984958118187
Blue Whale,E->K,13,-3.1954061038507595e-05
Blue Whale,E->P,14,0.0009552260898844991
Blue Whale,K->P,14,-0.2279553252954212
Blue Whale,E->K,14,-2.5856570402436795e-05
California Sea Lion,E->P,-14,0.0008250656986852353
California Sea Lion,K->P,-14,0.059669575641139304
California Sea Lion,E->K,-14,0.00035680380959303957
California Sea Lion,E->P,-13,0.00036932614483410934
California Sea Lion,K->P,-13,0.11761716910602901
California Sea Lion,E->K,-13,0.0004329799164822609
California Sea Lion,E->P,-12,0.0004223047800056664
California Sea Lion,K->P,-12,0.1179718896837762
California Sea Lion,E->K,-12,0.0004643638393306366
California Sea Lion,E->P,-11,0.000274029412074465
California Sea Lion,K->P,-11,0.1756081677389289
California Sea Lion,E->K,-11,0.00040764105145373454
California Sea Lion,E->P,-10,0.0003656276433003239
California Sea Lion,K->P,-10,0.0934609141329214
California Sea Lion,E->K,-10,0.00043775834990876863
California Sea Lion,E->P,-9,7.0561912228604356e-06
California Sea Lion,K->P,-9,0.08810355879484456
California Sea Lion,E->K,-9,0.0005313028489124979
California Sea Lion,E->P,-8,0.0002248474238885558
California Sea Lion,K->P,-8,0.12079558001254566
California Sea Lion,E->K,-8,0.0005400863988487699
California Sea Lion,E->P,-7,0.00023036552970623578
California Sea Lion,K->P,-7,0.10820760368255677
California Sea Lion,E->K,-7,0.0005769072219745457
California Sea Lion,E->P,-6,0.0003905552513470387
California Sea Lion,K->P,-6,0.15818277948222528
California Sea Lion,E->K,-6,0.0006056276341166216
California Sea Lion,E->P,-5,0.00011108664023551222
California Sea Lion,K->P,-5,0.13425009018478565
California Sea Lion,E->K,-5,0.0005659743462757376
California Sea Lion,E->P,-4,0.0005308113050825547
California Sea Lion,K->P,-4,0.09085868477983033
California Sea Lion,E->K,-4,0.00048617210289187427
California Sea Lion,E->P,-3,0.0006790446894483886
California Sea Lion,K->P,-3,0.054585749721255204
California Sea Lion,E->K,-3,0.00046131931856713813
California Sea Lion,E->P,-2,0.000689659731907713
California Sea Lion,K->P,-2,0.08058017584561661
California Sea Lion,E->K,-2,0.0004551844927360165
California Sea Lion,E->P,-1,6.936193351018505e-05
California Sea Lion,K->P,-1,0.042085013021475715
California Sea Lion,E->K,-1,0.00034513704889545005
California Sea Lion,E->P,0,0.0003727395410030265
California Sea Lion,K->P,0,0.02218095111209195
California Sea Lion,E->K,0,0.00017462154828781618
California Sea Lion,E->P,1,0.0005689592552180644
California Sea Lion,K->P,1,0.07305808984466208
California Sea Lion,E->K,1,0.00010468109179757808
California Sea Lion,E->P,2,0.0002868762631963665
California Sea Lion,K->P,2,0.08232382231138341
California Sea Lion,E->K,2,-9.488053891296922e-05
California Sea Lion,E->P,3,6.201666245457126e-05
California Sea Lion,K->P,3,0.13425018004778475
California Sea Lion,E->K,3,-5.6163380820977404e-05
California Sea Lion,E->P,4,7.231818727837003e-05
California Sea Lion,K->P,4,0.08133223714947024
California Sea Lion,E->K,4,-9.939886948571948e-06
California Sea Lion,E->P,5,0.0004973489747172365
California Sea Lion,K->P,5,0.12459675096450962
California Sea Lion,E->K,5,4.780591156033763e-05
California Sea Lion,E->P,6,0.00036387103119445553
California Sea Lion,K->P,6,0.08309140644130016
California Sea Lion,E->K,6,0.00011926162655839632
California Sea Lion,E->P,7,0.0005133472894097106
California Sea Lion,K->P,7,0.07185973637499264
California Sea Lion,E->K,7,0.00020336173970007264
California Sea Lion,E->P,8,0.00024153458108817672
California Sea Lion,K->P,8,0.10638531696476675
California Sea Lion,E->K,8,0.00021690523163609785
California Sea Lion,E->P,9,0.0001702502539707564
California Sea Lion,K->P,9,0.11446532976283799
California Sea Lion,E->K,9,0.00028086380872290907
California Sea Lion,E->P,10,4.312495743996657e-05
California Sea Lion,K->P,10,0.09339268111130139
California Sea Lion,E->K,10,0.00042799038851181793
California Sea Lion,E->P,11,8.584563574320128e-05
California Sea Lion,K->P,11,0.10586560471096182
California Sea Lion,E->K,11,0.00040131960902697184
California Sea Lion,E->P,12,-2.013692035640282e-05
California Sea Lion,K->P,12,0.02566827885842386
California Sea Lion,E->K,12,0.0004402402308085305
California Sea Lion,E->P,13,2.130928383434639e-05
California Sea Lion,K->P,13,0.024685064166634303
California Sea Lion,E->K,13,0.0004713855184741018
California Sea Lion,E->P,14,-4.918318856599667e-07
California Sea Lion,K->P,14,0.03774112143517076
California Sea Lion,E->K,14,0.00027060696258149444
Northern Elephant Seal,E->P,-14,-0.0007956659951430755
Northern Elephant Seal,K->P,-14,0.21201209438306107
Northern Elephant Seal,E->K,-14,-0.0003987367851503476
Northern Elephant Seal,E->P,-13,-0.0008596049803034337
Northern Elephant Seal,K->P,-13,0.16933960806492573
Northern Elephant Seal,E->K,-13,-0.00044544208626071927
Northern Elephant Seal,E->P,-12,-0.0009067516787129293
Northern Elephant Seal,K->P,-12,0.16482818704769767
Northern Elephant Seal,E->K,-12,-0.000438018870023015
Northern Elephant Seal,E->P,-11,-0.0008578983155623883
Northern Elephant Seal,K->P,-11,0.13701018089172592
Northern Elephant Seal,E->K,-11,-0.0004029810897959485
Northern Elephant Seal,E->P,-10,-0.0010054894748319843
Northern Elephant Seal,K->P,-10,0.13933783819023005
Northern Elephant Seal,E->K,-10,-0.00043208460996802184
Northern Elephant Seal,E->P,-9,-0.0010173969003265968
Northern Elephant Seal,K->P,-9,0.1210685825681267
Northern Elephant Seal,E->K,-9,-0.00042324898925547076
Northern Elephant Seal,E->P,-8,-0.0009625092019590403
Northern Elephant Seal,K->P,-8,0.11736930669646017
Northern Elephant Seal,E->K,-8,-0.000454276241768329
Northern Elephant Seal,E->P,-7,-0.0009894483696668936
Northern Elephant Seal,K->P,-7,0.12662200296256032
Northern Elephant Seal,E->K,-7,-0.00046801937175817895
Northern Elephant Seal,E->P,-6,-0.0009373781428481881
Northern Elephant Seal,K->P,-6,0.10214759996946486
Northern Elephant Seal,E->K,-6,-0.0004901333194515774
Northern Elephant Seal,E->P,-5,-0.0008508551789245571
Northern Elephant Seal,K->P,-5,0.05140202385775951
Northern Elephant Seal,E->K,-5,-0.000444862556988486
Northern Elephant Seal,E->P,-4,-0.0006779852962154049
Northern Elephant Seal,K->P,-4,-0.0009363799924864032
Northern Elephant Seal,E->K,-4,-0.0003914650423455322
Northern Elephant Seal,E->P,-3,-0.000625767733260371
Northern Elephant Seal,K->P,-3,-0.001066673025545837
Northern Elephant Seal,E->K,-3,-0.00031707637851913635
Northern Elephant Seal,E->P,-2,-0.00035620722714371815
Northern Elephant Seal,K->P,-2,-0.02797650403452217
Northern Elephant Seal,E->K,-2,-0.0002468920092324756
Northern Elephant Seal,E->P,-1,-0.0003189419446551686
Northern Elephant Seal,K->P,-1,0.0048845458620889485
Northern Elephant Seal,E->K,-1,-0.0002276717688523882
Northern Elephant Seal,E->P,0,-0.00034992843614136966
Northern Elephant Seal,K->P,0,-0.05630276292807813
Northern Elephant Seal,E->K,0,-0.00023213237722570677
Northern Elephant Seal,E->P,1,-0.00023324702398155514
Northern Elephant Seal,K->P,1,-0.023648601571401934
Northern Elephant Seal,E->K,1,-0.00032244291983146104
Northern Elephant Seal,E->P,2,-0.0002383078438303875
Northern Elephant Seal,K->P,2,-0.07373573083480202
Northern Elephant Seal,E->K,2,-0.00038186691665368326
Northern Elephant Seal,E->P,3,-0.00022418417249269308
Northern Elephant Seal,K->P,3,-0.028502194953607885
Northern Elephant Seal,E->K,3,-0.0004195048575293811
Northern Elephant Seal,E->P,4,-0.0002592487607709174
Northern Elephant Seal,K->P,4,-0.017008588674332893
Northern Elephant Seal,E->K,4,-0.0003772988404925993
Northern Elephant Seal,E->P,5,-0.0003867144996646194
Northern Elephant Seal,K->P,5,0.019617020672407788
Northern Elephant Seal,E->K,5,-0.00040091285234589613
Northern Elephant Seal,E->P,6,-0.0003708571569104757
Northern Elephant Seal,K->P,6,0.02064152733310532
Northern Elephant Seal,E->K,6,-0.0004081356154541053
Northern Elephant Seal,E->P,7,-0.0005911018640737396
Northern Elephant Seal,K->P,7,0.05787168654104972
Northern Elephant Seal,E->K,7,-0.0003689941256140713
Northern Elephant Seal,E->P,8,-0.0004070337470152265
Northern Elephant Seal,K->P,8,0.05312689231643098
Northern Elephant Seal,E->K,8,-0.0004065050436365791
Northern Elephant Seal,E->P,9,-0.0003836019913379855
Northern Elephant Seal,K->P,9,0.020839717387550697
Northern Elephant Seal,E->K,9,-0.0003868219084651853
Northern Elephant Seal,E->P,10,-0.0005760650809116282
Northern Elephant Seal,K->P,10,0.01583012122874334
Northern Elephant Seal,E->K,10,-0.00044251377851634244
Northern Elephant Seal,E->P,11,-0.0007594556201340134
Northern Elephant Seal,K->P,11,0.006136241649955684
Northern Elephant Seal,E->K,11,-0.0004257010453400986
Northern Elephant Seal,E->P,12,-0.0007885103595100175
Northern Elephant Seal,K->P,12,-0.022542911339655823
Northern Elephant Seal,E->K,12,-0.000407222272388685
Northern Elephant Seal,E->P,13,-0.0008048874374103133
Northern Elephant Seal,K->P,13,-0.01703293965163072
Northern Elephant Seal,E->K,13,-0.00043904705165224213
Northern Elephant Seal,E->P,14,-0.0006631173389011823
Northern Elephant Seal,K->P,14,-0.036914847126738884
Northern Elephant Seal,E->K,14,-0.0004561831283806491
Salmon Shark,E->P,-14,5.0689113352159746e-05
Salmon Shark,K->P,-14,-0.2607145673887834
Salmon Shark,E->K,-14,-0.0002800866427927456
Salmon Shark,E->P,-13,0.00026328076771033726
Salmon Shark,K->P,-13,-0.19753982071252454
Salmon Shark,E->K,-13,-0.00026132863761643704
Salmon Shark,E->P,-12,-5.57753817981434e-06
Salmon Shark,K->P,-12,-0.15895904395156468
Salmon Shark,E->K,-12,-0.00020495264331936845
Salmon Shark,E->P,-11,0.00011380849834865083
Salmon Shark,K->P,-11,-0.15013989873896477
Salmon Shark,E->K,-11,-0.0002618388568679362
Salmon Shark,E->P,-10,0.00021808978938921483
Salmon Shark,K->P,-10,-0.2005151772379507
Salmon Shark,E->K,-10,-0.0002720319438474714
Salmon Shark,E->P,-9,0.00024182346423123495
Salmon Shark,K->P,-9,-0.2505914584029628
Salmon Shark,E->K,-9,-0.00020538683329357932
Salmon Shark,E->P,-8,4.104727066434128e-05
Salmon Shark,K->P,-8,-0.2874399211001253
Salmon Shark,E->K,-8,-0.00024519058983588885
Salmon Shark,E->P,-7,0.00015102860558959588
Salmon Shark,K->P,-7,-0.3126407649036095
Salmon Shark,E->K,-7,-0.0004047808008780006
Salmon Shark,E->P,-6,0.0002575509364505533
Salmon Shark,K->P,-6,-0.29292227455956493
Salmon Shark,E->K,-6,-0.00046808469486399193
Salmon Shark,E->P,-5,0.00045601370208442967
Salmon Shark,K->P,-5,-0.30480980878564656
Salmon Shark,E->K,-5,-0.0004708607075650955
Salmon Shark,E->P,-4,0.0004406603612415531
Salmon Shark,K->P,-4,-0.24354591802836634
Salmon Shark,E->K,-4,-0.0004315473846015754
Salmon Shark,E->P,-3,0.0002630185234607155
Salmon Shark,K->P,-3,-0.26642878690599203
Salmon Shark,E->K,-3,-0.00041471288485283025
Salmon Shark,E->P,-2,0.0004636286036376297
Salmon Shark,K->P,-2,-0.2617036497512179
Salmon Shark,E->K,-2,-0.00039975974799723427
Salmon Shark,E->P,-1,0.00021177665235845615
Salmon Shark,K->P,-1,-0.3095852137806644
Salmon Shark,E->K,-1,-0.00041859695513682095
Salmon Shark,E->P,0,0.000544128158649604
Salmon Shark,K->P,0,-0.2337054602608589
Salmon Shark,E->K,0,-0.00039518696518233266
Salmon Shark,E->P,1,0.0005645450917536586
Salmon Shark,K->P,1,-0.224984339357678
Salmon Shark,E->K,1,-0.0004392899616216997
Salmon Shark,E->P,2,0.00048626033125443547
Salmon Shark,K->P,2,-0.17863385985509905
Salmon Shark,E->K,2,-0.0005183493482021634
Salmon Shark,E->P,3,0.0005039185162434502
Salmon Shark,K->P,3,-0.16372129130009422
Salmon Shark,E->K,3,-0.0004913051994812468
Salmon Shark,E->P,4,0.00040829999997105576
Salmon Shark,K->P,4,-0.22396026739429398
Salmon Shark,E->K,4,-0.00035240468967858167
Salmon Shark,E->P,5,0.00018179006302873068
Salmon Shark,K->P,5,-0.2012578187901019
Salmon Shark,E->K,5,-0.0001434630278089616
Salmon Shark,E->P,6,0.0002628916048918075
Salmon Shark,K->P,6,-0.13551857644400683
Salmon Shark,E->K,6,-0.00017792914742350394
Salmon Shark,E->P,7,0.0003704167378608537
Salmon Shark,K->P,7,-0.15877720384624083
Salmon Shark,E->K,7,-0.00022875226957838604
Salmon Shark,E->P,8,0.00020843433152499424
Salmon Shark,K->P,8,-0.1972440156050987
Salmon Shark,E->K,8,-0.00022566309218417655
Salmon Shark,E->P,9,0.00017257536519159537
Salmon Shark,K->P,9,-0.15925942156322404
Salmon Shark,E->K,9,-0.0001556828999659839
Salmon Shark,E->P,10,4.473770870731691e-05
Salmon Shark,K->P,10,-0.120972547855043
Salmon Shark,E->K,10,-0.00020464973741738497
Salmon Shark,E->P,11,2.2508430245448882e-05
Salmon Shark,K->P,11,-0.1347293384083585
Salmon Shark,E->K,11,-0.00012076480950598896
Salmon Shark,E->P,12,0.00010956711967896688
Salmon Shark,K->P,12,-0.10874570640767461
Salmon Shark,E->K,12,-0.00011600266144238954
Salmon Shark,E->P,13,-0.0001988403502522048
Salmon Shark,K->P,13,-0.05937378137267013
Salmon Shark,E->K,13,-0.00016714384043035605
Salmon Shark,E->P,14,-0.00017932787736038745
Salmon Shark,K->P,14,-0.10002862873243444
Salmon Shark,E->K,14,-0.0002958505895686319
