event_id,station_lat,lon,start_date,end_date,peak_date,intensity,duration_d,event_type,environmental_source,in_season
uwi33_050,33,-119.5,1993-03-27 00:00:00+00:00,1993-03-27 00:00:00+00:00,1993-03-27 00:00:00+00:00,70.95492652857135,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_051,33,-119.5,1994-02-08 00:00:00+00:00,1994-02-08 00:00:00+00:00,1994-02-08 00:00:00+00:00,-0.4003988217857974,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_052,33,-119.5,1994-03-11 00:00:00+00:00,1994-03-12 00:00:00+00:00,1994-03-12 00:00:00+00:00,83.0866218607142,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_053,33,-119.5,1994-06-13 00:00:00+00:00,1994-07-16 00:00:00+00:00,1994-06-30 00:00:00+00:00,152.2333078571428,33,upwelling_pulse,Bakun UWI 33N,True
uwi33_054,33,-119.5,1994-12-25 00:00:00+00:00,1994-12-27 00:00:00+00:00,1994-12-27 00:00:00+00:00,60.687677789285644,2,upwelling_pulse,Bakun UWI 33N,False
uwi33_055,33,-119.5,1995-01-05 00:00:00+00:00,1995-01-05 00:00:00+00:00,1995-01-05 00:00:00+00:00,-13.545229550000077,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_056,33,-119.5,1995-05-11 00:00:00+00:00,1995-05-13 00:00:00+00:00,1995-05-11 00:00:00+00:00,118.78900697357138,2,upwelling_pulse,Bakun UWI 33N,True
uwi33_057,33,-119.5,1996-04-10 00:00:00+00:00,1996-04-13 00:00:00+00:00,1996-04-13 00:00:00+00:00,161.39611885714277,3,upwelling_pulse,Bakun UWI 33N,True
uwi33_058,33,-119.5,1997-01-13 00:00:00+00:00,1997-01-13 00:00:00+00:00,1997-01-13 00:00:00+00:00,47.636673608333254,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_059,33,-119.5,1997-02-18 00:00:00+00:00,1997-02-18 00:00:00+00:00,1997-02-18 00:00:00+00:00,99.43372527380946,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_060,33,-119.5,1997-12-08 00:00:00+00:00,1997-12-09 00:00:00+00:00,1997-12-09 00:00:00+00:00,-64.09193961071436,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_061,33,-119.5,1998-02-04 00:00:00+00:00,1998-02-04 00:00:00+00:00,1998-02-04 00:00:00+00:00,-93.17951385000008,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_062,33,-119.5,1998-02-15 00:00:00+00:00,1998-02-16 00:00:00+00:00,1998-02-16 00:00:00+00:00,83.94410969428563,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_063,33,-119.5,1998-03-26 00:00:00+00:00,1998-03-30 00:00:00+00:00,1998-03-30 00:00:00+00:00,142.7750515464285,4,upwelling_pulse,Bakun UWI 33N,False
uwi33_064,33,-119.5,1998-04-25 00:00:00+00:00,1998-04-26 00:00:00+00:00,1998-04-26 00:00:00+00:00,91.87238489285707,1,upwelling_pulse,Bakun UWI 33N,True
uwi33_065,33,-119.5,1998-12-14 00:00:00+00:00,1998-12-15 00:00:00+00:00,1998-12-15 00:00:00+00:00,38.30513448928563,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_066,33,-119.5,1999-02-10 00:00:00+00:00,1999-02-10 00:00:00+00:00,1999-02-10 00:00:00+00:00,96.48868628928562,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_067,33,-119.5,1999-04-20 00:00:00+00:00,1999-04-23 00:00:00+00:00,1999-04-23 00:00:00+00:00,226.7976295964285,3,upwelling_pulse,Bakun UWI 33N,True
uwi33_068,33,-119.5,1999-12-08 00:00:00+00:00,1999-12-08 00:00:00+00:00,1999-12-08 00:00:00+00:00,63.700917832142764,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_069,33,-119.5,2000-01-26 00:00:00+00:00,2000-01-27 00:00:00+00:00,2000-01-27 00:00:00+00:00,62.363694293928475,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_070,33,-119.5,2000-02-24 00:00:00+00:00,2000-02-24 00:00:00+00:00,2000-02-24 00:00:00+00:00,-11.439470182857244,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_071,33,-119.5,2000-03-20 00:00:00+00:00,2000-03-21 00:00:00+00:00,2000-03-21 00:00:00+00:00,91.1327200067856,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_072,33,-119.5,2000-11-22 00:00:00+00:00,2000-11-23 00:00:00+00:00,2000-11-23 00:00:00+00:00,44.043772813095124,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_073,33,-119.5,2001-01-09 00:00:00+00:00,2001-01-09 00:00:00+00:00,2001-01-09 00:00:00+00:00,7.9300920953570255,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_074,33,-119.5,2001-01-25 00:00:00+00:00,2001-01-25 00:00:00+00:00,2001-01-25 00:00:00+00:00,31.812291317273694,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_075,33,-119.5,2001-02-23 00:00:00+00:00,2001-02-24 00:00:00+00:00,2001-02-24 00:00:00+00:00,49.15812552142846,1,upwelling_pulse,Bakun UWI 33N,False
