eventID,time,lat,lon,depth_min,depth_max,gear,krill_m3,zoop_m3,n_taxa,date,cruise,bird_km2,krillbird_km2,effort_km2,mammal_km,whale_km
13,2004-09-21 19:30:00+00:00,37.7221,-123.233,1.0,50.0,Hoop Net,8.414599999999998,24.8811,30,2004-09-21 00:00:00+00:00,2,21.666600000000003,9.99995,,,
14,2004-09-21 20:08:00+00:00,37.7234,-123.1853,1.0,44.0,Hoop Net,2.0243,25.854000000000003,30,2004-09-21 00:00:00+00:00,2,21.666600000000003,9.99995,,,
15,2004-09-21 21:00:00+00:00,37.7246,-123.1378,1.0,27.0,Hoop Net,0.5922000000000001,11.309,41,2004-09-21 00:00:00+00:00,2,17.333280000000002,7.3332999999999995,,0.3333,
16,2004-09-21 22:01:00+00:00,37.727,-123.0429,1.0,18.0,Hoop Net,1.028,38.987899999999996,29,2004-09-21 00:00:00+00:00,2,15.185166666666667,10.4166625,,1.4999833333333337,0.3333
17,2004-09-21 23:55:00+00:00,37.7343,-122.748,1.0,25.0,Hoop Net,0.0251,12.2385,35,2004-09-21 00:00:00+00:00,2,86.66665,86.66665,,1.1111,1.0
18,2004-09-22 16:48:00+00:00,38.0461,-123.563,1.0,40.0,Hoop Net,2.5000999999999998,28.4284,29,2004-09-22 00:00:00+00:00,2,6.66665,5.0,,,
19,2004-09-22 18:21:00+00:00,38.0488,-123.4677,1.0,38.0,Hoop Net,2.9058,54.3752,40,2004-09-22 00:00:00+00:00,2,5.999999999999999,4.4444333333333335,,2.833325,2.1666499999999997
20,2004-09-22 18:42:00+00:00,38.0474,-123.5152,1.0,48.0,Hoop Net,1.1774,44.2784,34,2004-09-22 00:00:00+00:00,2,5.833324999999999,4.4444333333333335,,2.1666499999999997,1.3333
21,2004-09-22 19:32:00+00:00,38.0515,-123.3726,1.0,45.0,Hoop Net,0.4718,31.2018,36,2004-09-22 00:00:00+00:00,2,15.555533333333335,19.166625,,2.5999799999999995,1.6666666666666667
22,2004-09-22 21:10:00+00:00,38.0568,-123.183,1.0,30.0,Hoop Net,0.0,6.07,22,2004-09-22 00:00:00+00:00,2,12.777725,9.722175,,1.2222,
23,2004-09-23 17:52:00+00:00,37.882,-123.475,1.0,32.0,Hoop Net,0.0514,17.2746,27,2004-09-23 00:00:00+00:00,2,6.6666,3.3333,,1.3333,0.6667
24,2004-09-23 19:31:00+00:00,37.8833,-123.4276,1.0,40.0,Hoop Net,0.0451,7.2861,30,2004-09-23 00:00:00+00:00,2,18.3333,5.0,,1.5,0.6667
25,2004-09-23 19:48:00+00:00,37.8846,-123.3801,1.0,41.0,Hoop Net,0.18869999999999998,16.6615,27,2004-09-23 00:00:00+00:00,2,19.4444,8.6111,,0.91665,0.5
26,2004-09-23 22:18:00+00:00,37.8925,-123.095,1.0,32.0,Hoop Net,0.3498,10.6884,33,2004-09-23 00:00:00+00:00,2,8.33335,10.000033333333333,,1.0,0.3333
27,2004-10-21 18:15:00+00:00,37.7221,-123.233,1.0,42.0,Hoop Net,1.3543,22.9316,28,2004-10-21 00:00:00+00:00,3,34.4444,17.77776666666667,,0.6666,0.3333
28,2004-10-21 20:05:00+00:00,37.7234,-123.1853,1.0,51.0,Hoop Net,0.5808,148.0588,19,2004-10-21 00:00:00+00:00,3,31.666625000000003,19.16665,,0.49995,0.3333
29,2004-10-21 20:20:00+00:00,37.7246,-123.1378,1.0,57.0,Hoop Net,3.0118000000000005,55.9541,26,2004-10-21 00:00:00+00:00,3,29.999960000000005,19.16665,,0.44439999999999996,0.3333
30,2004-10-21 21:06:00+00:00,37.727,-123.0429,1.0,27.0,Hoop Net,0.667,20.3323,28,2004-10-21 00:00:00+00:00,3,173.33328571428572,63.33330000000001,,1.8888666666666667,0.66665
31,2004-10-22 17:12:00+00:00,38.0461,-123.563,1.0,45.0,Hoop Net,0.3212,15.2819,39,2004-10-22 00:00:00+00:00,3,9.999966666666667,8.888866666666667,,,
32,2004-10-22 18:58:00+00:00,38.0474,-123.5152,1.0,53.0,Hoop Net,0.1024,11.6415,31,2004-10-22 00:00:00+00:00,3,11.666625,9.16665,,0.3333,
33,2004-10-22 20:15:00+00:00,38.0488,-123.4677,1.0,49.0,Hoop Net,0.0045000000000000005,60.0253,20,2004-10-22 00:00:00+00:00,3,11.666625,9.16665,,0.8888666666666666,
34,2004-10-22 21:02:00+00:00,38.0515,-123.3726,1.0,32.0,Hoop Net,0.1489,9.7876,17,2004-10-22 00:00:00+00:00,3,11.666616666666664,5.999980000000001,,1.5833000000000002,
35,2004-10-22 22:36:00+00:00,38.0568,-123.183,1.0,57.0,Hoop Net,0.1588,8.4018,25,2004-10-22 00:00:00+00:00,3,8.333300000000001,5.3332999999999995,,1.66665,1.16665
36,2004-10-23 18:15:00+00:00,37.882,-123.475,1.0,30.0,Hoop Net,1.9279,24.349800000000002,30,2004-10-23 00:00:00+00:00,3,48.88890000000001,4.4444333333333335,,3.6666,1.3333
37,2004-10-23 19:27:00+00:00,37.8846,-123.3801,1.0,60.0,Hoop Net,0.1407,20.2681,27,2004-10-23 00:00:00+00:00,3,33.33332,5.999979999999999,,3.6666,1.3333
38,2004-10-23 20:47:00+00:00,37.8833,-123.4276,1.0,46.0,Hoop Net,0.0453,29.0928,27,2004-10-23 00:00:00+00:00,3,40.00000000000001,6.66665,,3.6666,1.3333
39,2004-10-23 21:40:00+00:00,37.8873,-123.2849,1.0,46.0,Hoop Net,1.2256,34.9113,30,2004-10-23 00:00:00+00:00,3,19.333319999999997,7.999980000000001,,1.0,2.0
40,2004-10-23 23:06:00+00:00,37.8925,-123.095,1.0,36.0,Hoop Net,1.2221,70.11659999999999,24,2004-10-23 00:00:00+00:00,3,27.999980000000004,27.5,,0.3333,
41,2004-10-22 19:28:00+00:00,38.0474,-123.5152,1.0,200.0,Tucker Net,1.0132,1.0568,3,2004-10-22 00:00:00+00:00,3,11.666625,9.16665,,0.3333,
42,2004-10-22 19:28:00+00:00,38.0474,-123.5152,1.0,200.0,Tucker Net,0.0,0.0,3,2004-10-22 00:00:00+00:00,3,11.666625,9.16665,,0.3333,
43,2004-10-22 22:50:00+00:00,38.0568,-123.183,1.0,25.0,Tucker Net,0.033299999999999996,0.0333,2,2004-10-22 00:00:00+00:00,3,8.333300000000001,5.3332999999999995,,1.66665,1.16665
44,2004-10-22 22:50:00+00:00,38.0568,-123.183,1.0,50.0,Tucker Net,0.0,0.0,2,2004-10-22 00:00:00+00:00,3,8.333300000000001,5.3332999999999995,,1.66665,1.16665
45,2004-10-23 19:48:00+00:00,37.8832,-123.4215,1.0,100.0,Tucker Net,5.753900000000001,5.7539,3,2004-10-23 00:00:00+00:00,3,40.00000000000001,6.66665,,3.6666,1.3333
46,2005-02-22 18:58:00+00:00,37.7221,-123.233,1.0,55.0,Hoop Net,0.3093,4.3224,22,2005-02-22 00:00:00+00:00,4,66.66669999999999,6.6667,,,
47,2005-02-22 20:44:00+00:00,37.7234,-123.1853,1.0,57.0,Hoop Net,0.18730000000000002,4.7172,27,2005-02-22 00:00:00+00:00,4,34.99999999999999,6.6667,,,
48,2005-02-22 22:15:00+00:00,37.7246,-123.1378,1.0,41.0,Hoop Net,0.3627,10.597,24,2005-02-22 00:00:00+00:00,4,24.444433333333325,6.6667,,,
49,2005-02-22 23:00:00+00:00,37.727,-123.0429,1.0,16.0,Hoop Net,0.2225,29.626,18,2005-02-22 00:00:00+00:00,4,21.666649999999994,6.666666666666667,,2.1111,
50,2005-02-23 00:45:00+00:00,37.7343,-122.748,1.0,18.0,Hoop Net,0.0,7.8775,22,2005-02-23 00:00:00+00:00,4,185.99998,164.00002,,,
51,2005-02-23 17:57:00+00:00,38.0461,-123.563,1.0,47.0,Hoop Net,0.0028,1.3294,36,2005-02-23 00:00:00+00:00,4,3.3333,3.3333,,,
52,2005-02-23 20:30:00+00:00,38.0474,-123.5152,1.0,36.0,Hoop Net,0.27649999999999997,7.736199999999999,20,2005-02-23 00:00:00+00:00,4,3.3333,3.3333,,,
53,2005-02-23 20:50:00+00:00,38.0488,-123.4677,1.0,41.0,Hoop Net,0.0877,6.5915,22,2005-02-23 00:00:00+00:00,4,4.16665,3.3333,,1.0,
54,2005-02-23 21:34:00+00:00,38.0515,-123.3726,1.0,45.0,Hoop Net,1.4724,15.318999999999999,16,2005-02-23 00:00:00+00:00,4,3.3333,3.3333,,0.66665,
55,2005-02-24 18:53:00+00:00,37.882,-123.475,1.0,65.0,Hoop Net,0.0882,5.3748,18,2005-02-24 00:00:00+00:00,4,60.0,22.22223333333333,,0.3333,
56,2005-02-24 20:54:00+00:00,37.8833,-123.4276,1.0,45.0,Hoop Net,0.0,1.3702,16,2005-02-24 00:00:00+00:00,4,49.16665,19.999999999999996,,0.3333,
57,2005-02-23 22:58:00+00:00,38.0568,-123.183,1.0,38.0,Hoop Net,0.3926,22.365199999999998,32,2005-02-23 00:00:00+00:00,4,10.0,7.777766666666667,,,
58,2005-02-24 21:12:00+00:00,37.8846,-123.3801,1.0,47.0,Hoop Net,0.18889999999999998,8.1443,18,2005-02-24 00:00:00+00:00,4,36.66665,15.555549999999997,,0.3333,
59,2005-02-24 21:51:00+00:00,37.8873,-123.2849,1.0,50.0,Hoop Net,0.0,7.6362000000000005,18,2005-02-24 00:00:00+00:00,4,69.99998333333333,38.33331666666667,,0.3333,
60,2005-02-24 23:18:00+00:00,37.8925,-123.095,1.0,45.0,Hoop Net,0.8822000000000001,18.3582,24,2005-02-24 00:00:00+00:00,4,7.5,6.666675,,0.3333,
61,2005-02-23 23:24:00+00:00,38.0594,-123.1781,1.0,75.0,Tucker Net,1.8269,1.8269,1,2005-02-23 00:00:00+00:00,4,10.0,7.777766666666667,,,
62,2005-02-23 19:39:00+00:00,38.047,-123.5125,1.0,100.0,Tucker Net,2.2923,2.3396,3,2005-02-23 00:00:00+00:00,4,3.3333,3.3333,,,
63,2005-02-23 19:39:00+00:00,38.047,-123.5125,100.0,225.0,Tucker Net,1.6059,1.6326,4,2005-02-23 00:00:00+00:00,4,3.3333,3.3333,,,
64,2005-02-23 19:39:00+00:00,38.047,-123.5125,1.0,225.0,Tucker Net,2.8303000000000007,2.8303000000000003,3,2005-02-23 00:00:00+00:00,4,3.3333,3.3333,,,
65,2005-02-24 19:55:00+00:00,37.884,-123.4113,1.0,100.0,Tucker Net,2.2211,2.6036,6,2005-02-24 00:00:00+00:00,4,49.16665,19.999999999999996,,0.3333,
66,2005-02-24 19:55:00+00:00,37.884,-123.4113,100.0,200.0,Tucker Net,3.5024,3.5427,4,2005-02-24 00:00:00+00:00,4,49.16665,19.999999999999996,,0.3333,
67,2005-02-24 19:55:00+00:00,37.884,-123.4113,1.0,200.0,Tucker Net,2.334,2.3493,7,2005-02-24 00:00:00+00:00,4,49.16665,19.999999999999996,,0.3333,
68,2005-02-22 21:19:00+00:00,37.7243,-123.1604,1.0,100.0,Tucker Net,0.0,0.0,2,2005-02-22 00:00:00+00:00,4,34.99999999999999,6.6667,,,
69,2005-02-22 21:19:00+00:00,37.7243,-123.1604,1.0,200.0,Tucker Net,0.0,0.0,4,2005-02-22 00:00:00+00:00,4,34.99999999999999,6.6667,,,
71,2005-04-23 17:28:00+00:00,38.0477,-123.5127,1.0,30.0,Hoop Net,0.0439,12.703000000000001,18,2005-04-23 00:00:00+00:00,5,9.44445,8.33335,,,
72,2005-04-23 18:33:00+00:00,38.0488,-123.4715,1.0,35.0,Hoop Net,0.2032,31.6643,25,2005-04-23 00:00:00+00:00,5,7.0370333333333335,6.2963,,,
73,2005-04-23 19:39:00+00:00,38.0508,-123.3734,1.0,28.0,Hoop Net,0.057999999999999996,2.9417,21,2005-04-23 00:00:00+00:00,5,45.0,43.70371666666667,,,
74,2005-04-23 21:59:00+00:00,38.0564,-123.1782,1.0,26.0,Hoop Net,0.0,14.8879,28,2005-04-23 00:00:00+00:00,5,22.499999999999996,29.62963333333333,,,
75,2005-04-24 13:50:00+00:00,37.8843,-123.479,1.0,41.0,Hoop Net,1.2771,11.3184,25,2005-04-24 00:00:00+00:00,5,1.1111,1.1111,,1.16665,
76,2005-04-24 15:13:00+00:00,37.8833,-123.4271,1.0,48.0,Hoop Net,2.4126000000000003,15.8573,20,2005-04-24 00:00:00+00:00,5,66.944425,66.944425,,1.1111,
77,2005-04-24 16:11:00+00:00,37.8846,-123.3801,1.0,32.0,Hoop Net,1.3968,14.2528,21,2005-04-24 00:00:00+00:00,5,61.481466666666655,61.29628333333332,,1.1111,
78,2005-04-24 17:23:00+00:00,37.8873,-123.287,1.0,35.0,Hoop Net,0.38759999999999994,5.8713,31,2005-04-24 00:00:00+00:00,5,59.25926666666667,70.22224,,1.0,
79,2005-04-24 18:53:00+00:00,37.8895,-123.0882,1.0,45.0,Hoop Net,0.5944,39.0615,18,2005-04-24 00:00:00+00:00,5,308.33335,306.6667,,0.3333,
80,2005-04-25 13:50:00+00:00,37.7171,-123.2298,1.0,32.0,Hoop Net,0.1016,4.286,20,2005-04-25 00:00:00+00:00,5,53.611075,50.0,,0.3333,
81,2005-04-25 15:08:00+00:00,37.7246,-123.1872,1.0,34.0,Hoop Net,0.1254,4.4758,21,2005-04-25 00:00:00+00:00,5,36.444399999999995,33.77776,,0.5555333333333333,
82,2005-04-25 17:10:00+00:00,37.7273,-123.0653,1.0,15.0,Hoop Net,0.0344,13.101799999999999,21,2005-04-25 00:00:00+00:00,5,13.4722,9.8611,,0.59998,0.5555333333333333
83,2005-04-25 18:11:00+00:00,37.7286,-123.0002,1.0,12.0,Hoop Net,0.0,47.7264,15,2005-04-25 00:00:00+00:00,5,8.55553,5.061711111111111,,0.59998,0.5555333333333333
89,2005-04-23 05:43:12+00:00,37.8828,-123.4053,1.035,28.998,Tucker Net,3.2291,3.2291,1,2005-04-23 00:00:00+00:00,5,100.0,98.88889999999999,,,
90,2005-04-23 05:43:12+00:00,37.8828,-123.4053,30.457,44.414,Tucker Net,2.5157,2.5157,2,2005-04-23 00:00:00+00:00,5,100.0,98.88889999999999,,,
91,2005-04-23 05:43:12+00:00,37.8828,-123.4053,1.378,53.837,Tucker Net,1.4254,1.4254,2,2005-04-23 00:00:00+00:00,5,100.0,98.88889999999999,,,
92,2005-04-23 06:50:54+00:00,37.9579,-123.4258,1.236,68.515,Tucker Net,7.992299999999999,7.9923,1,2005-04-23 00:00:00+00:00,5,44.44446666666666,41.4815,,,
93,2005-04-23 06:50:54+00:00,37.9579,-123.4258,1.427,67.162,Tucker Net,5.8899,5.8899,2,2005-04-23 00:00:00+00:00,5,44.44446666666666,41.4815,,,
94,2005-04-23 08:02:38+00:00,37.9981,-123.4962,1.524,81.827,Tucker Net,3.7897,4.4723999999999995,4,2005-04-23 00:00:00+00:00,5,17.7778,15.5556,,,
95,2005-04-23 09:12:13+00:00,38.053,-123.5109,1.542,70.703,Tucker Net,2.6922000000000006,2.9105,3,2005-04-23 00:00:00+00:00,5,9.44445,8.33335,,,
96,2005-04-23 09:12:13+00:00,38.053,-123.5109,2.051,61.011,Tucker Net,4.6636,5.0576,4,2005-04-23 00:00:00+00:00,5,9.44445,8.33335,,,
97,2005-04-23 10:28:59+00:00,38.09,-123.4313,1.571,41.031,Tucker Net,3.028599999999999,3.0286,4,2005-04-23 00:00:00+00:00,5,28.88888,27.555560000000003,,,
98,2005-04-23 10:28:59+00:00,38.09,-123.4313,38.419,98.267,Tucker Net,2.9598000000000004,2.9822,4,2005-04-23 00:00:00+00:00,5,28.88888,27.555560000000003,,,
99,2005-04-23 10:28:59+00:00,38.09,-123.4313,1.379,98.835,Tucker Net,2.1503,2.1712,3,2005-04-23 00:00:00+00:00,5,28.88888,27.555560000000003,,,
100,2005-04-23 11:52:17+00:00,38.0889,-123.3791,1.193,98.423,Tucker Net,7.4287,7.4287,2,2005-04-23 00:00:00+00:00,5,24.7619,27.592600000000004,,,
101,2005-04-23 11:52:17+00:00,38.0889,-123.3791,84.301,98.732,Tucker Net,6.7284,6.8352,3,2005-04-23 00:00:00+00:00,5,24.7619,27.592600000000004,,,
102,2005-04-23 11:52:17+00:00,38.0889,-123.3791,1.902,83.999,Tucker Net,25.3485,25.348499999999998,2,2005-04-23 00:00:00+00:00,5,24.7619,27.592600000000004,,,
103,2005-04-24 01:08:41+00:00,37.9716,-123.4589,1.648,167.158,Tucker Net,4.1536,4.2008,3,2005-04-24 00:00:00+00:00,5,30.0,29.166674999999998,,2.0,
104,2005-04-24 01:08:41+00:00,37.9716,-123.4589,1.675,168.422,Tucker Net,2.9159,3.0441000000000003,3,2005-04-24 00:00:00+00:00,5,30.0,29.166674999999998,,2.0,
106,2005-04-24 05:23:10+00:00,38.049,-123.5044,1.0,128.0,Tucker Net,44.790899999999986,45.1176,3,2005-04-24 00:00:00+00:00,5,9.44445,8.33335,,,
107,2005-04-24 05:23:10+00:00,38.049,-123.5044,1.0,128.0,Tucker Net,0.9574000000000001,0.9970000000000001,3,2005-04-24 00:00:00+00:00,5,9.44445,8.33335,,,
108,2005-04-24 07:08:20+00:00,38.0493,-123.3313,1.0,116.0,Tucker Net,2.5445,2.5445,3,2005-04-24 00:00:00+00:00,5,50.79365714285715,49.04762857142857,,,
109,2005-04-24 07:08:20+00:00,38.0493,-123.3313,1.0,60.0,Tucker Net,2.3767999999999994,2.3984,4,2005-04-24 00:00:00+00:00,5,50.79365714285715,49.04762857142857,,,
110,2005-04-24 07:08:20+00:00,38.0493,-123.3313,60.0,116.0,Tucker Net,1.3186999999999998,1.3187,3,2005-04-24 00:00:00+00:00,5,50.79365714285715,49.04762857142857,,,
111,2005-04-24 08:30:25+00:00,38.0588,-123.1814,1.0,30.0,Tucker Net,0.7687999999999999,0.7769,4,2005-04-24 00:00:00+00:00,5,22.499999999999996,29.62963333333333,,,
112,2005-04-24 08:30:25+00:00,38.0588,-123.1814,30.0,60.0,Tucker Net,0.48050000000000004,0.48050000000000004,2,2005-04-24 00:00:00+00:00,5,22.499999999999996,29.62963333333333,,,
113,2005-04-24 08:30:25+00:00,38.0588,-123.1814,1.0,60.0,Tucker Net,4.314,4.314,3,2005-04-24 00:00:00+00:00,5,22.499999999999996,29.62963333333333,,,
114,2005-04-24 10:27:39+00:00,37.9212,-123.402,1.0,100.0,Tucker Net,5.708500000000001,5.9041,3,2005-04-24 00:00:00+00:00,5,66.11111666666666,64.62963333333333,,1.1111,
115,2005-04-24 10:27:39+00:00,37.9212,-123.402,1.0,93.2,Tucker Net,3.4591,3.4591,2,2005-04-24 00:00:00+00:00,5,66.11111666666666,64.62963333333333,,1.1111,
116,2005-04-24 11:44:19+00:00,37.9077,-123.4337,1.0,156.0,Tucker Net,6.507800000000001,6.6719,3,2005-04-24 00:00:00+00:00,5,54.8148,54.44443333333333,,1.16665,
117,2005-04-24 11:44:19+00:00,37.9077,-123.4337,1.0,50.0,Tucker Net,8.258199999999999,8.5389,3,2005-04-24 00:00:00+00:00,5,54.8148,54.44443333333333,,1.16665,
118,2005-04-24 11:44:19+00:00,37.9077,-123.4337,50.0,156.0,Tucker Net,5.126799999999999,5.4708,3,2005-04-24 00:00:00+00:00,5,54.8148,54.44443333333333,,1.16665,
119,2005-04-25 00:37:38+00:00,37.8023,-123.3369,1.0,80.0,Tucker Net,0.7709,0.7757000000000001,4,2005-04-25 00:00:00+00:00,5,68.44444,68.22222,,1.0,
120,2005-04-25 00:37:38+00:00,37.8023,-123.3369,80.0,200.0,Tucker Net,2.6864000000000003,2.7447999999999997,4,2005-04-25 00:00:00+00:00,5,68.44444,68.22222,,1.0,
121,2005-04-25 00:37:38+00:00,37.8023,-123.3369,1.0,200.0,Tucker Net,3.4499999999999993,3.4499999999999997,2,2005-04-25 00:00:00+00:00,5,68.44444,68.22222,,1.0,
122,2005-04-25 02:47:26+00:00,37.8802,-123.4744,1.0,100.0,Tucker Net,5.9628000000000005,6.0746,4,2005-04-25 00:00:00+00:00,5,1.1111,1.1111,,1.16665,
123,2005-04-25 02:47:26+00:00,37.8802,-123.4744,1.0,200.0,Tucker Net,1.0646999999999998,1.0697,4,2005-04-25 00:00:00+00:00,5,1.1111,1.1111,,1.16665,
124,2005-04-25 04:30:55+00:00,37.8804,-123.4116,1.0,120.0,Tucker Net,7.0191,7.5169,3,2005-04-25 00:00:00+00:00,5,66.944425,66.944425,,1.1111,
125,2005-04-25 04:30:55+00:00,37.8804,-123.4116,1.0,180.0,Tucker Net,3.1763,3.3669000000000002,3,2005-04-25 00:00:00+00:00,5,66.944425,66.944425,,1.1111,
126,2005-04-25 06:14:52+00:00,37.8819,-123.3025,1.0,60.0,Tucker Net,0.5965,0.5964999999999999,3,2005-04-25 00:00:00+00:00,5,59.25926666666667,70.22224,,0.66665,
127,2005-04-25 06:14:52+00:00,37.8819,-123.3025,60.0,60.0,Tucker Net,0.8721999999999999,0.8722,2,2005-04-25 00:00:00+00:00,5,59.25926666666667,70.22224,,0.66665,
128,2005-04-25 06:14:52+00:00,37.8819,-123.3025,1.0,60.0,Tucker Net,1.1172,1.1172,3,2005-04-25 00:00:00+00:00,5,59.25926666666667,70.22224,,0.66665,
129,2005-04-25 07:59:17+00:00,37.8943,-123.1063,1.897,29.411,Tucker Net,0.20039999999999994,0.23650000000000002,5,2005-04-25 00:00:00+00:00,5,294.44445,586.6667,,,
130,2005-04-25 07:59:17+00:00,37.8943,-123.1063,27.308,58.823,Tucker Net,0.7093,0.7202000000000001,4,2005-04-25 00:00:00+00:00,5,294.44445,586.6667,,,
131,2005-04-25 07:59:17+00:00,37.8943,-123.1063,3.006,59.499,Tucker Net,1.1574999999999998,1.1816,5,2005-04-25 00:00:00+00:00,5,294.44445,586.6667,,,
132,2005-04-25 09:10:19+00:00,37.7811,-123.1946,1.462,70.468,Tucker Net,6.800200000000001,6.8002,2,2005-04-25 00:00:00+00:00,5,254.25923333333336,252.129625,,0.3333,
133,2005-04-25 09:10:19+00:00,37.7811,-123.1946,69.35,70.975,Tucker Net,4.0077,4.0077,2,2005-04-25 00:00:00+00:00,5,254.25923333333336,252.129625,,0.3333,
134,2005-04-25 09:10:19+00:00,37.7811,-123.1946,1.63,71.196,Tucker Net,1.7018,1.7018,3,2005-04-25 00:00:00+00:00,5,254.25923333333336,252.129625,,0.3333,
135,2005-04-25 10:08:00+00:00,37.7557,-123.2163,1.669,46.011,Tucker Net,12.3537,12.429499999999999,3,2005-04-25 00:00:00+00:00,5,246.22219000000004,243.66666,,0.3333,
136,2005-04-25 10:08:00+00:00,37.7557,-123.2163,45.241,149.605,Tucker Net,2.9158000000000004,2.9158,3,2005-04-25 00:00:00+00:00,5,246.22219000000004,243.66666,,0.3333,
137,2005-04-25 10:08:00+00:00,37.7557,-123.2163,1.659,165.107,Tucker Net,2.9435000000000002,2.9435,3,2005-04-25 00:00:00+00:00,5,246.22219000000004,243.66666,,0.3333,
138,2005-04-25 11:06:43+00:00,37.7233,-123.2382,1.033,91.618,Tucker Net,1.4700000000000002,1.47,3,2005-04-25 00:00:00+00:00,5,190.44442,187.11112,,0.3333,
139,2005-04-25 11:06:43+00:00,37.7233,-123.2382,91.453,198.029,Tucker Net,0.026000000000000002,0.031,5,2005-04-25 00:00:00+00:00,5,190.44442,187.11112,,0.3333,
140,2005-04-25 11:06:43+00:00,37.7233,-123.2382,2.972,198.002,Tucker Net,2.0515,2.0515,1,2005-04-25 00:00:00+00:00,5,190.44442,187.11112,,0.3333,
141,2005-04-25 22:36:25+00:00,37.6395,-123.0701,1.241,100.557,Tucker Net,4.6047,4.6047,3,2005-04-25 00:00:00+00:00,5,4.4444333333333335,3.7037,,0.7777666666666666,0.66665
142,2005-04-25 22:36:25+00:00,37.6395,-123.0701,97.644,222.232,Tucker Net,4.1322,4.1322,3,2005-04-25 00:00:00+00:00,5,4.4444333333333335,3.7037,,0.7777666666666666,0.66665
143,2005-04-25 22:36:25+00:00,37.6395,-123.0701,5.617,222.524,Tucker Net,3.0341,3.0341,1,2005-04-25 00:00:00+00:00,5,4.4444333333333335,3.7037,,0.7777666666666666,0.66665
147,2005-04-26 02:23:26+00:00,37.7932,-123.2272,0.998,78.485,Tucker Net,1.8145,1.8145,3,2005-04-26 00:00:00+00:00,5,49.999900000000004,44.99995,,0.3333,
148,2005-04-26 02:23:26+00:00,37.7932,-123.2272,77.097,79.896,Tucker Net,6.227600000000001,6.2276,2,2005-04-26 00:00:00+00:00,5,49.999900000000004,44.99995,,0.3333,
149,2005-04-26 02:23:26+00:00,37.7932,-123.2272,2.42,79.883,Tucker Net,1.9316999999999998,1.9337,4,2005-04-26 00:00:00+00:00,5,49.999900000000004,44.99995,,0.3333,
150,2005-04-26 04:02:21+00:00,37.724,-123.228,1.254,71.833,Tucker Net,4.999,4.999,3,2005-04-26 00:00:00+00:00,5,46.666599999999995,42.222199999999994,,0.3333,
151,2005-04-26 04:02:21+00:00,37.724,-123.228,71.932,179.459,Tucker Net,0.19269999999999998,0.1927,1,2005-04-26 00:00:00+00:00,5,46.666599999999995,42.222199999999994,,0.3333,
152,2005-04-26 04:02:21+00:00,37.724,-123.228,2.679,181.443,Tucker Net,1.6234,1.6234,1,2005-04-26 00:00:00+00:00,5,46.666599999999995,42.222199999999994,,0.3333,
