iso3,asset,year,value
BEL,N11G,1986,41745377000.0
BEL,N11G,1986,41745377000.0
ESP,N11G,1986,95603696000.0
ESP,N11G,1986,95603696000.0
BEL,N11G,1987,43810707000.0
BEL,N11G,1987,43810707000.0
ESP,N11G,1987,107265660000.0
ESP,N11G,1987,107265660000.0
BEL,N11G,1988,50828357000.0
BEL,N11G,1988,50828357000.0
ESP,N11G,1988,121803055000.0
ESP,N11G,1988,121803055000.0
BEL,N11G,1989,56802163000.0
BEL,N11G,1989,56802163000.0
ESP,N11G,1989,136433063000.0
ESP,N11G,1989,136433063000.0
BEL,N11G,1990,61676230000.0
BEL,N11G,1990,61676230000.0
ESP,N11G,1990,145235765000.0
ESP,N11G,1990,145235765000.0
BEL,N11G,1991,59120419000.0
BEL,N11G,1991,59120419000.0
ESP,N11G,1991,147649599000.0
ESP,N11G,1991,147649599000.0
BEL,N11G,1992,59761817000.0
BEL,N11G,1992,59761817000.0
ESP,N11G,1992,141544452000.0
ESP,N11G,1992,141544452000.0
BEL,N11G,1993,58256837000.0
BEL,N11G,1993,58256837000.0
ESP,N11G,1993,128938712000.0
ESP,N11G,1993,128938712000.0
BEL,N11G,1994,58480418000.0
BEL,N11G,1994,58480418000.0
ESP,N11G,1994,131321674999.99998
ESP,N11G,1994,131321674999.99998
FIN,N111G,1975,9174388000.0
FIN,N112G,1975,9945380000.0
FIN,N1131G,1975,2640422000.0
FIN,N112G,1975,9945380000.0
FIN,N117G,1975,915218000.0
FIN,N1131G,1975,2640422000.0
FIN,N117G,1975,915218000.0
FIN,N11MG,1975,6119494000.0
FIN,N11MG,1975,6119494000.0
FIN,N111G,1975,9174388000.0
FIN,N1131G,1976,2326342000.0
FIN,N112G,1976,8809557000.0
FIN,N117G,1976,1030582000.0000001
FIN,N1131G,1976,2326342000.0
FIN,N117G,1976,1030582000.0000001
FIN,N111G,1976,8367289000.000001
FIN,N112G,1976,8809557000.0
FIN,N11MG,1976,5903512000.0
FIN,N11MG,1976,5903512000.0
FIN,N111G,1976,8367289000.000001
FIN,N111G,1977,8717211000.0
FIN,N112G,1977,8695975000.0
FIN,N1131G,1977,2231999000.0
FIN,N112G,1977,8695975000.0
FIN,N117G,1977,1138255000.0
FIN,N1131G,1977,2231999000.0
FIN,N117G,1977,1138255000.0
FIN,N11MG,1977,5264867000.0
FIN,N11MG,1977,5264867000.0
FIN,N111G,1977,8717211000.0
FIN,N1131G,1978,1905976000.0
FIN,N112G,1978,8305361999.999999
FIN,N117G,1978,1261309000.0
FIN,N1131G,1978,1905976000.0
FIN,N117G,1978,1261309000.0
FIN,N111G,1978,8737321000.0
FIN,N112G,1978,8305361999.999999
FIN,N11MG,1978,4317191000.0
FIN,N11MG,1978,4317191000.0
FIN,N111G,1978,8737321000.0
FIN,N111G,1979,8662242000.0
FIN,N112G,1979,8418945000.0
FIN,N1131G,1979,2015845000.0
FIN,N112G,1979,8418945000.0
FIN,N117G,1979,1445891000.0
FIN,N1131G,1979,2015845000.0
FIN,N117G,1979,1445891000.0
FIN,N11MG,1979,4792720000.0
FIN,N11MG,1979,4792720000.0
FIN,N111G,1979,8662242000.0
DEU,N11G,1970,326857985000.0
DEU,N11G,1970,326857985000.0
DEU,N11G,1971,346387230000.0
DEU,N11G,1971,346387230000.0
DEU,N11G,1972,355686873000.0
DEU,N11G,1972,355686873000.0
DEU,N11G,1973,357302077000.0
DEU,N11G,1973,357302077000.0
DEU,N11G,1974,326417466000.0
DEU,N11G,1974,326417466000.0
DEU,N11G,1975,311733819000.0
DEU,N11G,1975,311733819000.0
DEU,N11G,1976,322648667000.0
DEU,N11G,1976,322648667000.0
DEU,N11G,1977,337136538000.0
DEU,N11G,1977,337136538000.0
DEU,N11G,1978,353435390000.0
DEU,N11G,1978,353435390000.0
DEU,N11G,1979,375362956000.0
DEU,N11G,1979,375362956000.0
DEU,N117G,1980,21997828000.0
DEU,N11G,1980,383830529000.0
DEU,N1131G,1980,31295230000.0
DEU,N117G,1980,21997828000.0
DEU,N1131G,1980,31295230000.0
DEU,N111G,1980,131596234999.99998
DEU,N112G,1980,136755594000.00002
DEU,N11G,1980,383830529000.0
DEU,N112G,1980,136755594000.00002
DEU,N111G,1980,131596234999.99998
DEU,N11G,1981,365916490000.0
DEU,N1131G,1981,31040242000.0
DEU,N111G,1981,125251080000.0
DEU,N112G,1981,129744339000.0
DEU,N112G,1981,129744339000.0
DEU,N111G,1981,125251080000.0
DEU,N117G,1981,24200494000.0
DEU,N117G,1981,24200494000.0
DEU,N11G,1981,365916490000.0
DEU,N1131G,1981,31040242000.0
DEU,N117G,1982,26547313000.0
DEU,N11G,1982,349226071000.0
DEU,N1131G,1982,26714553000.0
DEU,N117G,1982,26547313000.0
DEU,N11G,1982,349226071000.0
DEU,N1131G,1982,26714553000.0
DEU,N111G,1982,119534595000.0
DEU,N112G,1982,126260490000.0
DEU,N111G,1982,119534595000.0
DEU,N112G,1982,126260490000.0
DEU,N11G,1983,359700400000.0
DEU,N1131G,1983,30461958000.0
DEU,N111G,1983,126186768000.0
DEU,N112G,1983,123284712000.0
DEU,N111G,1983,126186768000.0
DEU,N112G,1983,123284712000.0
DEU,N117G,1983,28305986000.0
DEU,N117G,1983,28305986000.0
DEU,N11G,1983,359700400000.0
DEU,N1131G,1983,30461958000.0
DEU,N117G,1984,31298613000.0
DEU,N11G,1984,360238806000.0
DEU,N1131G,1984,25403186000.0
DEU,N117G,1984,31298613000.0
DEU,N11G,1984,360238806000.0
DEU,N1131G,1984,25403186000.0
DEU,N111G,1984,128321318000.0
DEU,N112G,1984,123444379000.0
DEU,N111G,1984,128321318000.0
DEU,N112G,1984,123444379000.0
DEU,N11G,1985,362686081000.0
DEU,N1131G,1985,27666197000.0
DEU,N111G,1985,117122257000.0
DEU,N112G,1985,122558910000.0
DEU,N111G,1985,117122257000.0
DEU,N112G,1985,122558910000.0
DEU,N117G,1985,33904909000.0
DEU,N117G,1985,33904909000.0
DEU,N11G,1985,362686081000.0
DEU,N1131G,1985,27666197000.0
DEU,N11G,1986,374237223000.0
DEU,N1131G,1986,29769848000.0
DEU,N111G,1986,116566697000.0
DEU,N112G,1986,130324980000.0
DEU,N111G,1986,116566697000.0
DEU,N112G,1986,130324980000.0
DEU,N117G,1986,37497215000.0
DEU,N1131G,1986,29769848000.0
DEU,N117G,1986,37497215000.0
DEU,N11G,1986,374237223000.0
DEU,N11G,1987,382019549000.0
DEU,N1131G,1987,29665128000.0
DEU,N111G,1987,115952642000.0
DEU,N112G,1987,132313687000.0
DEU,N111G,1987,115952642000.0
DEU,N112G,1987,132313687000.0
DEU,N117G,1987,41204844000.0
DEU,N1131G,1987,29665128000.0
DEU,N117G,1987,41204844000.0
DEU,N11G,1987,382019549000.0
DEU,N11G,1988,401304066000.0
DEU,N1131G,1988,30334464000.0
DEU,N111G,1988,121259769000.0
DEU,N112G,1988,136087856000.0
DEU,N111G,1988,121259769000.0
DEU,N112G,1988,136087856000.0
DEU,N117G,1988,44687593000.0
DEU,N1131G,1988,30334464000.0
DEU,N117G,1988,44687593000.0
DEU,N11G,1988,401304066000.0
DEU,N11G,1989,430328745000.0
DEU,N1131G,1989,31987340000.0
DEU,N111G,1989,129417840000.0
DEU,N112G,1989,142300720000.0
DEU,N111G,1989,129417840000.0
DEU,N112G,1989,142300720000.0
DEU,N117G,1989,50067402000.0
DEU,N1131G,1989,31987340000.0
DEU,N117G,1989,50067402000.0
DEU,N11G,1989,430328745000.0
DEU,N11G,1990,464737428000.0
DEU,N1131G,1990,38061519000.0
DEU,N111G,1990,139988232000.0
DEU,N112G,1990,144202312000.0
DEU,N111G,1990,139988232000.0
DEU,N112G,1990,144202312000.0
DEU,N117G,1990,54605355000.0
DEU,N117G,1990,54605355000.0
DEU,N11G,1990,464737428000.0
DEU,N1131G,1990,38061519000.0
GRC,N11G,1970,20846998000.0
GRC,N11G,1970,20846998000.0
GRC,N11G,1971,23353277000.0
GRC,N11G,1971,23353277000.0
GRC,N11G,1972,29028179000.0
GRC,N11G,1972,29028179000.0
GRC,N11G,1973,30719114000.0
GRC,N11G,1973,30719114000.0
GRC,N11G,1974,20424565000.0
GRC,N11G,1974,20424565000.0
GRC,N11G,1975,22808628000.0
GRC,N11G,1975,22808628000.0
GRC,N11G,1976,24363391000.0
GRC,N11G,1976,24363391000.0
GRC,N11G,1977,27374710000.0
GRC,N11G,1977,27374710000.0
GRC,N11G,1978,30734073000.0
GRC,N11G,1978,30734073000.0
GRC,N11G,1979,32050955000.0
GRC,N11G,1979,32050955000.0
GRC,N11G,1980,26962924000.0
GRC,N11G,1980,26962924000.0
GRC,N11G,1981,24334728000.0
GRC,N11G,1981,24334728000.0
GRC,N11G,1982,23549936000.0
GRC,N11G,1982,23549936000.0
GRC,N11G,1983,25047179000.0
GRC,N11G,1983,25047179000.0
GRC,N11G,1984,20979883000.0
GRC,N11G,1984,20979883000.0
GRC,N11G,1985,22941358000.0
GRC,N11G,1985,22941358000.0
GRC,N11G,1986,22965727000.0
GRC,N11G,1986,22965727000.0
GRC,N11G,1987,21672124000.0
GRC,N11G,1987,21672124000.0
GRC,N11G,1988,22229788000.0
GRC,N11G,1988,22229788000.0
GRC,N11G,1989,23587816000.0
GRC,N11G,1989,23587816000.0
GRC,N11G,1990,24639623000.0
GRC,N11G,1990,24639623000.0
GRC,N11G,1991,25686649000.0
GRC,N11G,1991,25686649000.0
GRC,N11G,1992,24791050000.0
GRC,N11G,1992,24791050000.0
GRC,N11G,1993,23800901000.0
GRC,N11G,1993,23800901000.0
GRC,N11G,1994,23067014000.0
GRC,N11G,1994,23067014000.0
GRC,N111G,1970,15063322000.0
GRC,N111G,1970,15063322000.0
GRC,N111G,1971,16589616000.000002
GRC,N111G,1971,16589616000.000002
GRC,N111G,1972,23625842000.0
GRC,N111G,1972,23625842000.0
GRC,N111G,1973,24679954000.0
GRC,N111G,1973,24679954000.0
GRC,N111G,1974,11730332000.0
GRC,N111G,1974,11730332000.0
GRC,N111G,1975,17098023000.000002
GRC,N111G,1975,17098023000.000002
GRC,N111G,1976,18384604000.0
GRC,N111G,1976,18384604000.0
GRC,N111G,1977,22888467000.0
GRC,N111G,1977,22888467000.0
GRC,N111G,1978,28263770000.0
GRC,N111G,1978,28263770000.0
GRC,N111G,1979,28538231000.0
GRC,N111G,1979,28538231000.0
GRC,N111G,1980,21026401000.0
GRC,N111G,1980,21026401000.0
GRC,N111G,1981,16923267000.0
GRC,N111G,1981,16923267000.0
GRC,N111G,1982,16191373000.0
GRC,N111G,1982,16191373000.0
GRC,N111G,1983,18998952000.0
GRC,N111G,1983,18998952000.0
GRC,N111G,1984,11802405000.0
GRC,N111G,1984,11802405000.0
GRC,N111G,1985,14074660000.0
GRC,N111G,1985,14074660000.0
GRC,N111G,1986,17013970000.000002
GRC,N111G,1986,17013970000.000002
GRC,N111G,1987,16035295000.0
GRC,N111G,1987,16035295000.0
GRC,N111G,1988,15935247000.0
GRC,N111G,1988,15935247000.0
GRC,N111G,1989,15651966000.0
GRC,N111G,1989,15651966000.0
GRC,N111G,1990,16506879000.0
GRC,N111G,1990,16506879000.0
GRC,N111G,1991,16452840000.0
GRC,N111G,1991,16452840000.0
GRC,N111G,1992,13892851000.0
GRC,N111G,1992,13892851000.0
GRC,N111G,1993,12434101000.0
GRC,N111G,1993,12434101000.0
GRC,N111G,1994,11029048000.0
GRC,N111G,1994,11029048000.0
GRC,N112G,1970,7570876000.0
GRC,N112G,1970,7570876000.0
GRC,N112G,1971,8787134000.0
GRC,N112G,1971,8787134000.0
GRC,N112G,1972,10018174000.0
GRC,N112G,1972,10018174000.0
GRC,N112G,1973,10251405000.0
GRC,N112G,1973,10251405000.0
GRC,N112G,1974,8098813000.0
GRC,N112G,1974,8098813000.0
GRC,N112G,1975,7882805000.0
GRC,N112G,1975,7882805000.0
GRC,N112G,1976,8268855000.0
GRC,N112G,1976,8268855000.0
GRC,N112G,1977,8614087000.0
GRC,N112G,1977,8614087000.0
GRC,N112G,1978,8665039000.0
GRC,N112G,1978,8665039000.0
GRC,N112G,1979,9180297000.0
GRC,N112G,1979,9180297000.0
GRC,N112G,1980,8392327999.999999
GRC,N112G,1980,8392327999.999999
GRC,N112G,1981,8490641000.0
GRC,N112G,1981,8490641000.0
GRC,N112G,1982,7304471000.0
GRC,N112G,1982,7304471000.0
GRC,N112G,1983,7772381000.0
GRC,N112G,1983,7772381000.0
GRC,N112G,1984,8014394000.0
GRC,N112G,1984,8014394000.0
GRC,N112G,1985,8211520000.0
GRC,N112G,1985,8211520000.0
GRC,N112G,1986,7252268000.0
GRC,N112G,1986,7252268000.0
GRC,N112G,1987,6953641000.0
GRC,N112G,1987,6953641000.0
GRC,N112G,1988,7006176000.0
GRC,N112G,1988,7006176000.0
GRC,N112G,1989,7474624000.0
GRC,N112G,1989,7474624000.0
GRC,N112G,1990,7518742000.0
GRC,N112G,1990,7518742000.0
GRC,N112G,1991,8066854000.0
GRC,N112G,1991,8066854000.0
GRC,N112G,1992,8042676000.0
GRC,N112G,1992,8042676000.0
GRC,N112G,1993,7893577000.0
GRC,N112G,1993,7893577000.0
GRC,N112G,1994,8020348000.0
GRC,N112G,1994,8020348000.0
ITA,N111G,1970,87258338000.0
ITA,N11MG,1970,35760594000.0
ITA,N1131G,1970,10008873000.0
ITA,N11G,1970,182483643000.0
ITA,N112G,1970,75232281000.0
ITA,N111G,1971,86093776000.0
ITA,N11MG,1971,38123173000.0
ITA,N1131G,1971,10233749000.0
ITA,N11G,1971,185623830000.0
ITA,N112G,1971,72303616000.0
ITA,N111G,1972,83652102000.0
ITA,N11MG,1972,40593737000.0
ITA,N1131G,1972,10509617000.0
ITA,N11G,1972,192463174000.0
ITA,N112G,1972,76801273000.0
ITA,N111G,1973,82821872000.0
ITA,N11MG,1973,46974680000.0
ITA,N1131G,1973,10551183000.0
ITA,N11G,1973,206130226000.0
ITA,N112G,1973,81149090000.0
ITA,N111G,1974,84009868000.0
ITA,N11MG,1974,48441747000.0
ITA,N1131G,1974,10371376000.0
ITA,N11G,1974,212095770000.0
ITA,N112G,1974,84646519000.0
ITA,N112G,1975,84132000000.0
ITA,N1131G,1975,10087946000.0
ITA,N11G,1975,198817281000.0
ITA,N111G,1975,80472146000.0
ITA,N11MG,1975,42932238000.0
ITA,N112G,1976,80605964000.0
ITA,N111G,1976,74138310000.0
ITA,N11MG,1976,47206141000.0
ITA,N1131G,1976,11169405000.0
ITA,N11G,1976,199871324000.0
ITA,N112G,1977,82437149000.0
ITA,N1131G,1977,11978122000.0
ITA,N11G,1977,205892695000.0
ITA,N111G,1977,74148843000.0
ITA,N11MG,1977,49744841000.0
ITA,N112G,1978,84460393000.0
ITA,N111G,1978,73830333000.0
ITA,N11MG,1978,50362599000.0
ITA,N1131G,1978,11009276000.0
ITA,N11G,1978,208411229000.0
ITA,N112G,1979,82534355000.0
ITA,N1131G,1979,12558850000.0
ITA,N11G,1979,222317682000.0
ITA,N111G,1979,76119931000.0
ITA,N11MG,1979,57741917000.0
ITA,N112G,1980,82358339000.0
ITA,N111G,1980,79549243000.0
ITA,N11MG,1980,64941724000.0
ITA,N1131G,1980,14640232000.0
ITA,N11G,1980,237633226000.0
ITA,N112G,1981,84359252000.0
ITA,N1131G,1981,16103130000.0
ITA,N11G,1981,233922808000.0
ITA,N111G,1981,79316364000.0
ITA,N11MG,1981,61710573000.0
ITA,N112G,1982,82908062000.0
ITA,N111G,1982,75594602000.0
ITA,N11MG,1982,59229715000.0
ITA,N1131G,1982,15336861000.0
ITA,N11G,1982,226036673000.0
ITA,N112G,1983,80312455000.0
ITA,N1131G,1983,14003351000.0
ITA,N11G,1983,222782845000.0
ITA,N111G,1983,79490171000.0
ITA,N11MG,1983,56621303000.0
ITA,N112G,1984,79563025000.0
ITA,N111G,1984,80066804000.0
ITA,N11MG,1984,61856073000.0
ITA,N1131G,1984,14808964000.0
ITA,N11G,1984,231658847000.0
ITA,N112G,1985,81642465000.0
ITA,N1131G,1985,15112584000.0
ITA,N11G,1985,234053453000.0
ITA,N111G,1985,77504235000.0
ITA,N11MG,1985,63332732000.0
ITA,N1131G,1986,15256362000.0
ITA,N11G,1986,240570495000.0
ITA,N111G,1986,74979289000.0
ITA,N11MG,1986,64612734000.0
ITA,N112G,1986,86905133000.0
ITA,N1131G,1987,16526382000.000002
ITA,N11G,1987,252165361000.0
ITA,N111G,1987,73354762000.0
ITA,N11MG,1987,71253834000.0
ITA,N112G,1987,88350257000.0
ITA,N1131G,1988,17747809000.0
ITA,N11G,1988,270292025000.00003
ITA,N111G,1988,74839088000.0
ITA,N11MG,1988,79665606000.0
ITA,N112G,1988,91206069000.0
ITA,N1131G,1989,19614548000.0
ITA,N11G,1989,282143659000.0
ITA,N111G,1989,76853205000.0
ITA,N11MG,1989,83441711000.0
ITA,N112G,1989,96402391000.0
ITA,N112G,1990,98783948000.0
ITA,N1131G,1990,20435279000.0
ITA,N11G,1990,294351123000.0
ITA,N111G,1990,82880102000.0
ITA,N11MG,1990,87005624000.0
ITA,N112G,1991,98898753000.0
ITA,N111G,1991,85146456000.0
ITA,N11MG,1991,88152092000.0
ITA,N1131G,1991,19539523000.0
ITA,N11G,1991,298169150000.0
ITA,N112G,1992,94275477000.0
ITA,N1131G,1992,19714325000.0
ITA,N11G,1992,293882453000.0
ITA,N111G,1992,85688262000.0
ITA,N11MG,1992,87198951000.0
ITA,N112G,1993,82528956000.0
ITA,N111G,1993,84424098000.0
ITA,N11MG,1993,71872191000.0
ITA,N1131G,1993,16182775000.0
ITA,N11G,1993,260913737000.0
ITA,N112G,1994,75058631000.0
ITA,N1131G,1994,16658708999.999998
ITA,N11G,1994,262786504000.00003
ITA,N111G,1994,83486373000.0
ITA,N11MG,1994,78283807000.0
ITA,N11MG,1970,35760594000.0
ITA,N1131G,1970,10008873000.0
ITA,N11G,1970,182483643000.0
ITA,N111G,1970,87258338000.0
ITA,N112G,1970,75232281000.0
ITA,N11MG,1971,38123173000.0
ITA,N1131G,1971,10233749000.0
ITA,N11G,1971,185623830000.0
ITA,N111G,1971,86093776000.0
ITA,N112G,1971,72303616000.0
ITA,N11MG,1972,40593737000.0
ITA,N1131G,1972,10509617000.0
ITA,N11G,1972,192463174000.0
ITA,N111G,1972,83652102000.0
ITA,N112G,1972,76801273000.0
ITA,N11MG,1973,46974680000.0
ITA,N1131G,1973,10551183000.0
ITA,N11G,1973,206130226000.0
ITA,N111G,1973,82821872000.0
ITA,N112G,1973,81149090000.0
ITA,N11MG,1974,48441747000.0
ITA,N1131G,1974,10371376000.0
ITA,N11G,1974,212095770000.0
ITA,N111G,1974,84009868000.0
ITA,N112G,1974,84646519000.0
ITA,N1131G,1975,10087946000.0
ITA,N11G,1975,198817281000.0
ITA,N111G,1975,80472146000.0
ITA,N112G,1975,84132000000.0
ITA,N11MG,1975,42932238000.0
ITA,N11MG,1976,47206141000.0
ITA,N1131G,1976,11169405000.0
ITA,N11G,1976,199871324000.0
ITA,N111G,1976,74138310000.0
ITA,N112G,1976,80605964000.0
ITA,N1131G,1977,11978122000.0
ITA,N11G,1977,205892695000.0
ITA,N111G,1977,74148843000.0
ITA,N112G,1977,82437149000.0
ITA,N11MG,1977,49744841000.0
ITA,N11MG,1978,50362599000.0
ITA,N1131G,1978,11009276000.0
ITA,N11G,1978,208411229000.0
ITA,N111G,1978,73830333000.0
ITA,N112G,1978,84460393000.0
ITA,N1131G,1979,12558850000.0
ITA,N11G,1979,222317682000.0
ITA,N111G,1979,76119931000.0
ITA,N112G,1979,82534355000.0
ITA,N11MG,1979,57741917000.0
ITA,N11MG,1980,64941724000.0
ITA,N1131G,1980,14640232000.0
ITA,N11G,1980,237633226000.0
ITA,N111G,1980,79549243000.0
ITA,N112G,1980,82358339000.0
ITA,N111G,1981,79316364000.0
ITA,N1131G,1981,16103130000.0
ITA,N11G,1981,233922808000.0
ITA,N112G,1981,84359252000.0
ITA,N11MG,1981,61710573000.0
ITA,N11MG,1982,59229715000.0
ITA,N111G,1982,75594602000.0
ITA,N1131G,1982,15336861000.0
ITA,N11G,1982,226036673000.0
ITA,N112G,1982,82908062000.0
ITA,N111G,1983,79490171000.0
ITA,N1131G,1983,14003351000.0
ITA,N11G,1983,222782845000.0
ITA,N112G,1983,80312455000.0
ITA,N11MG,1983,56621303000.0
ITA,N11MG,1984,61856073000.0
ITA,N111G,1984,80066804000.0
ITA,N1131G,1984,14808964000.0
ITA,N11G,1984,231658847000.0
ITA,N112G,1984,79563025000.0
ITA,N111G,1985,77504235000.0
ITA,N1131G,1985,15112584000.0
ITA,N11G,1985,234053453000.0
ITA,N112G,1985,81642465000.0
ITA,N11MG,1985,63332732000.0
ITA,N111G,1986,74979289000.0
ITA,N1131G,1986,15256362000.0
ITA,N11G,1986,240570495000.0
ITA,N112G,1986,86905133000.0
ITA,N11MG,1986,64612734000.0
ITA,N111G,1987,73354762000.0
ITA,N1131G,1987,16526382000.000002
ITA,N11G,1987,252165361000.0
ITA,N112G,1987,88350257000.0
ITA,N11MG,1987,71253834000.0
ITA,N111G,1988,74839088000.0
ITA,N1131G,1988,17747809000.0
ITA,N11G,1988,270292025000.00003
ITA,N112G,1988,91206069000.0
ITA,N11MG,1988,79665606000.0
ITA,N111G,1989,76853205000.0
ITA,N1131G,1989,19614548000.0
ITA,N11G,1989,282143659000.0
ITA,N112G,1989,96402391000.0
ITA,N11MG,1989,83441711000.0
ITA,N1131G,1990,20435279000.0
ITA,N11G,1990,294351123000.0
ITA,N111G,1990,82880102000.0
ITA,N112G,1990,98783948000.0
ITA,N11MG,1990,87005624000.0
ITA,N11MG,1991,88152092000.0
ITA,N1131G,1991,19539523000.0
ITA,N11G,1991,298169150000.0
ITA,N111G,1991,85146456000.0
ITA,N112G,1991,98898753000.0
ITA,N1131G,1992,19714325000.0
ITA,N11G,1992,293882453000.0
ITA,N111G,1992,85688262000.0
ITA,N112G,1992,94275477000.0
ITA,N11MG,1992,87198951000.0
ITA,N11MG,1993,71872191000.0
ITA,N1131G,1993,16182775000.0
ITA,N11G,1993,260913737000.0
ITA,N111G,1993,84424098000.0
ITA,N112G,1993,82528956000.0
ITA,N1131G,1994,16658708999.999998
ITA,N11G,1994,262786504000.00003
ITA,N111G,1994,83486373000.0
ITA,N112G,1994,75058631000.0
ITA,N11MG,1994,78283807000.0
AUT,N11G,1970,30638149000.0
AUT,N11G,1971,34863292000.0
AUT,N11G,1972,39094833000.0
AUT,N11G,1973,39231335000.0
AUT,N11G,1974,40788303000.0
AUT,N11G,1975,38768510000.0
AUT,N11MG,1976,11346055000.0
AUT,N117G,1976,1545712000.0
AUT,N112G,1976,15915429000.0
AUT,N11G,1976,40248696000.0
AUT,N1131G,1976,3726735000.0
AUT,N111G,1976,11696074000.0
AUT,N11MG,1977,12482516000.0
AUT,N1131G,1977,4014578000.0
AUT,N111G,1977,11734546000.0
AUT,N117G,1977,1602543000.0
AUT,N112G,1977,18157760000.0
AUT,N11G,1977,43843764000.0
AUT,N11MG,1978,10992427000.0
AUT,N117G,1978,1698197000.0
AUT,N112G,1978,17823852000.0
AUT,N11G,1978,41005952000.0
AUT,N1131G,1978,3378513000.0
AUT,N111G,1978,11179879000.0
AUT,N11MG,1979,12474871000.0
AUT,N1131G,1979,3715096000.0
AUT,N111G,1979,11778832000.0
AUT,N117G,1979,1850543000.0
AUT,N112G,1979,17533494000.0
AUT,N11G,1979,43394933000.0
AUT,N11MG,1980,13685788000.0
AUT,N117G,1980,1996653000.0
AUT,N112G,1980,16936534000.0
AUT,N11G,1980,44836899000.0
AUT,N1131G,1980,3838438000.0
AUT,N111G,1980,12074838000.0
AUT,N11MG,1981,13865666000.0
AUT,N111G,1981,12356627000.0
AUT,N1131G,1981,3689580000.0
AUT,N112G,1981,16378904000.0
AUT,N11G,1981,44811841000.0
AUT,N117G,1981,2036466000.0
AUT,N11MG,1982,12193364000.0
AUT,N117G,1982,2067591000.0
AUT,N112G,1982,14932226000.0
AUT,N11G,1982,41081334000.0
AUT,N111G,1982,12114417000.0
AUT,N1131G,1982,3209463000.0
AUT,N11MG,1983,12041534000.0
AUT,N111G,1983,11885827000.0
AUT,N1131G,1983,3220961000.0
AUT,N112G,1983,15188391000.0
AUT,N11G,1983,40904719000.0
AUT,N117G,1983,2199209000.0
AUT,N11MG,1984,12768556000.0
AUT,N117G,1984,2242974000.0
AUT,N112G,1984,14213313000.0
AUT,N11G,1984,40804445000.0
AUT,N111G,1984,11605802000.0
AUT,N1131G,1984,3431139000.0
AUT,N11MG,1985,13815832000.0
AUT,N111G,1985,11446576000.0
AUT,N1131G,1985,3708835000.0
AUT,N112G,1985,15552522000.0
AUT,N11G,1985,43326821000.0
AUT,N117G,1985,2444613000.0
