date,vmt,gasoline
2016-08-14,279213,9762
2016-08-15,279213,9762
2016-08-16,279213,9762
2016-08-17,279213,9762
2016-08-18,279213,9762
2016-08-19,279213,9659
2016-08-20,279213,9659
2016-08-21,279213,9659
2016-08-22,279213,9659
2016-08-23,279213,9659
2016-08-24,279213,9659
2016-08-25,279213,9659
2016-08-26,279213,9511
2016-08-27,279213,9511
2016-08-28,279213,9511
2016-08-29,279213,9511
2016-08-30,279213,9511
2016-08-31,279213,9511
2016-09-01,262039,9511
2016-09-02,262039,9595
2016-09-03,262039,9595
2016-09-04,262039,9595
2016-09-05,262039,9595
2016-09-06,262039,9595
2016-09-07,262039,9595
2016-09-08,262039,9595
2016-09-09,262039,9406
2016-09-10,262039,9406
2016-09-11,262039,9406
2016-09-12,262039,9406
2016-09-13,262039,9406
2016-09-14,262039,9406
2016-09-15,262039,9406
2016-09-16,262039,9650
2016-09-17,262039,9650
2016-09-18,262039,9650
2016-09-19,262039,9650
2016-09-20,262039,9650
2016-09-21,262039,9650
2016-09-22,262039,9650
2016-09-23,262039,8880
2016-09-24,262039,8880
2016-09-25,262039,8880
2016-09-26,262039,8880
2016-09-27,262039,8880
2016-09-28,262039,8880
2016-09-29,262039,8880
2016-09-30,262039,9390
2016-10-01,275610,9390
2016-10-02,275610,9390
2016-10-03,275610,9390
2016-10-04,275610,9390
2016-10-05,275610,9390
2016-10-06,275610,9390
2016-10-07,275610,9264
2016-10-08,275610,9264
2016-10-09,275610,9264
2016-10-10,275610,9264
2016-10-11,275610,9264
2016-10-12,275610,9264
2016-10-13,275610,9264
2016-10-14,275610,8798
2016-10-15,275610,8798
2016-10-16,275610,8798
2016-10-17,275610,8798
2016-10-18,275610,8798
2016-10-19,275610,8798
2016-10-20,275610,8798
2016-10-21,275610,9118
2016-10-22,275610,9118
2016-10-23,275610,9118
2016-10-24,275610,9118
2016-10-25,275610,9118
2016-10-26,275610,9118
2016-10-27,275610,9118
2016-10-28,275610,9183
2016-10-29,275610,9183
2016-10-30,275610,9183
2016-10-31,275610,9183
2016-11-01,255154,9183
2016-11-02,255154,9183
2016-11-03,255154,9183
2016-11-04,255154,9213
2016-11-05,255154,9213
2016-11-06,255154,9213
2016-11-07,255154,9213
2016-11-08,255154,9213
2016-11-09,255154,9213
2016-11-10,255154,9213
2016-11-11,255154,9359
2016-11-12,255154,9359
2016-11-13,255154,9359
2016-11-14,255154,9359
2016-11-15,255154,9359
2016-11-16,255154,9359
2016-11-17,255154,9359
2016-11-18,255154,9024
2016-11-19,255154,9024
2016-11-20,255154,9024
2016-11-21,255154,9024
2016-11-22,255154,9024
2016-11-23,255154,9024
2016-11-24,255154,9024
2016-11-25,255154,9080
2016-11-26,255154,9080
2016-11-27,255154,9080
2016-11-28,255154,9080
2016-11-29,255154,9080
2016-11-30,255154,9080
2016-12-01,264778,9080
2016-12-02,264778,8757
2016-12-03,264778,8757
2016-12-04,264778,8757
2016-12-05,264778,8757
2016-12-06,264778,8757
2016-12-07,264778,8757
2016-12-08,264778,8757
2016-12-09,264778,8874
2016-12-10,264778,8874
2016-12-11,264778,8874
2016-12-12,264778,8874
2016-12-13,264778,8874
2016-12-14,264778,8874
2016-12-15,264778,8874
2016-12-16,264778,9269
2016-12-17,264778,9269
2016-12-18,264778,9269
2016-12-19,264778,9269
2016-12-20,264778,9269
2016-12-21,264778,9269
2016-12-22,264778,9269
2016-12-23,264778,9278
2016-12-24,264778,9278
2016-12-25,264778,9278
2016-12-26,264778,9278
2016-12-27,264778,9278
2016-12-28,264778,9278
2016-12-29,264778,9278
2016-12-30,264778,8465
2016-12-31,264778,8465
2017-01-01,242600,8465
2017-01-02,242600,8465
2017-01-03,242600,8465
2017-01-04,242600,8465
2017-01-05,242600,8465
2017-01-06,242600,8470
2017-01-07,242600,8470
2017-01-08,242600,8470
2017-01-09,242600,8470
2017-01-10,242600,8470
2017-01-11,242600,8470
2017-01-12,242600,8470
2017-01-13,242600,8069
2017-01-14,242600,8069
2017-01-15,242600,8069
2017-01-16,242600,8069
2017-01-17,242600,8069
2017-01-18,242600,8069
2017-01-19,242600,8069
2017-01-20,242600,8039
2017-01-21,242600,8039
2017-01-22,242600,8039
2017-01-23,242600,8039
2017-01-24,242600,8039
2017-01-25,242600,8039
2017-01-26,242600,8039
2017-01-27,242600,8310
2017-01-28,242600,8310
2017-01-29,242600,8310
2017-01-30,242600,8310
2017-01-31,242600,8310
2017-02-01,225644,8310
2017-02-02,225644,8310
2017-02-03,225644,8941
2017-02-04,225644,8941
2017-02-05,225644,8941
2017-02-06,225644,8941
2017-02-07,225644,8941
2017-02-08,225644,8941
2017-02-09,225644,8941
2017-02-10,225644,8433
2017-02-11,225644,8433
2017-02-12,225644,8433
2017-02-13,225644,8433
2017-02-14,225644,8433
2017-02-15,225644,8433
2017-02-16,225644,8433
2017-02-17,225644,8663
2017-02-18,225644,8663
2017-02-19,225644,8663
2017-02-20,225644,8663
2017-02-21,225644,8663
2017-02-22,225644,8663
2017-02-23,225644,8663
2017-02-24,225644,8686
2017-02-25,225644,8686
2017-02-26,225644,8686
2017-02-27,225644,8686
2017-02-28,225644,8686
2017-03-01,268343,8686
2017-03-02,268343,8686
2017-03-03,268343,9268
2017-03-04,268343,9268
2017-03-05,268343,9268
2017-03-06,268343,9268
2017-03-07,268343,9268
2017-03-08,268343,9268
2017-03-09,268343,9268
2017-03-10,268343,9254
2017-03-11,268343,9254
2017-03-12,268343,9254
2017-03-13,268343,9254
2017-03-14,268343,9254
2017-03-15,268343,9254
2017-03-16,268343,9254
2017-03-17,268343,9200
2017-03-18,268343,9200
2017-03-19,268343,9200
2017-03-20,268343,9200
2017-03-21,268343,9200
2017-03-22,268343,9200
2017-03-23,268343,9200
2017-03-24,268343,9524
2017-03-25,268343,9524
2017-03-26,268343,9524
2017-03-27,268343,9524
2017-03-28,268343,9524
2017-03-29,268343,9524
2017-03-30,268343,9524
2017-03-31,268343,9245
2017-04-01,272864,9245
2017-04-02,272864,9245
2017-04-03,272864,9245
2017-04-04,272864,9245
2017-04-05,272864,9245
2017-04-06,272864,9245
2017-04-07,272864,9275
2017-04-08,272864,9275
2017-04-09,272864,9275
2017-04-10,272864,9275
2017-04-11,272864,9275
2017-04-12,272864,9275
2017-04-13,272864,9275
2017-04-14,272864,9223
2017-04-15,272864,9223
2017-04-16,272864,9223
2017-04-17,272864,9223
2017-04-18,272864,9223
2017-04-19,272864,9223
2017-04-20,272864,9223
2017-04-21,272864,9206
2017-04-22,272864,9206
2017-04-23,272864,9206
2017-04-24,272864,9206
2017-04-25,272864,9206
2017-04-26,272864,9206
2017-04-27,272864,9206
2017-04-28,272864,9156
2017-04-29,272864,9156
2017-04-30,272864,9156
2017-05-01,281264,9156
2017-05-02,281264,9156
2017-05-03,281264,9156
2017-05-04,281264,9156
2017-05-05,281264,9408
2017-05-06,281264,9408
2017-05-07,281264,9408
2017-05-08,281264,9408
2017-05-09,281264,9408
2017-05-10,281264,9408
2017-05-11,281264,9408
2017-05-12,281264,9452
2017-05-13,281264,9452
2017-05-14,281264,9452
2017-05-15,281264,9452
2017-05-16,281264,9452
2017-05-17,281264,9452
2017-05-18,281264,9452
2017-05-19,281264,9704
2017-05-20,281264,9704
2017-05-21,281264,9704
2017-05-22,281264,9704
2017-05-23,281264,9704
2017-05-24,281264,9704
2017-05-25,281264,9704
2017-05-26,281264,9822
2017-05-27,281264,9822
2017-05-28,281264,9822
2017-05-29,281264,9822
2017-05-30,281264,9822
2017-05-31,281264,9822
2017-06-01,280290,9822
2017-06-02,280290,9317
2017-06-03,280290,9317
2017-06-04,280290,9317
2017-06-05,280290,9317
2017-06-06,280290,9317
2017-06-07,280290,9317
2017-06-08,280290,9317
2017-06-09,280290,9269
2017-06-10,280290,9269
2017-06-11,280290,9269
2017-06-12,280290,9269
2017-06-13,280290,9269
2017-06-14,280290,9269
2017-06-15,280290,9269
2017-06-16,280290,9816
2017-06-17,280290,9816
2017-06-18,280290,9816
2017-06-19,280290,9816
2017-06-20,280290,9816
2017-06-21,280290,9816
2017-06-22,280290,9816
2017-06-23,280290,9538
2017-06-24,280290,9538
2017-06-25,280290,9538
2017-06-26,280290,9538
2017-06-27,280290,9538
2017-06-28,280290,9538
2017-06-29,280290,9538
2017-06-30,280290,9705
2017-07-01,288566,9705
2017-07-02,288566,9705
2017-07-03,288566,9705
2017-07-04,288566,9705
2017-07-05,288566,9705
2017-07-06,288566,9705
2017-07-07,288566,9786
2017-07-08,288566,9786
2017-07-09,288566,9786
2017-07-10,288566,9786
2017-07-11,288566,9786
2017-07-12,288566,9786
2017-07-13,288566,9786
2017-07-14,288566,9592
2017-07-15,288566,9592
2017-07-16,288566,9592
2017-07-17,288566,9592
2017-07-18,288566,9592
2017-07-19,288566,9592
2017-07-20,288566,9592
2017-07-21,288566,9821
2017-07-22,288566,9821
2017-07-23,288566,9821
2017-07-24,288566,9821
2017-07-25,288566,9821
2017-07-26,288566,9821
2017-07-27,288566,9821
2017-07-28,288566,9842
2017-07-29,288566,9842
2017-07-30,288566,9842
2017-07-31,288566,9842
2017-08-01,282558,9842
2017-08-02,282558,9842
2017-08-03,282558,9842
2017-08-04,282558,9797
2017-08-05,282558,9797
2017-08-06,282558,9797
2017-08-07,282558,9797
2017-08-08,282558,9797
2017-08-09,282558,9797
2017-08-10,282558,9797
2017-08-11,282558,9522
2017-08-12,282558,9522
2017-08-13,282558,9522
2017-08-14,282558,9522
2017-08-15,282558,9522
2017-08-16,282558,9522
2017-08-17,282558,9522
2017-08-18,282558,9629
2017-08-19,282558,9629
2017-08-20,282558,9629
2017-08-21,282558,9629
2017-08-22,282558,9629
2017-08-23,282558,9629
2017-08-24,282558,9629
2017-08-25,282558,9846
2017-08-26,282558,9846
2017-08-27,282558,9846
2017-08-28,282558,9846
2017-08-29,282558,9846
2017-08-30,282558,9846
2017-08-31,282558,9846
2017-09-01,265212,9163
2017-09-02,265212,9163
2017-09-03,265212,9163
2017-09-04,265212,9163
2017-09-05,265212,9163
2017-09-06,265212,9163
2017-09-07,265212,9163
2017-09-08,265212,9619
2017-09-09,265212,9619
2017-09-10,265212,9619
2017-09-11,265212,9619
2017-09-12,265212,9619
2017-09-13,265212,9619
2017-09-14,265212,9619
2017-09-15,265212,9441
2017-09-16,265212,9441
2017-09-17,265212,9441
2017-09-18,265212,9441
2017-09-19,265212,9441
2017-09-20,265212,9441
2017-09-21,265212,9441
2017-09-22,265212,9522
2017-09-23,265212,9522
2017-09-24,265212,9522
2017-09-25,265212,9522
2017-09-26,265212,9522
2017-09-27,265212,9522
2017-09-28,265212,9522
2017-09-29,265212,9241
2017-09-30,265212,9241
2017-10-01,278888,9241
2017-10-02,278888,9241
2017-10-03,278888,9241
2017-10-04,278888,9241
2017-10-05,278888,9241
2017-10-06,278888,9480
2017-10-07,278888,9480
2017-10-08,278888,9480
2017-10-09,278888,9480
2017-10-10,278888,9480
2017-10-11,278888,9480
2017-10-12,278888,9480
2017-10-13,278888,9136
2017-10-14,278888,9136
2017-10-15,278888,9136
2017-10-16,278888,9136
2017-10-17,278888,9136
2017-10-18,278888,9136
2017-10-19,278888,9136
2017-10-20,278888,9314
2017-10-21,278888,9314
2017-10-22,278888,9314
2017-10-23,278888,9314
2017-10-24,278888,9314
2017-10-25,278888,9314
2017-10-26,278888,9314
2017-10-27,278888,9461
2017-10-28,278888,9461
2017-10-29,278888,9461
2017-10-30,278888,9461
2017-10-31,278888,9461
2017-11-01,258159,9461
2017-11-02,258159,9461
2017-11-03,258159,9496
2017-11-04,258159,9496
2017-11-05,258159,9496
2017-11-06,258159,9496
2017-11-07,258159,9496
2017-11-08,258159,9496
2017-11-09,258159,9496
2017-11-10,258159,9172
2017-11-11,258159,9172
2017-11-12,258159,9172
2017-11-13,258159,9172
2017-11-14,258159,9172
2017-11-15,258159,9172
2017-11-16,258159,9172
2017-11-17,258159,9595
2017-11-18,258159,9595
2017-11-19,258159,9595
2017-11-20,258159,9595
2017-11-21,258159,9595
2017-11-22,258159,9595
2017-11-23,258159,9595
2017-11-24,258159,8724
2017-11-25,258159,8724
2017-11-26,258159,8724
2017-11-27,258159,8724
2017-11-28,258159,8724
2017-11-29,258159,8724
2017-11-30,258159,8724
2017-12-01,267958,8895
2017-12-02,267958,8895
2017-12-03,267958,8895
2017-12-04,267958,8895
2017-12-05,267958,8895
2017-12-06,267958,8895
2017-12-07,267958,8895
2017-12-08,267958,9091
2017-12-09,267958,9091
2017-12-10,267958,9091
2017-12-11,267958,9091
2017-12-12,267958,9091
2017-12-13,267958,9091
2017-12-14,267958,9091
2017-12-15,267958,9426
2017-12-16,267958,9426
2017-12-17,267958,9426
2017-12-18,267958,9426
2017-12-19,267958,9426
2017-12-20,267958,9426
2017-12-21,267958,9426
2017-12-22,267958,9485
2017-12-23,267958,9485
2017-12-24,267958,9485
2017-12-25,267958,9485
2017-12-26,267958,9485
2017-12-27,267958,9485
2017-12-28,267958,9485
2017-12-29,267958,8650
2017-12-30,267958,8650
2017-12-31,267958,8650
2018-01-01,244736,8650
2018-01-02,244736,8650
2018-01-03,244736,8650
2018-01-04,244736,8650
2018-01-05,244736,8814
2018-01-06,244736,8814
2018-01-07,244736,8814
2018-01-08,244736,8814
2018-01-09,244736,8814
2018-01-10,244736,8814
2018-01-11,244736,8814
2018-01-12,244736,8668
2018-01-13,244736,8668
2018-01-14,244736,8668
2018-01-15,244736,8668
2018-01-16,244736,8668
2018-01-17,244736,8668
2018-01-18,244736,8668
2018-01-19,244736,8697
2018-01-20,244736,8697
2018-01-21,244736,8697
2018-01-22,244736,8697
2018-01-23,244736,8697
2018-01-24,244736,8697
2018-01-25,244736,8697
2018-01-26,244736,9044
2018-01-27,244736,9044
2018-01-28,244736,9044
2018-01-29,244736,9044
2018-01-30,244736,9044
2018-01-31,244736,9044
2018-02-01,227759,9044
2018-02-02,227759,9110
2018-02-03,227759,9110
2018-02-04,227759,9110
2018-02-05,227759,9110
2018-02-06,227759,9110
2018-02-07,227759,9110
2018-02-08,227759,9110
2018-02-09,227759,9059
2018-02-10,227759,9059
2018-02-11,227759,9059
2018-02-12,227759,9059
2018-02-13,227759,9059
2018-02-14,227759,9059
2018-02-15,227759,9059
2018-02-16,227759,9002
2018-02-17,227759,9002
2018-02-18,227759,9002
2018-02-19,227759,9002
2018-02-20,227759,9002
2018-02-21,227759,9002
2018-02-22,227759,9002
2018-02-23,227759,8860
2018-02-24,227759,8860
2018-02-25,227759,8860
2018-02-26,227759,8860
2018-02-27,227759,8860
2018-02-28,227759,8860
2018-03-01,270705,8860
2018-03-02,270705,9276
2018-03-03,270705,9276
2018-03-04,270705,9276
2018-03-05,270705,9276
2018-03-06,270705,9276
2018-03-07,270705,9276
2018-03-08,270705,9276
2018-03-09,270705,9642
2018-03-10,270705,9642
2018-03-11,270705,9642
2018-03-12,270705,9642
2018-03-13,270705,9642
2018-03-14,270705,9642
2018-03-15,270705,9642
2018-03-16,270705,9324
2018-03-17,270705,9324
2018-03-18,270705,9324
2018-03-19,270705,9324
2018-03-20,270705,9324
2018-03-21,270705,9324
2018-03-22,270705,9324
2018-03-23,270705,9208
2018-03-24,270705,9208
2018-03-25,270705,9208
2018-03-26,270705,9208
2018-03-27,270705,9208
2018-03-28,270705,9208
2018-03-29,270705,9208
2018-03-30,270705,9203
2018-03-31,270705,9203
2018-04-01,275127,9203
2018-04-02,275127,9203
2018-04-03,275127,9203
2018-04-04,275127,9203
2018-04-05,275127,9203
2018-04-06,275127,9273
2018-04-07,275127,9273
2018-04-08,275127,9273
2018-04-09,275127,9273
2018-04-10,275127,9273
2018-04-11,275127,9273
2018-04-12,275127,9273
2018-04-13,275127,9857
2018-04-14,275127,9857
2018-04-15,275127,9857
2018-04-16,275127,9857
2018-04-17,275127,9857
2018-04-18,275127,9857
2018-04-19,275127,9857
2018-04-20,275127,9083
2018-04-21,275127,9083
2018-04-22,275127,9083
2018-04-23,275127,9083
2018-04-24,275127,9083
2018-04-25,275127,9083
2018-04-26,275127,9083
2018-04-27,275127,9090
2018-04-28,275127,9090
2018-04-29,275127,9090
2018-04-30,275127,9090
2018-05-01,283713,9090
2018-05-02,283713,9090
2018-05-03,283713,9090
2018-05-04,283713,9775
2018-05-05,283713,9775
2018-05-06,283713,9775
2018-05-07,283713,9775
2018-05-08,283713,9775
2018-05-09,283713,9775
2018-05-10,283713,9775
2018-05-11,283713,9531
2018-05-12,283713,9531
2018-05-13,283713,9531
2018-05-14,283713,9531
2018-05-15,283713,9531
2018-05-16,283713,9531
2018-05-17,283713,9531
2018-05-18,283713,9689
2018-05-19,283713,9689
2018-05-20,283713,9689
2018-05-21,283713,9689
2018-05-22,283713,9689
2018-05-23,283713,9689
2018-05-24,283713,9689
2018-05-25,283713,9689
2018-05-26,283713,9689
2018-05-27,283713,9689
2018-05-28,283713,9689
2018-05-29,283713,9689
2018-05-30,283713,9689
2018-05-31,283713,9689
2018-06-01,282648,8976
2018-06-02,282648,8976
2018-06-03,282648,8976
2018-06-04,282648,8976
2018-06-05,282648,8976
2018-06-06,282648,8976
2018-06-07,282648,8976
2018-06-08,282648,9879
2018-06-09,282648,9879
2018-06-10,282648,9879
2018-06-11,282648,9879
2018-06-12,282648,9879
2018-06-13,282648,9879
2018-06-14,282648,9879
2018-06-15,282648,9326
2018-06-16,282648,9326
2018-06-17,282648,9326
2018-06-18,282648,9326
2018-06-19,282648,9326
2018-06-20,282648,9326
2018-06-21,282648,9326
2018-06-22,282648,9731
2018-06-23,282648,9731
2018-06-24,282648,9731
2018-06-25,282648,9731
2018-06-26,282648,9731
2018-06-27,282648,9731
2018-06-28,282648,9731
2018-06-29,282648,9869
2018-06-30,282648,9869
2018-07-01,290989,9869
2018-07-02,290989,9869
2018-07-03,290989,9869
2018-07-04,290989,9869
2018-07-05,290989,9869
2018-07-06,290989,9275
2018-07-07,290989,9275
2018-07-08,290989,9275
2018-07-09,290989,9275
2018-07-10,290989,9275
2018-07-11,290989,9275
2018-07-12,290989,9275
2018-07-13,290989,9708
2018-07-14,290989,9708
2018-07-15,290989,9708
2018-07-16,290989,9708
2018-07-17,290989,9708
2018-07-18,290989,9708
2018-07-19,290989,9708
2018-07-20,290989,9846
2018-07-21,290989,9846
2018-07-22,290989,9846
2018-07-23,290989,9846
2018-07-24,290989,9846
2018-07-25,290989,9846
2018-07-26,290989,9846
2018-07-27,290989,9878
2018-07-28,290989,9878
2018-07-29,290989,9878
2018-07-30,290989,9878
2018-07-31,290989,9878
2018-08-01,284989,9878
2018-08-02,284989,9878
2018-08-03,284989,9346
2018-08-04,284989,9346
2018-08-05,284989,9346
2018-08-06,284989,9346
2018-08-07,284989,9346
2018-08-08,284989,9346
2018-08-09,284989,9346
2018-08-10,284989,9512
2018-08-11,284989,9512
2018-08-12,284989,9512
2018-08-13,284989,9512
2018-08-14,284989,9512
2018-08-15,284989,9512
2018-08-16,284989,9512
2018-08-17,284989,9453
2018-08-18,284989,9453
2018-08-19,284989,9453
2018-08-20,284989,9453
2018-08-21,284989,9453
2018-08-22,284989,9453
2018-08-23,284989,9453
2018-08-24,284989,9899
2018-08-25,284989,9899
2018-08-26,284989,9899
2018-08-27,284989,9899
2018-08-28,284989,9899
2018-08-29,284989,9899
2018-08-30,284989,9899
2018-08-31,284989,9734
2018-09-01,267434,9734
2018-09-02,267434,9734
2018-09-03,267434,9734
2018-09-04,267434,9734
2018-09-05,267434,9734
2018-09-06,267434,9734
2018-09-07,267434,9649
2018-09-08,267434,9649
2018-09-09,267434,9649
2018-09-10,267434,9649
2018-09-11,267434,9649
2018-09-12,267434,9649
2018-09-13,267434,9649
2018-09-14,267434,9534
2018-09-15,267434,9534
2018-09-16,267434,9534
2018-09-17,267434,9534
2018-09-18,267434,9534
2018-09-19,267434,9534
2018-09-20,267434,9534
2018-09-21,267434,8987
2018-09-22,267434,8987
2018-09-23,267434,8987
2018-09-24,267434,8987
2018-09-25,267434,8987
2018-09-26,267434,8987
2018-09-27,267434,8987
2018-09-28,267434,9102
2018-09-29,267434,9102
2018-09-30,267434,9102
2018-10-01,281382,9102
2018-10-02,281382,9102
2018-10-03,281382,9102
2018-10-04,281382,9102
2018-10-05,281382,9078
2018-10-06,281382,9078
2018-10-07,281382,9078
2018-10-08,281382,9078
2018-10-09,281382,9078
2018-10-10,281382,9078
2018-10-11,281382,9078
2018-10-12,281382,9182
2018-10-13,281382,9182
2018-10-14,281382,9182
2018-10-15,281382,9182
2018-10-16,281382,9182
2018-10-17,281382,9182
2018-10-18,281382,9182
2018-10-19,281382,9324
2018-10-20,281382,9324
2018-10-21,281382,9324
2018-10-22,281382,9324
2018-10-23,281382,9324
2018-10-24,281382,9324
2018-10-25,281382,9324
2018-10-26,281382,9262
2018-10-27,281382,9262
2018-10-28,281382,9262
2018-10-29,281382,9262
2018-10-30,281382,9262
2018-10-31,281382,9262
2018-11-01,260473,9262
2018-11-02,260473,9099
2018-11-03,260473,9099
2018-11-04,260473,9099
2018-11-05,260473,9099
2018-11-06,260473,9099
2018-11-07,260473,9099
2018-11-08,260473,9099
2018-11-09,260473,9192
2018-11-10,260473,9192
2018-11-11,260473,9192
2018-11-12,260473,9192
2018-11-13,260473,9192
2018-11-14,260473,9192
2018-11-15,260473,9192
2018-11-16,260473,9185
2018-11-17,260473,9185
2018-11-18,260473,9185
2018-11-19,260473,9185
2018-11-20,260473,9185
2018-11-21,260473,9185
2018-11-22,260473,9185
2018-11-23,260473,9188
2018-11-24,260473,9188
2018-11-25,260473,9188
2018-11-26,260473,9188
2018-11-27,260473,9188
2018-11-28,260473,9188
2018-11-29,260473,9188
2018-11-30,260473,8877
2018-12-01,270370,8877
2018-12-02,270370,8877
2018-12-03,270370,8877
2018-12-04,270370,8877
2018-12-05,270370,8877
2018-12-06,270370,8877
2018-12-07,270370,9036
2018-12-08,270370,9036
2018-12-09,270370,9036
2018-12-10,270370,9036
