state,year,population,vmt_millions
51,2022,8679099,82083.23304
53,2016,7288000,61017.810943993994
53,2017,7405743,61419.92486448
53,2018,7535591,62366.656131095006
53,2019,7614893,62529.638317209996
53,2020,7724566,53658.2413
53,2021,7741433,57796.59611
53,2022,7784477,58482.75528
54,2016,1831102,19539.442679694002
54,2017,1815857,19072.335445284996
54,2018,1805832,19447.32321075
54,2019,1792147,19076.55966
54,2020,1791562,16054.14025
54,2021,1785249,16079.27494
54,2022,1774035,15312.40753
55,2016,5778708,64046.406586158
55,2017,5795483,65323.70926874
55,2018,5813568,65885.43494883
55,2019,5822434,66347.623852405
55,2020,5896700,57599.94105
55,2021,5879978,64983.27947
55,2022,5890543,66166.68089
56,2016,585501,9322.542398558002
56,2017,579315,9784.665268215
56,2018,577737,10438.44261328
56,2019,578759,10207.605647695
56,2020,577664,9800.31981
56,2021,579548,11096.52015
56,2022,581629,9324.38529
