year,municipality,total_crimes,violent,rough,burglary,theft_non,other,has_r1,first_r1_year,post_r1
2009,あきる野市,615,8,28,38,398,143,0,,0
2009,西東京市,2382,12,60,81,1710,519,0,,0
2009,西多摩郡瑞穂町,666,2,18,38,443,165,0,,0
2009,西多摩郡日の出町,185,1,6,6,150,22,0,,0
2009,西多摩郡檜原村,6,0,0,1,4,1,0,,0
2009,西多摩郡奥多摩町,22,0,2,4,7,9,0,,0
2009,大島町,30,0,6,2,18,4,0,,0
2009,利島村,0,0,0,0,0,0,0,,0
2009,新島村,3,0,0,0,3,0,0,,0
2009,神津島村,2,0,1,0,1,0,0,,0
2009,三宅島三宅村,7,0,2,0,5,0,0,,0
2009,御蔵島村,0,0,0,0,0,0,0,,0
2009,八丈島八丈町,31,1,2,2,13,13,0,,0
2009,小笠原村,16,0,0,4,11,1,0,,0
2009,青ヶ島村,1,0,0,0,0,1,0,,0
2010,千代田区,4148,16,365,114,2818,835,0,,0
2010,中央区,3050,14,189,134,2014,699,0,,0
2010,港区,5425,26,532,232,3224,1411,0,,0
2010,新宿区,10531,55,718,424,6992,2342,0,,0
2010,文京区,2273,16,119,144,1446,548,0,,0
2010,台東区,4711,29,231,163,3298,990,0,,0
2010,墨田区,3990,31,195,117,2805,842,0,,0
2010,江東区,5942,31,251,181,4234,1245,1,2000.0,1
2010,品川区,4399,22,251,141,2929,1056,0,,0
2010,目黒区,2903,8,119,180,1888,708,0,,0
2010,大田区,9084,48,353,456,6270,1957,0,,0
2010,世田谷区,9590,37,345,554,6511,2143,0,,0
2010,渋谷区,7008,20,316,187,4986,1499,0,,0
2010,中野区,4600,20,230,315,3000,1035,0,,0
2010,杉並区,6277,27,276,371,4114,1489,0,,0
2010,豊島区,7162,35,340,298,5103,1386,0,,0
2010,北区,4737,20,188,284,3178,1067,0,,0
2010,荒川区,2888,11,182,96,1961,638,0,,0
2010,板橋区,7642,27,223,370,5388,1634,1,2006.0,1
2010,練馬区,8724,37,238,432,6371,1646,0,,0
2010,足立区,10355,50,371,657,7119,2158,0,,0
2010,葛飾区,6201,32,246,310,4349,1264,0,,0
2010,江戸川区,9683,55,397,428,6878,1925,0,,0
2010,八王子市,8341,42,252,495,5889,1663,0,,0
2010,立川市,3995,18,130,146,3104,597,0,,0
2010,武蔵野市,3100,4,96,70,2403,527,0,,0
2010,三鷹市,1763,11,54,102,1211,385,0,,0
2010,青梅市,1380,4,43,89,979,265,0,,0
2010,府中市,2873,13,75,121,2108,556,1,2011.0,0
2010,昭島市,1748,8,51,76,1254,359,0,,0
2010,調布市,2704,8,80,140,1962,514,0,,0
2010,町田市,5445,47,173,348,3763,1114,1,2004.0,1
2010,小金井市,1583,1,44,82,1133,323,0,,0
2010,小平市,2193,13,66,100,1626,388,0,,0
2010,日野市,1752,11,57,118,1170,396,0,,0
2010,東村山市,1797,9,50,105,1266,367,0,,0
2010,国分寺市,1540,8,73,94,1077,288,0,,0
2010,国立市,1242,3,21,81,910,227,0,,0
2010,福生市,938,4,49,37,585,263,0,,0
2010,狛江市,732,5,16,35,512,164,0,,0
2010,東大和市,1134,2,33,42,843,214,0,,0
2010,清瀬市,916,5,27,44,627,213,0,,0
2010,東久留米市,1258,17,34,78,835,294,0,,0
2010,武蔵村山市,1010,6,27,49,724,204,1,2009.0,1
2010,多摩市,1535,7,39,58,1041,390,0,,0
2010,稲城市,700,5,4,30,482,179,0,,0
2010,羽村市,820,3,24,32,600,161,0,,0
2010,あきる野市,620,4,26,46,407,137,0,,0
2010,西東京市,2263,10,53,123,1648,429,0,,0
2010,西多摩郡瑞穂町,711,4,24,40,527,116,0,,0
2010,西多摩郡日の出町,156,0,5,5,116,30,0,,0
2010,西多摩郡檜原村,7,0,1,0,4,2,0,,0
2010,西多摩郡奥多摩町,32,1,1,10,14,6,0,,0
2010,大島町,45,0,0,21,14,10,0,,0
2010,利島村,0,0,0,0,0,0,0,,0
2010,新島村,3,0,0,0,3,0,0,,0
2010,神津島村,0,0,0,0,0,0,0,,0
2010,三宅島三宅村,5,0,0,1,4,0,0,,0
2010,御蔵島村,0,0,0,0,0,0,0,,0
2010,八丈島八丈町,35,0,4,4,19,8,0,,0
2010,小笠原村,5,0,1,1,1,2,0,,0
2010,青ヶ島村,0,0,0,0,0,0,0,,0
2011,千代田区,3805,13,313,63,2731,685,0,,0
2011,中央区,2884,10,168,96,1979,631,0,,0
2011,港区,5061,23,554,157,3102,1225,0,,0
2011,新宿区,9516,64,770,416,6236,2030,0,,0
2011,文京区,2143,6,119,150,1390,478,0,,0
2011,台東区,4486,36,257,113,3201,879,0,,0
2011,墨田区,3943,19,220,134,2828,742,0,,0
2011,江東区,5953,31,242,184,4186,1310,1,2000.0,1
2011,品川区,4170,19,222,144,2791,994,0,,0
2011,目黒区,2883,16,91,208,1904,664,0,,0
2011,大田区,8043,45,398,295,5671,1634,0,,0
2011,世田谷区,9341,42,304,483,6628,1884,0,,0
2011,渋谷区,6331,30,319,192,4435,1355,0,,0
2011,中野区,4550,23,188,261,3091,987,0,,0
2011,杉並区,6216,25,216,242,4513,1220,0,,0
2011,豊島区,6882,44,346,249,4888,1355,0,,0
2011,北区,4588,19,194,184,3232,959,0,,0
2011,荒川区,2812,13,167,102,1969,561,0,,0
2011,板橋区,7520,30,192,330,5429,1539,1,2006.0,1
2011,練馬区,8128,33,249,327,6097,1422,0,,0
2011,足立区,10363,67,405,523,7362,2006,0,,0
2011,葛飾区,5929,45,269,280,4142,1193,0,,0
2011,江戸川区,9665,42,423,470,6751,1979,0,,0
2011,八王子市,7311,38,240,389,5140,1504,0,,0
2011,立川市,3439,17,103,134,2616,569,0,,0
2011,武蔵野市,2831,11,83,69,2236,432,0,,0
2011,三鷹市,1734,6,74,66,1235,353,0,,0
2011,青梅市,1222,14,29,51,886,242,0,,0
2011,府中市,2712,8,80,139,1969,516,1,2011.0,1
2011,昭島市,1641,10,57,74,1169,331,0,,0
2011,調布市,2552,6,62,106,1909,469,0,,0
2011,町田市,5222,34,165,327,3559,1137,1,2004.0,1
2011,小金井市,1456,7,57,68,1039,285,0,,0
2011,小平市,2172,14,49,113,1532,464,0,,0
2011,日野市,1492,8,40,93,1017,334,0,,0
2011,東村山市,1733,13,56,82,1206,376,0,,0
2011,国分寺市,1331,10,56,79,919,267,0,,0
2011,国立市,1174,8,36,49,893,188,0,,0
2011,福生市,853,5,51,60,536,201,0,,0
2011,狛江市,662,1,18,44,471,128,0,,0
2011,東大和市,1222,4,28,45,872,273,0,,0
2011,清瀬市,843,2,27,27,600,187,0,,0
2011,東久留米市,1303,7,38,53,942,263,0,,0
2011,武蔵村山市,977,1,30,45,715,186,1,2009.0,1
2011,多摩市,1464,3,40,33,1025,363,0,,0
2011,稲城市,662,3,15,32,477,135,0,,0
2011,羽村市,927,4,25,43,693,162,0,,0
2011,あきる野市,710,3,20,59,472,156,0,,0
2011,西東京市,2181,15,75,90,1625,376,0,,0
2011,西多摩郡瑞穂町,876,2,13,50,679,132,0,,0
2011,西多摩郡日の出町,151,2,6,2,113,28,0,,0
2011,西多摩郡檜原村,0,0,0,0,0,0,0,,0
2011,西多摩郡奥多摩町,32,0,0,3,8,21,0,,0
2011,大島町,21,1,2,2,11,5,0,,0
2011,利島村,0,0,0,0,0,0,0,,0
2011,新島村,3,1,0,0,2,0,0,,0
2011,神津島村,1,0,0,0,1,0,0,,0
2011,三宅島三宅村,5,0,2,1,2,0,0,,0
2011,御蔵島村,0,0,0,0,0,0,0,,0
2011,八丈島八丈町,29,0,6,5,15,3,0,,0
2011,小笠原村,10,0,3,1,5,1,0,,0
2011,青ヶ島村,0,0,0,0,0,0,0,,0
2012,千代田区,3601,11,313,102,2531,644,0,,0
2012,中央区,2745,18,214,109,1772,632,0,,0
2012,港区,5035,33,553,158,3094,1197,0,,0
2012,新宿区,9375,66,817,345,6034,2113,0,,0
2012,文京区,2028,10,119,102,1347,450,0,,0
2012,台東区,4642,27,268,180,3279,888,0,,0
2012,墨田区,3648,19,241,151,2529,708,0,,0
2012,江東区,5724,29,269,176,4029,1221,1,2000.0,1
2012,品川区,3905,17,265,154,2515,954,0,,0
2012,目黒区,2506,8,144,185,1563,606,0,,0
2012,大田区,7602,25,367,296,5249,1665,0,,0
2012,世田谷区,8569,39,292,479,5834,1925,0,,0
2012,渋谷区,6466,27,371,199,4456,1413,0,,0
2012,中野区,4072,22,200,255,2651,944,0,,0
2012,杉並区,5634,18,203,315,3850,1248,0,,0
2012,豊島区,6159,51,341,216,4311,1240,0,,0
2012,北区,4243,17,200,166,2952,908,0,,0
2012,荒川区,2578,14,180,102,1761,521,0,,0
2012,板橋区,6271,26,255,282,4232,1476,1,2006.0,1
2012,練馬区,7458,30,235,281,5591,1321,0,,0
2012,足立区,9141,65,444,465,6298,1869,0,,0
2012,葛飾区,5240,28,259,370,3428,1155,0,,0
2012,江戸川区,8675,55,405,488,5965,1762,0,,0
2012,八王子市,6991,44,264,372,4778,1533,0,,0
2012,立川市,3063,18,138,91,2269,547,0,,0
2012,武蔵野市,2645,6,81,82,1996,480,0,,0
2012,三鷹市,1761,6,69,51,1241,394,0,,0
2012,青梅市,1160,10,32,70,822,226,0,,0
2012,府中市,2533,11,77,121,1804,520,1,2011.0,1
2012,昭島市,1531,11,57,51,1090,322,0,,0
2012,調布市,2450,10,120,131,1689,500,0,,0
2012,町田市,4493,29,172,299,2952,1041,1,2004.0,1
2012,小金井市,1271,2,38,63,920,248,0,,0
2012,小平市,1983,5,86,116,1350,426,0,,0
2012,日野市,1503,5,34,109,948,407,0,,0
2012,東村山市,1456,5,56,77,1051,267,0,,0
2012,国分寺市,1327,7,44,90,926,260,0,,0
2012,国立市,954,8,26,54,685,181,0,,0
2012,福生市,873,9,51,47,538,228,0,,0
2012,狛江市,580,3,18,42,393,124,0,,0
2012,東大和市,1071,6,35,52,750,228,0,,0
2012,清瀬市,799,3,28,47,580,141,0,,0
2012,東久留米市,1115,4,54,68,794,195,0,,0
2012,武蔵村山市,818,5,33,43,570,167,1,2009.0,1
2012,多摩市,1476,10,57,52,1025,332,0,,0
2012,稲城市,575,5,16,26,382,146,0,,0
2012,羽村市,659,3,24,26,471,135,0,,0
2012,あきる野市,611,9,22,57,382,141,0,,0
2012,西東京市,2232,10,121,103,1570,428,0,,0
2012,西多摩郡瑞穂町,558,3,11,37,401,106,0,,0
2012,西多摩郡日の出町,188,0,3,8,147,30,0,,0
2012,西多摩郡檜原村,2,0,0,0,1,1,0,,0
2012,西多摩郡奥多摩町,17,1,0,1,11,4,0,,0
2012,大島町,16,0,2,0,10,4,0,,0
2012,利島村,1,0,1,0,0,0,0,,0
2012,新島村,3,0,0,0,2,1,0,,0
2012,神津島村,1,0,0,0,1,0,0,,0
2012,三宅島三宅村,3,0,1,0,2,0,0,,0
2012,御蔵島村,0,0,0,0,0,0,0,,0
2012,八丈島八丈町,30,1,5,5,13,6,0,,0
2012,小笠原村,12,0,1,1,8,2,0,,0
2012,青ヶ島村,0,0,0,0,0,0,0,,0
2013,千代田区,3705,11,316,86,2622,670,0,,0
2013,中央区,2717,14,211,95,1803,594,0,,0
2013,港区,4972,28,518,188,2971,1267,0,,0
2013,新宿区,8364,60,733,401,5370,1800,0,,0
2013,文京区,1870,10,90,103,1174,493,0,,0
2013,台東区,4318,22,276,169,2998,853,0,,0
2013,墨田区,3513,10,188,191,2464,660,0,,0
2013,江東区,5348,19,228,133,3713,1255,1,2000.0,1
2013,品川区,3671,20,243,114,2385,909,0,,0
2013,目黒区,2376,20,135,212,1452,557,0,,0
2013,大田区,7552,37,435,311,5188,1581,0,,0
2013,世田谷区,8435,40,304,576,5653,1862,0,,0
2013,渋谷区,6250,28,428,207,4278,1309,0,,0
2013,中野区,3610,15,204,236,2296,859,0,,0
2013,杉並区,5430,23,235,341,3698,1133,0,,0
2013,豊島区,5958,34,367,245,4159,1153,0,,0
2013,北区,3765,24,224,148,2539,830,0,,0
2013,荒川区,2383,8,198,110,1512,555,0,,0
2013,板橋区,6022,31,229,294,4083,1385,1,2006.0,1
2013,練馬区,6957,38,214,343,5037,1325,0,,0
2013,足立区,8241,44,383,396,5657,1761,0,,0
2013,葛飾区,4853,21,231,255,3334,1012,0,,0
2013,江戸川区,8616,61,419,442,6022,1672,0,,0
2013,八王子市,6100,28,229,342,4087,1414,0,,0
2013,立川市,2684,21,117,104,1959,483,0,,0
2013,武蔵野市,2567,15,137,83,1886,446,0,,0
2013,三鷹市,1584,6,61,82,1077,358,0,,0
2013,青梅市,1306,5,41,68,883,309,0,,0
2013,府中市,2525,6,65,123,1826,505,1,2011.0,1
2013,昭島市,1230,14,58,40,865,253,0,,0
2013,調布市,2241,7,104,125,1538,467,0,,0
2013,町田市,4239,37,203,284,2627,1088,1,2004.0,1
2013,小金井市,1206,7,41,52,835,271,0,,0
2013,小平市,1831,4,67,89,1292,379,0,,0
2013,日野市,1341,7,40,94,827,373,0,,0
2013,東村山市,1255,10,53,55,854,283,0,,0
2013,国分寺市,1194,2,57,67,829,239,0,,0
2013,国立市,910,5,14,60,651,180,0,,0
2013,福生市,745,2,30,19,524,170,0,,0
2013,狛江市,617,1,20,51,368,177,0,,0
2013,東大和市,938,3,35,31,665,204,0,,0
2013,清瀬市,694,2,25,33,470,164,0,,0
2013,東久留米市,970,3,44,30,678,215,0,,0
2013,武蔵村山市,882,2,32,34,656,158,1,2009.0,1
2013,多摩市,1286,10,48,58,876,294,0,,0
2013,稲城市,598,2,15,32,432,117,0,,0
2013,羽村市,776,5,27,24,602,118,0,,0
2013,あきる野市,650,1,22,49,427,151,0,,0
2013,西東京市,2021,12,126,76,1400,407,0,,0
2013,西多摩郡瑞穂町,587,2,16,19,459,91,0,,0
2013,西多摩郡日の出町,176,3,5,14,131,23,0,,0
2013,西多摩郡檜原村,0,0,0,0,0,0,0,,0
2013,西多摩郡奥多摩町,24,0,0,4,11,9,0,,0
2013,大島町,26,0,2,6,11,7,0,,0
2013,利島村,0,0,0,0,0,0,0,,0
2013,新島村,0,0,0,0,0,0,0,,0
2013,神津島村,0,0,0,0,0,0,0,,0
2013,三宅島三宅村,11,1,1,2,5,2,0,,0
2013,御蔵島村,0,0,0,0,0,0,0,,0
2013,八丈島八丈町,27,0,4,7,9,7,0,,0
2013,小笠原村,14,0,0,0,11,3,0,,0
2013,青ヶ島村,0,0,0,0,0,0,0,,0
2016,千代田区,3345,5,354,77,2253,656,0,,0
2016,中央区,2570,15,228,93,1638,596,0,,0
2016,港区,4425,34,563,203,2460,1165,0,,0
2016,新宿区,6966,73,629,256,4439,1569,0,,0
2016,文京区,1573,9,116,97,1009,342,0,,0
2016,台東区,3902,26,314,114,2746,702,0,,0
2016,墨田区,3158,23,252,94,2244,545,0,,0
2016,江東区,4792,28,269,130,3336,1029,1,2000.0,1
2016,品川区,2868,9,207,115,1856,681,0,,0
2016,目黒区,2133,8,110,88,1491,436,0,,0
2016,大田区,6254,30,357,237,4475,1155,0,,0
2016,世田谷区,7107,24,388,282,4821,1592,0,,0
2016,渋谷区,5442,20,482,153,3560,1227,0,,0
2016,中野区,2942,27,238,133,1806,738,0,,0
2016,杉並区,4079,23,195,172,2727,962,0,,0
2016,豊島区,4845,29,357,220,3268,971,0,,0
2016,北区,3511,14,257,134,2434,672,0,,0
2016,荒川区,1998,11,177,86,1304,420,0,,0
2016,板橋区,5501,24,272,204,3892,1109,1,2006.0,1
2016,練馬区,5348,24,207,220,3888,1009,0,,0
2016,足立区,6519,40,388,265,4532,1294,0,,0
2016,葛飾区,4130,14,170,138,2987,821,0,,0
2016,江戸川区,6867,24,355,184,5010,1294,0,,0
2016,八王子市,4201,22,255,175,2670,1079,0,,0
2016,立川市,2186,6,112,102,1558,408,0,,0
2016,武蔵野市,1963,3,85,69,1478,328,0,,0
2016,三鷹市,1235,4,87,56,845,243,0,,0
2016,青梅市,875,6,35,32,621,181,0,,0
2016,府中市,1668,5,84,80,1158,341,1,2011.0,1
2016,昭島市,941,8,63,50,622,198,0,,0
2016,調布市,1796,4,110,83,1218,381,0,,0
2016,町田市,3403,19,200,197,2184,803,1,2004.0,1
2016,小金井市,1070,7,42,45,788,188,0,,0
2016,小平市,1644,5,57,72,1157,353,0,,0
2016,日野市,1131,6,48,49,687,341,0,,0
2016,東村山市,1113,3,52,30,819,209,0,,0
2016,国分寺市,1102,4,53,79,753,213,0,,0
2016,国立市,748,3,25,62,510,148,0,,0
2016,福生市,490,6,28,17,327,112,0,,0
2016,狛江市,485,2,23,22,320,118,0,,0
2016,東大和市,844,5,26,31,609,173,0,,0
2016,清瀬市,592,2,22,15,434,119,0,,0
2016,東久留米市,928,6,41,30,652,199,0,,0
2016,武蔵村山市,592,2,18,39,385,148,1,2009.0,1
2016,多摩市,1019,6,69,50,692,202,0,,0
2016,稲城市,544,3,28,21,357,135,0,,0
2016,羽村市,550,5,27,18,396,104,0,,0
2016,あきる野市,422,2,24,31,264,101,0,,0
2016,西東京市,1765,8,98,50,1275,334,0,,0
2016,西多摩郡瑞穂町,329,2,12,17,246,52,0,,0
2016,西多摩郡日の出町,93,2,4,2,66,19,0,,0
2016,西多摩郡檜原村,8,1,2,0,2,3,0,,0
2016,西多摩郡奥多摩町,13,0,2,1,7,3,0,,0
2016,大島町,22,0,4,3,8,7,0,,0
2016,利島村,0,0,0,0,0,0,0,,0
2016,新島村,3,0,1,0,1,1,0,,0
2016,神津島村,2,0,0,0,2,0,0,,0
2016,三宅島三宅村,5,0,1,0,1,3,0,,0
2016,御蔵島村,1,0,0,0,1,0,0,,0
2016,八丈島八丈町,29,0,3,6,11,9,0,,0
2016,小笠原村,5,0,2,0,2,1,0,,0
2016,青ヶ島村,0,0,0,0,0,0,0,,0
2017,千代田区,3287,13,412,95,2001,766,0,,0
2017,中央区,2595,10,212,96,1674,603,0,,0
2017,港区,4069,27,527,143,2268,1104,0,,0
2017,新宿区,6485,46,659,214,4043,1523,0,,0
2017,文京区,1329,7,123,98,742,359,0,,0
2017,台東区,3353,27,313,96,2218,699,0,,0
2017,墨田区,2844,17,197,90,1936,604,0,,0
2017,江東区,4359,16,295,101,2924,1023,1,2000.0,1
2017,品川区,2790,22,212,78,1781,697,0,,0
2017,目黒区,2066,11,112,125,1303,515,0,,0
2017,大田区,5871,32,332,235,4082,1190,0,,0
2017,世田谷区,6533,46,290,297,4324,1576,0,,0
2017,渋谷区,5400,28,464,136,3457,1315,0,,0
2017,中野区,2679,16,190,112,1708,653,0,,0
2017,杉並区,3783,29,175,187,2454,938,0,,0
2017,豊島区,4778,35,345,171,3248,979,0,,0
2017,北区,3157,20,261,119,2051,706,0,,0
2017,荒川区,1676,12,128,75,1097,364,0,,0
2017,板橋区,4676,20,250,199,3073,1134,1,2006.0,1
2017,練馬区,5235,15,241,211,3756,1012,0,,0
2017,足立区,6633,39,458,332,4443,1361,0,,0
2017,葛飾区,4241,27,191,223,2956,844,0,,0
2017,江戸川区,5902,28,294,259,4088,1233,0,,0
2017,八王子市,3950,29,248,247,2366,1060,0,,0
2017,立川市,2111,5,82,78,1486,460,0,,0
2017,武蔵野市,1693,2,65,57,1252,317,0,,0
2017,三鷹市,1135,3,74,64,770,224,0,,0
2017,青梅市,758,4,40,36,511,167,0,,0
2017,府中市,1596,6,85,113,1027,365,1,2011.0,1
2017,昭島市,966,3,83,38,643,199,0,,0
2017,調布市,1576,9,86,72,1066,343,0,,0
2017,町田市,3406,25,202,240,1997,942,1,2004.0,1
2017,小金井市,894,2,47,25,585,235,0,,0
2017,小平市,1337,3,37,35,920,342,0,,0
2017,日野市,976,3,63,61,560,289,0,,0
2017,東村山市,1110,3,61,30,752,264,0,,0
2017,国分寺市,815,1,44,45,530,195,0,,0
2017,国立市,539,2,14,35,382,106,0,,0
2017,福生市,455,3,34,25,283,110,0,,0
2017,狛江市,491,3,22,27,302,137,0,,0
2017,東大和市,856,2,19,19,674,142,0,,0
2017,清瀬市,569,4,19,28,389,129,0,,0
2017,東久留米市,807,6,38,43,558,162,0,,0
2017,武蔵村山市,644,4,26,22,465,127,1,2009.0,1
2017,多摩市,996,2,42,57,659,236,0,,0
2017,稲城市,529,3,20,27,364,115,0,,0
2017,羽村市,437,1,20,16,303,97,0,,0
2017,あきる野市,431,3,22,27,256,123,0,,0
2017,西東京市,1428,2,83,48,978,317,0,,0
2017,西多摩郡瑞穂町,425,4,8,16,322,75,0,,0
2017,西多摩郡日の出町,88,1,3,5,63,16,0,,0
2017,西多摩郡檜原村,6,0,0,0,2,4,0,,0
2017,西多摩郡奥多摩町,12,0,1,3,4,4,0,,0
2017,大島町,22,0,1,2,6,13,0,,0
2017,新島村,10,0,0,0,7,3,0,,0
2017,神津島村,1,0,0,0,1,0,0,,0
2017,三宅島三宅村,3,0,1,1,0,1,0,,0
2017,御蔵島村,2,0,1,0,0,1,0,,0
2017,八丈島八丈町,20,0,3,1,6,10,0,,0
2017,小笠原村,7,0,1,1,2,3,0,,0
2017,小笠原村父島字西町,2,0,1,0,0,1,0,,0
2017,小笠原村父島字東町,4,0,0,1,1,2,0,,0
2018,千代田区,3204,11,312,108,2042,731,0,,0
2018,中央区,2269,15,253,72,1446,483,0,,0
2018,港区,3830,39,531,167,2105,988,0,,0
2018,新宿区,6412,107,832,236,3855,1382,0,,0
2018,文京区,1261,7,140,78,659,377,0,,0
2018,台東区,3152,19,257,66,2138,672,0,,0
2018,墨田区,2617,25,175,70,1817,530,0,,0
2018,江東区,3815,10,284,94,2525,902,1,2000.0,1
2018,品川区,2601,9,217,99,1559,717,0,,0
2018,目黒区,1871,9,125,79,1208,450,0,,0
2018,大田区,5334,23,357,253,3588,1113,0,,0
2018,世田谷区,6033,25,384,246,3879,1499,0,,0
2018,渋谷区,5432,30,466,108,3520,1308,0,,0
2018,中野区,2554,13,198,124,1582,637,0,,0
2018,杉並区,3542,17,166,152,2343,864,0,,0
2018,豊島区,4475,26,318,165,3095,871,0,,0
2018,北区,2797,15,237,113,1771,661,0,,0
2018,荒川区,1515,12,124,50,948,381,0,,0
2018,板橋区,4210,23,246,162,2798,981,1,2006.0,1
2018,練馬区,4535,24,213,190,3192,916,0,,0
2018,足立区,5230,26,420,227,3503,1054,0,,0
2018,葛飾区,3654,22,259,143,2408,822,0,,0
2018,江戸川区,5431,28,321,195,3693,1194,0,,0
2018,八王子市,3778,26,251,225,2311,965,0,,0
2018,立川市,1874,11,119,73,1316,355,0,,0
2018,武蔵野市,1623,6,67,70,1159,321,0,,0
2018,三鷹市,951,1,55,34,625,236,0,,0
2018,青梅市,790,7,46,33,519,185,0,,0
2018,府中市,1503,6,92,48,970,387,1,2011.0,1
2018,昭島市,944,7,68,73,610,186,0,,0
2018,調布市,1721,1,79,41,1195,405,0,,0
2018,町田市,2915,20,186,206,1757,746,1,2004.0,1
2018,小金井市,808,1,33,35,546,193,0,,0
2018,小平市,1062,4,42,44,740,232,0,,0
2018,日野市,1010,8,47,53,592,310,0,,0
2018,東村山市,797,1,44,41,515,196,0,,0
2018,国分寺市,712,2,31,21,478,180,0,,0
2018,国立市,531,4,28,17,376,106,0,,0
2018,福生市,462,3,30,45,266,118,0,,0
2018,狛江市,378,2,11,28,232,105,0,,0
2018,東大和市,678,2,29,18,493,136,0,,0
2018,清瀬市,515,3,20,36,339,117,0,,0
2018,東久留米市,776,4,29,26,552,165,0,,0
2018,武蔵村山市,538,2,31,16,384,105,1,2009.0,1
2018,多摩市,816,7,43,24,557,185,0,,0
2018,稲城市,444,1,15,15,286,127,0,,0
2018,羽村市,413,2,24,33,279,75,0,,0
2018,あきる野市,505,4,34,32,344,91,0,,0
2018,西東京市,1244,7,75,39,853,270,0,,0
2018,西多摩郡瑞穂町,319,1,7,23,226,62,0,,0
2018,西多摩郡日の出町,131,0,5,6,93,27,0,,0
2018,西多摩郡檜原村,1,0,0,0,0,1,0,,0
2018,西多摩郡奥多摩町,31,0,1,13,6,11,0,,0
2018,大島町,8,0,0,3,2,3,0,,0
2018,新島村,8,0,0,3,4,1,0,,0
2018,神津島村,2,0,0,0,2,0,0,,0
2018,三宅島三宅村,5,0,0,0,3,2,0,,0
2018,八丈島八丈町,10,0,2,0,4,4,0,,0
2018,小笠原村,4,0,1,0,1,2,0,,0
2018,小笠原村父島字東町,2,0,0,0,0,2,0,,0
2020,千代田区,1908,3,184,62,1120,539,0,,0
2020,中央区,1768,12,154,71,879,652,0,,0
2020,港区,2409,37,315,77,1326,654,0,,0
2020,新宿区,4738,55,537,155,2852,1139,0,,0
2020,文京区,912,16,70,23,524,279,0,,0
2020,台東区,2455,29,243,89,1551,543,0,,0
2020,墨田区,1896,20,148,47,1229,452,0,,0
2020,江東区,2803,31,242,59,1776,695,1,2000.0,1
2020,品川区,2049,20,182,45,1278,524,0,,0
2020,目黒区,1444,8,101,92,868,375,0,,0
2020,大田区,4084,24,283,158,2704,915,0,,0
2020,世田谷区,4231,30,310,181,2695,1015,0,,0
2020,渋谷区,3471,27,343,75,2139,887,0,,0
2020,中野区,2058,6,165,81,1319,487,0,,0
2020,杉並区,2573,14,130,94,1689,646,0,,0
2020,豊島区,3192,24,295,89,2065,719,0,,0
