occurrence_no,collection_no,accepted_name,genus,family,order,guild,resolution,taxon,lng,lat,eag,lag,mid_ma,early_interval,env,formation,member,collection_name,stp,abu,abv
occ:182587,17738,Michenia agatensis,Michenia,Camelidae,Artiodactyla,herbivore,genus,Michenia,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,,Agate (5-7 Miles NE),Nebraska,,
occ:182588,17738,Machaeromeryx tragulus,Machaeromeryx,Moschidae,Artiodactyla,herbivore,genus,Machaeromeryx,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,,Agate (5-7 Miles NE),Nebraska,,
occ:182589,17739,Merycochoerus magnus,Merycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Merycochoerus,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,,Agate (7 Miles NE),Nebraska,,
occ:182590,17740,Desmatippus tyleri,Desmatippus,Equidae,Perissodactyla,herbivore,genus,Desmatippus,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,Agate (8 Miles NE),Nebraska,,
occ:182591,17741,Menoceras arikarense,Menoceras,Rhinocerotidae,Perissodactyla,herbivore,genus,Menoceras,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,"""channel""",Marsland,Basal,Agate Springs Quarries,Nebraska,,
occ:182592,17741,Diceratherium,Diceratherium,Rhinocerotidae,Perissodactyla,herbivore,genus,Diceratherium,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,"""channel""",Marsland,Basal,Agate Springs Quarries,Nebraska,,
occ:182593,17741,Moropus elatus,Moropus,Chalicotheriidae,Perissodactyla,herbivore,genus,Moropus,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,"""channel""",Marsland,Basal,Agate Springs Quarries,Nebraska,,
occ:182594,17741,Equidae,,Equidae,Perissodactyla,herbivore,indeterminate,,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,"""channel""",Marsland,Basal,Agate Springs Quarries,Nebraska,,
occ:182595,17741,Kalobatippus agatensis,Kalobatippus,Equidae,Perissodactyla,herbivore,genus,Kalobatippus,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,"""channel""",Marsland,Basal,Agate Springs Quarries,Nebraska,,
occ:182596,17741,Dinohyus hollandi,Dinohyus,Entelodontidae,Artiodactyla,herbivore,genus,Dinohyus,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,"""channel""",Marsland,Basal,Agate Springs Quarries,Nebraska,,
occ:182597,17741,Paramerychyus harrisonensis,Paramerychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Paramerychyus,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,"""channel""",Marsland,Basal,Agate Springs Quarries,Nebraska,,
occ:182598,17741,Aletomeryx,Aletomeryx,Palaeomerycidae,Artiodactyla,herbivore,genus,Aletomeryx,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,"""channel""",Marsland,Basal,Agate Springs Quarries,Nebraska,,
occ:182599,17741,Ysengrinia americana,Ysengrinia,Amphicyonidae,Carnivora,predator,genus,Ysengrinia,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,"""channel""",Marsland,Basal,Agate Springs Quarries,Nebraska,,
occ:182600,17741,Cynelos,Cynelos,Amphicyonidae,Carnivora,predator,genus,Cynelos,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,"""channel""",Marsland,Basal,Agate Springs Quarries,Nebraska,,
occ:182601,17741,Cephalogale,Cephalogale,Ursidae,Carnivora,predator,genus,Cephalogale,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,"""channel""",Marsland,Basal,Agate Springs Quarries,Nebraska,,
occ:182602,22641,Phlaocyon annectens,Phlaocyon,Canidae,Carnivora,predator,genus,Phlaocyon,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,fluvial indet.,Marsland,,Beardog Hill,Nebraska,,
occ:182603,22641,Megalictis ferox,Megalictis,Mustelidae,Carnivora,predator,genus,Megalictis,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,fluvial indet.,Marsland,,Beardog Hill,Nebraska,,
occ:182604,22641,Daphoenodon superbus,Daphoenodon,Amphicyonidae,Carnivora,predator,genus,Daphoenodon,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,fluvial indet.,Marsland,,Beardog Hill,Nebraska,,
occ:182605,17741,Camelidae,,Camelidae,Artiodactyla,herbivore,indeterminate,,-103.866669,42.416668,23.1,18.5,20.8,Harrisonian,"""channel""",Marsland,Basal,Agate Springs Quarries,Nebraska,,
occ:182606,17742,Archaeolagus,Archaeolagus,Leporidae,Lagomorpha,herbivore,genus,Archaeolagus,-119.0,34.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Sespe,,Alamos Canyon,California,,
occ:182607,17742,Leidymys nematodon,Leidymys,Cricetidae,Rodentia,herbivore,genus,Leidymys,-119.0,34.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Sespe,,Alamos Canyon,California,,
occ:182608,17742,Hypertragulus hesperius,Hypertragulus,Hypertragulidae,Artiodactyla,herbivore,genus,Hypertragulus,-119.0,34.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Sespe,,Alamos Canyon,California,,
occ:182609,17743,Enhydrocyon crassidens,Enhydrocyon,Canidae,Carnivora,predator,genus,Enhydrocyon,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,Lower,American Horse Creek,South Dakota,,
occ:182610,17743,Paramerychyus harrisonensis,Paramerychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Paramerychyus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,Lower,American Horse Creek,South Dakota,,
occ:182611,17743,Promerycochoerus carrikeri,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Promerycochoerus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,Lower,American Horse Creek,South Dakota,,
occ:182612,17744,Temnocyon percussor,Temnocyon,Amphicyonidae,Carnivora,predator,genus,Temnocyon,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,Basal,American Museum-Cook Quarry,Nebraska,,
occ:182613,17744,Phlaocyon annectens,Phlaocyon,Canidae,Carnivora,predator,genus,Phlaocyon,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,Basal,American Museum-Cook Quarry,Nebraska,,
occ:182614,17744,Cynarctoides acridens,Cynarctoides,Canidae,Carnivora,predator,genus,Cynarctoides,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,Basal,American Museum-Cook Quarry,Nebraska,,
occ:182615,17744,Daphoenodon superbus,Daphoenodon,Amphicyonidae,Carnivora,predator,genus,Daphoenodon,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,Basal,American Museum-Cook Quarry,Nebraska,,
occ:182616,17744,Ysengrinia americana,Ysengrinia,Amphicyonidae,Carnivora,predator,genus,Ysengrinia,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,Basal,American Museum-Cook Quarry,Nebraska,,
occ:182617,17744,Cynelos,Cynelos,Amphicyonidae,Carnivora,predator,genus,Cynelos,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,Basal,American Museum-Cook Quarry,Nebraska,,
occ:182618,17744,Promartes lepidus,Promartes,Mustelidae,Carnivora,predator,genus,Promartes,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,Basal,American Museum-Cook Quarry,Nebraska,,
occ:182619,17744,Moropus elatus,Moropus,Chalicotheriidae,Perissodactyla,herbivore,genus,Moropus,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,Basal,American Museum-Cook Quarry,Nebraska,,
occ:182620,17744,Rhinocerotidae,,Rhinocerotidae,Perissodactyla,herbivore,indeterminate,,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,Basal,American Museum-Cook Quarry,Nebraska,,
occ:182621,17744,Equidae,,Equidae,Perissodactyla,herbivore,indeterminate,,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,Basal,American Museum-Cook Quarry,Nebraska,,
occ:182622,17744,Barbouromeryx trigonocorneus,Barbouromeryx,Dromomerycidae,Artiodactyla,herbivore,genus,Barbouromeryx,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,Basal,American Museum-Cook Quarry,Nebraska,,
occ:182623,17745,Phlaocyon minor,Phlaocyon,Canidae,Carnivora,predator,genus,Phlaocyon,-102.295303,43.1796,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Rosebud,,AMNH Rosebud 5,South Dakota,specimens,1.0
occ:182624,17745,Promartes lepidus,Promartes,Mustelidae,Carnivora,predator,genus,Promartes,-102.295303,43.1796,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Rosebud,,AMNH Rosebud 5,South Dakota,specimens,1.0
occ:182625,17745,Megalictis ferox,Megalictis,Mustelidae,Carnivora,predator,genus,Megalictis,-102.295303,43.1796,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Rosebud,,AMNH Rosebud 5,South Dakota,specimens,1.0
occ:182626,17745,Diceratherium,Diceratherium,Rhinocerotidae,Perissodactyla,herbivore,genus,Diceratherium,-102.295303,43.1796,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Rosebud,,AMNH Rosebud 5,South Dakota,,
occ:182627,17745,Merychyus minimus,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Merychyus,-102.295303,43.1796,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Rosebud,,AMNH Rosebud 5,South Dakota,specimens,9.0
occ:182628,17745,Michenia exilis,Michenia,Camelidae,Artiodactyla,herbivore,genus,Michenia,-102.295303,43.1796,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Rosebud,,AMNH Rosebud 5,South Dakota,specimens,1.0
occ:182629,17745,Oxydactylus lacota,Oxydactylus,Camelidae,Artiodactyla,herbivore,genus,Oxydactylus,-102.295303,43.1796,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Rosebud,,AMNH Rosebud 5,South Dakota,specimens,1.0
occ:182630,17745,Problastomeryx primus,Problastomeryx,Moschidae,Artiodactyla,herbivore,genus,Problastomeryx,-102.295303,43.1796,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Rosebud,,AMNH Rosebud 5,South Dakota,specimens,1.0
occ:182631,17746,Entoptychus,Entoptychus,Entoptychidae,Rodentia,herbivore,genus,Entoptychus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Rosebud,,AMNH Rosebud 6,South Dakota,,
occ:182632,17747,Gregorymys curtus,Gregorymys,Entoptychidae,Rodentia,herbivore,genus,Gregorymys,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,,,AMNH Rosebud 16,South Dakota,specimens,1.0
occ:182633,17747,Parahippus pawniensis,Parahippus,Equidae,Perissodactyla,herbivore,genus,Parahippus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,,,AMNH Rosebud 16,South Dakota,specimens,1.0
