country,iso3,scenario,mu_M1,mu0_M2,mu1_M2,TestB_M2_rmse_pp
Germany,DEU,post2000_high,0.01,0.05,-0.08,1.8174030057070925
Germany,DEU,post2000_low,0.01,0.05,-0.08,1.8569994812289083
Germany,DEU,cyclical,0.01,0.05,-0.08,1.8364215157768808
Greece,GRC,baseline,0.01,1.1500000000000001,-0.08,4.107978924596401
Greece,GRC,trend_up,0.01,1.1500000000000001,-0.08,4.097419641123998
Greece,GRC,trend_down,0.01,1.1500000000000001,-0.08,4.1188826794028754
Greece,GRC,post2000_high,0.01,1.1500000000000001,-0.08,4.089313969678771
Greece,GRC,post2000_low,0.01,1.1500000000000001,-0.08,4.128432043599874
Greece,GRC,cyclical,0.01,1.1500000000000001,-0.08,4.113609660667979
Hungary,HUN,baseline,0.01,0.05,-0.08,3.0189824989818335
Hungary,HUN,trend_up,0.01,0.05,-0.08,3.0175577623505654
Hungary,HUN,trend_down,0.01,0.05,-0.08,3.0204786089112985
Hungary,HUN,post2000_high,0.01,0.05,-0.08,3.026403540259455
Hungary,HUN,post2000_low,0.01,0.05,-0.08,3.013580215020354
Hungary,HUN,cyclical,0.01,0.05,-0.08,3.0288682143011627
Iceland,ISL,baseline,0.5091666666666667,1.1500000000000001,-0.020000000000000004,3.6581927058399284
Iceland,ISL,trend_up,0.5091666666666667,1.1500000000000001,-0.020000000000000004,3.6563684794133855
Iceland,ISL,trend_down,0.5091666666666667,1.1500000000000001,-0.020000000000000004,3.660068350894875
Iceland,ISL,post2000_high,0.5091666666666667,1.1500000000000001,-0.020000000000000004,3.6591479490870666
Iceland,ISL,post2000_low,0.5091666666666667,1.1500000000000001,-0.020000000000000004,3.6581049342025134
Iceland,ISL,cyclical,0.5091666666666667,1.1500000000000001,-0.020000000000000004,3.663285913254851
Ireland,IRL,baseline,6.0,5.0,0.12,3.356080015089609
Ireland,IRL,trend_up,6.0,5.0,0.12,3.3591861359677138
Ireland,IRL,trend_down,6.0,5.0,0.12,3.3530208220753517
Ireland,IRL,post2000_high,6.0,5.0,0.12,3.350070364125732
Ireland,IRL,post2000_low,6.0,5.0,0.12,3.363664050185464
Ireland,IRL,cyclical,6.0,5.0,0.12,3.3660348994911287
Israel,ISR,baseline,0.01,0.05,0.12,4.125456370586419
Israel,ISR,trend_up,0.01,0.05,0.12,4.120980514768567
Israel,ISR,trend_down,0.01,0.05,0.12,4.130183960237237
Israel,ISR,post2000_high,0.01,0.05,0.12,4.108888851112182
Israel,ISR,post2000_low,0.01,0.05,0.12,4.143495492797533
Israel,ISR,cyclical,0.01,0.05,0.12,4.13016872295452
Italy,ITA,baseline,0.01,0.05,-0.08,2.5482161519061504
Italy,ITA,trend_up,0.01,0.05,-0.08,2.537814818333753
Italy,ITA,trend_down,0.01,0.05,-0.08,2.5591123625267103
Italy,ITA,post2000_high,0.01,0.05,-0.08,2.5159437907315794
Italy,ITA,post2000_low,0.01,0.05,-0.08,2.5827568641127083
Italy,ITA,cyclical,0.01,0.05,-0.08,2.550480354539038
Japan,JPN,baseline,0.01,0.05,-0.08,2.3516214993368205
Japan,JPN,trend_up,0.01,0.05,-0.08,2.3414252541717415
Japan,JPN,trend_down,0.01,0.05,-0.08,2.3623125460431535
Japan,JPN,post2000_high,0.01,0.05,-0.08,2.3301537270268353
Japan,JPN,post2000_low,0.01,0.05,-0.08,2.3758808244425884
Japan,JPN,cyclical,0.01,0.05,-0.08,2.3569018562464747
Republic of Korea,KOR,baseline,1.0083333333333333,0.05,0.08,2.8210914698268703
Republic of Korea,KOR,trend_up,1.0083333333333333,0.05,0.08,2.817686586827654
Republic of Korea,KOR,trend_down,1.0083333333333333,0.05,0.06000000000000001,2.8246223324175994
Republic of Korea,KOR,post2000_high,1.0083333333333333,0.05,0.08,2.8083835130365333
Republic of Korea,KOR,post2000_low,1.0083333333333333,0.05,0.06000000000000001,2.8353630362290057
Republic of Korea,KOR,cyclical,1.0083333333333333,0.05,0.08,2.834248842446887
Latvia,LVA,baseline,6.0,5.0,0.12,9.505471636315788
Latvia,LVA,trend_up,6.0,5.0,0.12,9.51457926730936
Latvia,LVA,trend_down,6.0,5.0,0.12,9.49642513298632
Latvia,LVA,post2000_high,6.0,5.0,0.12,9.53021593405393
Latvia,LVA,post2000_low,6.0,5.0,0.12,9.481194398688684
Latvia,LVA,cyclical,6.0,5.0,0.12,9.490832625438324
Lithuania,LTU,baseline,6.0,5.0,0.12,7.161529585569297
Lithuania,LTU,trend_up,6.0,5.0,0.12,7.1720263645486835
Lithuania,LTU,trend_down,6.0,5.0,0.12,7.151113160589693
Lithuania,LTU,post2000_high,6.0,5.0,0.12,7.1962055161975815
Lithuania,LTU,post2000_low,6.0,5.0,0.12,7.127761113873563
Lithuania,LTU,cyclical,6.0,5.0,0.12,7.143582555898227
Luxembourg,LUX,baseline,3.254583333333333,3.35,0.0,3.177693839174083
Luxembourg,LUX,trend_up,3.504166666666667,3.35,0.0,3.1769324358789097
Luxembourg,LUX,trend_down,3.254583333333333,3.35,0.0,3.178625819793875
Luxembourg,LUX,post2000_high,3.504166666666667,3.35,0.020000000000000004,3.1675177574266513
Luxembourg,LUX,post2000_low,3.254583333333333,3.35,0.0,3.189958126811168
Luxembourg,LUX,cyclical,3.254583333333333,3.35,0.020000000000000004,3.186848916451658
Mexico,MEX,baseline,0.01,0.05,0.039999999999999994,3.4437040482949537
Mexico,MEX,trend_up,0.01,0.05,0.039999999999999994,3.438289633615283
Mexico,MEX,trend_down,0.01,0.05,-0.08,3.44878638011089
Mexico,MEX,post2000_high,0.01,0.05,0.039999999999999994,3.4283851235647407
Mexico,MEX,post2000_low,0.01,0.05,-0.08,3.461192504796757
Mexico,MEX,cyclical,0.01,0.05,0.039999999999999994,3.439488859871483
Netherlands,NLD,baseline,0.01,0.05,0.039999999999999994,2.2547773212758457
Netherlands,NLD,trend_up,0.01,0.05,0.039999999999999994,2.2498042353865393
Netherlands,NLD,trend_down,0.01,0.6000000000000001,-0.08,2.260037225322251
Netherlands,NLD,post2000_high,0.01,0.05,0.06000000000000001,2.238385136834041
Netherlands,NLD,post2000_low,0.01,0.6000000000000001,-0.08,2.2725761278323495
Netherlands,NLD,cyclical,0.01,0.05,0.039999999999999994,2.259181534754821
New Zealand,NZL,baseline,6.0,5.0,0.12,3.1979330376127213
New Zealand,NZL,trend_up,6.0,5.0,0.12,3.2001223482173144
New Zealand,NZL,trend_down,6.0,5.0,0.12,3.195714624478713
New Zealand,NZL,post2000_high,6.0,5.0,0.12,3.207333875946154
New Zealand,NZL,post2000_low,6.0,5.0,0.12,3.189578893603456
New Zealand,NZL,cyclical,6.0,5.0,0.12,3.2004417433690557
Norway,NOR,baseline,0.5091666666666667,0.05,0.08,1.667099716022432
Norway,NOR,trend_up,0.5091666666666667,0.05,0.08,1.6642068350710735
Norway,NOR,trend_down,0.5091666666666667,0.05,0.08,1.6705518623990416
Norway,NOR,post2000_high,0.5091666666666667,0.05,0.08,1.6406850968919025
Norway,NOR,post2000_low,0.5091666666666667,0.05,0.08,1.6972836298544676
Norway,NOR,cyclical,0.5091666666666667,0.05,0.08,1.6737682033780958
Poland,POL,baseline,0.01,0.05,-0.08,4.015496400863224
Poland,POL,trend_up,0.01,0.05,-0.08,4.022100788997409
Poland,POL,trend_down,0.01,0.05,-0.08,4.008695562992302
Poland,POL,post2000_high,0.01,0.05,-0.08,4.036602846261847
Poland,POL,post2000_low,0.01,0.05,-0.08,3.995401215038044
Poland,POL,cyclical,0.01,0.05,-0.08,4.019950275384011
Portugal,PRT,baseline,0.01,0.05,-0.08,3.351104447340754
Portugal,PRT,trend_up,0.01,0.05,-0.08,3.3459165586139967
Portugal,PRT,trend_down,0.01,0.05,-0.08,3.356495457593632
Portugal,PRT,post2000_high,0.01,0.05,-0.08,3.337770322079217
Portugal,PRT,post2000_low,0.01,0.05,-0.08,3.36541268108995
Portugal,PRT,cyclical,0.01,0.05,-0.08,3.353730330334803
Slovakia,SVK,baseline,5.001666666666667,5.0,0.039999999999999994,3.8010542003242795
Slovakia,SVK,trend_up,5.001666666666667,5.0,0.039999999999999994,3.8032288612152647
Slovakia,SVK,trend_down,5.001666666666667,5.0,0.020000000000000004,3.799285480770421
Slovakia,SVK,post2000_high,5.25125,5.0,0.039999999999999994,3.8200800148183682
Slovakia,SVK,post2000_low,4.752083333333333,4.45,0.039999999999999994,3.785669349676133
Slovakia,SVK,cyclical,4.752083333333333,4.45,0.020000000000000004,3.806517745916291
Slovenia,SVN,baseline,0.75875,1.1500000000000001,-0.08,3.065383064497363
Slovenia,SVN,trend_up,0.75875,1.1500000000000001,-0.08,3.061846713495768
Slovenia,SVN,trend_down,0.75875,1.1500000000000001,-0.08,3.0691715799722594
Slovenia,SVN,post2000_high,0.75875,1.1500000000000001,-0.08,3.0562050794006916
Slovenia,SVN,post2000_low,0.5091666666666667,1.1500000000000001,-0.08,3.0764311368164714
Slovenia,SVN,cyclical,0.75875,1.1500000000000001,-0.08,3.0579438758107385
Spain,ESP,baseline,0.01,0.05,-0.08,3.4691206651739646
Spain,ESP,trend_up,0.01,0.05,-0.08,3.4630812952162353
Spain,ESP,trend_down,0.01,0.05,-0.08,3.475447562317805
Spain,ESP,post2000_high,0.01,0.05,-0.08,3.4506522716192056
Spain,ESP,post2000_low,0.01,0.05,-0.08,3.4888099951173137
Spain,ESP,cyclical,0.01,0.05,-0.08,3.4688618112977876
Sweden,SWE,baseline,1.5075,0.05,0.12,1.5949707039340881
Sweden,SWE,trend_up,1.5075,0.05,0.12,1.592868126540143
Sweden,SWE,trend_down,1.2579166666666668,0.05,0.12,1.5973615295301866
Sweden,SWE,post2000_high,1.5075,0.05,0.12,1.5951013398190046
Sweden,SWE,post2000_low,1.2579166666666668,0.05,0.12,1.5987247263777684
Sweden,SWE,cyclical,1.2579166666666668,0.05,0.12,1.6073092714154118
Switzerland,CHE,baseline,0.01,0.05,0.12,1.8729322608961103
Switzerland,CHE,trend_up,0.01,0.05,0.12,1.8712068588335862
Switzerland,CHE,trend_down,0.01,0.05,0.12,1.8748090526968963
Switzerland,CHE,post2000_high,0.01,0.05,0.12,1.8751150149997668
Switzerland,CHE,post2000_low,0.01,0.05,0.12,1.873310274243612
Switzerland,CHE,cyclical,0.01,0.05,0.12,1.881686921145671
Turkey,TUR,baseline,0.01,0.05,0.12,5.406117913322454
Turkey,TUR,trend_up,0.01,0.05,0.12,5.406886052591515
Turkey,TUR,trend_down,0.01,0.05,0.12,5.4053953566121065
Turkey,TUR,post2000_high,0.01,0.05,0.12,5.417155203765369
Turkey,TUR,post2000_low,0.01,0.05,0.12,5.397350375135664
Turkey,TUR,cyclical,0.01,0.05,0.12,5.412710138612184
United Kingdom,GBR,baseline,2.006666666666667,0.05,0.12,1.6259944774471302
United Kingdom,GBR,trend_up,2.25625,0.05,0.12,1.624602071972126
United Kingdom,GBR,trend_down,1.7570833333333336,0.05,0.12,1.6276640488597838
United Kingdom,GBR,post2000_high,2.25625,0.05,0.12,1.6148224672229323
United Kingdom,GBR,post2000_low,1.7570833333333336,0.05,0.12,1.6405989776349748
United Kingdom,GBR,cyclical,2.006666666666667,0.05,0.12,1.6378011940655448
United States,USA,baseline,0.01,0.05,0.08,1.2178511719580316
United States,USA,trend_up,0.01,0.05,0.08,1.215069593301077
United States,USA,trend_down,0.01,0.05,0.06000000000000001,1.2208869040324768
United States,USA,post2000_high,0.01,0.05,0.08,1.2116612544112697
United States,USA,post2000_low,0.01,0.05,0.06000000000000001,1.2275713219357343
United States,USA,cyclical,0.01,0.05,0.08,1.2241615025907804
