country,year,pim_produced_plus_intan,cwon_pca
Czech Republic,2000,1434949.4879639545,530847551480.063
Czech Republic,2001,1438992.6562643584,535723022766.535
Czech Republic,2002,1443055.6031030011,540446814431.344
Czech Republic,2003,1446954.3335816478,545278556970.852
Czech Republic,2004,1452011.2365544878,550644290970.134
Czech Republic,2005,1461241.9149441395,557240296949.995
Czech Republic,2006,1474368.0557078894,564868652828.866
Czech Republic,2007,1494334.4434440793,576774280916.63
Czech Republic,2008,1521877.919651255,588490725362.375
Czech Republic,2009,1553328.4404595483,594642390601.036
Czech Republic,2010,1574013.8227666058,599578812058.426
Czech Republic,2011,1590139.227914638,604078637734.382
Czech Republic,2012,1606325.9419517727,606929814419.181
Czech Republic,2013,1622237.7358198985,608614267551.466
Czech Republic,2014,1634824.1154299446,611310589137.706
Czech Republic,2015,1647854.5725117906,617040335846.901
Czech Republic,2016,1666156.8336700643,620525044622.324
Czech Republic,2017,1682514.3181814323,625623517929.492
Czech Republic,2018,1701922.9390593257,634166862080.462
Czech Republic,2019,1725134.28573181,642851327748.666
Denmark,1995,876230.3807504929,835323751970.119
Denmark,1996,894803.013051546,855227356728.247
Denmark,1997,913775.099169728,878347706123.859
Denmark,1998,934574.023041601,902929719032.515
Denmark,1999,955505.3614212448,924417796629.564
Denmark,2000,974140.5788834584,949002328134.338
Denmark,2001,993067.3096503709,971494535975.766
Denmark,2002,1011700.9988162039,990571932803.991
Denmark,2003,1029128.1530850269,1009080078917.2
Denmark,2004,1045800.2094183271,1029286792990.14
Denmark,2005,1064748.1680851672,1052932591407.44
Denmark,2006,1085635.5898499864,1085161095899.2
Denmark,2007,1110673.9377170105,1116121415547.78
Denmark,2008,1137738.6145366705,1143843980689.18
Denmark,2009,1164570.4090245063,1158904807350.69
Denmark,2010,1184246.057302468,1168245032210.57
Denmark,2011,1199241.1938705007,1177559978561.31
Denmark,2012,1212832.2023355984,1189093067803.93
Denmark,2013,1227447.23937263,1201987686041.31
Denmark,2014,1242349.3574898725,1216575484861.87
Denmark,2015,1258234.163033811,1235397058683.71
Denmark,2016,1275882.7942391848,1259712169641.83
Denmark,2017,1296931.1541296723,1285192977813.22
Denmark,2018,1321119.6585377357,1312387267972.17
Denmark,2019,1348720.8467542175,1339809619334.11
Estonia,1995,96233.1537222751,31130642039.8873
Estonia,1996,95443.18618711764,31121945067.296
Estonia,1997,95103.43387805186,31510673676.6928
Estonia,1998,95907.41503328104,32279269647.3265
Estonia,1999,97236.38935250489,32820316712.2977
Estonia,2000,97704.04169858182,33615905319.7012
Estonia,2001,98865.85805021948,34456866752.1884
Estonia,2002,100506.91668739048,35781284209.6386
Estonia,2003,102893.70211568371,37506701785.6587
Estonia,2004,106694.95749183485,39262790510.3722
Estonia,2005,111309.28772548365,41468562307.6577
Estonia,2006,116569.74799726711,44491263229.4804
Estonia,2007,125064.90399717567,47842713313.5272
Estonia,2008,134379.54860115354,50293868610.4174
Estonia,2009,140461.46302274126,50798832273.5086
Estonia,2010,141181.19209751853,51230128958.6438
Estonia,2011,142374.63313205424,52731090721.9062
Estonia,2012,145692.19728300255,54670699580.4154
Estonia,2013,150538.11409529508,56604502454.3898
Estonia,2014,154214.73126113391,58329762202.9734
Estonia,2015,158067.4493285136,59921057940.3928
Estonia,2016,160681.1448971635,61673949302.0099
Estonia,2017,163524.72583550852,63768206103.3616
Estonia,2018,168256.2283469644,66044661034.9147
Estonia,2019,173261.77912642996,68813320739.4069
Finland,1995,821326.8547370614,682672129264.404
Finland,1996,832872.2722222168,695785767038.98
Finland,1997,844600.7209264851,713139976276.738
Finland,1998,858224.8747526488,734850879482.869
Finland,1999,873534.5089966956,757555786152.348
Finland,2000,887204.9115887439,782628322680.044
Finland,2001,904159.9792340285,807435314413.516
Finland,2002,919430.9807181786,829093686997.031
Finland,2003,931295.900228741,851609008865.589
Finland,2004,945244.7525541538,876295537670.943
Finland,2005,964112.0875278554,902305139475.676
Finland,2006,989364.6168638208,928364994635.224
Finland,2007,1012249.8016303875,960852232108.404
Finland,2008,1038375.2720996441,992646755402.943
Finland,2009,1066225.683956358,1013851723240.19
Finland,2010,1082230.694606009,1037320307540.78
