country,iso3,year,tfp_M0,tfp_M2,tfp_Mobs,alpha
Belgium,BEL,1980,1.240395542000308,1.2505006853115468,1.265813090307378,0.36879603437014985
Belgium,BEL,1981,1.2385215883996779,1.2504803845920405,1.2651508129883453,0.36879603437014985
Belgium,BEL,1982,1.243757944267191,1.2539537148485254,1.2677346622588201,0.36879603437014985
Belgium,BEL,1983,1.2398851834872868,1.2481901737172594,1.2609862416870081,0.36879603437014985
Belgium,BEL,1984,1.2450713026413052,1.2507021439140216,1.2624501023946229,0.36879603437014985
Belgium,BEL,1985,1.2435038039638577,1.2490318937657827,1.259940825689819,0.36879603437014985
Belgium,BEL,1986,1.2526980237459302,1.2580067997419935,1.2682009499965199,0.36879603437014985
Belgium,BEL,1987,1.2641482462644094,1.2695033636906636,1.2790825473286604,0.36879603437014985
Belgium,BEL,1988,1.289337524242499,1.2955927750440432,1.3046584577574514,0.36879603437014985
Belgium,BEL,1989,1.3030561820283486,1.3118236147317681,1.3204743794077398,0.36879603437014985
Belgium,BEL,1990,1.3044612487668,1.3159246012855146,1.3241870210267654,0.36879603437014985
Belgium,BEL,1991,1.3154899063022825,1.3291430887967781,1.3369910335761803,0.36879603437014985
Belgium,BEL,1992,1.3231053102273993,1.3371560041249246,1.3445430570248478,0.36879603437014985
Belgium,BEL,1993,1.3182772885479492,1.3322958029727392,1.3392046663439503,0.36879603437014985
Belgium,BEL,1994,1.3365578814568924,1.3500082894389918,1.3564478328289526,0.36879603437014985
Belgium,BEL,1995,1.324654041389671,1.3376077834797764,1.3436008500458758,0.36879603437014985
Belgium,BEL,1996,1.3334238283134852,1.3460912467493618,1.3516560409025278,0.36879603437014985
Belgium,BEL,1997,1.349428974675269,1.3614953473612008,1.3666747365442617,0.36879603437014985
Belgium,BEL,1998,1.342109252598143,1.3536426219895992,1.3584713246524336,0.36879603437014985
Belgium,BEL,1999,1.3582136287268272,1.3687531693759771,1.3732790606803462,0.36879603437014985
Belgium,BEL,2000,1.3654740210304661,1.3757918960876054,1.3800234352766,0.36879603437014985
Belgium,BEL,2001,1.3590910472131723,1.369697859157407,1.3736125172964595,0.36879603437014985
Belgium,BEL,2002,1.359082465541765,1.3693354970798142,1.3729674741770488,0.36879603437014985
Belgium,BEL,2003,1.3593085002382503,1.3679321981287957,1.3713807910967954,0.36879603437014985
Belgium,BEL,2004,1.3824491984289669,1.3905676430157037,1.3938419707076264,0.36879603437014985
Belgium,BEL,2005,1.3879182578742455,1.3979330699273778,1.4008649827872972,0.36879603437014985
Belgium,BEL,2006,1.389862941254627,1.4023403575448103,1.404783747960816,0.36879603437014985
Belgium,BEL,2007,1.4036347962007154,1.4184199411740641,1.4202674748016548,0.36879603437014985
Belgium,BEL,2008,1.3891719097102522,1.4066096224468483,1.4077681752312374,0.36879603437014985
Belgium,BEL,2009,1.3644092817670233,1.3845684517973504,1.385036236634038,0.36879603437014985
Belgium,BEL,2010,1.378280361487647,1.397113027154477,1.3971362753467744,0.36879603437014985
Belgium,BEL,2011,1.3718203953921027,1.391024186208111,1.390649611161603,0.36879603437014985
Belgium,BEL,2012,1.365206885976348,1.385764265596901,1.3849659833290104,0.36879603437014985
Belgium,BEL,2013,1.3593697116216026,1.3807361688651625,1.3795161823747213,0.36879603437014985
Belgium,BEL,2014,1.3631590693006705,1.383611235038753,1.3821278695781514,0.36879603437014985
Belgium,BEL,2015,1.3699247942948594,1.3900541411847263,1.3883684557539304,0.36879603437014985
Belgium,BEL,2016,1.3641698299504545,1.3842807569120623,1.3823715551826528,0.36879603437014985
Belgium,BEL,2017,1.3566443764588332,1.3769499260683755,1.3748240126469806,0.36879603437014985
Belgium,BEL,2018,1.3525006042451047,1.3731867495432546,1.370821161156945,0.36879603437014985
Belgium,BEL,2019,1.3462917882789265,1.3679850743522897,1.3652963544206846,0.36879603437014985
Canada,CAN,1950,0.9259047434003955,0.9259047434003955,0.9259047434003955,0.292327287367412
Canada,CAN,1951,0.9387704155624164,0.9411644585478509,0.9524795752365307,0.292327287367412
Canada,CAN,1952,1.0001272199403637,1.0032462674044105,1.0227793251969395,0.292327287367412
Canada,CAN,1953,1.0282165782565365,1.031498036849472,1.0557616645702925,0.292327287367412
Canada,CAN,1954,1.0064316528664143,1.0103830773279032,1.0378326647100717,0.292327287367412
Canada,CAN,1955,1.0794112109234364,1.082445261137825,1.110201867691118,0.292327287367412
Canada,CAN,1956,1.1266952660161857,1.1306242211831856,1.1587208256573271,0.292327287367412
Canada,CAN,1957,1.1287289442662205,1.135037289781164,1.164199591363361,0.292327287367412
Canada,CAN,1958,1.1529039676091877,1.1596170131432686,1.188799645861213,0.292327287367412
Canada,CAN,1959,1.1664732102478306,1.1724355845319137,1.2005430337325906,0.292327287367412
