ind,n_rows,M0,M1,M2,M3,M4,M5,M6,HG,EG
YL151_YL87,2345,0.0,0.0,-0.008421955149008342,-0.008421955149008342,,0.0,,-0.008421955149008342,0.0
YL152_YL63,2501,0.0,0.0,0.03832172108969145,0.03832172108969145,0.004061246614387448,0.0,0.004061246614387337,0.03832172108969145,0.0
YL153,2310,0.0,0.0,0.003708470472043701,0.003708470472043701,-0.024726241799899906,0.0,-0.024726241799899906,0.003708470472043701,0.0
YL154,3551,0.0,0.0,0.046742516113967736,0.046742516113967736,0.1908320158050133,0.0,0.1908320158050133,0.046742516113967736,0.0
YL155_OR16,2208,0.0,0.0,0.061980898243439775,0.06198089824343944,0.07893183742088505,0.0,0.07893183742088483,0.06198089824343944,-3.3306690738754696e-16
YL156,1300,0.0,0.0,-0.00036291862122905805,-0.00036291862122905805,-0.09180417821626641,0.0,-0.09180417821626641,-0.00036291862122905805,0.0
YL158_OR21,1650,0.0,0.0,0.05894512653923556,0.05894512653923578,-0.34057458103123883,0.0,-0.34057458103123817,0.05894512653923578,2.220446049250313e-16
YL160_OR12,1196,0.0,0.0,-0.030524253639493626,-0.030524253639493404,,0.0,,-0.030524253639493404,2.220446049250313e-16
YL161,2891,0.0,0.0,0.011562541189484632,0.011562541189484632,-0.012602278370156927,0.0,-0.012602278370156927,0.011562541189484632,0.0
YL162_BC13,1300,0.0,0.0,-0.006065092357965041,-0.006065092357965041,-0.26770317565897006,0.0,-0.26770317565896984,-0.006065092357965041,0.0
YL163,2544,0.0,0.0,0.017275837623175194,0.017275837623175194,0.018257527337056323,0.0,0.018257527337056323,0.017275837623175194,0.0
YL164_BL255,2842,0.0,0.0,0.05151627371477374,0.05151627371477385,0.0622408199959289,0.0,0.0622408199959289,0.05151627371477385,1.1102230246251565e-16
YL166,4056,2.220446049250313e-16,2.220446049250313e-16,0.07673700705324127,0.07673700705324127,0.14521372461981108,0.0,0.14521372461981108,0.07673700705324105,0.0
YL167_OR10,3168,0.0,0.0,0.02486693645947513,0.02486693645947513,0.023946209188283274,0.0,0.023946209188283274,0.02486693645947513,0.0
YL168,2880,0.0,2.220446049250313e-16,0.1595708177144145,0.15957081771441461,0.09109721084504185,2.220446049250313e-16,0.09109721084504152,0.1595708177144144,1.1102230246251565e-16
YL169,2193,0.0,0.0,0.014228116586096906,0.014228116586096906,-0.001538526696585718,-2.220446049250313e-16,-0.00153852669658594,0.014228116586096906,0.0
YL170,4080,0.0,0.0,0.03503524510258438,0.035035245102584156,0.06501500853537168,0.0,0.06501500853537157,0.035035245102584156,-2.220446049250313e-16
YL173,3354,0.0,0.0,0.024123991213988893,0.024123991213989004,0.07822316209109725,0.0,0.07822316209109725,0.024123991213989004,1.1102230246251565e-16
YL174,1748,0.0,0.0,0.012648156517052533,0.012648156517052533,0.05954467727548041,0.0,0.05954467727548052,0.012648156517052533,0.0
YL176,3627,0.0,0.0,0.10205156487675238,0.10205156487675249,0.23645275118038034,0.0,0.23645275118038034,0.10205156487675249,1.1102230246251565e-16
YL179,1960,0.0,0.0,0.0065879823113772495,0.006587982311377472,0.0795522889281608,0.0,0.0795522889281608,0.006587982311377472,2.220446049250313e-16
YL183,1224,0.0,0.0,0.026722321383988223,0.026722321383988112,0.07089186930536095,0.0,0.07089186930536107,0.026722321383988112,-1.1102230246251565e-16
YL185,1092,0.0,0.0,0.03678738264415593,0.03678738264415571,-0.030754023352191684,0.0,-0.030754023352191906,0.03678738264415571,-2.220446049250313e-16
YL186,1260,0.0,0.0,-0.007591561037151751,-0.007591561037151973,-0.02765093316195877,0.0,-0.02765093316195877,-0.007591561037151973,-2.220446049250313e-16
YL47,1534,0.0,0.0,0.04124820831592513,0.04124820831592513,0.18873888705778208,0.0,0.18873888705778208,0.04124820831592513,0.0
