ind,horizon,oos
YL153,5,-0.0046957486988576935
YL153,12,0.004336356082260906
YL154,1,0.046742516113967736
YL154,2,-0.0014535843971936746
YL154,3,-9.312239836090086e-05
YL154,5,0.0414873852150508
YL154,12,0.19960201343903083
YL155_OR16,1,0.06198089824343944
YL155_OR16,2,-0.0025462251394425817
YL155_OR16,3,-0.012387413663087044
YL155_OR16,5,0.023134505733061195
YL155_OR16,12,0.06667709888547058
YL156,1,-0.00036291862122905805
YL156,2,0.0010826946600306364
YL156,3,0.0009929709100828799
YL156,5,-0.001755848934889448
YL156,12,-0.056606719706002506
YL158_OR21,1,0.05894512653923578
YL158_OR21,2,0.0008467930259494771
YL158_OR21,3,-0.018336479666977157
YL158_OR21,5,0.056574908670044555
YL158_OR21,12,-0.05605887249406316
YL160_OR12,1,-0.030524253639493404
YL160_OR12,2,-0.04277412180814277
YL160_OR12,3,-2.3211971458270142e-05
YL160_OR12,5,-0.010458571785754822
YL160_OR12,12,
YL161,1,0.011562541189484632
YL161,2,-0.005628459891482418
YL161,3,-0.0011855837463521368
YL161,5,-0.0016913875067188222
YL161,12,-0.005263370939577738
YL162_BC13,1,-0.006065092357965041
YL162_BC13,2,0.00530762850508093
YL162_BC13,3,0.010786473118692408
YL162_BC13,5,0.001938478460466575
YL162_BC13,12,-0.1598714819254312
YL163,1,0.017275837623175194
YL163,2,-0.00739413008236256
YL163,3,-0.007563533374077114
YL163,5,-0.004354996998179983
YL163,12,0.030359300083650176
YL164_BL255,1,0.05151627371477385
YL164_BL255,2,-0.006535710195609834
YL164_BL255,3,-0.0015094529647519117
YL164_BL255,5,0.003163945181793193
YL164_BL255,12,0.07540385517147796
YL166,1,0.07673700705324127
YL166,2,0.006737955010110763
YL166,3,-0.014261297771033687
YL166,5,0.05751567998749241
YL166,12,0.13932472728086787
YL167_OR10,1,0.02486693645947513
YL167_OR10,2,-0.026264704760907698
YL167_OR10,3,-0.01668908325791585
YL167_OR10,5,-0.005412196669411173
YL167_OR10,12,0.047805530271072816
YL168,1,0.15957081771441461
YL168,2,0.008971122182950597
YL168,3,0.006874903600014082
YL168,5,0.0559001259827544
YL168,12,0.11550028117402966
YL169,1,0.014228116586096906
YL169,2,-0.019469359199251413
YL169,3,-0.01751638006619971
YL169,5,-0.0015658127115272258
YL169,12,0.016565575405011024
YL170,1,0.035035245102584156
YL170,2,0.006492463915571678
YL170,3,-0.005741319932451194
YL170,5,0.022015767586971435
YL170,12,0.07679262685329569
YL173,1,0.024123991213989004
YL173,2,-0.013969386239630843
YL173,3,-0.022217130097257787
YL173,5,0.0013996940830472981
YL173,12,0.07693901010647852
YL174,1,0.012648156517052533
YL174,2,-0.005745296737939443
YL174,3,0.0017039070515433297
YL174,5,0.00020632904978912237
YL174,12,0.06020628830510988
YL176,1,0.10205156487675249
YL176,2,-0.003883562586701972
YL176,3,0.0013122296078651452
YL176,5,0.06159266917244055
YL176,12,0.22005024000344486
YL179,1,0.006587982311377472
YL179,2,-0.019646130808676388
YL179,3,-0.010541963123952947
YL179,5,0.00042128483068626377
YL179,12,0.07708790351322403
YL183,1,0.026722321383988112
YL183,2,-0.01737467798047243
YL183,3,-0.031248555119192778
YL183,5,0.005548509644640598
YL183,12,0.056224235280251555
YL185,1,0.03678738264415571
YL185,2,-0.01413949603037401
YL185,3,-0.039427971504257586
YL185,5,0.01245721154086643
YL185,12,0.019167478534961147
YL186,1,-0.007591561037151973
YL186,2,-0.011138107732466596
YL186,3,-0.02607200347656846
YL186,5,-0.016082555329165027
YL186,12,0.01056385531764703
YL47,1,0.04124820831592513
YL47,2,-0.001068548092066246
YL47,3,0.0080021464580593
YL47,5,0.006791531339439882
YL47,12,0.11283775901137605
