ind,cell,ym,u_t,u_tm12
OR55_OR15,2890,24226,0.014925373134328358,0.0
OR55_OR15,2890,24232,0.0,0.0
OR55_OR15,2988,24226,0.0,0.0
OR55_OR15,2988,24232,0.0,0.0
OR55_OR15,2989,24226,0.0,0.029850746268656716
OR55_OR15,2989,24232,0.0,0.0
OR55_OR15,2990,24226,0.029850746268656716,0.07462686567164178
OR55_OR15,2990,24232,0.015384615384615385,0.0
OR55_OR15,2991,24226,0.11940298507462686,0.16417910447761194
OR55_OR15,2991,24232,0.06153846153846154,0.10606060606060606
OR55_OR15,2992,24226,0.1044776119402985,0.029850746268656716
OR55_OR15,2992,24232,0.16923076923076924,0.2878787878787879
OR55_OR15,2993,24226,0.014925373134328358,0.0
OR55_OR15,2993,24232,0.06153846153846154,0.07575757575757576
OR55_OR15,2994,24226,0.0,0.0
OR55_OR15,2994,24232,0.06153846153846154,0.0
OR55_OR15,2995,24226,0.029850746268656716,0.0
OR55_OR15,2995,24232,0.015384615384615385,0.0
OR55_OR15,3090,24226,0.0,0.0
OR55_OR15,3090,24232,0.0,0.0
OR55_OR15,3091,24226,0.0,0.029850746268656716
OR55_OR15,3091,24232,0.0,0.0
OR55_OR15,3092,24226,0.0,0.029850746268656716
OR55_OR15,3092,24232,0.0,0.0
OR55_OR15,3093,24226,0.0,0.014925373134328358
OR55_OR15,3093,24232,0.0,0.0
OR55_OR15,3094,24226,0.0,0.029850746268656716
OR55_OR15,3094,24232,0.0,0.0
OR55_OR15,3099,24226,0.0,0.0
OR55_OR15,3099,24232,0.0,0.0
OR55_OR15,3193,24226,0.0,0.014925373134328358
OR55_OR15,3193,24232,0.0,0.0
OR55_OR15,3194,24226,0.0,0.0
OR55_OR15,3194,24232,0.0,0.0
OR55_OR15,3205,24226,0.0,0.0
OR55_OR15,3205,24232,0.0,0.0
OR55_OR15,3290,24226,0.0,0.0
OR55_OR15,3290,24232,0.0,0.0
OR55_OR15,3291,24226,0.0,0.0
OR55_OR15,3291,24232,0.0,0.0
OR55_OR15,3292,24226,0.0,0.0
OR55_OR15,3292,24232,0.0,0.0
OR55_OR15,3293,24226,0.0,0.0
OR55_OR15,3293,24232,0.0,0.0
OR55_OR15,3294,24226,0.0,0.0
OR55_OR15,3294,24232,0.0,0.0
OR55_OR15,3295,24226,0.0,0.0
OR55_OR15,3295,24232,0.0,0.0
OR55_OR15,3296,24226,0.0,0.0
OR55_OR15,3296,24232,0.0,0.0
OR55_OR15,3297,24226,0.0,0.0
OR55_OR15,3297,24232,0.0,0.0
OR55_OR15,3298,24226,0.0,0.0
OR55_OR15,3298,24232,0.0,0.0
OR55_OR15,3393,24226,0.0,0.0
OR55_OR15,3393,24232,0.0,0.0
OR55_OR15,3394,24226,0.0,0.0
OR55_OR15,3394,24232,0.0,0.0
OR55_OR15,3475,24226,0.0,0.0
OR55_OR15,3475,24232,0.0,0.0
OR55_OR15,3498,24226,0.0,0.0
OR55_OR15,3498,24232,0.0,0.0
OR55_OR15,3580,24226,0.0,0.0
OR55_OR15,3580,24232,0.0,0.0
OR55_OR15,3581,24226,0.0,0.0
OR55_OR15,3581,24232,0.0,0.0
OR55_OR15,3582,24226,0.0,0.0
OR55_OR15,3582,24232,0.0,0.0
OR55_OR15,3583,24226,0.0,0.0
OR55_OR15,3583,24232,0.0,0.0
OR55_OR15,3584,24226,0.0,0.0
OR55_OR15,3584,24232,0.0,0.0
OR55_OR15,3602,24226,0.0,0.0
OR55_OR15,3602,24232,0.0,0.0
OR55_OR15,3686,24226,0.0,0.0
OR55_OR15,3686,24232,0.0,0.0
OR55_OR15,3687,24226,0.0,0.0
OR55_OR15,3687,24232,0.0,0.0
OR55_OR15,3688,24226,0.0,0.0
OR55_OR15,3688,24232,0.0,0.0
OR55_OR15,3689,24226,0.0,0.0
OR55_OR15,3689,24232,0.0,0.0
OR55_OR15,3690,24226,0.0,0.0
OR55_OR15,3690,24232,0.0,0.0
OR55_OR15,3707,24226,0.0,0.0
OR55_OR15,3707,24232,0.0,0.0
OR55_OR15,3791,24226,0.0,0.0
OR55_OR15,3791,24232,0.0,0.0
OR55_OR15,3792,24226,0.0,0.1044776119402985
OR55_OR15,3792,24232,0.0,0.0
OR55_OR15,3793,24226,0.0,0.0
OR55_OR15,3793,24232,0.0,0.0
OR55_OR15,3794,24226,0.0,0.014925373134328358
OR55_OR15,3794,24232,0.0,0.0
OR55_OR15,3802,24226,0.0,0.0
OR55_OR15,3802,24232,0.0,0.0
OR55_OR15,3803,24226,0.0,0.0
OR55_OR15,3803,24232,0.0,0.0
