system,species,shift_year,anomaly_sd,D_shift,D_post3
foss,northern_rock_sole,2005,1.4687846949225298,0.5213845565064893,0.4617410818085804
foss,northern_rock_sole,2008,-1.5807694399386316,0.45423421489568305,0.4414881624241505
foss,northern_rock_sole,2015,1.6057293777529655,0.4404357312492239,0.5398998734046161
foss,northern_rock_sole,2019,1.9791011704609023,0.5098318366966257,0.4785414190119988
foss,northern_rock_sole,2021,1.0738505652265822,0.45670081545254,0.4949123683425988
foss,arrowtooth_flounder,1982,-1.180410025819845,3.1832746346652008,2.9364862194016297
foss,arrowtooth_flounder,1984,-1.2376919251246912,2.6934063524887453,3.038873246601898
foss,arrowtooth_flounder,1985,-1.1615656036452908,3.1218841755097793,2.8587116111674757
foss,arrowtooth_flounder,1986,-1.6549477417534129,2.6761058194334537,3.0137032000989294
foss,arrowtooth_flounder,1988,-1.3181678805567545,2.628615589200025,2.8814787546699194
foss,arrowtooth_flounder,1992,-1.8087558551322245,1.2540244383077161,1.4909967334978738
foss,arrowtooth_flounder,1993,1.280244582347364,1.541345894011902,1.4933460620097225
foss,arrowtooth_flounder,1995,-1.9128158144332041,1.3926256976171063,1.451879406069928
foss,arrowtooth_flounder,1996,1.1832531487617317,1.5433118687461065,1.4666729996003396
foss,arrowtooth_flounder,2003,1.7324168333840932,1.5181286818661757,1.7097474968549589
foss,arrowtooth_flounder,2005,1.4687846949225298,1.902979124327422,1.5540283253964169
foss,arrowtooth_flounder,2008,-1.5807694399386316,1.6590944584464924,1.4329557284930285
foss,arrowtooth_flounder,2015,1.6057293777529655,1.3090836206214798,2.0094636126078838
foss,arrowtooth_flounder,2019,1.9791011704609023,2.3373899420629654,1.6797481485256613
foss,arrowtooth_flounder,2021,1.0738505652265822,1.671721069285585,1.6630944084975388
foss,pacific_halibut,1982,-1.180410025819845,1.9985403708420468,1.9752498327334067
foss,pacific_halibut,1984,-1.2376919251246912,1.8895248299240839,1.9345484120754246
foss,pacific_halibut,1985,-1.1615656036452908,2.095594439361267,1.9284206387426737
foss,pacific_halibut,1986,-1.6549477417534129,1.8855027972257041,1.9981139479735157
foss,pacific_halibut,1988,-1.3181678805567545,2.054975308602854,1.8930080019062105
foss,pacific_halibut,1992,-1.8087558551322245,1.5334516809074121,1.687255885216014
foss,pacific_halibut,1993,1.280244582347364,1.799502105703059,1.7071807885695485
foss,pacific_halibut,1995,-1.9128158144332041,1.6747222499610523,1.832095793019319
foss,pacific_halibut,1996,1.1832531487617317,1.8447912297095352,1.9155661127902128
foss,pacific_halibut,2003,1.7324168333840932,1.7881827828826895,1.6969675755695122
foss,pacific_halibut,2005,1.4687846949225298,1.6905807059719682,1.579021409894338
foss,pacific_halibut,2008,-1.5807694399386316,1.4874015299289256,1.740469177830546
foss,pacific_halibut,2015,1.6057293777529655,1.630749318580727,1.6595349410878066
foss,pacific_halibut,2019,1.9791011704609023,1.7762361698555924,1.6039853184985877
foss,pacific_halibut,2021,1.0738505652265822,1.6821329840205035,1.551734614624871
