AOU,routes,years,nz,tot,med_n,nz_frac,included,reason
19510,1,3,3,3,3.0,1.0,False,few_routes
1960,1038,28,7391,7391,3.0,1.0,False,few_years
1970,430,26,2192,2192,3.0,1.0,False,few_routes
1980,18,26,93,93,1.0,1.0,False,few_routes
1990,159,26,950,950,2.0,1.0,False,few_routes
20,253,27,1151,1151,2.0,1.0,False,few_routes
2000,537,27,3550,3550,2.0,1.0,False,few_routes
2001,726,28,6324,6324,14.0,1.0,False,few_routes
2010,1934,31,11358,11358,1.0,1.0,True,
2020,549,27,1915,1915,2.0,1.0,False,few_routes
2030,273,26,849,849,1.0,1.0,False,few_routes
2035,22,19,33,33,2.0,1.0,False,few_routes
2040,4,6,6,6,1.0,1.0,False,few_routes
2060,1015,29,7259,7259,4.0,1.0,False,few_years
20630,1,2,2,2,2.0,1.0,False,few_routes
2070,43,26,132,132,1.0,1.0,False,few_routes
2080,51,26,174,174,1.0,1.0,False,few_routes
2090,2,2,3,3,4.0,1.0,False,few_routes
210,1,1,1,1,11.0,1.0,False,few_routes
2110,51,26,412,412,3.0,1.0,False,few_routes
2111,6,20,29,29,3.0,1.0,False,few_routes
2120,338,27,843,843,1.0,1.0,False,few_routes
2140,1019,31,5334,5334,2.0,1.0,True,
2150,63,25,162,162,1.5,1.0,False,few_routes
2160,6,20,25,25,1.0,1.0,False,few_routes
2180,40,26,114,114,1.0,1.0,False,few_routes
2190,177,27,879,879,2.0,1.0,False,few_routes
2210,868,28,5017,5017,4.0,1.0,False,few_routes
2220,1,3,3,3,113.0,1.0,False,few_routes
2230,32,26,131,131,2.0,1.0,False,few_routes
2240,523,28,2609,2609,3.0,1.0,False,few_routes
2250,447,28,2055,2055,3.0,1.0,False,few_routes
2260,306,27,1404,1404,3.0,1.0,False,few_routes
2280,319,28,539,539,1.0,1.0,False,few_routes
22860,1950,26,13422,13422,4.0,1.0,False,few_years
230,41,26,306,306,5.0,1.0,False,few_routes
2300,1866,35,15974,15974,4.0,1.0,True,
2310,19,25,65,65,2.0,1.0,False,few_routes
2320,3,3,4,4,4.5,1.0,False,few_routes
2327,2,3,3,3,1.0,1.0,False,few_routes
2330,4,10,13,13,3.0,1.0,False,few_routes
2340,2,3,3,3,2.0,1.0,False,few_routes
2356,2,11,12,12,65.5,1.0,False,few_routes
2390,5,8,9,9,1.0,1.0,False,few_routes
240,1,2,2,2,11.5,1.0,False,few_routes
2400,1,3,3,3,3.0,1.0,False,few_routes
2410,3,5,5,5,1.0,1.0,False,few_routes
2420,44,26,184,184,2.0,1.0,False,few_routes
2422,1,1,1,1,1.0,1.0,False,few_routes
2429,15,13,34,34,2.0,1.0,False,few_routes
2430,7,17,29,29,4.0,1.0,False,few_routes
2460,15,23,56,56,6.5,1.0,False,few_routes
2470,12,21,63,63,5.0,1.0,False,few_routes
2480,1,1,1,1,5.0,1.0,False,few_routes
2490,368,29,2885,2885,4.0,1.0,False,few_routes
2500,6,13,24,24,2.0,1.0,False,few_routes
2510,5,21,35,35,2.0,1.0,False,few_routes
2540,248,26,1062,1062,2.0,1.0,False,few_routes
2550,236,27,1209,1209,2.0,1.0,False,few_routes
2555,18,15,23,23,1.0,1.0,False,few_routes
2560,229,27,721,721,1.0,1.0,False,few_routes
2580,494,30,4003,4003,3.0,1.0,False,few_routes
2590,10,22,49,49,1.0,1.0,False,few_routes
2610,828,29,6235,6235,4.0,1.0,False,few_routes
2620,1,2,2,2,1.5,1.0,False,few_routes
2630,1611,33,7156,7156,1.0,1.0,True,
2640,440,27,3268,3268,4.0,1.0,False,few_routes
2650,24,26,144,144,2.0,1.0,False,few_routes
2680,5,9,10,10,2.5,1.0,False,few_routes
270,20,26,64,64,2.0,1.0,False,few_routes
2700,4,8,8,8,1.0,1.0,False,few_routes
2720,21,26,128,128,2.0,1.0,False,few_routes
2721,13,25,66,66,2.0,1.0,False,few_routes
2730,3882,36,44249,44249,5.0,1.0,True,
2740,52,26,199,199,2.0,1.0,False,few_routes
2770,6,7,9,9,1.0,1.0,False,few_routes
2780,13,23,59,59,4.0,1.0,False,few_routes
2800,9,17,28,28,2.0,1.0,False,few_routes
2810,67,27,296,296,2.0,1.0,False,few_routes
2820,4,5,5,5,1.0,1.0,False,few_routes
2830,4,9,11,11,1.0,1.0,False,few_routes
2840,2,9,9,9,1.0,1.0,False,few_routes
2860,11,26,94,94,2.0,1.0,False,few_routes
2870,15,27,85,85,2.0,1.0,False,few_routes
2881,386,28,1517,1517,2.0,1.0,False,few_routes
2882,156,26,851,851,3.0,1.0,False,few_routes
2890,1673,31,19031,19031,8.0,1.0,True,
290,22,27,144,144,3.0,1.0,False,few_routes
2920,167,28,1413,1413,4.0,1.0,False,few_routes
2930,185,27,1987,1987,6.0,1.0,False,few_routes
2940,403,28,4078,4078,7.0,1.0,False,few_routes
2950,122,26,1510,1510,13.0,1.0,False,few_routes
2960,20,24,80,80,2.0,1.0,False,few_routes
2970,98,26,212,212,1.0,1.0,False,few_routes
2971,126,27,683,683,2.0,1.0,False,few_routes
2973,17,18,38,38,1.0,1.0,False,few_routes
2980,98,26,183,183,1.0,1.0,False,few_routes
30,198,28,619,619,2.0,1.0,False,few_routes
300,9,17,35,35,11.0,1.0,False,few_routes
3000,1120,29,3954,3954,1.0,1.0,False,few_years
3010,52,26,305,305,3.0,1.0,False,few_routes
3020,20,26,77,77,2.0,1.0,False,few_routes
3040,2,3,3,3,1.0,1.0,False,few_routes
3050,86,26,420,420,4.0,1.0,False,few_routes
3070,18,22,65,65,2.0,1.0,False,few_routes
3080,345,28,1517,1517,2.0,1.0,False,few_routes
3089,6,19,25,25,2.0,1.0,False,few_routes
3090,119,29,429,429,3.0,1.0,False,few_routes
3091,1549,29,13931,13931,7.0,1.0,False,few_years
3095,1,9,9,9,24.0,1.0,False,few_routes
310,1,1,1,1,1.0,1.0,False,few_routes
3100,2455,28,16085,16085,2.0,1.0,False,few_years
3110,4,12,15,15,2.0,1.0,False,few_routes
3120,300,28,2217,2217,4.0,1.0,False,few_routes
3130,3,3,3,3,1.0,1.0,False,few_routes
3131,3083,34,28209,28209,6.0,1.0,True,
3140,6,24,55,55,9.0,1.0,False,few_routes
315,2,7,7,7,20.0,1.0,False,few_routes
3151,4,5,7,7,1.0,1.0,False,few_routes
3152,4,5,5,5,3.0,1.0,False,few_routes
3160,4153,36,61476,61476,23.0,1.0,True,
3180,28,27,165,165,2.0,1.0,False,few_routes
3190,402,27,2981,2981,7.0,1.0,False,few_routes
320,7,20,27,27,15.0,1.0,False,few_routes
3200,317,27,2804,2804,3.0,1.0,False,few_routes
3201,2,2,2,2,1.0,1.0,False,few_routes
3210,234,27,1621,1621,2.0,1.0,False,few_routes
3240,2,7,7,7,6.0,1.0,False,few_routes
3250,3467,31,33243,33243,4.0,1.0,True,
3255,21,14,26,26,4.0,1.0,False,few_routes
3260,1058,29,9345,9345,4.0,1.0,False,few_years
3270,159,26,794,794,2.0,1.0,False,few_routes
3271,1,1,1,1,1.0,1.0,False,few_routes
3280,106,27,327,327,1.0,1.0,False,few_routes
3290,564,27,3029,3029,2.0,1.0,False,few_routes
3300,5,10,10,10,1.0,1.0,False,few_routes
3310,1782,28,8369,8369,1.0,1.0,False,few_years
3320,1115,29,1749,1749,1.0,1.0,False,few_years
3330,2085,28,5197,5197,1.0,1.0,False,few_years
3333,120,27,140,140,1.0,1.0,False,few_routes
3340,379,27,556,556,1.0,1.0,False,few_routes
3350,67,27,424,424,2.0,1.0,False,few_routes
3370,4078,35,36249,36249,2.0,1.0,True,
3380,26,25,69,69,1.0,1.0,False,few_routes
3390,1618,27,12229,12229,2.0,1.0,False,few_years
3400,35,25,90,90,1.0,1.0,False,few_routes
3410,29,26,181,181,2.0,1.0,False,few_routes
3420,1100,30,8142,8142,2.0,1.0,True,
3430,1361,31,4856,4856,1.0,1.0,True,
3440,9,9,10,10,1.0,1.0,False,few_routes
3450,4,12,16,16,1.0,1.0,False,few_routes
3451,188,26,296,296,1.0,1.0,False,few_routes
3460,12,26,104,104,3.0,1.0,False,few_routes
3470,35,25,94,94,1.0,1.0,False,few_routes
3480,454,27,2175,2175,1.0,1.0,False,few_routes
3490,638,28,2407,2407,1.0,1.0,False,few_routes
3520,1529,30,5391,5391,1.0,1.0,True,
3540,11,15,23,23,1.0,1.0,False,few_routes
3550,520,27,1392,1392,1.0,1.0,False,few_routes
3560,258,26,423,423,1.0,1.0,False,few_routes
3570,810,28,1831,1831,1.0,1.0,False,few_routes
3590,2,2,2,2,1.5,1.0,False,few_routes
360,3,6,6,6,2.5,1.0,False,few_routes
3600,3156,33,20691,20691,1.0,1.0,True,
3620,153,27,1206,1206,3.0,1.0,False,few_routes
3640,1211,31,5607,5607,1.0,1.0,True,
3650,142,26,252,252,1.0,1.0,False,few_routes
3660,51,25,57,57,1.0,1.0,False,few_routes
3670,364,27,893,893,1.0,1.0,False,few_routes
3680,1441,27,5155,5155,1.0,1.0,False,few_years
3690,10,14,19,19,1.0,1.0,False,few_routes
370,17,25,66,66,2.0,1.0,False,few_routes
3700,86,27,128,128,1.0,1.0,False,few_routes
3710,29,16,34,34,1.0,1.0,False,few_routes
3720,89,27,102,102,1.0,1.0,False,few_routes
3730,413,26,575,575,1.0,1.0,False,few_routes
3731,1,1,1,1,1.0,1.0,False,few_routes
3732,78,26,102,102,1.0,1.0,False,few_routes
3740,8,9,9,9,1.0,1.0,False,few_routes
3750,2187,27,6916,6916,1.0,1.0,False,few_years
3760,2,3,3,3,1.0,1.0,False,few_routes
3770,62,25,111,111,1.0,1.0,False,few_routes
3780,451,27,2361,2361,2.0,1.0,False,few_routes
3790,221,27,406,406,1.0,1.0,False,few_routes
380,25,26,174,174,4.0,1.0,False,few_routes
3800,1,3,3,3,1.0,1.0,False,few_routes
3810,16,15,26,26,1.0,1.0,False,few_routes
3822,2,2,2,2,3.5,1.0,False,few_routes
3824,9,24,44,44,4.0,1.0,False,few_routes
3826,1,2,2,2,3.0,1.0,False,few_routes
3830,3,2,3,3,1.0,1.0,False,few_routes
3840,20,26,89,89,2.0,1.0,False,few_routes
3850,447,27,2879,2879,2.0,1.0,False,few_routes
3860,5,20,33,33,1.0,1.0,False,few_routes
3870,2109,31,23090,23090,4.0,1.0,True,
3875,39,21,67,67,1.0,1.0,False,few_routes
3880,1309,31,6045,6045,1.0,1.0,True,
3890,4,11,13,13,1.0,1.0,False,few_routes
3900,2778,34,11991,11991,1.0,1.0,True,
3901,4,4,5,5,1.0,1.0,False,few_routes
3910,6,5,6,6,1.0,1.0,False,few_routes
3920,584,27,1981,1981,2.0,1.0,False,few_routes
3930,3215,32,21272,21272,1.0,1.0,True,
3940,3348,33,33931,33931,2.0,1.0,True,
3950,28,26,155,155,2.0,1.0,False,few_routes
3960,299,27,2849,2849,2.0,1.0,False,few_routes
3970,112,27,998,998,4.0,1.0,False,few_routes
3975,4,23,38,38,2.0,1.0,False,few_routes
3990,103,27,721,721,2.0,1.0,False,few_routes
40,296,28,1132,1132,4.0,1.0,False,few_routes
400,16,26,110,110,16.5,1.0,False,few_routes
4000,327,27,794,794,1.0,1.0,False,few_routes
4010,295,26,936,936,1.0,1.0,False,few_routes
4020,1183,31,11141,11141,3.0,1.0,True,
4021,378,30,3137,3137,2.0,1.0,False,few_routes
4022,81,27,289,289,2.0,1.0,False,few_routes
4030,270,27,2250,2250,2.0,1.0,False,few_routes
4040,185,27,1055,1055,2.0,1.0,False,few_routes
4050,2714,31,24731,24731,2.0,1.0,True,
4060,1650,29,13628,13628,2.0,1.0,False,few_years
4070,179,28,1868,1868,10.0,1.0,False,few_routes
4080,148,26,604,604,1.0,1.0,False,few_routes
4090,2023,31,29409,29409,8.0,1.0,True,
4100,102,27,1204,1204,6.0,1.0,False,few_routes
4110,43,26,522,522,9.0,1.0,False,few_routes
4120,2970,34,31800,31800,2.0,1.0,True,
4123,309,26,1156,1156,2.0,1.0,False,few_routes
4125,13,13,20,20,1.0,1.0,False,few_routes
4130,1135,30,11975,11975,4.0,1.0,True,
4140,31,26,326,326,5.0,1.0,False,few_routes
4160,655,30,5516,5516,2.0,1.0,False,few_routes
4171,508,29,2211,2211,1.0,1.0,False,few_routes
4172,10,20,27,27,2.0,1.0,False,few_routes
4180,309,27,987,987,1.0,1.0,False,few_routes
4190,24,26,115,115,2.0,1.0,False,few_routes
420,22,26,138,138,4.0,1.0,False,few_routes
4200,2074,33,14960,14960,3.0,1.0,True,
4205,10,13,20,20,1.0,1.0,False,few_routes
4206,1,1,1,1,1.0,1.0,False,few_routes
4210,164,27,1321,1321,4.0,1.0,False,few_routes
4220,83,28,189,189,3.0,1.0,False,few_routes
4230,2293,32,26893,26893,5.0,1.0,True,
4240,242,28,1056,1056,2.0,1.0,False,few_routes
4250,336,27,1598,1598,3.0,1.0,False,few_routes
4260,3,7,7,7,1.0,1.0,False,few_routes
4270,4,12,12,12,1.0,1.0,False,few_routes
4280,2219,30,15630,15630,1.0,1.0,True,
4290,389,27,2086,2086,1.0,1.0,False,few_routes
4295,9,8,12,12,1.0,1.0,False,few_routes
4300,74,26,315,315,2.0,1.0,False,few_routes
4310,259,28,1636,1636,2.0,1.0,False,few_routes
4320,286,26,2656,2656,5.0,1.0,False,few_routes
4330,347,29,2488,2488,2.0,1.0,False,few_routes
4335,10,9,16,16,1.0,1.0,False,few_routes
4340,44,26,254,254,3.0,1.0,False,few_routes
4360,186,29,952,952,1.0,1.0,False,few_routes
4370,2,2,2,2,1.0,1.0,False,few_routes
4390,8,18,24,24,1.0,1.0,False,few_routes
4391,1,4,4,4,1.0,1.0,False,few_routes
440,95,29,664,664,6.0,1.0,False,few_routes
4402,294,27,901,901,1.0,1.0,False,few_routes
4410,9,25,57,57,2.0,1.0,False,few_routes
4411,1,1,1,1,1.0,1.0,False,few_routes
4430,451,27,5583,5583,10.0,1.0,False,few_routes
4440,3190,35,36961,36961,4.0,1.0,True,
4447,17,24,69,69,1.0,1.0,False,few_routes
4450,18,26,97,97,2.0,1.0,False,few_routes
4451,3,21,23,23,2.0,1.0,False,few_routes
4460,8,12,17,17,2.0,1.0,False,few_routes
4461,46,27,402,402,4.0,1.0,False,few_routes
4462,5,7,7,7,2.0,1.0,False,few_routes
4470,1552,29,15987,15987,6.0,1.0,False,few_years
4480,242,27,2139,2139,5.0,1.0,False,few_routes
4490,36,27,276,276,3.0,1.0,False,few_routes
4510,3,22,25,25,2.0,1.0,False,few_routes
4520,2449,33,32037,32037,4.0,1.0,True,
4530,92,27,860,860,7.0,1.0,False,few_routes
4540,657,28,7402,7402,7.0,1.0,False,few_routes
4550,11,26,85,85,9.0,1.0,False,few_routes
4560,2463,33,30646,30646,4.0,1.0,True,
4570,1036,27,7941,7941,2.0,1.0,False,few_years
4580,240,27,1696,1696,2.0,1.0,False,few_routes
4590,1227,33,7674,7674,2.0,1.0,True,
4600,8,22,37,37,2.0,1.0,False,few_routes
4610,2342,32,30283,30283,4.0,1.0,True,
4620,1308,31,12160,12160,5.0,1.0,True,
4630,586,29,3068,3068,2.0,1.0,False,few_routes
4640,264,27,2049,2049,3.0,1.0,False,few_routes
4641,387,30,3454,3454,7.0,1.0,False,few_routes
4642,37,27,172,172,4.0,1.0,False,few_routes
4650,1158,31,12617,12617,3.0,1.0,True,
4660,1631,31,13382,13382,2.0,1.0,True,
4661,1520,31,14845,14845,6.0,1.0,True,
4665,30,20,34,34,1.0,1.0,False,few_routes
4670,1793,33,16784,16784,4.0,1.0,True,
4679,223,26,629,629,2.0,1.0,False,few_routes
4680,551,30,4980,4980,4.0,1.0,False,few_routes
4689,52,26,181,181,2.0,1.0,False,few_routes
4690,611,30,5663,5663,4.0,1.0,False,few_routes
4691,258,27,2120,2120,3.0,1.0,False,few_routes
470,147,29,829,829,3.0,1.0,False,few_routes
4710,121,26,819,819,2.0,1.0,False,few_routes
4720,7,26,82,82,1.0,1.0,False,few_routes
4730,1,1,1,1,2.0,1.0,False,few_routes
4740,2207,34,25514,25514,12.0,1.0,True,
4750,1110,31,11574,11574,7.0,1.0,True,
4760,43,27,493,493,11.0,1.0,False,few_routes
4770,2945,34,42395,42395,10.0,1.0,True,
4780,623,30,6705,6705,6.0,1.0,False,few_routes
4790,8,25,76,76,2.0,1.0,False,few_routes
480,2,7,7,7,2.0,1.0,False,few_routes
4810,15,25,91,91,2.0,1.0,False,few_routes
4812,209,28,2392,2392,12.0,1.0,False,few_routes
4813,252,26,2126,2126,3.0,1.0,False,few_routes
4820,10,26,117,117,10.0,1.0,False,few_routes
4830,33,26,239,239,2.0,1.0,False,few_routes
4840,880,32,5573,5573,3.0,1.0,False,few_routes
4860,2859,34,30129,30129,5.0,1.0,True,
4865,49,26,347,347,3.0,1.0,False,few_routes
4870,156,27,1531,1531,6.0,1.0,False,few_routes
4880,3997,36,54479,54479,27.0,1.0,True,
4881,215,27,1173,1173,3.0,1.0,False,few_routes
4882,3,21,23,23,11.0,1.0,False,few_routes
4890,70,28,698,698,15.0,1.0,False,few_routes
490,19,26,173,173,12.0,1.0,False,few_routes
4900,893,30,8525,8525,4.0,1.0,False,few_routes
4910,391,28,2764,2764,3.0,1.0,False,few_routes
4920,255,27,2059,2059,6.0,1.0,False,few_routes
4930,3971,36,52173,52173,22.0,1.0,True,
4932,4,7,8,8,1.0,1.0,False,few_routes
4940,1464,32,15979,15979,6.0,1.0,True,
495,7,7,8,8,2.0,1.0,False,few_routes
4950,4120,36,55238,55238,8.0,1.0,True,
4955,7,9,10,10,2.5,1.0,False,few_routes
4960,117,27,774,774,3.0,1.0,False,few_routes
4961,4,8,8,8,1.5,1.0,False,few_routes
4970,987,33,7341,7341,7.0,1.0,False,few_routes
4980,4208,37,58056,58056,27.0,1.0,True,
50,16,18,29,29,2.0,1.0,False,few_routes
5000,61,26,274,274,27.5,1.0,False,few_routes
5009,21,1,21,21,8.0,1.0,False,few_routes
5010,2209,32,29102,29102,8.0,1.0,True,
5011,1836,34,21573,21573,28.0,1.0,True,
5012,86,26,372,372,3.0,1.0,False,few_routes
5030,25,27,161,161,2.0,1.0,False,few_routes
5031,3,3,4,4,1.0,1.0,False,few_routes
5032,3,3,3,3,1.0,1.0,False,few_routes
5040,202,26,1721,1721,3.0,1.0,False,few_routes
5050,132,27,741,741,2.0,1.0,False,few_routes
5060,1946,31,19883,19883,3.0,1.0,True,
5070,2038,33,23314,23314,3.0,1.0,True,
5077,29,16,38,38,1.0,1.0,False,few_routes
5078,2,2,2,2,1.0,1.0,False,few_routes
5080,1006,28,8747,8747,3.0,1.0,False,few_years
5090,269,29,740,740,2.0,1.0,False,few_routes
510,618,30,3304,3304,4.0,1.0,False,few_routes
5100,1524,33,16474,16474,13.0,1.0,True,
5110,3321,35,44630,44630,17.0,1.0,True,
5120,529,27,4060,4060,6.0,1.0,False,few_routes
5130,162,27,1555,1555,9.0,1.0,False,few_routes
5135,12,26,82,82,19.5,1.0,False,few_routes
5140,881,32,4044,4044,3.0,1.0,False,few_routes
5150,348,28,1414,1414,2.0,1.0,False,few_routes
5170,1364,32,10703,10703,2.0,1.0,True,
5180,437,28,3474,3474,3.0,1.0,False,few_routes
51830,2,4,5,5,2.0,1.0,False,few_routes
5190,3018,31,31166,31166,5.0,1.0,True,
5195,17,14,28,28,1.0,1.0,False,few_routes
52021,1,2,2,2,2.0,1.0,False,few_routes
5210,844,30,4617,4617,4.0,1.0,False,few_routes
5212,1,22,22,22,4.0,1.0,False,few_routes
5220,606,27,2312,2312,4.0,1.0,False,few_routes
5225,17,20,32,32,2.0,1.0,False,few_routes
5240,4,5,5,5,2.0,1.0,False,few_routes
5250,2,3,3,3,3.0,1.0,False,few_routes
5261,3,3,3,3,1.0,1.0,False,few_routes
5270,12,21,47,47,2.0,1.0,False,few_routes
5275,26,26,230,230,35.5,1.0,False,few_routes
5280,162,26,1408,1408,11.0,1.0,False,few_routes
5290,3275,36,41334,41334,9.0,1.0,True,
530,340,28,1675,1675,5.0,1.0,False,few_routes
5300,564,28,4122,4122,4.0,1.0,False,few_routes
5310,73,27,391,391,4.0,1.0,False,few_routes
5330,1418,32,8978,8978,5.0,1.0,True,
534,288,27,866,866,5.0,1.0,False,few_routes
5340,5,14,14,14,3.0,1.0,False,few_routes
5360,27,26,232,232,26.0,1.0,False,few_routes
5370,4,25,48,48,3.0,1.0,False,few_routes
5380,189,27,1692,1692,10.0,1.0,False,few_routes
5390,98,27,627,627,8.0,1.0,False,few_routes
540,1181,30,7135,7135,6.0,1.0,True,
5400,1900,36,19036,19036,8.0,1.0,True,
5420,2335,34,24428,24428,7.0,1.0,True,
5450,208,28,1245,1245,4.0,1.0,False,few_routes
5460,1844,32,15332,15332,4.0,1.0,True,
5470,239,27,856,856,1.0,1.0,False,few_routes
5480,375,28,2212,2212,2.0,1.0,False,few_routes
5490,4,9,10,10,1.0,1.0,False,few_routes
5491,207,27,829,829,1.0,1.0,False,few_routes
550,136,26,915,915,3.0,1.0,False,few_routes
5500,30,26,284,284,5.0,1.0,False,few_routes
551,2,9,9,9,2.0,1.0,False,few_routes
5520,1551,27,14234,14234,5.0,1.0,False,few_years
5530,6,15,18,18,45.5,1.0,False,few_routes
5540,654,29,5953,5953,9.0,1.0,False,few_routes
5570,61,26,473,473,20.0,1.0,False,few_routes
5580,1130,32,11567,11567,17.0,1.0,True,
5590,94,26,729,729,11.0,1.0,False,few_routes
5600,3702,35,48262,48262,12.0,1.0,True,
5610,896,31,8293,8293,10.0,1.0,False,few_routes
5620,663,29,6406,6406,10.0,1.0,False,few_routes
5630,1917,32,24113,24113,5.0,1.0,True,
5650,66,26,512,512,3.0,1.0,False,few_routes
5660,18,26,236,236,14.0,1.0,False,few_routes
5670,1027,30,8722,8722,5.5,1.0,True,
5671,554,30,6538,6538,13.0,1.0,False,few_routes
5677,128,26,651,651,10.0,1.0,False,few_routes
5680,11,24,72,72,9.0,1.0,False,few_routes
5690,159,26,1867,1867,8.0,1.0,False,few_routes
570,6,10,13,13,1.0,1.0,False,few_routes
5700,4,21,32,32,30.0,1.0,False,few_routes
5730,383,27,4123,4123,11.0,1.0,False,few_routes
5738,255,29,1932,1932,8.0,1.0,False,few_routes
5739,45,27,277,277,4.0,1.0,False,few_routes
5740,20,27,119,119,7.0,1.0,False,few_routes
5750,156,27,980,980,2.0,1.0,False,few_routes
5760,15,26,110,110,2.0,1.0,False,few_routes
5780,333,27,3578,3578,12.0,1.0,False,few_routes
5790,12,22,74,74,3.0,1.0,False,few_routes
580,180,28,1576,1576,16.0,1.0,False,few_routes
5800,169,27,1269,1269,3.0,1.0,False,few_routes
5810,3264,35,41935,41935,16.0,1.0,True,
5830,1065,31,8324,8324,4.0,1.0,True,
5840,1243,30,10804,10804,3.0,1.0,True,
5850,605,28,5031,5031,5.0,1.0,False,few_routes
5860,42,26,470,470,10.0,1.0,False,few_routes
5870,1863,32,24190,24190,7.0,1.0,True,
5871,16,22,64,64,2.0,1.0,False,few_routes
5880,987,30,9734,9734,8.0,1.0,False,few_routes
590,342,28,1881,1881,14.0,1.0,False,few_routes
5900,414,27,4478,4478,6.0,1.0,False,few_routes
5910,159,26,1526,1526,3.0,1.0,False,few_routes
5911,131,27,1398,1398,10.0,1.0,False,few_routes
5920,37,26,327,327,3.0,1.0,False,few_routes
