oid,vid,flg,rnk,nam,par,rid,ext,noc,phl,cll,fml,odl,gnl,ttl,tdf,acc,acr,acn
txn:142686,,F,species,Dictyoolithus lishuiensis,txn:67198,ref:29323,0,0,Chordata,Reptilia,Dictyoolithidae,NO_ORDER_SPECIFIED,Dictyoolithus,,,,,
txn:67199,,F,species,Dictyoolithus hongpoensis,txn:67198,ref:14213,0,2,Chordata,Reptilia,Dictyoolithidae,NO_ORDER_SPECIFIED,Dictyoolithus,,,,,
txn:99469,,F,family,Phaceloolithidae,txn:52775,ref:24215,0,25,Chordata,Reptilia,Phaceloolithidae,NO_ORDER_SPECIFIED,,Phaceloolithus,,,,
txn:67270,,F,genus,Dendroolithus,txn:99469,ref:7720,0,23,Chordata,Reptilia,Phaceloolithidae,NO_ORDER_SPECIFIED,Dendroolithus,Dendroolithus wangdianensis,,,,
txn:340759,,F,species,Dendroolithus zhaoyingensis,txn:67270,ref:59122,0,1,Chordata,Reptilia,Phaceloolithidae,NO_ORDER_SPECIFIED,Dendroolithus,,,,,
txn:67271,,F,species,Dendroolithus wangdianensis,txn:67270,ref:7720,0,1,Chordata,Reptilia,Phaceloolithidae,NO_ORDER_SPECIFIED,Dendroolithus,,,,,
txn:248690,,F,species,Dendroolithus fengguangcunensis,txn:67270,ref:77475,0,2,Chordata,Reptilia,Phaceloolithidae,NO_ORDER_SPECIFIED,Dendroolithus,,,,,
txn:340760,,F,species,Dendroolithus furcatus,txn:67270,ref:59122,0,1,Chordata,Reptilia,Phaceloolithidae,NO_ORDER_SPECIFIED,Dendroolithus,,,,,
txn:340764,,F,species,Dendroolithus sanlimiaoensis,txn:67270,ref:59122,0,3,Chordata,Reptilia,Phaceloolithidae,NO_ORDER_SPECIFIED,Dendroolithus,,,,,
txn:142702,,F,species,Dendroolithus xichuanensis,txn:67270,ref:93195,0,1,Chordata,Reptilia,Phaceloolithidae,NO_ORDER_SPECIFIED,Dendroolithus,,,,,
txn:162719,,F,species,Dendroolithus dendriticus,txn:67270,ref:31919,0,8,Chordata,Reptilia,Phaceloolithidae,NO_ORDER_SPECIFIED,Dendroolithus,,,,,
txn:84311,,F,species,Dendroolithus microporosus,txn:67270,ref:92750,0,3,Chordata,Reptilia,Phaceloolithidae,NO_ORDER_SPECIFIED,Dendroolithus,,,,,
txn:99470,,F,genus,Phaceloolithus,txn:99469,ref:24215,0,1,Chordata,Reptilia,Phaceloolithidae,NO_ORDER_SPECIFIED,Phaceloolithus,Phaceloolithus hunanensis,,,,
txn:99471,,F,species,Phaceloolithus hunanensis,txn:99470,ref:24215,0,1,Chordata,Reptilia,Phaceloolithidae,NO_ORDER_SPECIFIED,Phaceloolithus,,,,,
txn:155969,,IF,genus,Plectropterna,txn:52775,ref:15230,0,27,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Plectropterna,Plectropterna minitans,,,,
txn:156090,,IF,species,Plectropterna gracilis,txn:155969,ref:29531,0,6,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Plectropterna,,,,,
txn:155977,,IF,species,Plectropterna angusta,txn:155969,ref:29531,0,2,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Plectropterna,,,,,
txn:156091,,IF,species,Plectropterna lineans,txn:155969,ref:29531,0,4,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Plectropterna,,,,,
txn:155975,,IF,genus,Tarsoplectrus,txn:52775,ref:15230,0,27,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Plectropterna,,subjective synonym of,txn:155969,5.0,Plectropterna
txn:155979,,IF,species,Plectropterna elegans,txn:155969,ref:30910,0,2,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Plectropterna,,,,,
txn:96938,var:156089,IF,species,Plectropterna minitans,txn:155969,ref:51492,0,10,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Plectropterna,,,,,
txn:67238,,IF,genus,Sinoichnites,txn:52775,ref:62983,0,1,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Sinoichnites,,nomen dubium,txn:52775,25.0,Dinosauria
txn:67239,,IF,species,Sinoichnites youngi,txn:67238,ref:62983,0,1,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Sinoichnites,,"nomen dubium, species not entered",txn:52775,25.0,Dinosauria
txn:67913,,,superorder,Paleodinosauria,txn:52775,ref:10350,0,0,Chordata,Reptilia,,,,,,,,
txn:38506,,,order,Staurikosauria,txn:67913,ref:4783,0,0,Chordata,Reptilia,,Staurikosauria,,,,,,
txn:192890,,IF,genus,Neosauropus,txn:52775,ref:65423,0,1,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Neosauropus,,nomen dubium,txn:52775,25.0,Dinosauria
txn:192891,,IF,species,Neosauropus lagosteirensis,txn:192890,ref:65423,0,1,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Neosauropus,,"nomen dubium, species not entered",txn:52775,25.0,Dinosauria
txn:171368,,F,family,Youngoolithidae,txn:52775,ref:33948,0,1,Chordata,Reptilia,Youngoolithidae,NO_ORDER_SPECIFIED,,,,,,
txn:86618,,F,genus,Youngoolithus,txn:171368,ref:24214,0,1,Chordata,Reptilia,Youngoolithidae,NO_ORDER_SPECIFIED,Youngoolithus,Youngoolithus xiaguanensis,,,,
txn:86619,,F,species,Youngoolithus xiaguanensis,txn:86618,ref:24214,0,1,Chordata,Reptilia,Youngoolithidae,NO_ORDER_SPECIFIED,Youngoolithus,,,,,
txn:56508,,,species,Astrodon pusillus,txn:52775,ref:7747,,4,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,NO_GENUS_SPECIFIED,,"nomen dubium, species not entered",txn:52775,25.0,Dinosauria
txn:338862,,F,family,Polyclonoolithidae,txn:52775,ref:58691,0,1,Chordata,Reptilia,Polyclonoolithidae,NO_ORDER_SPECIFIED,,Polyclonoolithus,,,,
txn:338863,,F,genus,Polyclonoolithus,txn:338862,ref:58691,0,1,Chordata,Reptilia,Polyclonoolithidae,NO_ORDER_SPECIFIED,Polyclonoolithus,Polyclonoolithus yangjiagouensis,,,,
txn:338864,,F,species,Polyclonoolithus yangjiagouensis,txn:338863,ref:58691,0,1,Chordata,Reptilia,Polyclonoolithidae,NO_ORDER_SPECIFIED,Polyclonoolithus,,,,,
txn:91056,,I,genus,Yunnanpus,txn:52775,ref:19449,0,1,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Yunnanpus,Yunnanpus huangcaoensis,nomen dubium,txn:52775,25.0,Dinosauria
txn:91057,,I,species,Yunnanpus huangcaoensis,txn:91056,ref:19449,0,1,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Yunnanpus,,,,,
txn:162963,,,infraclass,Phytodinosauria,txn:52775,ref:31965,0,0,Chordata,Reptilia,,,,,,,,
txn:435403,,F,family,Fusioolithidae,txn:52775,ref:76263,0,61,Chordata,Reptilia,Fusioolithidae,NO_ORDER_SPECIFIED,,,,,,
txn:435402,,F,genus,Fusioolithus,txn:435403,ref:76263,0,61,Chordata,Reptilia,Fusioolithidae,NO_ORDER_SPECIFIED,Fusioolithus,,,,,
txn:435394,,F,genus,Patagoolithus,txn:435403,ref:76257,0,61,Chordata,Reptilia,Fusioolithidae,NO_ORDER_SPECIFIED,Fusioolithus,,subjective synonym of,txn:435402,5.0,Fusioolithus
txn:435405,,F,species,Fusioolithus berthei,txn:435402,ref:76263,0,2,Chordata,Reptilia,Fusioolithidae,NO_ORDER_SPECIFIED,Fusioolithus,,,,,
txn:81781,var:467414,F,species,Fusioolithus padiyalensis,txn:435402,ref:83798,0,4,Chordata,Reptilia,Fusioolithidae,NO_ORDER_SPECIFIED,Fusioolithus,,,,,
txn:81779,var:455701,F,species,Fusioolithus mohabeyi,txn:435402,ref:19584,0,8,Chordata,Reptilia,Fusioolithidae,NO_ORDER_SPECIFIED,Fusioolithus,,,,,
txn:81780,,F,species,Megaloolithus phensaniensis,txn:435402,ref:17741,0,8,Chordata,Reptilia,Fusioolithidae,NO_ORDER_SPECIFIED,Fusioolithus,,subjective synonym of,txn:81779,3.0,Fusioolithus mohabeyi
txn:81784,var:467413,F,species,Fusioolithus dholiyaensis,txn:435402,ref:19584,0,1,Chordata,Reptilia,Fusioolithidae,NO_ORDER_SPECIFIED,Fusioolithus,,,,,
txn:81824,var:435404,F,species,Fusioolithus baghensis,txn:435402,ref:19584,0,42,Chordata,Reptilia,Fusioolithidae,NO_ORDER_SPECIFIED,Fusioolithus,,,,,
txn:192240,,F,species,Megaloolithus trempii,txn:435402,ref:36723,0,42,Chordata,Reptilia,Fusioolithidae,NO_ORDER_SPECIFIED,Fusioolithus,,subjective synonym of,txn:81824,3.0,Fusioolithus baghensis
txn:81789,,F,species,Megaloolithus balasinorensis,txn:435402,ref:17741,0,42,Chordata,Reptilia,Fusioolithidae,NO_ORDER_SPECIFIED,Fusioolithus,,subjective synonym of,txn:81824,3.0,Fusioolithus baghensis
txn:435395,,F,species,Patagoolithus salitralensis,txn:435402,ref:76257,0,42,Chordata,Reptilia,Fusioolithidae,NO_ORDER_SPECIFIED,Fusioolithus,,subjective synonym of,txn:81824,3.0,Fusioolithus baghensis
txn:72342,,F,species,Megaloolithus pseudomamillare,txn:435402,ref:81633,0,42,Chordata,Reptilia,Fusioolithidae,NO_ORDER_SPECIFIED,Fusioolithus,,subjective synonym of,txn:81824,3.0,Fusioolithus baghensis
txn:68175,,IF,genus,Gigantosauropus,txn:52775,ref:5982,0,1,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Gigantosauropus,,nomen dubium,txn:52775,25.0,Dinosauria
txn:68176,,I,species,Gigantosauropus asturiensis,txn:68175,ref:5982,0,1,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Gigantosauropus,,"nomen dubium, species not entered",txn:52775,25.0,Dinosauria
txn:96949,,,order,Therosauria,txn:52775,ref:35418,0,0,Chordata,Reptilia,,Therosauria,,,,,,
txn:69162,,,genus,Iguanodonichnus,txn:52775,ref:15469,0,2,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Iguanodonichnus,,nomen dubium,txn:52775,25.0,Dinosauria
txn:69163,,,species,Iguanodonichnus frenkii,txn:69162,ref:15469,0,1,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Iguanodonichnus,,"nomen dubium, species not entered",txn:52775,25.0,Dinosauria
txn:437789,,F,family,Dongyangoolithidae,txn:52775,ref:76924,0,3,Chordata,Reptilia,Dongyangoolithidae,NO_ORDER_SPECIFIED,,Dongyangoolithus,,,,
txn:437790,,F,genus,Multifissoolithus,txn:437789,ref:76924,0,3,Chordata,Reptilia,Dongyangoolithidae,NO_ORDER_SPECIFIED,Multifissoolithus,Multifissoolithus chianensis,,,,
txn:68506,var:467465,F,species,Multifissoolithus megadermus,txn:437790,ref:15565,0,1,Chordata,Reptilia,Dongyangoolithidae,NO_ORDER_SPECIFIED,Multifissoolithus,,,,,
txn:437791,,F,species,Multifissoolithus chianensis,txn:437790,ref:76924,0,1,Chordata,Reptilia,Dongyangoolithidae,NO_ORDER_SPECIFIED,Multifissoolithus,,,,,
txn:467468,,F,species,Multifissoolithus shimonosekiensis,txn:437790,ref:83819,0,1,Chordata,Reptilia,Dongyangoolithidae,NO_ORDER_SPECIFIED,Multifissoolithus,,,,,
txn:142687,,F,genus,Dongyangoolithus,txn:437789,ref:29323,0,0,Chordata,Reptilia,Dongyangoolithidae,NO_ORDER_SPECIFIED,Dongyangoolithus,,,,,
txn:142704,,F,species,Dongyangoolithus nanmaensis,txn:142687,ref:29323,0,0,Chordata,Reptilia,Dongyangoolithidae,NO_ORDER_SPECIFIED,Dongyangoolithus,,,,,
txn:142971,,I,genus,Toyamasauripus,txn:52775,ref:29368,0,2,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Toyamasauripus,Toyamasauripus masuiae,,,,
txn:142972,,I,species,Toyamasauripus masuiae,txn:142971,ref:29368,0,2,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Toyamasauripus,,,,,
txn:308840,,,suborder,Postpubici,txn:52775,ref:53339,0,0,Chordata,Reptilia,,NO_ORDER_SPECIFIED,,,,,,
txn:72165,,,family,Dystrophaeidae,txn:52775,ref:16875,0,0,Chordata,Reptilia,Dystrophaeidae,NO_ORDER_SPECIFIED,,Dystrophaeus,,,,
txn:67919,,,superorder,Herreravia,txn:52775,ref:10350,0,0,Chordata,Reptilia,,,,,,,,
txn:348404,,IF,genus,Huanglongpus,txn:52775,ref:61248,0,1,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Huanglongpus,,nomen dubium,txn:52775,25.0,Dinosauria
txn:348405,,IF,species,Huanglongpus shengouensis,txn:348404,ref:61248,0,1,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Huanglongpus,,"nomen dubium, species not entered",txn:52775,25.0,Dinosauria
txn:156000,,IF,genus,Xiphopeza,txn:52775,ref:30909,0,3,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Xiphopeza,Xiphopeza triplex,,,,
txn:156001,,IF,species,Xiphopeza triplex,txn:156000,ref:30909,0,3,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Xiphopeza,,,,,
txn:96946,,,order,Harpagosauria,txn:52775,ref:35418,0,0,Chordata,Reptilia,,Harpagosauria,,,,,,
txn:154360,,,genus,Ancistrodon,txn:52775,ref:37678,0,1,Chordata,Reptilia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ancistrodon,,,,,
txn:65430,var:96958,,order,Ornithoscelida,txn:53207,ref:13216,1,37854,Chordata,Reptilia,,,,,subjective synonym of,txn:52775,25.0,Dinosauria
txn:395896,,F,family,Stalicoolithidae,txn:52775,ref:70259,0,26,Chordata,Reptilia,Stalicoolithidae,NO_ORDER_SPECIFIED,,Stalicoolithus,,,,
txn:67195,,F,genus,Shixingoolithus,txn:395896,ref:19692,0,6,Chordata,Reptilia,Stalicoolithidae,NO_ORDER_SPECIFIED,Shixingoolithus,Shixingoolithus erbeni,,,,
txn:92267,,F,species,Shixingoolithus erbeni,txn:67195,ref:19692,0,6,Chordata,Reptilia,Stalicoolithidae,NO_ORDER_SPECIFIED,Shixingoolithus,,,,,
txn:395899,,F,genus,Coralloidoolithus,txn:395896,ref:70259,0,17,Chordata,Reptilia,Stalicoolithidae,NO_ORDER_SPECIFIED,Coralloidoolithus,,,,,
txn:84310,var:515611,F,species,Coralloidoolithus verrucarius,txn:395899,ref:92750,0,6,Chordata,Reptilia,Stalicoolithidae,NO_ORDER_SPECIFIED,Coralloidoolithus,,,,,
txn:162724,var:395901,F,species,Coralloidoolithus shizuiwanensis,txn:395899,ref:70259,0,7,Chordata,Reptilia,Stalicoolithidae,NO_ORDER_SPECIFIED,Coralloidoolithus,,,,,
txn:395897,,F,genus,Stalicoolithus,txn:395896,ref:70259,0,2,Chordata,Reptilia,Stalicoolithidae,NO_ORDER_SPECIFIED,Stalicoolithus,Stalicoolithus shifengensis,,,,
txn:395898,,F,species,Stalicoolithus shifengensis,txn:395897,ref:70259,0,2,Chordata,Reptilia,Stalicoolithidae,NO_ORDER_SPECIFIED,Stalicoolithus,,,,,
txn:38505,var:91969,,unranked clade,Saurischia,txn:52775,ref:9798,1,4402,Chordata,Saurischia,,,,,,,,
txn:66908,,,genus,Chindesaurus,txn:38505,ref:14122,0,2,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Chindesaurus,,,,,
txn:66909,,,species,Chindesaurus bryansmalli,txn:66908,ref:14122,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Chindesaurus,,,,,
txn:56549,,,genus,Thecospondylus,txn:38505,ref:9792,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Thecospondylus,Thecospondylus horneri,nomen dubium,txn:38505,25.0,Saurischia
txn:56550,,,species,Thecospondylus horneri,txn:56549,ref:9792,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Thecospondylus,,"nomen dubium, species not entered",txn:38505,25.0,Saurischia
txn:38518,,,genus,Saltopus,txn:38505,ref:16888,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saltopus,,,,,
txn:56385,,,species,Saltopus elginensis,txn:38518,ref:16888,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saltopus,,,,,
txn:519766,,,unranked clade,Morphoraptora,txn:38505,ref:94669,0,1,Chordata,Saurischia,,,,,,,,
txn:519767,,,genus,Ptychotherates,txn:519766,ref:94669,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ptychotherates,Ptychotherates bucculentus,,,,
txn:519768,,,species,Ptychotherates bucculentus,txn:519767,ref:94669,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ptychotherates,,,,,
txn:141640,,IF,genus,Trimabus,txn:38505,ref:29189,0,0,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Trimabus,Trimabus elegans,,,,
txn:141939,,IF,species,Trimabus elegans,txn:141640,ref:29189,0,0,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Trimabus,,,,,
txn:159718,,,genus,Tawa,txn:38505,ref:31393,0,3,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Tawa,,,,,
txn:159719,,,species,Tawa hallae,txn:159718,ref:31393,0,3,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Tawa,,,,,
txn:141556,,IF,genus,Parachirotherium,txn:38505,ref:62983,0,6,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Parachirotherium,,,,,
txn:85798,,IF,genus,Dinosaurichnium,txn:38505,ref:44929,0,6,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Parachirotherium,,subjective synonym of,txn:141556,5.0,Parachirotherium
txn:67511,,,suborder,Palaeopoda,txn:38505,ref:14352,0,4,Chordata,Saurischia,,NO_ORDER_SPECIFIED,,,,,,
txn:67513,,,infraorder,Teratosauria,txn:67511,ref:12492,0,0,Chordata,Saurischia,,NO_ORDER_SPECIFIED,,,,,,
txn:404559,,IF,infraorder,Thecodontosauria,txn:67511,ref:70980,0,1,Chordata,Saurischia,,NO_ORDER_SPECIFIED,,,,,,
txn:133354,,IF,genus,Tritotrisauropus,txn:404559,ref:28154,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Tritotrisauropus,Tritotrisauropus medius,,,,
txn:133355,,IF,species,Tritotrisauropus medius,txn:133354,ref:28154,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Tritotrisauropus,,,,,
txn:404574,,IF,genus,Platytrisauropus,txn:404559,ref:70980,0,0,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Platytrisauropus,,,,,
txn:304958,,,family,Staurikosauridae,txn:67511,ref:52604,0,0,Chordata,Saurischia,Staurikosauridae,NO_ORDER_SPECIFIED,,Staurikosaurus,,,,
txn:67512,,,infraorder,Palaeosauria,txn:67511,ref:14352,0,0,Chordata,Saurischia,,NO_ORDER_SPECIFIED,,,,,,
txn:276209,,IF,infraorder,Trisauropodia,txn:67511,ref:70980,0,3,Chordata,Saurischia,,NO_ORDER_SPECIFIED,,,,,,
txn:133367,,IF,genus,Neotrisauropus,txn:276209,ref:28154,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Neotrisauropus,,,,,
txn:276196,,IF,species,Neotrisauropus minor,txn:133367,ref:30917,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Neotrisauropus,,,,,
txn:404569,,IF,genus,Katosauropus,txn:276209,ref:70980,0,0,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Katosauropus,,,,,
txn:133335,,IF,genus,Deuterotrisauropus,txn:276209,ref:28154,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Deuterotrisauropus,Grallator socialis,,,,
txn:133494,,I,species,Deuterotrisauropus deambulator,txn:133335,ref:28154,0,0,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Deuterotrisauropus,,,,,
txn:133287,,IF,genus,Anatrisauropus,txn:276209,ref:28154,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Anatrisauropus,Anatrisauropus ginsburgi,,,,
txn:133491,,I,species,Anatrisauropus camisardi,txn:133287,ref:28154,0,0,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Anatrisauropus,,,,,
txn:133288,,IF,species,Anatrisauropus ginsburgi,txn:133287,ref:28154,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Anatrisauropus,,,,,
txn:404567,,IF,genus,Paragrallator,txn:276209,ref:70980,0,0,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Paragrallator,Grallator matsiengensis,,,,
txn:85807,,I,genus,Saurischichnus,txn:38505,ref:29902,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischichnus,Saurischichnus primitivus,,,,
txn:85808,,I,species,Saurischichnus primitivus,txn:85807,ref:29902,0,1,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischichnus,,,,,
txn:67377,,IF,genus,Plesiornis,txn:38505,ref:14321,0,5,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Plesiornis,,,,,
txn:67378,,IF,species,Plesiornis pilulatus,txn:67377,ref:14321,0,4,Chordata,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Plesiornis,,,,,
txn:38633,var:91972,,unranked clade,Sauropodomorpha,txn:38505,ref:4783,0,4181,Chordata,Saurischia,,,,,,,,
txn:54157,,,family,Plateosauridae,txn:38633,ref:9055,0,72,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,,Plateosaurus,,,,
txn:38644,,,genus,Plateosaurus,txn:54157,ref:23495,0,36,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,,,,
txn:57402,,,species,Plateosaurus erlenbergiensis,txn:38644,ref:16920,0,1,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,,,,
txn:64679,,,species,Plateosaurus trossingensis,txn:38644,ref:26308,0,4,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,,,,
txn:57400,,,species,Plateosaurus reinigeri,txn:38644,ref:16920,0,1,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,"nomen dubium, species not entered",txn:38644,5.0,Plateosaurus
txn:56683,,,species,Plateosaurus engelhardti,txn:38644,ref:23495,0,4,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,,,,
txn:38645,,,genus,Sellosaurus,txn:54157,ref:16920,0,36,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,subjective synonym of,txn:38644,5.0,Plateosaurus
txn:57417,var:57418,,species,Plateosaurus elizae,txn:38644,ref:45243,0,1,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,,,,
txn:57401,,,species,Plateosaurus quenstedti,txn:38644,ref:16920,0,2,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,"nomen dubium, species not entered",txn:38644,5.0,Plateosaurus
txn:54996,var:56596,,species,Plateosaurus gracilis,txn:38644,ref:16920,0,5,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,,,,
txn:64685,,,species,Thecodontosaurus hermannianus,txn:38644,ref:16920,0,5,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,subjective synonym of,txn:54996,3.0,Plateosaurus gracilis
txn:64684,,,species,Plateosaurus longiceps,txn:38644,ref:12781,0,2,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,,,,
txn:64680,,,species,Plateosaurus fraasianus,txn:38644,ref:29483,0,2,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,subjective synonym of,txn:64684,3.0,Plateosaurus longiceps
txn:65096,,,species,Plateosaurus integer,txn:38644,ref:12994,0,2,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,subjective synonym of,txn:64684,3.0,Plateosaurus longiceps
txn:64742,var:65084,,species,Plateosaurus ingens,txn:38644,ref:34081,0,0,Chordata,Saurischia,Plateosauridae,NO_ORDER_SPECIFIED,Plateosaurus,,,,,
