accepted_name,genus,family,order,guild,n_occurrences
Paratomarctus euthos,Paratomarctus,Canidae,Carnivora,predator,26
Dromomeryx borealis,Dromomeryx,Dromomerycidae,Artiodactyla,herbivore,26
Hypohippus osborni,Hypohippus,Equidae,Perissodactyla,herbivore,26
Merychyus minimus,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,26
Calippus regulus,Calippus,Equidae,Perissodactyla,herbivore,26
Protomarctus optatus,Protomarctus,Canidae,Carnivora,predator,26
Calippus,Calippus,Equidae,Perissodactyla,herbivore,26
Cormohipparion occidentale,Cormohipparion,Equidae,Perissodactyla,herbivore,25
Ustatochoerus medius novomexicanus,Ustatochoerus,Merycoidodontidae,Artiodactyla,herbivore,25
Leptocyon leidyi,Leptocyon,Canidae,Carnivora,predator,25
Borophagus,Borophagus,Canidae,Carnivora,predator,25
Cupidinimus nebraskensis,Cupidinimus,Heteromyidae,Rodentia,herbivore,25
Nannippus aztecus,Nannippus,Equidae,Perissodactyla,herbivore,25
Peraceras superciliosum,Peraceras,Rhinocerotidae,Perissodactyla,herbivore,25
Metatomarctus canavus,Metatomarctus,Canidae,Carnivora,predator,25
Acritohippus stylodontus,Acritohippus,Equidae,Perissodactyla,herbivore,25
Merychippus gunteri,Merychippus,Equidae,Perissodactyla,herbivore,25
Tamias ateles,Tamias,Sciuridae,Rodentia,herbivore,24
Pseudhipparion skinneri,Pseudhipparion,Equidae,Perissodactyla,herbivore,24
Domninoides,Domninoides,Talpidae,NO_ORDER_SPECIFIED,other,24
Peraceras profectum,Peraceras,Rhinocerotidae,Perissodactyla,herbivore,23
Calippus placidus,Calippus,Equidae,Perissodactyla,herbivore,23
Ischyrocyon,Ischyrocyon,Amphicyonidae,Carnivora,predator,23
Eucastor,Eucastor,Castoridae,Rodentia,herbivore,23
Aphelops mutilus,Aphelops,Rhinocerotidae,Perissodactyla,herbivore,23
Alforjas,Alforjas,Camelidae,Artiodactyla,herbivore,23
Protohippus supremus,Protohippus,Equidae,Perissodactyla,herbivore,22
Calippus proplacidus,Calippus,Equidae,Perissodactyla,herbivore,22
Oreolagus nebrascensis,Oreolagus,Ochotonidae,Lagomorpha,herbivore,22
Merychyus relictus,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,22
Stirtonhyus xiphodonticus,Stirtonhyus,Tayassuidae,Artiodactyla,herbivore,22
Hypohippus affinis,Hypohippus,Equidae,Perissodactyla,herbivore,22
Neohipparion trampasense,Neohipparion,Equidae,Perissodactyla,herbivore,22
Merychippus,Merychippus,Equidae,Perissodactyla,herbivore,21
Teleoceras meridianum,Teleoceras,Rhinocerotidae,Perissodactyla,herbivore,21
Neohipparion affine,Neohipparion,Equidae,Perissodactyla,herbivore,21
Calippus hondurensis,Calippus,Equidae,Perissodactyla,herbivore,21
Vulpes stenognathus,Vulpes,Canidae,Carnivora,predator,21
Metechinus amplior,Metechinus,Erinaceidae,NO_ORDER_SPECIFIED,other,21
Gomphotherium obscurum,Mammut,Mammutidae,Proboscidea,herbivore,21
Scalopoides,Scalopoides,Talpidae,NO_ORDER_SPECIFIED,other,21
Astrohippus stockii,Astrohippus,Equidae,Perissodactyla,herbivore,21
Limnoecus tricuspis,Limnoecus,Soricidae,NO_ORDER_SPECIFIED,other,21
Megasminthus tiheni,Megasminthus,Zapodidae,Rodentia,herbivore,21
Merychippus insignis,Merychippus,Equidae,Perissodactyla,herbivore,21
Merycodus sabulonis,Merycodus,Antilocapridae,Artiodactyla,herbivore,21
Procranioceras skinneri,Procranioceras,Dromomerycidae,Artiodactyla,herbivore,20
Pseudaelurus,Pseudaelurus,Felidae,Carnivora,predator,20
Tomarctus brevirostris,Tomarctus,Canidae,Carnivora,predator,20
Untermannerix copiosus,Untermannerix,Erinaceidae,NO_ORDER_SPECIFIED,other,20
Michenia,Michenia,Camelidae,Artiodactyla,herbivore,20
Merycodus,Merycodus,Antilocapridae,Artiodactyla,herbivore,20
Cupidinimus,Cupidinimus,Heteromyidae,Rodentia,herbivore,20
Brachycrus,Brachycrus,Merycoidodontidae,Artiodactyla,herbivore,20
Paracynarctus kelloggi,Paracynarctus,Canidae,Carnivora,predator,19
Teleoceras hicksi,Teleoceras,Rhinocerotidae,Perissodactyla,herbivore,19
Mojavemys lophatus,Mojavemys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,19
Parahippus leonensis,Parahippus,Equidae,Perissodactyla,herbivore,19
Promerycochoerus carrikeri,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,19
Cormohipparion plicatile,Cormohipparion,Equidae,Perissodactyla,herbivore,19
Protospermophilus,Protospermophilus,Sciuridae,Rodentia,herbivore,19
Dinohippus spectans,Dinohippus,Equidae,Perissodactyla,herbivore,19
Megatylopus matthewi,Megatylopus,Camelidae,Artiodactyla,herbivore,18
Leptocyon matthewi,Leptocyon,Canidae,Carnivora,predator,18
Pseudoceras skinneri,Pseudoceras,Gelocidae,Artiodactyla,herbivore,18
Merychippus coloradense,Merychippus,Equidae,Perissodactyla,herbivore,18
Bouromeryx americanus,Bouromeryx,Dromomerycidae,Artiodactyla,herbivore,18
Protolabis heterodontus,Protolabis,Camelidae,Artiodactyla,herbivore,18
Archaeolagus,Archaeolagus,Leporidae,Lagomorpha,herbivore,18
Pseudoblastomeryx advena,Pseudoblastomeryx,Moschidae,Artiodactyla,herbivore,18
Merycodus necatus,Merycodus,Antilocapridae,Artiodactyla,herbivore,18
Hypolagus parviplicatus,Hypolagus,Leporidae,Lagomorpha,herbivore,18
Monosaulax,Monosaulax,Castoridae,Rodentia,herbivore,18
Acritohippus quinni,Acritohippus,Equidae,Perissodactyla,herbivore,17
Merychyus arenarum,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,17
Tylocephalonyx skinneri,Tylocephalonyx,Chalicotheriidae,Perissodactyla,herbivore,17
Domninoides valentinensis,Domninoides,Talpidae,NO_ORDER_SPECIFIED,other,17
Carpocyon compressus,Carpocyon,Canidae,Carnivora,predator,17
Procamelus occidentalis,Procamelus,Camelidae,Artiodactyla,herbivore,17
Protohippus,Protohippus,Equidae,Perissodactyla,herbivore,17
Brachyerix macrotis,Brachyerix,Erinaceidae,NO_ORDER_SPECIFIED,other,17
Protospermophilus quatalensis,Protospermophilus,Sciuridae,Rodentia,herbivore,17
Amphicyon,Amphicyon,Amphicyonidae,Carnivora,predator,16
Alphagaulus vetus,Alphagaulus,Mylagaulidae,Rodentia,herbivore,16
Mesoscalops scopelotemos,Mesoscalops,Proscalopidae,NO_ORDER_SPECIFIED,other,16
Prosynthetoceras texanus,Prosynthetoceras,Protoceratidae,Artiodactyla,herbivore,16
Dinohippus interpolatus,Dinohippus,Equidae,Perissodactyla,herbivore,16
Miolabis,Miolabis,Camelidae,Artiodactyla,herbivore,16
Amphimachairodus coloradensis,Amphimachairodus,Felidae,Carnivora,predator,15
Copemys dentalis,Copemys,Cricetidae,Rodentia,herbivore,15
Menoceras arikarense,Menoceras,Rhinocerotidae,Perissodactyla,herbivore,15
Borophagus pugnator,Borophagus,Canidae,Carnivora,predator,15
Ischyrocyon gidleyi,Ischyrocyon,Amphicyonidae,Carnivora,predator,15
Petauristodon,Petauristodon,Sciuridae,Rodentia,herbivore,15
Mystipterus,Mystipterus,Talpidae,NO_ORDER_SPECIFIED,other,15
Cynarctus crucidens,Cynarctus,Canidae,Carnivora,predator,15
Trilophodon osborni,Gomphotherium,Gomphotheriidae,Proboscidea,herbivore,15
Protolabis yavapaiensis,Protolabis,Camelidae,Artiodactyla,herbivore,15
Peraceras hessei,Peraceras,Rhinocerotidae,Perissodactyla,herbivore,15
Bassariscus antiquus,Bassariscus,Procyonidae,Carnivora,predator,15
Dinohippus leidyanus,Dinohippus,Equidae,Perissodactyla,herbivore,15
Machairodus,Machairodus,Felidae,Carnivora,predator,15
Leptocyon,Leptocyon,Canidae,Carnivora,predator,15
Paramerychyus harrisonensis,Paramerychyus,Merycoidodontidae,Artiodactyla,herbivore,14
Copemys russelli,Copemys,Cricetidae,Rodentia,herbivore,14
Osbornodon fricki,Osbornodon,Canidae,Carnivora,predator,14
Merycodus warreni,Merycodus,Antilocapridae,Artiodactyla,herbivore,14
Pliotaxidea nevadensis,Pliotaxidea,Mustelidae,Carnivora,predator,14
Desmatippus avus,Desmatippus,Equidae,Perissodactyla,herbivore,14
Dipoides stirtoni,Dipoides,Castoridae,Rodentia,herbivore,14
Megalonyx,Megalonyx,Megalonychidae,Xenarthra,herbivore,14
Megahippus mckennai,Megahippus,Equidae,Perissodactyla,herbivore,14
Dipoides,Dipoides,Castoridae,Rodentia,herbivore,14
Mammut,Mammut,Mammutidae,Proboscidea,herbivore,14
Neohipparion leptode,Neohipparion,Equidae,Perissodactyla,herbivore,14
Pseudocyon,Pseudocyon,Amphicyonidae,Carnivora,predator,14
Parahippus cognatus,Parahippus,Equidae,Perissodactyla,herbivore,14
Aelurodon,Aelurodon,Canidae,Carnivora,predator,14
Anchitheriomys,Anchitheriomys,Castoridae,Rodentia,herbivore,14
Brachycrus siouense,Brachycrus,Merycoidodontidae,Artiodactyla,herbivore,14
Protohippus gidleyi,Protohippus,Equidae,Perissodactyla,herbivore,14
Agriotherium schneideri,Agriotherium,Ursidae,Carnivora,predator,14
Rakomeryx sinclairi,Rakomeryx,Dromomerycidae,Artiodactyla,herbivore,13
Merychippus brevidontus,Merychippus,Equidae,Perissodactyla,herbivore,13
Calippus cerasinus,Calippus,Equidae,Perissodactyla,herbivore,13
Russellagus vonhofi,Russellagus,Ochotonidae,Lagomorpha,herbivore,13
Plioceros,Plioceros,Antilocapridae,Artiodactyla,herbivore,13
Monosaulax curtus,Monosaulax,Castoridae,Rodentia,herbivore,13
Desmathyus brachydontus,Desmathyus,Tayassuidae,Artiodactyla,herbivore,13
Moropus,Moropus,Chalicotheriidae,Perissodactyla,herbivore,13
Megahippus,Megahippus,Equidae,Perissodactyla,herbivore,13
Limnoecus,Limnoecus,Soricidae,NO_ORDER_SPECIFIED,other,13
Leptarctus,Leptarctus,Mustelidae,Carnivora,predator,13
Rhynchotherium,Rhynchotherium,Gomphotheriidae,Proboscidea,herbivore,13
Perognathus trojectioansrum,Perognathus,Heteromyidae,Rodentia,herbivore,13
Eucyon ferox,Eucyon,Canidae,Carnivora,predator,13
Aepycamelus robustus,Aepycamelus,Camelidae,Artiodactyla,herbivore,12
Carpocyon robustus,Carpocyon,Canidae,Carnivora,predator,12
Copemys pagei,Copemys,Cricetidae,Rodentia,herbivore,12
Agriotherium,Agriotherium,Ursidae,Carnivora,predator,12
Amphicyon galushai,Amphicyon,Amphicyonidae,Carnivora,predator,12
Aelurodon asthenostylus,Aelurodon,Canidae,Carnivora,predator,12
Prosthennops serus,Prosthennops,Tayassuidae,Artiodactyla,herbivore,12
Carpocyon webbi,Carpocyon,Canidae,Carnivora,predator,12
Prosthennops,Prosthennops,Tayassuidae,Artiodactyla,herbivore,12
Merycochoerus matthewi,Merycochoerus,Merycoidodontidae,Artiodactyla,herbivore,12
Peraceras,Peraceras,Rhinocerotidae,Perissodactyla,herbivore,12
Dipoides wilsoni,Dipoides,Castoridae,Rodentia,herbivore,12
Archaeohippus mourningi,Archaeohippus,Equidae,Perissodactyla,herbivore,12
Stenomylus gracilis,Stenomylus,Camelidae,Artiodactyla,herbivore,12
Plionictis ogygia,Plionictis,Mustelidae,Carnivora,predator,12
Diceratherium,Diceratherium,Rhinocerotidae,Perissodactyla,herbivore,12
Parahippus pawniensis,Parahippus,Equidae,Perissodactyla,herbivore,12
Megatylopus gigas,Megatylopus,Camelidae,Artiodactyla,herbivore,12
Nannippus lenticularis,Nannippus,Equidae,Perissodactyla,herbivore,12
Pseudaelurus intrepidus,Pseudaelurus,Felidae,Carnivora,predator,12
Mesogaulus novellus,Mesogaulus,Mylagaulidae,Rodentia,herbivore,12
Daphoenodon (Borocyon) robustum,Daphoenodon (Borocyon),Amphicyonidae,Carnivora,predator,12
Protolabis coartatus,Protolabis,Camelidae,Artiodactyla,herbivore,12
Aphelops malacorhinus,Aphelops,Rhinocerotidae,Perissodactyla,herbivore,11
Acritohippus tertius,Acritohippus,Equidae,Perissodactyla,herbivore,11
Mesogaulus paniensis,Mesogaulus,Mylagaulidae,Rodentia,herbivore,11
Martes,Martes,Mustelidae,Carnivora,predator,11
Teleoceras americanum,Teleoceras,Rhinocerotidae,Perissodactyla,herbivore,11
Leptarctus primus,Leptarctus,Mustelidae,Carnivora,predator,11
Plesiosorex,Plesiosorex,Plesiosoricidae,NO_ORDER_SPECIFIED,other,11
Plesiosminthus clivosus,Plesiosminthus,Zapodidae,Rodentia,herbivore,11
Plesiogulo marshalli,Plesiogulo,Mustelidae,Carnivora,predator,11
Copemys tenuis,Copemys,Cricetidae,Rodentia,herbivore,11
Cormohipparion quinni,Cormohipparion,Equidae,Perissodactyla,herbivore,11
Miospermophilus wyomingensis,Miospermophilus,Sciuridae,Rodentia,herbivore,11
Miolabis fricki,Miolabis,Camelidae,Artiodactyla,herbivore,11
Cynelos,Cynelos,Amphicyonidae,Carnivora,predator,11
Sthenictis,Sthenictis,Mustelidae,Carnivora,predator,11
Synthetoceras tricornatus,Synthetoceras,Protoceratidae,Artiodactyla,herbivore,11
Ramoceros osborni,Ramoceros,Antilocapridae,Artiodactyla,herbivore,11
Paradomnina relictus,Paradomnina,Soricidae,NO_ORDER_SPECIFIED,other,11
Leidymys,Leidymys,Cricetidae,Rodentia,herbivore,11
Pterogaulus,Pterogaulus,Mylagaulidae,Rodentia,herbivore,11
Pseudotheridomys,Pseudotheridomys,Eomyidae,Rodentia,herbivore,11
Serridentinus floridanus,Gomphotherium,Gomphotheriidae,Proboscidea,herbivore,11
Texoceros,Texoceros,Antilocapridae,Artiodactyla,herbivore,10
Problastomeryx primus,Problastomeryx,Moschidae,Artiodactyla,herbivore,10
Schizodontomys harkseni,Schizodontomys,Heteromyidae,Rodentia,herbivore,10
Pseudoparablastomeryx scotti,Pseudoparablastomeryx,Leptomerycidae,Artiodactyla,herbivore,10
Phlaocyon minor,Phlaocyon,Canidae,Carnivora,predator,10
Barbourofelis whitfordi,Barbourofelis,Nimravidae,Carnivora,predator,10
Scaphohippus sumani,Scaphohippus,Equidae,Perissodactyla,herbivore,10
Plesiosorex donroosai,Plesiosorex,Plesiosoricidae,NO_ORDER_SPECIFIED,other,10
Pseudoparablastomeryx,Pseudoparablastomeryx,Leptomerycidae,Artiodactyla,herbivore,10
Dinohippus leardi,Dinohippus,Equidae,Perissodactyla,herbivore,10
Pediomeryx,Pediomeryx,Dromomerycidae,Artiodactyla,herbivore,10
Ceratogaulus rhinocerus,Ceratogaulus,Mylagaulidae,Rodentia,herbivore,10
Copemys barstowensis,Copemys,Cricetidae,Rodentia,herbivore,10
Merychippus relictus,Merychippus,Equidae,Perissodactyla,herbivore,10
Protospermophilus kelloggi,Protospermophilus,Sciuridae,Rodentia,herbivore,10
Prodipoides dividerus,Prodipoides,Castoridae,Rodentia,herbivore,10
Hystricops,Hystricops,Castoridae,Rodentia,herbivore,10
Merycoides stouti,Merycoides,Merycoidodontidae,Artiodactyla,herbivore,10
Merychyus calaminthus,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,10
Zygolophodon proavus,Zygolophodon,Mammutidae,Proboscidea,herbivore,10
Amebelodon,Amebelodon,Gomphotheriidae,Proboscidea,herbivore,10
Proheteromys,Proheteromys,Heteromyidae,Rodentia,herbivore,10
Hipparion forcei,Hipparion,Equidae,Perissodactyla,herbivore,10
Prosynthetoceras francisi,Prosynthetoceras,Protoceratidae,Artiodactyla,herbivore,10
Desmatippus integer,Desmatippus,Equidae,Perissodactyla,herbivore,10
Nothodipoides planus,Nothodipoides,Castoridae,Rodentia,herbivore,10
Barbouromeryx,Barbouromeryx,Dromomerycidae,Artiodactyla,herbivore,10
Nototamias,Nototamias,Sciuridae,Rodentia,herbivore,10
Oxydactylus,Oxydactylus,Camelidae,Artiodactyla,herbivore,10
Sphenophalos,Sphenophalos,Antilocapridae,Artiodactyla,herbivore,10
Blastomeryx,Blastomeryx,Moschidae,Artiodactyla,herbivore,10
Archaeohippus blackbergi,Archaeohippus,Equidae,Perissodactyla,herbivore,10
Harrymys magnus,Harrymys,Heteromyidae,Rodentia,herbivore,10
Aelurodon stirtoni,Aelurodon,Canidae,Carnivora,predator,9
Schizodontomys amnicolus,Schizodontomys,Heteromyidae,Rodentia,herbivore,9
Prosynthetoceras,Prosynthetoceras,Protoceratidae,Artiodactyla,herbivore,9
Merycochoerus proprius,Merycochoerus,Merycoidodontidae,Artiodactyla,herbivore,9
Subdromomeryx antilopinus,Subdromomeryx,Dromomerycidae,Artiodactyla,herbivore,9
Aletomeryx,Aletomeryx,Palaeomerycidae,Artiodactyla,herbivore,9
Aelurodon mcgrewi,Aelurodon,Canidae,Carnivora,predator,9
Protohippus vetus,Protohippus,Equidae,Perissodactyla,herbivore,9
Hexobelomeryx fricki,Hexobelomeryx,Antilocapridae,Artiodactyla,herbivore,9
Indarctos,Indarctos,Ursidae,Carnivora,predator,9
Bouromeryx submilleri,Bouromeryx,Dromomerycidae,Artiodactyla,herbivore,9
Cephalogale,Cephalogale,Ursidae,Carnivora,predator,9
Pseudotrimylus,Pseudotrimylus,Soricidae,NO_ORDER_SPECIFIED,other,9
Lanthanotherium sawini,Lanthanotherium,Erinaceidae,NO_ORDER_SPECIFIED,other,9
Mammut matthewi,Mammut,Mammutidae,Proboscidea,herbivore,9
Dikkomys matthewi,Dikkomys,Heteromyidae,Rodentia,herbivore,9
Pliohippus mirabilis,Pliohippus,Equidae,Perissodactyla,herbivore,9
Cynarctus saxatilis,Cynarctus,Canidae,Carnivora,predator,9
Cormohipparion,Cormohipparion,Equidae,Perissodactyla,herbivore,9
Microtoscoptes disjunctus,Microtoscoptes,Cricetidae,Rodentia,herbivore,9
Scapanus proceridens,Scapanus,Talpidae,NO_ORDER_SPECIFIED,other,9
Phlaocyon leucosteus,Phlaocyon,Canidae,Carnivora,predator,9
Parahippus,Parahippus,Equidae,Perissodactyla,herbivore,9
Astrohippus ansae,Astrohippus,Equidae,Perissodactyla,herbivore,9
Hesperhys vagrans,Hesperhys,Tayassuidae,Artiodactyla,herbivore,9
Archaeohippus ultimus,Archaeohippus,Equidae,Perissodactyla,herbivore,9
Nimravides thinobates,Nimravides,Felidae,Carnivora,predator,9
Myotis,Myotis,NO_FAMILY_SPECIFIED,Chiroptera,other,9
Schaubeumys cartomylos,Schaubeumys,Zapodidae,Rodentia,herbivore,9
Priscocamelus wilsoni,Priscocamelus,Camelidae,Artiodactyla,herbivore,9
Ustatochoerus californicus,Ustatochoerus,Merycoidodontidae,Artiodactyla,herbivore,8
Zygolophodon,Zygolophodon,Mammutidae,Proboscidea,herbivore,8
Proheteromys sulculus,Proheteromys,Heteromyidae,Rodentia,herbivore,8
Promartes lepidus,Promartes,Mustelidae,Carnivora,predator,8
Prodipoides burgensis,Prodipoides,Castoridae,Rodentia,herbivore,8
Borophagus hilli,Borophagus,Canidae,Carnivora,predator,8
Promerycochoerus superbus,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,8
Prodipoides katensis,Prodipoides,Castoridae,Rodentia,herbivore,8
Amphicyon ingens,Amphicyon,Amphicyonidae,Carnivora,predator,8
Merychippus primus,Merychippus,Equidae,Perissodactyla,herbivore,8
Copemys esmeraldensis,Copemys,Cricetidae,Rodentia,herbivore,8
Limnoecus niobrarensis,Limnoecus,Soricidae,NO_ORDER_SPECIFIED,other,8
Tapirus,Tapirus,Tapiridae,Perissodactyla,herbivore,8
Tapirus polkensis,Tapirus,Tapiridae,Perissodactyla,herbivore,8
Pliometanastes protistus,Pliometanastes,Megalonychidae,Xenarthra,herbivore,8
Hexobelomeryx,Hexobelomeryx,Antilocapridae,Artiodactyla,herbivore,8
Merycodus joraki,Merycodus,Antilocapridae,Artiodactyla,herbivore,8
Hesperolagomys fluviatilis,Hesperolagomys,Ochotonidae,Lagomorpha,herbivore,8
Plioceros floblairi,Plioceros,Antilocapridae,Artiodactyla,herbivore,8
Nanotragulus ordinatus,Nanotragulus,Hypertragulidae,Artiodactyla,herbivore,8
Monosaulax skinneri,Monosaulax,Castoridae,Rodentia,herbivore,8
Desmocyon matthewi,Desmocyon,Canidae,Carnivora,predator,8
Mioheteromys amplissimus,Mioheteromys,Heteromyidae,Rodentia,herbivore,8
Schaubeumys,Schaubeumys,Zapodidae,Rodentia,herbivore,8
Pliohippus tantalus,Pliohippus,Equidae,Perissodactyla,herbivore,8
Cormohipparion emsliei,Cormohipparion,Equidae,Perissodactyla,herbivore,8
Daphoenodon,Daphoenodon,Amphicyonidae,Carnivora,predator,8
Mustela,Mustela,Mustelidae,Carnivora,predator,8
Gripholagomys lavocati,Gripholagomys,Ochotonidae,Lagomorpha,herbivore,8
Metechinus fergusoni,Metechinus,Erinaceidae,NO_ORDER_SPECIFIED,other,8
Pediomeryx hemphillensis,Pediomeryx,Dromomerycidae,Artiodactyla,herbivore,8
Diceratherium annectens,Diceratherium,Rhinocerotidae,Perissodactyla,herbivore,8
Paronychomys,Paronychomys,Cricetidae,Rodentia,herbivore,8
Paramiolabis tenuis,Paramiolabis,Camelidae,Artiodactyla,herbivore,8
Phlaocyon annectens,Phlaocyon,Canidae,Carnivora,predator,8
Bensonomys,Bensonomys,Cricetidae,Rodentia,herbivore,8
Paracosoryx,Paracosoryx,Antilocapridae,Artiodactyla,herbivore,8
Ramoceros,Ramoceros,Antilocapridae,Artiodactyla,herbivore,8
Megalonyx curvidens,Megalonyx,Megalonychidae,Xenarthra,herbivore,8
Megalictis ferox,Megalictis,Mustelidae,Carnivora,predator,8
Ysengrinia americana,Ysengrinia,Amphicyonidae,Carnivora,predator,8
Archaeohippus penultimus,Archaeohippus,Equidae,Perissodactyla,herbivore,8
Leptarctus oregonensis,Leptarctus,Mustelidae,Carnivora,predator,8
Leptodontomys,Leptodontomys,Eomyidae,Rodentia,herbivore,8
Tedfordhyus occidentalis,Tedfordhyus,Tayassuidae,Artiodactyla,herbivore,8
Ticholeptus,Ticholeptus,Merycoidodontidae,Artiodactyla,herbivore,8
Ammospermophilus junturensis,Ammospermophilus,Sciuridae,Rodentia,herbivore,7
Tephrocyon rurestris,Tephrocyon,Canidae,Carnivora,predator,7
Blickomylus galushai,Blickomylus,Camelidae,Artiodactyla,herbivore,7
