country,iso3,n,mu_const,mu_H0,mu_H1,M0_level_rmse,M0_change_rmse,M0_aic,M0_bic,M0_loocv,M1_level_rmse,M1_change_rmse,M1_aic,M1_bic,M1_loocv,M2_level_rmse,M2_change_rmse,M2_aic,M2_bic,M2_loocv
Greece,GRC,20,6.0,6.0,-0.1,0.8064965350959851,0.4191450909164401,-2.602227105972295,0.384969714689678,0.9132565434849379,0.15970691133561632,0.24367721039042367,-65.37659790822522,-61.39366881400926,0.19552256590886175,0.15936179700907532,0.24321274024668518,-63.463128351882276,-58.48446698411232,0.19499714099823112
Hungary,HUN,20,19.0,18.0,0.30000000000000004,0.35879158218763896,0.2767496899367302,-35.00054440352835,-32.01334758286638,0.42795299248476376,0.2559107209777953,0.31386804224562376,-46.51706566036612,-42.53413656615016,0.3608498508744007,0.2546537054480491,0.313953769790162,-44.714026984656634,-39.73536561688668,0.3553278537008056
Iceland,ISL,20,19.0,0.0,0.15,0.42503801340895947,0.494845064473421,-28.22306682969345,-25.23587000903148,0.49905812140398526,0.28060228922995506,0.43374423184731703,-42.83267812031771,-38.84974902610175,0.3402961100889481,0.27707982467029674,0.4346161921775624,-41.337985544175964,-36.35932417640601,0.3363609543715785
Ireland,IRL,20,0.0,0.0,-0.1,0.12591526864121677,0.19913744698211572,-76.88584277368892,-73.89864595302694,0.1477328545105255,0.3563379239124293,0.2264976136496036,-33.27503095542605,-29.292101861210085,0.41484039605400835,0.35701468986021173,0.2266597790624324,-31.19913399924946,-26.22047263147951,0.41560249547573763
Israel,ISR,20,19.0,18.0,0.30000000000000004,0.4254826897923476,0.3327829068377693,-28.181240553415236,-25.194043732753265,0.5310447539741677,0.22093377653827567,0.2026840983863544,-52.39569104169911,-48.41276194748315,0.25686621826215916,0.21521729393713138,0.20153684893784346,-51.44428367047929,-46.465622302709335,0.2498282217302736
Italy,ITA,20,0.0,0.0,0.05000000000000002,0.26762682428189905,0.3181448343483366,-46.726468621416565,-43.739271800754594,0.3096237348427066,0.20701029290850292,0.326643287375985,-54.99947051029235,-51.016541416076386,0.25037208875486433,0.2060916310257909,0.32468608374379276,-53.17737593146981,-48.19871456369986,0.24963219074233944
Japan,JPN,20,19.0,18.0,0.30000000000000004,0.21677796746528225,0.24207670556050917,-55.1552656265429,-52.16806880588093,0.26006659777910585,0.13970557449679036,0.18784672976570613,-70.72872440695845,-66.74579531274249,0.15812486056049813,0.13939259293558087,0.18706028396787602,-68.81843669573055,-63.8397753279606,0.15773901245636962
Korea,KOR,20,0.0,0.0,0.1,0.1998267724402088,0.2133987469580523,-58.412177021885256,-55.424980201223285,0.2294939000296548,0.15825036387009317,0.2104379017067352,-65.74307674493653,-61.76014765072057,0.1852139443408206,0.15671825484310772,0.21050769330403712,-64.13222563665413,-59.153564268884175,0.1831596592380157
Latvia,LVA,20,0.0,0.0,0.30000000000000004,0.6400130355583535,0.48700773146594184,-11.850669391036732,-8.863472570374759,0.7035659245433168,0.3719300724371595,0.42601662174713606,-31.561976787936203,-27.57904769372024,0.4907308168132057,0.3547518110302955,0.4174788265496777,-31.4534743146437,-26.474812946873747,0.46526141260796106
Lithuania,LTU,20,1.0,2.0,-0.1,0.7769851025276464,0.4789861666381979,-4.093364074575495,-1.1061672539135223,0.9530289194208253,0.3055603635282924,0.355993929486574,-39.42431722392134,-35.44138812970538,0.36294032445922664,0.30355360955934363,0.34997374600054165,-37.68788185295543,-32.709220485185476,0.35846526129170114
Luxembourg,LUX,20,2.0,0.0,0.25,0.3659293904232043,0.4619731164316156,-34.21259546134605,-31.225398640684077,0.41362144252201183,0.299740148681678,0.42021980649248164,-40.193574029196775,-36.21064493498081,0.3652350358950424,0.2963566204676149,0.42318388130826967,-38.64767003875018,-33.669008670980226,0.3643759005930102
Mexico,MEX,20,0.0,2.0,-0.1,0.12078812787161292,0.11497565010601334,-78.5486911007857,-75.56149428012372,0.15049551312543083,0.17570353855542936,0.1367709306996273,-61.558285769367174,-57.57535667515121,0.20841144163984526,0.175460547585168,0.14600828219824985,-59.613642457282225,-54.63498108951227,0.20608867035538467
Netherlands,NLD,20,0.0,0.0,-0.1,0.1747862405805254,0.21138475747661364,-63.767661362931705,-60.78046454226973,0.2174653306903345,0.25359432308888,0.18850658200596773,-46.88077767863341,-42.897848584417446,0.29619503040324674,0.25383225139094684,0.1886364363674262,-44.84326630946671,-39.86460494169676,0.2964536407675891
New Zealand,NZL,20,4.0,4.0,-0.1,0.12194490001956801,0.15587689353955955,-78.16743901809775,-75.18024219743577,0.1428868062563217,0.23611708121424696,0.21076297136881694,-49.7370996054724,-45.75417051125644,0.2746136349612577,0.23284233558189987,0.21576438527114153,-48.29574903136502,-43.31708766359507,0.270128998532805
Norway,NOR,20,19.0,18.0,0.30000000000000004,0.17704229370472768,0.17567204237678283,-63.25466509869496,-60.267468278032986,0.216641868925671,0.13146076352789363,0.10798212448135831,-73.16187392404373,-69.17894482982777,0.15589829511152772,0.1302152995292695,0.10680288024285148,-71.54264192823544,-66.56398056046548,0.15423794126118837
Poland,POL,20,0.0,0.0,-0.1,0.24676495491182202,0.21590063134817863,-49.97275979838925,-46.98556297772728,0.2934926286756972,0.22122132599231975,0.2177867524319852,-52.34366414110486,-48.3607350468889,0.2683121581248562,0.22131223738659525,0.21778771885581838,-50.3272294291503,-45.34856806138035,0.26842104997008603
Portugal,PRT,20,19.0,0.0,0.30000000000000004,0.6297921564483095,0.46155258278058653,-12.494616977139017,-9.507420156477044,0.7172658528888891,0.25225498547732417,0.31793434708119994,-47.092594236428994,-43.10966514221303,0.2902211974990171,0.24529374859507586,0.31811177123141354,-46.21195251100423,-41.233291143234275,0.27989787656050547
Slovakia,SVK,20,2.0,2.0,-0.05,0.32545102658477965,0.4514573726590553,-38.9017313845554,-35.914534563893426,0.36638965274655744,0.15765737062605112,0.24470679850197272,-65.89324563939995,-61.91031654518399,0.18796174332787802,0.15737209866744006,0.24482546258622082,-63.965688903130314,-58.98702753536036,0.1884527522847045
Slovenia,SVN,20,0.0,0.0,0.05000000000000002,0.39247643710376495,0.41144931305877974,-31.41115105673471,-28.42395423607274,0.48130993063746935,0.34916975265540523,0.26628167986622653,-34.0878831095642,-30.10495401534824,0.4318442035704715,0.34603841305291455,0.2642451837834214,-32.44821958810293,-27.469558220332978,0.42733788012201257
Spain,ESP,20,0.0,0.0,0.05000000000000002,0.4830884216516569,0.3592645610190013,-23.102222979304756,-20.115026158642785,0.5574023920246712,0.20800200541696395,0.28303685806523926,-54.80830231598344,-50.82537322176748,0.24921142944539545,0.20492847493444,0.27916611944380887,-53.40377053933149,-48.42510917156154,0.2453892529777132
Sweden,SWE,20,19.0,18.0,0.30000000000000004,0.13034489037975844,0.1660291809805682,-75.50285354422496,-72.51565672356298,0.15675590415965998,0.1286833391636442,0.15661919057262333,-74.01602510351981,-70.03309600930385,0.1545562029707899,0.12789376722617155,0.15599685403701177,-72.26221212807499,-67.28355076030503,0.1536545433729842
Switzerland,CHE,20,19.0,18.0,0.30000000000000004,0.18426420422652526,0.22565188606157296,-61.65538634982404,-58.66818952916207,0.2186852284452561,0.19283016091553642,0.226064022298551,-57.83781891026675,-53.854889816050786,0.22787035115234153,0.19179238853822797,0.22559588996270433,-56.053672067527614,-51.07501069975766,0.226651042504359
Turkey,TUR,20,19.0,18.0,0.30000000000000004,0.3271134515608275,0.320259698481904,-38.69792886351059,-35.71073204284862,0.3889167803516971,0.20611333621691477,0.2182636205366166,-55.1731634269405,-51.190234332724536,0.2396583430349016,0.20548169501644922,0.21717444744348893,-53.29593297436151,-48.31727160659156,0.2389113076199137
United Kingdom,GBR,20,0.0,0.0,-0.1,0.22028626997635548,0.21651363966526638,-54.51309405307592,-51.525897232413946,0.2692767457575216,0.28491745295431414,0.1840888671662752,-42.222231176947396,-38.239302082731434,0.35262698728233943,0.28537742915362424,0.18412583548597836,-40.1577064809019,-35.17904511313195,0.3531572035762984
United States,USA,20,0.0,0.0,0.30000000000000004,0.21031295247680226,0.1661390471475059,-56.3663443078211,-53.37914748715913,0.2514162616816337,0.27858737267233047,0.14579937380715657,-43.120941715340976,-39.138012621125014,0.3250743896117002,0.27717904273685123,0.14467019907566392,-41.32366471707531,-36.34500334930536,0.3231209326206079
