system,realm,scheme,time_bin,clade,spatial_resolution_deg,n_sites,n_collections,n_occurrences,gamma,median_alpha,median_occupancy,collections_per_site,occurrences_per_site
paleozoic_marine,marine,stage,Serpukhovian,Bivalvia,5,31,203,789,95,3.0,1.0,2.0,4.0
paleozoic_marine,marine,stage,Sheinwoodian,Bivalvia,5,20,74,166,49,2.0,1.0,2.0,3.0
paleozoic_marine,marine,stage,Telychian,Bivalvia,5,32,100,280,66,3.0,1.0,1.0,3.0
paleozoic_marine,marine,stage,Tournaisian,Bivalvia,5,26,58,164,46,2.0,2.0,1.0,3.0
paleozoic_marine,marine,stage,Tremadocian,Bivalvia,5,11,27,41,19,2.0,1.0,2.0,4.0
paleozoic_marine,marine,stage,Visean,Bivalvia,5,40,281,825,101,3.5,2.0,1.0,3.5
paleozoic_marine,marine,stage,Wordian,Bivalvia,5,45,233,697,124,6.0,2.0,3.0,9.0
paleozoic_marine,marine,stage,Wuchiapingian,Bivalvia,5,74,874,2382,172,5.0,2.0,3.0,9.0
paleozoic_marine,marine,stage,Aeronian,Brachiopoda,5,32,315,1210,188,7.0,1.0,1.5,9.0
paleozoic_marine,marine,stage,Artinskian,Brachiopoda,5,73,1107,3770,369,10.0,2.0,5.0,17.0
paleozoic_marine,marine,stage,Asselian,Brachiopoda,5,64,567,2726,270,7.5,2.0,3.0,10.0
paleozoic_marine,marine,stage,Bashkirian,Brachiopoda,5,43,223,985,133,5.0,1.0,2.0,6.0
paleozoic_marine,marine,stage,Capitanian,Brachiopoda,5,75,716,3940,371,7.0,2.0,3.0,8.0
paleozoic_marine,marine,stage,Changhsingian,Brachiopoda,5,46,1283,6180,305,11.5,2.0,7.0,18.5
paleozoic_marine,marine,stage,Dapingian,Brachiopoda,5,22,334,1145,148,5.0,1.0,2.5,8.0
paleozoic_marine,marine,stage,Darriwilian,Brachiopoda,5,139,1378,4548,392,6.0,2.0,2.0,7.0
paleozoic_marine,marine,stage,Drumian,Brachiopoda,5,51,249,559,74,3.0,2.0,2.0,5.0
paleozoic_marine,marine,stage,Eifelian,Brachiopoda,5,52,453,2538,329,8.0,1.0,3.0,14.0
paleozoic_marine,marine,stage,Emsian,Brachiopoda,5,128,739,4262,482,8.0,2.0,2.0,11.0
paleozoic_marine,marine,stage,Famennian,Brachiopoda,5,59,487,2520,217,9.0,2.0,2.0,12.0
paleozoic_marine,marine,stage,Floian,Brachiopoda,5,75,537,1567,213,4.0,2.0,3.0,6.0
paleozoic_marine,marine,stage,Frasnian,Brachiopoda,5,74,1135,4377,228,10.0,2.0,3.5,14.5
paleozoic_marine,marine,stage,Givetian,Brachiopoda,5,94,1850,9192,277,6.5,2.0,2.0,7.5
paleozoic_marine,marine,stage,Gorstian,Brachiopoda,5,15,70,682,147,14.0,1.0,2.0,19.0
paleozoic_marine,marine,stage,Guzhangian,Brachiopoda,5,11,80,144,25,3.0,1.0,2.0,4.0
paleozoic_marine,marine,stage,Gzhelian,Brachiopoda,5,25,322,2123,162,16.0,1.0,5.0,22.0
paleozoic_marine,marine,stage,Hirnantian,Brachiopoda,5,47,481,1913,176,10.0,2.0,3.0,16.0
paleozoic_marine,marine,stage,Homerian,Brachiopoda,5,75,495,3796,309,8.0,2.0,2.0,11.0
paleozoic_marine,marine,stage,Jiangshanian,Brachiopoda,5,52,337,653,79,3.0,2.0,2.0,4.0
paleozoic_marine,marine,stage,Kasimovian,Brachiopoda,5,26,202,931,74,3.0,2.0,1.0,3.5
paleozoic_marine,marine,stage,Katian,Brachiopoda,5,143,3222,12721,445,12.0,3.0,4.0,16.0
paleozoic_marine,marine,stage,Kungurian,Brachiopoda,5,98,1425,7858,454,8.0,2.0,4.0,10.5
paleozoic_marine,marine,stage,Lochkovian,Brachiopoda,5,72,438,3606,313,15.0,2.0,3.0,19.5
paleozoic_marine,marine,stage,Ludfordian,Brachiopoda,5,61,470,2755,276,9.0,2.0,2.0,10.0
paleozoic_marine,marine,stage,Moscovian,Brachiopoda,5,51,352,1707,177,10.0,2.0,4.0,13.0
paleozoic_marine,marine,stage,Paibian,Brachiopoda,5,22,120,242,41,2.5,1.0,1.5,4.0
paleozoic_marine,marine,stage,Pragian,Brachiopoda,5,41,239,1885,309,12.0,2.0,2.0,18.0
paleozoic_marine,marine,stage,Rhuddanian,Brachiopoda,5,36,605,3098,192,12.5,2.0,7.5,26.0
paleozoic_marine,marine,stage,Roadian,Brachiopoda,5,115,1366,7276,425,7.0,2.0,4.0,10.0
paleozoic_marine,marine,stage,Sakmarian,Brachiopoda,5,81,890,2581,295,8.0,2.0,4.0,12.0
paleozoic_marine,marine,stage,Sandbian,Brachiopoda,5,106,1936,8175,389,8.0,2.0,3.0,11.5
paleozoic_marine,marine,stage,Serpukhovian,Brachiopoda,5,41,393,1703,137,11.0,2.0,2.0,18.0
paleozoic_marine,marine,stage,Sheinwoodian,Brachiopoda,5,38,371,2307,243,10.0,2.0,3.5,21.0
paleozoic_marine,marine,stage,Stage 10,Brachiopoda,5,20,71,143,37,2.0,1.0,2.0,2.0
paleozoic_marine,marine,stage,Stage 2,Brachiopoda,5,47,280,655,44,2.0,2.0,2.0,4.0
paleozoic_marine,marine,stage,Stage 3,Brachiopoda,5,40,365,817,60,3.0,2.0,1.5,4.0
paleozoic_marine,marine,stage,Stage 4,Brachiopoda,5,62,430,983,89,4.0,2.0,3.0,6.0
paleozoic_marine,marine,stage,Telychian,Brachiopoda,5,90,686,3713,290,7.0,2.0,2.0,10.0
paleozoic_marine,marine,stage,Tournaisian,Brachiopoda,5,59,430,2817,228,10.0,2.0,2.0,13.0
paleozoic_marine,marine,stage,Tremadocian,Brachiopoda,5,84,487,1086,162,4.0,1.0,3.0,6.5
paleozoic_marine,marine,stage,Visean,Brachiopoda,5,63,678,3910,237,9.0,2.0,2.0,12.0
paleozoic_marine,marine,stage,Wordian,Brachiopoda,5,78,1019,5098,379,10.5,2.0,5.0,15.0
paleozoic_marine,marine,stage,Wuchiapingian,Brachiopoda,5,92,2390,11973,379,10.5,2.0,4.0,18.0
paleozoic_marine,marine,stage,Wuliuan,Brachiopoda,5,24,45,152,46,2.0,1.0,1.0,3.0
paleozoic_marine,marine,stage,Aeronian,Cephalopoda,5,5,26,45,21,2.0,1.0,1.0,2.0
paleozoic_marine,marine,stage,Artinskian,Cephalopoda,5,47,236,896,115,3.0,2.0,2.0,4.0
paleozoic_marine,marine,stage,Asselian,Cephalopoda,5,25,81,290,71,3.0,1.0,2.0,3.0
paleozoic_marine,marine,stage,Bashkirian,Cephalopoda,5,31,262,1155,105,4.0,2.0,2.0,7.0
paleozoic_marine,marine,stage,Capitanian,Cephalopoda,5,22,81,157,47,3.0,1.0,2.0,4.0
paleozoic_marine,marine,stage,Changhsingian,Cephalopoda,5,28,658,1783,128,6.5,1.0,6.5,13.0
paleozoic_marine,marine,stage,Dapingian,Cephalopoda,5,7,17,26,10,1.0,1.0,2.0,2.0
paleozoic_marine,marine,stage,Darriwilian,Cephalopoda,5,79,355,885,155,4.0,2.0,2.0,4.0
paleozoic_marine,marine,stage,Eifelian,Cephalopoda,5,17,138,504,49,3.0,2.0,3.0,4.0
paleozoic_marine,marine,stage,Emsian,Cephalopoda,5,42,213,596,99,2.0,1.0,2.0,3.0
paleozoic_marine,marine,stage,Famennian,Cephalopoda,5,49,582,1549,137,6.0,2.0,2.0,9.0
paleozoic_marine,marine,stage,Floian,Cephalopoda,5,60,310,681,138,3.5,2.0,3.0,5.0
paleozoic_marine,marine,stage,Frasnian,Cephalopoda,5,34,343,1051,49,3.0,3.0,2.0,5.0
paleozoic_marine,marine,stage,Givetian,Cephalopoda,5,24,245,486,69,2.0,1.0,1.0,3.0
paleozoic_marine,marine,stage,Gorstian,Cephalopoda,5,6,9,30,17,3.0,1.0,1.0,3.5
paleozoic_marine,marine,stage,Gzhelian,Cephalopoda,5,14,183,904,67,6.0,2.0,2.5,7.0
paleozoic_marine,marine,stage,Hirnantian,Cephalopoda,5,8,15,38,27,3.5,1.0,1.0,4.5
paleozoic_marine,marine,stage,Homerian,Cephalopoda,5,22,75,104,25,2.0,1.0,1.0,2.0
paleozoic_marine,marine,stage,Kasimovian,Cephalopoda,5,8,78,165,52,5.0,1.0,3.0,5.0
paleozoic_marine,marine,stage,Katian,Cephalopoda,5,70,353,1324,131,3.5,2.0,2.0,5.0
paleozoic_marine,marine,stage,Kungurian,Cephalopoda,5,42,392,1190,116,2.0,1.0,2.0,3.0
paleozoic_marine,marine,stage,Lochkovian,Cephalopoda,5,13,25,56,25,1.0,1.0,2.0,2.0
paleozoic_marine,marine,stage,Ludfordian,Cephalopoda,5,18,82,213,51,2.5,1.0,2.0,4.5
paleozoic_marine,marine,stage,Moscovian,Cephalopoda,5,32,218,524,80,3.0,2.0,1.5,4.0
paleozoic_marine,marine,stage,Pragian,Cephalopoda,5,5,22,130,41,3.0,1.0,2.0,3.0
paleozoic_marine,marine,stage,Rhuddanian,Cephalopoda,5,6,17,29,13,2.0,1.0,2.5,3.0
paleozoic_marine,marine,stage,Roadian,Cephalopoda,5,49,216,527,108,3.0,1.0,2.0,4.0
paleozoic_marine,marine,stage,Sakmarian,Cephalopoda,5,28,86,198,67,2.5,1.0,1.5,3.0
paleozoic_marine,marine,stage,Sandbian,Cephalopoda,5,61,395,1314,137,3.0,2.0,2.0,4.0
paleozoic_marine,marine,stage,Serpukhovian,Cephalopoda,5,46,392,1632,129,3.0,2.0,2.0,5.0
paleozoic_marine,marine,stage,Sheinwoodian,Cephalopoda,5,17,74,149,42,3.0,1.0,2.0,3.0
paleozoic_marine,marine,stage,Telychian,Cephalopoda,5,28,100,301,90,4.5,1.0,1.5,5.0
paleozoic_marine,marine,stage,Tournaisian,Cephalopoda,5,38,176,801,85,3.0,1.0,2.0,3.5
paleozoic_marine,marine,stage,Tremadocian,Cephalopoda,5,48,295,856,129,5.0,1.0,4.0,9.0
paleozoic_marine,marine,stage,Visean,Cephalopoda,5,53,344,1060,128,4.0,2.0,3.0,6.0
paleozoic_marine,marine,stage,Wordian,Cephalopoda,5,30,129,299,67,2.0,1.0,2.0,2.5
paleozoic_marine,marine,stage,Wuchiapingian,Cephalopoda,5,44,363,960,147,3.0,2.0,3.0,4.5
paleozoic_marine,marine,stage,Aeronian,Crinoidea,5,7,30,67,32,2.0,1.0,3.0,4.0
paleozoic_marine,marine,stage,Artinskian,Crinoidea,5,16,40,354,135,5.0,1.0,1.5,5.0
paleozoic_marine,marine,stage,Asselian,Crinoidea,5,5,23,70,36,6.0,1.0,2.0,8.0
paleozoic_marine,marine,stage,Bashkirian,Crinoidea,5,12,66,232,69,3.5,1.0,2.0,5.0
paleozoic_marine,marine,stage,Capitanian,Crinoidea,5,6,16,22,16,2.0,1.0,2.0,3.0
paleozoic_marine,marine,stage,Darriwilian,Crinoidea,5,22,35,92,52,1.0,1.0,1.0,1.0
paleozoic_marine,marine,stage,Eifelian,Crinoidea,5,13,26,45,31,2.0,1.0,1.0,2.0
paleozoic_marine,marine,stage,Emsian,Crinoidea,5,36,80,246,94,3.0,1.0,1.5,3.5
paleozoic_marine,marine,stage,Famennian,Crinoidea,5,14,48,202,62,3.0,1.0,1.5,6.5
paleozoic_marine,marine,stage,Floian,Crinoidea,5,9,15,17,10,1.0,1.0,1.0,1.0
paleozoic_marine,marine,stage,Frasnian,Crinoidea,5,9,16,35,22,2.0,1.0,1.0,2.0
paleozoic_marine,marine,stage,Givetian,Crinoidea,5,17,130,268,64,4.0,1.0,1.0,4.0
paleozoic_marine,marine,stage,Hirnantian,Crinoidea,5,5,18,36,16,3.0,1.0,2.0,3.0
paleozoic_marine,marine,stage,Homerian,Crinoidea,5,18,83,533,84,3.5,1.5,1.5,5.0
paleozoic_marine,marine,stage,Kasimovian,Crinoidea,5,10,42,310,61,2.5,1.0,1.5,2.5
paleozoic_marine,marine,stage,Katian,Crinoidea,5,37,580,1188,80,3.0,2.0,2.0,5.0
paleozoic_marine,marine,stage,Kungurian,Crinoidea,5,13,49,146,61,3.0,1.0,2.0,3.0
paleozoic_marine,marine,stage,Lochkovian,Crinoidea,5,24,56,210,78,2.0,1.0,1.0,2.5
paleozoic_marine,marine,stage,Ludfordian,Crinoidea,5,15,33,106,56,2.0,1.0,1.0,3.0
paleozoic_marine,marine,stage,Moscovian,Crinoidea,5,13,23,66,38,3.0,1.0,1.0,3.0
paleozoic_marine,marine,stage,Pragian,Crinoidea,5,11,22,75,44,3.0,1.0,1.0,4.0
paleozoic_marine,marine,stage,Rhuddanian,Crinoidea,5,10,35,67,27,3.0,1.0,2.5,4.0
paleozoic_marine,marine,stage,Roadian,Crinoidea,5,10,21,75,36,1.0,1.0,1.0,1.0
paleozoic_marine,marine,stage,Sakmarian,Crinoidea,5,9,39,169,38,1.0,1.0,1.0,1.0
paleozoic_marine,marine,stage,Sandbian,Crinoidea,5,17,164,638,84,7.0,1.0,2.0,7.0
paleozoic_marine,marine,stage,Serpukhovian,Crinoidea,5,10,39,114,30,2.5,1.0,1.0,3.0
paleozoic_marine,marine,stage,Sheinwoodian,Crinoidea,5,9,26,117,51,3.0,1.0,3.0,4.0
paleozoic_marine,marine,stage,Telychian,Crinoidea,5,16,90,346,98,6.0,1.0,3.5,7.5
paleozoic_marine,marine,stage,Tournaisian,Crinoidea,5,21,118,1082,127,5.0,1.0,1.0,5.0
paleozoic_marine,marine,stage,Tremadocian,Crinoidea,5,7,13,18,14,1.0,1.0,1.0,2.0
paleozoic_marine,marine,stage,Visean,Crinoidea,5,21,220,1341,121,3.0,1.0,2.0,6.0
paleozoic_marine,marine,stage,Wordian,Crinoidea,5,12,34,54,21,1.0,1.0,1.0,1.0
paleozoic_marine,marine,stage,Wuchiapingian,Crinoidea,5,19,71,108,40,2.0,1.0,2.0,4.0
paleozoic_marine,marine,stage,Aeronian,Gastropoda,5,11,34,69,25,2.0,1.0,1.0,2.0
paleozoic_marine,marine,stage,Artinskian,Gastropoda,5,28,188,532,91,2.0,1.0,1.0,2.0
paleozoic_marine,marine,stage,Asselian,Gastropoda,5,30,106,343,94,2.5,1.0,1.0,3.0
paleozoic_marine,marine,stage,Bashkirian,Gastropoda,5,24,75,308,85,3.5,2.0,1.5,5.5
paleozoic_marine,marine,stage,Capitanian,Gastropoda,5,21,82,418,122,2.0,1.0,2.0,3.0
paleozoic_marine,marine,stage,Changhsingian,Gastropoda,5,24,180,550,104,3.5,1.0,2.0,5.5
paleozoic_marine,marine,stage,Dapingian,Gastropoda,5,10,29,46,21,1.5,1.0,1.5,2.0
paleozoic_marine,marine,stage,Darriwilian,Gastropoda,5,79,344,1021,90,3.0,3.0,2.0,4.0
paleozoic_marine,marine,stage,Eifelian,Gastropoda,5,22,111,512,124,2.0,1.0,1.0,2.5
paleozoic_marine,marine,stage,Emsian,Gastropoda,5,54,121,447,112,2.0,1.0,1.5,3.0
paleozoic_marine,marine,stage,Famennian,Gastropoda,5,19,56,184,67,4.0,1.0,1.0,4.0
paleozoic_marine,marine,stage,Floian,Gastropoda,5,57,147,300,46,2.0,2.5,1.0,3.0
paleozoic_marine,marine,stage,Frasnian,Gastropoda,5,28,92,290,78,2.0,1.0,1.0,2.5
paleozoic_marine,marine,stage,Givetian,Gastropoda,5,29,466,1614,212,5.0,1.0,1.0,7.0
paleozoic_marine,marine,stage,Gorstian,Gastropoda,5,9,30,334,104,6.0,1.0,1.0,13.0
paleozoic_marine,marine,stage,Gzhelian,Gastropoda,5,12,118,797,81,13.0,2.0,3.5,19.5
paleozoic_marine,marine,stage,Hirnantian,Gastropoda,5,18,49,136,51,3.5,1.0,2.0,4.0
paleozoic_marine,marine,stage,Homerian,Gastropoda,5,24,114,299,72,4.5,1.0,2.0,7.0
paleozoic_marine,marine,stage,Jiangshanian,Gastropoda,5,12,15,17,5,1.0,1.0,1.0,1.0
paleozoic_marine,marine,stage,Kasimovian,Gastropoda,5,17,95,459,74,8.0,2.0,1.0,9.0
paleozoic_marine,marine,stage,Katian,Gastropoda,5,82,689,2036,123,4.0,3.0,3.0,7.0
paleozoic_marine,marine,stage,Kungurian,Gastropoda,5,32,270,1295,140,2.5,2.0,2.0,4.5
paleozoic_marine,marine,stage,Lochkovian,Gastropoda,5,26,86,321,74,1.5,1.0,1.0,1.5
paleozoic_marine,marine,stage,Ludfordian,Gastropoda,5,22,94,381,106,5.0,1.5,1.0,5.5
paleozoic_marine,marine,stage,Moscovian,Gastropoda,5,36,254,1525,132,3.0,2.0,1.0,3.5
paleozoic_marine,marine,stage,Pragian,Gastropoda,5,18,71,415,148,7.5,1.0,1.5,13.0
paleozoic_marine,marine,stage,Rhuddanian,Gastropoda,5,15,47,160,49,7.0,1.0,2.0,9.0
paleozoic_marine,marine,stage,Roadian,Gastropoda,5,40,200,1073,130,2.0,2.0,1.0,3.0
paleozoic_marine,marine,stage,Sakmarian,Gastropoda,5,27,109,312,83,2.0,1.0,2.0,2.0
paleozoic_marine,marine,stage,Sandbian,Gastropoda,5,53,613,2930,98,4.0,3.0,2.0,6.0
paleozoic_marine,marine,stage,Serpukhovian,Gastropoda,5,20,120,517,93,8.0,2.0,3.0,11.0
paleozoic_marine,marine,stage,Sheinwoodian,Gastropoda,5,26,103,409,82,3.0,1.0,2.0,4.0
paleozoic_marine,marine,stage,Stage 10,Gastropoda,5,8,24,39,5,1.0,2.0,2.0,2.5
paleozoic_marine,marine,stage,Telychian,Gastropoda,5,42,148,404,85,3.5,2.0,2.0,4.0
paleozoic_marine,marine,stage,Tournaisian,Gastropoda,5,27,122,560,87,5.0,1.0,2.0,7.0
paleozoic_marine,marine,stage,Tremadocian,Gastropoda,5,58,268,826,51,3.0,3.0,2.0,4.0
paleozoic_marine,marine,stage,Visean,Gastropoda,5,40,335,1152,139,6.5,2.0,2.0,9.0
paleozoic_marine,marine,stage,Wordian,Gastropoda,5,31,110,337,98,4.0,1.0,2.0,5.0
paleozoic_marine,marine,stage,Wuchiapingian,Gastropoda,5,41,381,1051,126,4.0,2.0,3.0,6.0
paleozoic_marine,marine,stage,Aeronian,Trilobita,5,17,89,373,93,5.0,1.0,3.0,7.0
paleozoic_marine,marine,stage,Artinskian,Trilobita,5,10,23,29,8,1.0,1.0,1.0,1.0
paleozoic_marine,marine,stage,Asselian,Trilobita,5,11,24,35,14,1.0,1.0,1.0,1.0
paleozoic_marine,marine,stage,Bashkirian,Trilobita,5,14,45,53,8,1.0,1.5,1.5,1.5
paleozoic_marine,marine,stage,Capitanian,Trilobita,5,15,37,45,16,1.0,1.0,1.0,1.0
paleozoic_marine,marine,stage,Changhsingian,Trilobita,5,6,39,44,7,1.5,1.0,6.5,7.0
paleozoic_marine,marine,stage,Dapingian,Trilobita,5,21,249,869,122,6.0,1.0,2.0,11.0
paleozoic_marine,marine,stage,Darriwilian,Trilobita,5,146,1532,5361,401,6.0,2.0,2.0,8.0
paleozoic_marine,marine,stage,Drumian,Trilobita,5,104,632,2415,369,7.0,1.0,2.0,11.0
paleozoic_marine,marine,stage,Eifelian,Trilobita,5,44,255,970,163,3.0,2.0,2.0,4.0
paleozoic_marine,marine,stage,Emsian,Trilobita,5,83,284,1460,241,4.0,2.0,2.0,5.0
paleozoic_marine,marine,stage,Famennian,Trilobita,5,37,216,537,75,3.0,2.0,3.0,6.0
paleozoic_marine,marine,stage,Floian,Trilobita,5,90,752,2638,318,7.0,2.0,3.0,10.0
paleozoic_marine,marine,stage,Frasnian,Trilobita,5,32,127,277,56,2.0,2.0,1.5,2.5
paleozoic_marine,marine,stage,Givetian,Trilobita,5,43,539,922,80,2.0,1.0,2.0,3.0
paleozoic_marine,marine,stage,Gorstian,Trilobita,5,12,59,185,60,7.0,1.0,3.5,12.5
paleozoic_marine,marine,stage,Guzhangian,Trilobita,5,40,343,1583,208,7.0,1.0,3.0,10.0
paleozoic_marine,marine,stage,Gzhelian,Trilobita,5,10,35,50,8,1.0,1.0,2.5,3.0
paleozoic_marine,marine,stage,Hirnantian,Trilobita,5,38,172,336,89,3.0,1.0,2.0,4.5
paleozoic_marine,marine,stage,Homerian,Trilobita,5,45,234,1204,147,6.0,2.0,2.0,8.0
paleozoic_marine,marine,stage,Jiangshanian,Trilobita,5,86,1183,4561,461,8.0,2.0,3.5,14.0
paleozoic_marine,marine,stage,Katian,Trilobita,5,119,1887,5464,351,8.0,3.0,4.0,12.0
paleozoic_marine,marine,stage,Kungurian,Trilobita,5,16,53,73,15,1.0,2.0,1.0,1.5
paleozoic_marine,marine,stage,Lochkovian,Trilobita,5,47,158,541,99,3.0,2.0,2.0,5.0
paleozoic_marine,marine,stage,Ludfordian,Trilobita,5,33,175,523,102,4.0,1.0,3.0,5.0
paleozoic_marine,marine,stage,Moscovian,Trilobita,5,8,36,47,10,1.0,1.0,1.5,3.5
paleozoic_marine,marine,stage,Paibian,Trilobita,5,50,412,1621,181,4.0,1.0,2.0,7.5
paleozoic_marine,marine,stage,Pragian,Trilobita,5,33,237,1069,149,4.0,2.0,2.0,5.0
paleozoic_marine,marine,stage,Rhuddanian,Trilobita,5,26,131,413,84,4.5,1.0,2.5,5.0
paleozoic_marine,marine,stage,Roadian,Trilobita,5,16,68,135,20,1.0,1.0,1.5,2.0
paleozoic_marine,marine,stage,Sakmarian,Trilobita,5,10,14,14,7,1.0,1.0,1.0,1.0
paleozoic_marine,marine,stage,Sandbian,Trilobita,5,105,1250,4414,347,8.0,2.0,3.0,9.0
paleozoic_marine,marine,stage,Serpukhovian,Trilobita,5,16,48,53,9,1.0,1.0,2.0,2.0
paleozoic_marine,marine,stage,Sheinwoodian,Trilobita,5,26,146,446,86,3.5,1.0,2.0,4.5
paleozoic_marine,marine,stage,Stage 10,Trilobita,5,48,368,1340,229,6.0,1.0,4.0,12.0
paleozoic_marine,marine,stage,Stage 2,Trilobita,5,25,113,236,72,3.0,1.0,2.0,4.0
paleozoic_marine,marine,stage,Stage 3,Trilobita,5,52,363,800,186,4.0,1.0,2.0,6.0
paleozoic_marine,marine,stage,Stage 4,Trilobita,5,96,917,3161,400,4.0,2.0,2.5,7.0
paleozoic_marine,marine,stage,Telychian,Trilobita,5,57,365,1232,146,6.0,2.0,2.0,10.0
paleozoic_marine,marine,stage,Tournaisian,Trilobita,5,43,243,750,112,5.0,2.0,2.0,8.0
paleozoic_marine,marine,stage,Tremadocian,Trilobita,5,93,1575,4799,391,10.0,2.0,5.0,14.0
paleozoic_marine,marine,stage,Visean,Trilobita,5,37,220,405,91,2.0,1.0,2.0,2.0
paleozoic_marine,marine,stage,Wordian,Trilobita,5,14,24,47,15,1.5,1.0,1.0,2.0
paleozoic_marine,marine,stage,Wuchiapingian,Trilobita,5,13,25,33,10,1.0,1.0,2.0,2.0
paleozoic_marine,marine,stage,Wuliuan,Trilobita,5,47,289,1230,245,6.0,1.0,2.0,8.0
paleozoic_marine,marine,stage,Artinskian,Bivalvia,10,36,255,491,96,3.5,2.0,2.0,4.5
paleozoic_marine,marine,stage,Asselian,Bivalvia,10,27,150,363,75,2.0,1.0,2.0,4.0
paleozoic_marine,marine,stage,Bashkirian,Bivalvia,10,16,120,379,63,6.5,2.0,5.5,15.5
paleozoic_marine,marine,stage,Capitanian,Bivalvia,10,33,199,556,111,7.0,2.0,5.0,9.0
paleozoic_marine,marine,stage,Changhsingian,Bivalvia,10,32,481,1453,139,3.5,2.0,3.5,7.5
paleozoic_marine,marine,stage,Darriwilian,Bivalvia,10,42,283,632,89,2.5,1.0,2.0,3.5
paleozoic_marine,marine,stage,Eifelian,Bivalvia,10,22,69,200,66,3.0,1.0,2.0,5.0
paleozoic_marine,marine,stage,Emsian,Bivalvia,10,48,225,855,135,6.0,1.0,2.0,8.0
paleozoic_marine,marine,stage,Famennian,Bivalvia,10,18,120,356,63,5.0,2.0,3.0,7.0
paleozoic_marine,marine,stage,Floian,Bivalvia,10,14,71,214,63,5.5,1.0,4.0,8.5
paleozoic_marine,marine,stage,Frasnian,Bivalvia,10,25,366,845,70,4.0,2.0,1.0,5.0
paleozoic_marine,marine,stage,Givetian,Bivalvia,10,30,878,3016,92,3.5,2.0,2.0,5.0
paleozoic_marine,marine,stage,Gorstian,Bivalvia,10,11,27,147,57,1.0,1.0,1.0,1.0
paleozoic_marine,marine,stage,Gzhelian,Bivalvia,10,9,193,803,74,17.0,2.0,2.0,24.0
paleozoic_marine,marine,stage,Hirnantian,Bivalvia,10,12,29,76,39,2.5,1.0,1.5,3.0
paleozoic_marine,marine,stage,Homerian,Bivalvia,10,18,95,244,68,3.5,1.0,2.5,4.5
paleozoic_marine,marine,stage,Kasimovian,Bivalvia,10,12,85,312,62,3.5,2.0,1.0,3.5
paleozoic_marine,marine,stage,Katian,Bivalvia,10,35,618,1623,103,5.0,2.0,2.0,6.0
