clade,fine_scheme,coarse_scheme,fine_bin,coarse_bin,metric,fine_value,coarse_value,bias_time
Brachiopoda,stage,stage2,Dapingian,Dapingian+Darriwilian,beta_jaccard,0.9797965673715429,0.9678480987569131,-0.011948468614629726
Brachiopoda,stage,stage2,Dapingian,Dapingian+Darriwilian,sorensen,0.9627755897718036,0.9443297630495973,-0.018445826722206293
Brachiopoda,stage,stage2,Dapingian,Dapingian+Darriwilian,turnover,0.8982721784579369,0.8614555220211426,-0.036816656436794326
Brachiopoda,stage,stage2,Dapingian,Dapingian+Darriwilian,nestedness,0.06450341131386654,0.08287424102845471,0.01837082971458817
Brachiopoda,stage,stage2,Dapingian,Dapingian+Darriwilian,decay_slope,1.290223645685625e-06,3.4591065076165964e-06,2.1688828619309715e-06
Brachiopoda,stage,stage2,Sandbian,Sandbian+Katian,beta_jaccard,0.9565536645174988,0.9442593641078503,-0.012294300409648518
Brachiopoda,stage,stage2,Sandbian,Sandbian+Katian,sorensen,0.9236791212241018,0.9021074811531854,-0.021571640070916387
Brachiopoda,stage,stage2,Sandbian,Sandbian+Katian,turnover,0.802643144844776,0.7604145252925583,-0.04222861955221768
Brachiopoda,stage,stage2,Sandbian,Sandbian+Katian,nestedness,0.12103597637932594,0.1416929558606272,0.020656979481301255
Brachiopoda,stage,stage2,Sandbian,Sandbian+Katian,decay_slope,4.147624227217339e-06,4.502198852333167e-06,3.545746251158281e-07
Brachiopoda,stage,stage2,Katian,Sandbian+Katian,beta_jaccard,0.9387850782832818,0.9442593641078503,0.005474285824568437
Brachiopoda,stage,stage2,Katian,Sandbian+Katian,sorensen,0.8938736456016725,0.9021074811531854,0.008233835551512914
Brachiopoda,stage,stage2,Katian,Sandbian+Katian,turnover,0.7493664736352845,0.7604145252925583,0.011048051657273739
Brachiopoda,stage,stage2,Katian,Sandbian+Katian,nestedness,0.1445071719663879,0.1416929558606272,-0.002814216105760714
Brachiopoda,stage,stage2,Katian,Sandbian+Katian,decay_slope,5.393607269956776e-06,4.502198852333167e-06,-8.914084176236085e-07
Brachiopoda,stage,stage2,Hirnantian,Hirnantian+Rhuddanian,beta_jaccard,0.9162699664512662,0.9409950363317728,0.0247250698805066
Brachiopoda,stage,stage2,Hirnantian,Hirnantian+Rhuddanian,sorensen,0.8582755206927878,0.8973730579759115,0.03909753728312371
Brachiopoda,stage,stage2,Hirnantian,Hirnantian+Rhuddanian,turnover,0.6869822627484459,0.755698170507085,0.06871590775863912
Brachiopoda,stage,stage2,Hirnantian,Hirnantian+Rhuddanian,nestedness,0.17129325794434191,0.1416748874688265,-0.02961837047551541
Brachiopoda,stage,stage2,Hirnantian,Hirnantian+Rhuddanian,decay_slope,4.160995246181936e-06,3.2326267173460977e-06,-9.283685288358386e-07
Brachiopoda,stage,stage2,Telychian,Aeronian+Telychian,beta_jaccard,0.9579516895879858,0.9572271290978588,-0.0007245604901270353
Brachiopoda,stage,stage2,Telychian,Aeronian+Telychian,sorensen,0.9263446996570023,0.924797486523679,-0.0015472131333232886
Brachiopoda,stage,stage2,Telychian,Aeronian+Telychian,turnover,0.7919424888020347,0.7906533977647755,-0.0012890910372591602
Brachiopoda,stage,stage2,Telychian,Aeronian+Telychian,nestedness,0.13440221085496765,0.13414408875890366,-0.0002581220960639896
Brachiopoda,stage,stage2,Telychian,Aeronian+Telychian,decay_slope,3.480614837207473e-06,3.528596717998458e-06,4.798188079098491e-08
Brachiopoda,stage,stage2,Aeronian,Aeronian+Telychian,beta_jaccard,0.9604411217007554,0.9572271290978588,-0.003213992602896565
Brachiopoda,stage,stage2,Aeronian,Aeronian+Telychian,sorensen,0.9300869516309985,0.924797486523679,-0.005289465107319535
Brachiopoda,stage,stage2,Aeronian,Aeronian+Telychian,turnover,0.8027325457949845,0.7906533977647755,-0.012079148030209041
Brachiopoda,stage,stage2,Aeronian,Aeronian+Telychian,nestedness,0.12735440583601407,0.13414408875890366,0.006789682922889589
Brachiopoda,stage,stage2,Aeronian,Aeronian+Telychian,decay_slope,2.6133811741414527e-06,3.528596717998458e-06,9.152155438570054e-07
Brachiopoda,stage,stage2,Homerian,Sheinwoodian+Homerian,beta_jaccard,0.9347621190223515,0.9389646230288233,0.004202504006471819
Brachiopoda,stage,stage2,Homerian,Sheinwoodian+Homerian,sorensen,0.8878903949977138,0.8954260103878778,0.007535615390164008
Brachiopoda,stage,stage2,Homerian,Sheinwoodian+Homerian,turnover,0.7281280424891065,0.7348361867999891,0.006708144310882624
Brachiopoda,stage,stage2,Homerian,Sheinwoodian+Homerian,nestedness,0.15976235250860746,0.16058982358788873,0.0008274710792812723
Brachiopoda,stage,stage2,Homerian,Sheinwoodian+Homerian,decay_slope,5.927464019485153e-06,5.170119862309903e-06,-7.573441571752498e-07
Brachiopoda,stage,stage2,Sheinwoodian,Sheinwoodian+Homerian,beta_jaccard,0.9488814353237675,0.9389646230288233,-0.009916812294944122
Brachiopoda,stage,stage2,Sheinwoodian,Sheinwoodian+Homerian,sorensen,0.9122311544970185,0.8954260103878778,-0.01680514410914069
Brachiopoda,stage,stage2,Sheinwoodian,Sheinwoodian+Homerian,turnover,0.7844719353340104,0.7348361867999891,-0.04963574853402131
Brachiopoda,stage,stage2,Sheinwoodian,Sheinwoodian+Homerian,nestedness,0.12775921916300814,0.16058982358788873,0.03283060442488059
Brachiopoda,stage,stage2,Sheinwoodian,Sheinwoodian+Homerian,decay_slope,4.762034470438321e-06,5.170119862309903e-06,4.080853918715821e-07
Brachiopoda,stage,stage2,Ludfordian,Gorstian+Ludfordian,beta_jaccard,0.944905301823451,0.9399295221692835,-0.0049757796541675114
Brachiopoda,stage,stage2,Ludfordian,Gorstian+Ludfordian,sorensen,0.9032107032164022,0.8945938298712148,-0.008616873345187348
Brachiopoda,stage,stage2,Ludfordian,Gorstian+Ludfordian,turnover,0.7874980281387728,0.763101525705505,-0.02439650243326774
Brachiopoda,stage,stage2,Ludfordian,Gorstian+Ludfordian,nestedness,0.11571267507762928,0.13149230416570978,0.015779629088080505
Brachiopoda,stage,stage2,Ludfordian,Gorstian+Ludfordian,decay_slope,3.0135892146652803e-06,3.147586807421628e-06,1.3399759275634754e-07
Brachiopoda,stage,stage2,Gorstian,Gorstian+Ludfordian,beta_jaccard,0.9370795095902981,0.9399295221692835,0.002850012578985428
Brachiopoda,stage,stage2,Gorstian,Gorstian+Ludfordian,sorensen,0.8901084754507113,0.8945938298712148,0.004485354420503573
Brachiopoda,stage,stage2,Gorstian,Gorstian+Ludfordian,turnover,0.7739975764038581,0.763101525705505,-0.010896050698353088
Brachiopoda,stage,stage2,Gorstian,Gorstian+Ludfordian,nestedness,0.11611089904685325,0.13149230416570978,0.015381405118856536
Brachiopoda,stage,stage2,Gorstian,Gorstian+Ludfordian,decay_slope,3.673288218615011e-06,3.147586807421628e-06,-5.257014111933832e-07
Brachiopoda,stage,stage2,Visean,Visean+Serpukhovian,beta_jaccard,0.9476466886890248,0.9432220815924535,-0.004424607096571331
Brachiopoda,stage,stage2,Visean,Visean+Serpukhovian,sorensen,0.9087618060940992,0.9038873454610549,-0.0048744606330443085
Brachiopoda,stage,stage2,Visean,Visean+Serpukhovian,turnover,0.7681183368722598,0.7335804951177847,-0.03453784175447516
Brachiopoda,stage,stage2,Visean,Visean+Serpukhovian,nestedness,0.14064346922183923,0.17030685034327012,0.029663381121430882
Brachiopoda,stage,stage2,Visean,Visean+Serpukhovian,decay_slope,2.867210226955617e-06,4.488997174606237e-06,1.6217869476506205e-06
Brachiopoda,stage,stage2,Rhuddanian,Hirnantian+Rhuddanian,beta_jaccard,0.9553901684901236,0.9409950363317728,-0.014395132158350754
Brachiopoda,stage,stage2,Rhuddanian,Hirnantian+Rhuddanian,sorensen,0.9212872012548211,0.8973730579759115,-0.023914143278909616
Brachiopoda,stage,stage2,Rhuddanian,Hirnantian+Rhuddanian,turnover,0.8074971873730183,0.755698170507085,-0.051799016865933356
Brachiopoda,stage,stage2,Rhuddanian,Hirnantian+Rhuddanian,nestedness,0.11379001388180277,0.1416748874688265,0.02788487358702374
Brachiopoda,stage,stage2,Rhuddanian,Hirnantian+Rhuddanian,decay_slope,2.0726925244853597e-06,3.2326267173460977e-06,1.159934192860738e-06
Brachiopoda,stage,stage2,Bashkirian,Bashkirian+Moscovian,beta_jaccard,0.9479079754687751,0.9445173454654193,-0.003390630003355821
Brachiopoda,stage,stage2,Bashkirian,Bashkirian+Moscovian,sorensen,0.9131706115261508,0.9030599805027191,-0.010110631023431682
Brachiopoda,stage,stage2,Bashkirian,Bashkirian+Moscovian,turnover,0.8324054858131611,0.8100378623962868,-0.02236762341687426
Brachiopoda,stage,stage2,Bashkirian,Bashkirian+Moscovian,nestedness,0.08076512571298973,0.09302211810643203,0.0122569923934423
Brachiopoda,stage,stage2,Bashkirian,Bashkirian+Moscovian,decay_slope,8.164806228039342e-06,5.089627818285889e-06,-3.0751784097534525e-06
Brachiopoda,stage,stage2,Lochkovian,Lochkovian+Pragian,beta_jaccard,0.9241188010632606,0.9406534587079292,0.01653465764466855
Brachiopoda,stage,stage2,Lochkovian,Lochkovian+Pragian,sorensen,0.8683823585452951,0.8960137451123336,0.027631386567038452
Brachiopoda,stage,stage2,Lochkovian,Lochkovian+Pragian,turnover,0.7539962674311426,0.7831520159546227,0.02915574852348013
Brachiopoda,stage,stage2,Lochkovian,Lochkovian+Pragian,nestedness,0.11438609111415265,0.1128617291577109,-0.001524361956441761
Brachiopoda,stage,stage2,Lochkovian,Lochkovian+Pragian,decay_slope,2.4751190850795338e-06,1.7924002471690419e-06,-6.827188379104919e-07
Brachiopoda,stage,stage2,Pragian,Lochkovian+Pragian,beta_jaccard,0.9653773741481815,0.9406534587079292,-0.02472391544025232
Brachiopoda,stage,stage2,Pragian,Lochkovian+Pragian,sorensen,0.9385503283422514,0.8960137451123336,-0.042536583229917824
Brachiopoda,stage,stage2,Pragian,Lochkovian+Pragian,turnover,0.8294155099640191,0.7831520159546227,-0.046263494009396444
Brachiopoda,stage,stage2,Pragian,Lochkovian+Pragian,nestedness,0.1091348183782322,0.1128617291577109,0.00372691077947869
Brachiopoda,stage,stage2,Pragian,Lochkovian+Pragian,decay_slope,-6.140345956052852e-08,1.7924002471690419e-06,1.8538037067295705e-06
