clade,stage,n_occurrences,n_collections,n_genera,n_cells10deg,feasible
Brachiopoda,Emsian,4845,829,492,91,True
Brachiopoda,Famennian,2675,527,225,39,True
Brachiopoda,Floian,1641,573,215,50,True
Brachiopoda,Fortunian,4,4,3,4,False
Brachiopoda,Frasnian,4523,1186,233,50,True
Brachiopoda,Givetian,9545,1939,283,56,True
Brachiopoda,Gorstian,713,76,149,16,True
Brachiopoda,Guzhangian,160,83,28,11,True
Brachiopoda,Gzhelian,2205,332,169,18,True
Brachiopoda,Hirnantian,1995,486,176,35,True
Brachiopoda,Homerian,4161,541,311,51,True
Brachiopoda,Jiangshanian,750,397,80,39,True
Brachiopoda,Kasimovian,982,213,75,24,True
Brachiopoda,Katian,12993,3277,447,75,True
Brachiopoda,Kungurian,8244,1490,464,69,True
Brachiopoda,Lochkovian,3787,484,314,51,True
Brachiopoda,Ludfordian,2896,508,277,50,True
Brachiopoda,Moscovian,1866,390,194,39,True
Brachiopoda,Paibian,267,129,41,21,True
Brachiopoda,Pragian,2054,272,321,34,True
Brachiopoda,Rhuddanian,3225,613,192,26,True
Brachiopoda,Roadian,7405,1404,428,69,True
Brachiopoda,Sakmarian,2634,903,295,55,True
Brachiopoda,Sandbian,8369,1957,399,75,True
Brachiopoda,Serpukhovian,1884,422,142,31,True
Brachiopoda,Sheinwoodian,2444,430,249,33,True
Brachiopoda,Stage 10,156,78,37,17,True
Brachiopoda,Stage 2,663,285,44,39,True
Brachiopoda,Stage 3,873,393,64,37,True
Brachiopoda,Stage 4,1064,481,89,46,True
Brachiopoda,Telychian,3858,717,290,59,True
Brachiopoda,Tournaisian,2942,447,232,40,True
Brachiopoda,Tremadocian,1155,522,162,57,True
Brachiopoda,Visean,4381,748,247,51,True
Brachiopoda,Wordian,5505,1112,407,59,True
Brachiopoda,Wuchiapingian,12080,2412,379,57,True
Brachiopoda,Wuliuan,161,48,46,23,True
Cephalopoda,Aeronian,53,33,21,11,True
Cephalopoda,Artinskian,908,241,115,34,True
Cephalopoda,Asselian,303,86,77,19,True
Cephalopoda,Bashkirian,1173,266,106,24,True
Cephalopoda,Capitanian,165,86,47,21,True
Cephalopoda,Changhsingian,1803,670,128,24,True
Cephalopoda,Dapingian,27,18,10,6,True
Cephalopoda,Darriwilian,921,384,155,53,True
Cephalopoda,Eifelian,547,165,49,20,True
Cephalopoda,Emsian,701,270,106,39,True
Cephalopoda,Famennian,1589,600,138,37,True
Cephalopoda,Floian,727,343,138,39,True
Cephalopoda,Frasnian,1099,369,49,23,True
Cephalopoda,Givetian,536,282,70,21,True
Cephalopoda,Gorstian,150,31,46,9,True
Cephalopoda,Gzhelian,953,215,67,12,True
Cephalopoda,Hirnantian,48,19,27,7,True
Cephalopoda,Homerian,197,119,45,27,True
Cephalopoda,Jiangshanian,13,3,7,2,False
Cephalopoda,Kasimovian,181,86,53,11,True
Cephalopoda,Katian,1431,449,131,50,True
Cephalopoda,Kungurian,1217,408,117,34,True
Cephalopoda,Lochkovian,135,83,32,27,True
Cephalopoda,Ludfordian,301,128,60,22,True
Cephalopoda,Moscovian,543,228,81,23,True
Cephalopoda,Pragian,151,38,41,11,True
Cephalopoda,Rhuddanian,31,19,13,6,True
Cephalopoda,Roadian,548,229,108,43,True
Cephalopoda,Sakmarian,215,90,69,25,True
Cephalopoda,Sandbian,1372,439,137,46,True
Cephalopoda,Serpukhovian,1677,403,130,30,True
Cephalopoda,Sheinwoodian,188,97,49,24,True
Cephalopoda,Stage 10,44,4,16,3,False
Cephalopoda,Stage 2,1,1,0,1,False
Cephalopoda,Telychian,349,144,90,30,True
Cephalopoda,Tournaisian,819,183,86,28,True
Cephalopoda,Tremadocian,913,340,129,36,True
Cephalopoda,Visean,1101,367,130,34,True
Cephalopoda,Wordian,474,148,84,26,True
Cephalopoda,Wuchiapingian,983,369,148,33,True
Crinoidea,Aeronian,90,49,33,10,True
Crinoidea,Artinskian,404,71,135,21,True
Crinoidea,Asselian,139,83,38,17,True
Crinoidea,Bashkirian,260,88,69,18,True
Crinoidea,Capitanian,31,24,16,10,True
Crinoidea,Changhsingian,12,12,1,6,False
Crinoidea,Dapingian,6,6,3,4,False
Crinoidea,Darriwilian,163,103,52,20,True
Crinoidea,Eifelian,103,78,31,27,True
Crinoidea,Emsian,431,247,95,53,True
Crinoidea,Famennian,300,125,62,23,True
Crinoidea,Floian,32,30,10,12,True
Crinoidea,Frasnian,228,207,22,21,True
Crinoidea,Givetian,596,433,64,29,True
Crinoidea,Gorstian,32,20,14,8,True
Crinoidea,Gzhelian,138,129,10,10,True
Crinoidea,Hirnantian,56,38,16,7,True
Crinoidea,Homerian,604,127,84,22,True
Crinoidea,Jiangshanian,12,12,0,4,False
Crinoidea,Kasimovian,552,195,61,14,True
Crinoidea,Katian,1295,658,80,33,True
Crinoidea,Kungurian,233,122,61,18,True
Crinoidea,Lochkovian,282,113,78,31,True
Crinoidea,Ludfordian,183,90,56,27,True
Crinoidea,Moscovian,198,123,49,19,True
Crinoidea,Paibian,1,1,0,1,False
Crinoidea,Pragian,107,51,44,15,True
Crinoidea,Rhuddanian,89,48,27,12,True
Crinoidea,Roadian,243,184,36,14,True
Crinoidea,Sakmarian,256,63,39,15,True
Crinoidea,Sandbian,1008,383,84,22,True
Crinoidea,Serpukhovian,177,100,30,17,True
Crinoidea,Sheinwoodian,149,51,51,11,True
Crinoidea,Stage 10,1,1,0,1,False
Crinoidea,Telychian,439,151,98,20,True
Crinoidea,Tournaisian,1175,185,127,22,True
Crinoidea,Tremadocian,23,18,14,8,True
Crinoidea,Visean,1609,353,121,25,True
Crinoidea,Wordian,66,45,23,15,True
Crinoidea,Wuchiapingian,239,196,40,21,True
Crinoidea,Wuliuan,2,2,0,1,False
Gastropoda,Aeronian,80,45,25,15,True
Gastropoda,Artinskian,570,205,91,24,True
Gastropoda,Asselian,362,117,94,25,True
Gastropoda,Bashkirian,350,90,85,20,True
Gastropoda,Capitanian,431,87,122,18,True
Gastropoda,Changhsingian,580,198,104,24,True
Gastropoda,Dapingian,56,33,21,11,True
Gastropoda,Darriwilian,1075,380,90,55,True
Gastropoda,Drumian,1,1,1,1,False
Gastropoda,Eifelian,603,142,136,23,True
Gastropoda,Emsian,634,227,129,51,True
Gastropoda,Famennian,262,98,67,21,True
Gastropoda,Floian,349,181,46,39,True
Gastropoda,Frasnian,439,209,78,30,True
Gastropoda,Givetian,1720,526,219,30,True
Gastropoda,Gorstian,368,45,105,12,True
Gastropoda,Gzhelian,879,183,81,10,True
Gastropoda,Hirnantian,155,58,51,16,True
Gastropoda,Homerian,404,165,72,27,True
Gastropoda,Jiangshanian,35,30,5,13,True
Gastropoda,Kasimovian,523,126,77,15,True
Gastropoda,Katian,2252,786,126,57,True
Gastropoda,Kungurian,1371,293,144,29,True
Gastropoda,Lochkovian,391,139,75,35,True
Gastropoda,Ludfordian,465,138,112,27,True
Gastropoda,Moscovian,1579,285,132,26,True
Gastropoda,Paibian,2,1,1,1,False
Gastropoda,Pragian,458,96,148,21,True
Gastropoda,Rhuddanian,176,58,49,14,True
Gastropoda,Roadian,1108,216,131,34,True
Gastropoda,Sakmarian,353,124,83,22,True
Gastropoda,Sandbian,3052,697,99,47,True
Gastropoda,Serpukhovian,602,144,98,18,True
Gastropoda,Sheinwoodian,463,131,83,28,True
Gastropoda,Stage 10,50,31,5,10,True
Gastropoda,Stage 3,2,2,0,2,False
Gastropoda,Stage 4,2,2,0,2,False
Gastropoda,Telychian,496,185,85,35,True
Gastropoda,Tournaisian,611,145,87,18,True
Gastropoda,Tremadocian,901,317,51,37,True
Gastropoda,Visean,1296,415,140,34,True
Gastropoda,Wordian,465,135,123,31,True
Gastropoda,Wuchiapingian,1102,410,126,32,True
Trilobita,Aeronian,401,107,93,16,True
Trilobita,Artinskian,29,23,8,9,True
Trilobita,Asselian,47,36,16,11,True
Trilobita,Bashkirian,55,47,8,10,True
Trilobita,Capitanian,45,37,16,10,True
Trilobita,Changhsingian,46,41,7,8,True
Trilobita,Dapingian,884,252,122,14,True
Trilobita,Darriwilian,5516,1570,401,87,True
Trilobita,Drumian,2469,642,369,67,True
Trilobita,Eifelian,1048,291,168,31,True
Trilobita,Emsian,1622,374,248,64,True
Trilobita,Famennian,564,227,75,24,True
Trilobita,Floian,2800,798,319,60,True
Trilobita,Fortunian,9,4,4,1,False
Trilobita,Frasnian,294,142,57,29,True
Trilobita,Givetian,985,575,82,32,True
Trilobita,Gorstian,213,65,62,10,True
Trilobita,Guzhangian,1620,344,210,30,True
Trilobita,Gzhelian,56,39,8,8,True
Trilobita,Hirnantian,354,180,89,28,True
Trilobita,Homerian,1308,268,147,34,True
Trilobita,Jiangshanian,4598,1194,461,54,True
Trilobita,Kasimovian,47,40,3,6,False
Trilobita,Katian,5745,1951,354,62,True
Trilobita,Kungurian,83,62,17,18,True
Trilobita,Lochkovian,621,198,99,38,True
Trilobita,Ludfordian,636,209,117,34,True
Trilobita,Moscovian,66,54,11,11,True
Trilobita,Paibian,1628,414,181,41,True
Trilobita,Pragian,1133,259,151,27,True
Trilobita,Rhuddanian,441,142,84,22,True
Trilobita,Roadian,161,88,20,16,True
Trilobita,Sakmarian,19,19,8,12,True
Trilobita,Sandbian,4713,1382,352,71,True
Trilobita,Serpukhovian,60,55,9,16,True
Trilobita,Sheinwoodian,488,159,87,28,True
Trilobita,Stage 10,1351,372,229,29,True
Trilobita,Stage 2,255,126,72,25,True
Trilobita,Stage 3,845,389,190,43,True
Trilobita,Stage 4,3339,990,403,64,True
Trilobita,Telychian,1361,394,147,41,True
Trilobita,Tournaisian,777,260,112,29,True
Trilobita,Tremadocian,4880,1593,391,63,True
Trilobita,Visean,440,241,94,28,True
Trilobita,Wordian,61,30,17,14,True
Trilobita,Wuchiapingian,33,25,10,12,True
Trilobita,Wuliuan,1237,290,245,37,True
