scheme,time_bin,time_start_ma,time_end_ma,duration_myr
20myr,6,418.79999999999995,398.79999999999995,20.0
20myr,7,398.79999999999995,378.79999999999995,20.0
20myr,8,378.79999999999995,358.79999999999995,20.0
20myr,9,358.79999999999995,338.79999999999995,20.0
20myr,10,338.79999999999995,318.79999999999995,20.0
20myr,11,318.79999999999995,298.79999999999995,20.0
20myr,12,298.79999999999995,278.79999999999995,20.0
20myr,13,278.79999999999995,258.79999999999995,20.0
20myr,14,258.79999999999995,251.902,6.897999999999968
stage,Changhsingian,254.14,251.902,2.2379999999999995
stage,Wuchiapingian,259.857,254.14,5.717000000000041
stage,Capitanian,264.28,259.857,4.422999999999945
stage,Wordian,266.9,264.28,2.6200000000000045
stage,Roadian,274.4,266.9,7.5
stage,Kungurian,283.3,274.4,8.900000000000034
stage,Artinskian,290.1,283.3,6.800000000000011
stage,Sakmarian,293.52,290.1,3.419999999999959
stage,Asselian,298.9,293.52,5.3799999999999955
stage,Gzhelian,303.7,298.9,4.800000000000011
stage,Kasimovian,307.0,303.7,3.3000000000000114
stage,Moscovian,315.2,307.0,8.199999999999989
stage,Bashkirian,323.4,315.2,8.199999999999989
stage,Serpukhovian,330.3,323.4,6.900000000000034
stage,Visean,346.7,330.3,16.399999999999977
stage,Tournaisian,358.86,346.7,12.160000000000025
stage,Famennian,372.15,358.86,13.289999999999964
stage,Frasnian,382.31,372.15,10.160000000000025
stage,Givetian,387.95,382.31,5.639999999999986
stage,Eifelian,393.47,387.95,5.520000000000039
stage,Emsian,410.62,393.47,17.149999999999977
stage,Pragian,413.02,410.62,2.3999999999999773
stage,Lochkovian,419.62,413.02,6.600000000000023
stage,Ludfordian,425.0,422.7,2.3000000000000114
stage,Gorstian,426.7,425.0,1.6999999999999886
stage,Homerian,430.6,426.7,3.900000000000034
stage,Sheinwoodian,432.9,430.6,2.2999999999999545
stage,Telychian,438.6,432.9,5.7000000000000455
stage,Aeronian,440.5,438.6,1.8999999999999773
stage,Rhuddanian,443.1,440.5,2.6000000000000227
stage,Hirnantian,445.2,443.1,2.099999999999966
stage,Katian,452.8,445.2,7.600000000000023
stage,Sandbian,458.2,452.8,5.399999999999977
stage,Darriwilian,469.4,458.2,11.199999999999989
stage,Dapingian,471.3,469.4,1.900000000000034
stage,Floian,477.1,471.3,5.800000000000011
stage,Tremadocian,486.85,477.1,9.75
stage,Stage 10,491.0,486.85,4.149999999999977
stage,Jiangshanian,494.2,491.0,3.1999999999999886
stage,Paibian,497.0,494.2,2.8000000000000114
stage,Guzhangian,500.5,497.0,3.5
stage,Drumian,504.5,500.5,4.0
stage,Wuliuan,506.5,504.5,2.0
stage,Stage 4,514.5,506.5,8.0
stage,Stage 3,521.0,514.5,6.5
stage,Stage 2,529.0,521.0,8.0
stage,Fortunian,538.8,529.0,9.799999999999955
stage2,Fortunian+Stage 2,538.8,521.0,17.799999999999955
stage2,Stage 3+Stage 4,521.0,506.5,14.5
stage2,Wuliuan+Drumian,506.5,500.5,6.0
stage2,Guzhangian+Paibian,500.5,494.2,6.300000000000011
stage2,Jiangshanian+Stage 10,494.2,486.85,7.349999999999966
stage2,Tremadocian+Floian,486.85,471.3,15.550000000000011
stage2,Dapingian+Darriwilian,471.3,458.2,13.100000000000023
stage2,Sandbian+Katian,458.2,445.2,13.0
stage2,Hirnantian+Rhuddanian,445.2,440.5,4.699999999999989
stage2,Aeronian+Telychian,440.5,432.9,7.600000000000023
stage2,Sheinwoodian+Homerian,432.9,426.7,6.199999999999989
stage2,Gorstian+Ludfordian,426.7,422.7,4.0
stage2,Lochkovian+Pragian,419.62,410.62,9.0
stage2,Emsian+Eifelian,410.62,387.95,22.670000000000016
stage2,Givetian+Frasnian,387.95,372.15,15.800000000000011
stage2,Famennian+Tournaisian,372.15,346.7,25.44999999999999
stage2,Visean+Serpukhovian,346.7,323.4,23.30000000000001
stage2,Bashkirian+Moscovian,323.4,307.0,16.399999999999977
stage2,Kasimovian+Gzhelian,307.0,298.9,8.100000000000023
stage2,Asselian+Sakmarian,298.9,290.1,8.799999999999955
stage2,Artinskian+Kungurian,290.1,274.4,15.700000000000045
stage2,Roadian+Wordian,274.4,264.28,10.120000000000005
stage2,Capitanian+Wuchiapingian,264.28,254.14,10.139999999999986
stage2,Changhsingian,254.14,251.902,2.2379999999999995
