pop1,pop2,region1,region2,continent1,continent2,dataset1,dataset2,n1,n2,nean_corr,deni_corr,nean_spearman,deni_spearman,nean_cosine,deni_cosine,nean_full_corr,deni_full_corr,nean_jaccard,deni_jaccard,nean_nonzero_union_bins,deni_nonzero_union_bins,geo_dist_km,same_dataset,same_continent,any_admixed,max_admix_eur
Miao,Naxi,EAST_ASIA,EAST_ASIA,EAS,EAS,HGDP,HGDP,10,8,0.7575022606634166,0.4521717577100528,0.6464301348765669,0.10697791427048332,0.8834142684936523,0.6851158142089844,0.8525197901205135,0.6698386373368448,0.7035283993115319,0.4130781499202552,2324,627,891.4893443341736,1,1,0,0.0
Miao,NorthernHan,EAST_ASIA,EAST_ASIA,EAS,EAS,HGDP,HGDP,10,10,0.8006951936499449,0.6098357730826938,0.7033775906970933,0.25577207501816474,0.9027265906333923,0.774154543876648,0.877211815265088,0.763412574460173,0.7296834901625321,0.4524959742351047,2338,621,1588.738067795438,1,1,0,0.0
Miao,Orcadian,EAST_ASIA,EUROPE,EAS,EUR,HGDP,HGDP,10,15,0.1547800922364709,-0.0037234872208813177,-0.045183843062172144,-0.4306957720976044,0.5087882280349731,0.3129589259624481,0.3675604318594335,0.2898084924604955,0.43382113821138213,0.1515650741350906,3075,607,8612.396394569025,1,0,0,0.0
Miao,Oroqen,EAST_ASIA,EAST_ASIA,EAS,EAS,HGDP,HGDP,10,9,0.7539676356303224,0.4403729013533157,0.6413301470735804,0.09357521184881754,0.8799298405647278,0.6712713241577148,0.8480431714782218,0.655968401012507,0.7043625582380347,0.3977455716586151,2361,621,2984.119430680224,1,1,0,0.0
Miao,PEL,EAST_ASIA,AMERICA,EAS,AMR,HGDP,1000 Genomes,10,122,0.591160789924677,0.3327788691589036,0.47801019289857644,-0.017739637212142743,0.7421414256095886,0.516389012336731,0.6727144730620759,0.49696443436109455,0.5358114233907525,0.2959309494451295,3309,811,18233.421817250648,0,0,1,0.16
Miao,PJL,EAST_ASIA,CENTRAL_SOUTH_ASIA,EAS,SAS,HGDP,1000 Genomes,10,146,0.5519407798615947,0.19024204347611026,0.461302387656835,-0.12565919557390773,0.7139538526535034,0.36739596724510193,0.6220956028406869,0.3229036907996649,0.49126413155190135,0.1643059490084986,3892,1765,3512.5546638390324,0,0,0,0.0
Miao,PUR,EAST_ASIA,AMERICA,EAS,AMR,HGDP,1000 Genomes,10,139,0.376376673988487,0.20114174846245164,0.27477819891738986,-0.1741151315257292,0.6147191524505615,0.41810253262519836,0.49392779611710663,0.3915093926027754,0.4954306286347272,0.238403451995685,3611,927,14965.69095315857,0,0,1,0.64
Miao,Palestinian,EAST_ASIA,MIDDLE_EAST,EAS,WAS,HGDP,HGDP,10,46,0.19533080626520904,-0.01650259773949694,0.05332390391093979,-0.4689493278762128,0.5049465894699097,0.2688738703727722,0.35754479972064923,0.2384324206990805,0.45074106364428945,0.1630170316301703,3441,822,7027.0319686531475,1,0,0,0.0
Miao,PapuanHighlands,EAST_ASIA,OCEANIA,EAS,OCE,HGDP,HGDP,10,9,0.17954293993248485,-0.17120923841399116,-0.03788996538488563,-0.37548117616428667,0.5186216235160828,0.1589619666337967,0.4060021004055598,0.07224793632878956,0.4106535700793351,0.09138755980861243,2647,2090,5334.740787204483,1,0,0,0.0
Miao,PapuanSepik,EAST_ASIA,OCEANIA,EAS,OCE,HGDP,HGDP,10,8,0.21131109573696558,-0.18684084478755383,0.002094722583103727,-0.3920896887613234,0.5378074645996094,0.15437467396259308,0.4285500542467306,0.06770337193698711,0.4339339339339339,0.096031357177854,2664,2041,5020.841221477101,1,0,0,0.0
Miao,Pathan,EAST_ASIA,CENTRAL_SOUTH_ASIA,EAS,SAS,HGDP,HGDP,10,24,0.40672702533739585,0.06306746291466095,0.27533213851883276,-0.3915724187470943,0.6523661613464355,0.34195902943611145,0.5401670323248123,0.30450531006793574,0.5089207370576192,0.16873212583412775,3419,1049,3655.0162227808346,1,0,0,0.0
Miao,Pima,EAST_ASIA,AMERICA,EAS,AMR,HGDP,HGDP,10,13,0.43744182019966393,0.13959246088139934,0.29719772846403997,-0.12881087087209292,0.6917974948883057,0.43822407722473145,0.6228379530957925,0.4197623968763247,0.5256629597946963,0.2698706099815157,2338,541,12676.677009621679,1,0,0,0.0
Miao,Russian,EAST_ASIA,EUROPE,EAS,EUR,HGDP,HGDP,10,25,0.28944346945076815,0.035828679012342435,0.15065835651496684,-0.3125377447423998,0.5859069228172302,0.3606412708759308,0.4583058824034891,0.33374451712930037,0.507197549770291,0.2615606936416185,3265,692,6418.2328907681185,1,0,0,0.0
Miao,STU,EAST_ASIA,CENTRAL_SOUTH_ASIA,EAS,SAS,HGDP,1000 Genomes,10,114,0.584062222884576,0.15475010178614976,0.4905529046586729,-0.16554745405886453,0.7342903017997742,0.33726468682289124,0.6502412241130807,0.2884245861710381,0.49714285714285716,0.1472,3850,1875,3660.139048653829,0,0,0,0.0
Miao,Sardinian,EAST_ASIA,EUROPE,EAS,EUR,HGDP,HGDP,10,28,0.15141046698347374,0.04225402662559152,-0.035175707751183144,-0.49053478938553996,0.48648306727409363,0.3087990880012512,0.3414474362811729,0.28647623045183623,0.42706065318818043,0.14069591527987896,3215,661,8897.873684865424,1,0,0,0.0
Miao,She,EAST_ASIA,EAST_ASIA,EAS,EAS,HGDP,HGDP,10,10,0.79363349973728,0.6212714176025151,0.6724710823808956,0.2709432378414613,0.899810791015625,0.7852271199226379,0.8739630446308212,0.7751731846376924,0.7221254355400697,0.4773109243697479,2296,595,990.4942624124773,1,1,0,0.0
