pop1,pop2,region1,region2,continent1,continent2,dataset1,dataset2,n1,n2,nean_corr,deni_corr,nean_spearman,deni_spearman,nean_cosine,deni_cosine,nean_full_corr,deni_full_corr,nean_jaccard,deni_jaccard,nean_nonzero_union_bins,deni_nonzero_union_bins,geo_dist_km,same_dataset,same_continent,any_admixed,max_admix_eur,geo_dist_1000km,nean_predicted,nean_resid_corrected,nean_resid_z,nean_perm_pval,nean_fdr_pval,deni_predicted,deni_resid_corrected,deni_resid_z,deni_perm_pval,deni_fdr_pval
Bedouin,Tu,MIDDLE_EAST,EAST_ASIA,WAS,EAS,HGDP,HGDP,46,10,0.2069042869040292,0.0426525111645449,0.0741402499129837,-0.403754380499986,0.5198400020599365,0.3222094476222992,0.3703078596760301,0.2915289624675286,0.4940905159988469,0.1876456876456876,3469,858,6147.967878151261,1,0,0,0.0,6.1479678781512614,0.39801390953240756,-0.19110962262837836,-1.1867042739376648,0.6917,0.7830218994413408,0.1792336834048657,-0.1365811722403208,-0.7151247776963838,0.629,0.818065592064476
Bedouin,Tujia,MIDDLE_EAST,EAST_ASIA,WAS,EAS,HGDP,HGDP,46,9,0.1503800694547851,0.0086085954712732,0.0071945475390444,-0.4506483932024452,0.4737163484096527,0.2854743301868438,0.3184513905438944,0.2546722544427782,0.4264620729588882,0.1557377049180328,3454,854,7025.329163376379,1,0,0,0.0,7.025329163376379,0.38024701890781615,-0.22986694945303104,-1.4273697347169512,0.7552,0.784853267435475,0.16262458822250925,-0.15401599275123604,-0.806411680111502,0.6562,0.818065592064476
Bedouin,Tuscan,MIDDLE_EAST,EUROPE,WAS,EUR,HGDP,HGDP,46,8,0.7151210602148828,0.6358156878776344,0.5983406946440428,0.2720214548472463,0.837022602558136,0.7333547472953796,0.788723958015196,0.7260802903927348,0.6009085009733939,0.2777777777777778,3082,576,2565.319592040955,1,0,0,0.0,2.5653195920409546,0.4705638628043591,0.24455719741052367,1.518589526774517,0.2239,0.7830218994413408,0.2470558535769224,0.38875983430071204,2.035505959726318,0.1064,0.818065592064476
Bedouin,Uygur,MIDDLE_EAST,CENTRAL_SOUTH_ASIA,WAS,SAS,HGDP,HGDP,46,10,0.4536045522912542,0.245123261687412,0.3231950675392949,-0.2880443068802901,0.6929306387901306,0.467328131198883,0.5842224783439925,0.4444915431245614,0.6074440244257051,0.2270471464019851,3439,806,4202.774812722272,1,0,0,0.0,4.202774812722272,0.4374047887735891,0.016199763517665056,0.10059320058715823,0.4845,0.7830218994413408,0.21605762049422575,0.029065641193186248,0.1521846668610153,0.4074,0.818065592064476
Bedouin,Xibo,MIDDLE_EAST,EAST_ASIA,WAS,EAS,HGDP,HGDP,46,9,0.207644925353335,0.0873496719242826,0.0672385453083378,-0.4343203161824125,0.5199771523475647,0.3462447822093963,0.3729901868738707,0.3186296902701693,0.4756488772236804,0.1711165048543689,3429,824,4306.8322098963845,1,0,0,0.0,4.306832209896385,0.43529758798252877,-0.22765266262919376,-1.4136200155692071,0.755,0.784853267435475,0.21408773734209913,-0.12673806541781651,-0.6635872966305485,0.6043,0.818065592064476
Bedouin,Yakut,MIDDLE_EAST,EAST_ASIA,WAS,EAS,HGDP,HGDP,46,25,0.2683066152238249,0.1525978524861513,0.1552602127024666,-0.3426022393624124,0.5597445368766785,0.3742863237857818,0.4183741373271948,0.3476569724769816,0.5861774744027304,0.2244444444444444,3516,900,7343.7330511895025,1,0,0,0.0,7.343733051189503,0.3737992223791958,-0.1054926071553709,-0.6550613520049731,0.5789,0.7830218994413408,0.15659696816657803,-0.00399911568042674,-0.02093895274903066,0.4299,0.818065592064476
Bedouin,Yi,MIDDLE_EAST,EAST_ASIA,WAS,EAS,HGDP,HGDP,46,10,0.1715386247840251,0.0303283692148451,0.019920404445394,-0.4245930122544977,0.4906991422176361,0.3022607862949371,0.3357781150752011,0.2698463372501488,0.4468633629332569,0.1603053435114503,3491,917,6459.986597600814,1,0,0,0.0,6.459986597600814,0.3916954150254806,-0.2201567902414555,-1.3670740401385624,0.7426,0.7832345898004435,0.17332693928783427,-0.14299857007298916,-0.748725603660897,0.6433,0.818065592064476
BergamoItalian,Bougainville,EUROPE,OCEANIA,EUR,OCE,HGDP,HGDP,12,11,0.0235271903849814,-0.1125955840579388,-0.1717738649328961,-0.2581791187793232,0.4031817615032196,0.1280184239149093,0.2422030991522079,0.0666133081055712,0.3763474952441344,0.0623115577889447,3154,1990,14528.665552003646,1,0,0,0.0,14.528665552003647,0.2283016810165373,-0.2047744906315559,-1.2715569204927673,0.7257,0.7830218994413408,0.020580905235092706,-0.1331764892930315,-0.6972982127616296,0.6212,0.818065592064476
BergamoItalian,Brahui,EUROPE,CENTRAL_SOUTH_ASIA,EUR,SAS,HGDP,HGDP,12,25,0.6460324485587805,0.6002229303484459,0.5423166887704477,0.2128624732679218,0.8072478175163269,0.6925392746925354,0.7405615897806629,0.6831956853027475,0.6439533456108042,0.2527027027027027,3258,740,5259.603659396186,1,0,0,0.0,5.259603659396186,0.4160036136317538,0.2300288349270267,1.428374970252645,0.2395,0.7830218994413408,0.19605107222105547,0.4041718581273904,2.11620170960253,0.0982,0.818065592064476
BergamoItalian,Burusho,EUROPE,CENTRAL_SOUTH_ASIA,EUR,SAS,HGDP,HGDP,12,24,0.5988186004070396,0.5022261155550366,0.4739183782251666,0.1100739237026027,0.7793228030204773,0.6070438623428345,0.7009876568871856,0.5939295578247645,0.6208023774145617,0.1966666666666666,3365,900,5394.232124534178,1,0,0,0.0,5.394232124534178,0.4132773374039971,0.18554126300304252,1.1521272805067397,0.2997,0.7830218994413408,0.1935024562410858,0.3087236593139508,1.6164448921849777,0.1874,0.818065592064476
BergamoItalian,CDX,EUROPE,EAST_ASIA,EUR,EAS,HGDP,1000 Genomes,12,93,0.1912046868786304,0.1886192920182529,0.0299361241689562,-0.1728116252170242,0.5001635551452637,0.3391686379909515,0.3498237286968814,0.3154414403370601,0.4772010324060797,0.1236263736263736,3487,1092,8300.714917407038,0,0,0,0.0,8.300714917407038,0.4321561301657465,-0.2409514432871161,-1.4961994253752968,0.7741,0.7922778918918919,0.24395705458653352,-0.05533776256828063,-0.28974275521098725,0.4937,0.818065592064476
