pop1,pop2,region1,region2,geo_dist_km,deni_corr,residual,z_residual,has_admixed
CDX,KHV,EAST_ASIA,EAST_ASIA,917.8881951659372,0.9486721270994188,0.47240241089732504,1.9424123436693999,False
IBS,TSI,EUROPE,EUROPE,1301.670835593565,0.9365799713571382,0.4709019086905386,1.936242616460284,False
CEU,GBR,EUROPE,EUROPE,639.0335951579143,0.954434276906837,0.47046871675835517,1.9344614287761381,False
Han,KHV,EAST_ASIA,EAST_ASIA,2842.0709302826463,0.8929631801732195,0.4697971604974384,1.9317001406442775,False
CHB,JPT,EAST_ASIA,EAST_ASIA,2093.2871455411755,0.9095930583777468,0.4657620643504922,1.9151087338628574,False
CHS,JPT,EAST_ASIA,EAST_ASIA,2902.3497300501,0.8866180111455655,0.4651155689624008,1.912450490397146,False
CLM,Hazara,AMERICA,CENTRAL_SOUTH_ASIA,14050.168291744949,0.5762441228753604,0.4623997648370637,1.9012837153461404,True
CHS,KHV,EAST_ASIA,EAST_ASIA,1098.761400245293,0.9334544816821096,0.4621765137256382,1.9003657570449815,False
CDX,CHB,EAST_ASIA,EAST_ASIA,2522.2054996593984,0.8938804906139515,0.46188680792723236,1.8991745520344328,False
PUR,Palestinian,AMERICA,MIDDLE_EAST,9997.97468061708,0.6861517147129027,0.46047470384803046,1.8933682980215085,True
GBR,IBS,EUROPE,EUROPE,1313.5633199207778,0.924909660078708,0.45955980682129316,1.889606447453165,False
CDX,CHS,EAST_ASIA,EAST_ASIA,1370.8070920626135,0.917788577121303,0.4540185405041498,1.8668220080733284,False
CLM,Makrani,AMERICA,CENTRAL_SOUTH_ASIA,14270.310133312723,0.5610406827873605,0.4532718108939125,1.8637516240557,True
Adygei,PUR,EUROPE,AMERICA,9838.827683692578,0.682849226306229,0.45278006823334216,1.8617296889601818,True
Makrani,PUR,CENTRAL_SOUTH_ASIA,AMERICA,12672.364973605863,0.6044322447583509,0.4525631981371547,1.8608379679568805,True
CDX,PEL,EAST_ASIA,AMERICA,18858.42581111367,0.4312481080448556,0.4501022944165992,1.8507192859749042,True
Druze,PUR,MIDDLE_EAST,AMERICA,9999.650136410906,0.6743458400890714,0.44871506854149207,1.8450153255354402,True
GBR,TSI,EUROPE,EUROPE,1216.6673244349786,0.9163310790334804,0.44830708498632366,1.8433377890214586,False
CHB,PEL,EAST_ASIA,AMERICA,16645.13654643956,0.4884584445085003,0.44623015711557273,1.8347979292747767,True
CDX,Han,EAST_ASIA,EAST_ASIA,2522.2054996593984,0.8776329371880073,0.44563925450128816,1.8323682707772413,False
CLM,GBR,AMERICA,EUROPE,8495.325592543953,0.7125660724244554,0.4454188728387931,1.831462111003976,True
CLM,IBS,AMERICA,EUROPE,7982.432820360986,0.7252861939898533,0.4439841526485344,1.825562864634812,True
CDX,JPT,EAST_ASIA,EAST_ASIA,4121.798419246279,0.8285186521553477,0.44067061916038097,1.8119383610334745,False
PJL,STU,CENTRAL_SOUTH_ASIA,CENTRAL_SOUTH_ASIA,2742.861947394388,0.8626484062468676,0.43674441183311924,1.7957946805603113,False
BEB,STU,CENTRAL_SOUTH_ASIA,CENTRAL_SOUTH_ASIA,2038.39560724693,0.8820344616680125,0.4366885680741825,1.7955650635977949,False
Bedouin,PUR,MIDDLE_EAST,AMERICA,10057.572357445926,0.6605580177979694,0.43652578675895937,1.7948957434827524,True
CEU,TSI,EUROPE,EUROPE,653.4920048452489,0.9188841572228328,0.4353176210268461,1.789928038032652,False
KHV,MXL,EAST_ASIA,AMERICA,14625.64470847315,0.5321437846453463,0.4341814550829628,1.7852563794996998,True
Japanese,KHV,EAST_ASIA,EAST_ASIA,3989.201156060193,0.8250099162233978,0.43350245697127443,1.7824644921531334,False
PUR,Sardinian,AMERICA,EUROPE,7503.669167521993,0.7278622255401818,0.43334723967743277,1.7818262735908355,True
PUR,Pathan,AMERICA,CENTRAL_SOUTH_ASIA,12703.312487405874,0.5835546794620051,0.4325397239575655,1.7785059507774996,True
Brahui,PUR,CENTRAL_SOUTH_ASIA,AMERICA,12769.277499506625,0.5805105234974639,0.4313160738732729,1.7734745771578195,True
BergamoItalian,PUR,EUROPE,AMERICA,7511.770358555763,0.7240621581474419,0.4297707493817678,1.767120550806488,True
Maya,PEL,AMERICA,AMERICA,3483.83357715489,0.8344665238122608,0.42901190348512824,1.7640003473473742,True
BEB,ITU,CENTRAL_SOUTH_ASIA,CENTRAL_SOUTH_ASIA,1587.530923877242,0.8863986544374878,0.42860977355189017,1.7623468796087212,False
Hazara,MXL,CENTRAL_SOUTH_ASIA,AMERICA,13461.97270183291,0.5586483594417099,0.4285709485156843,1.762187239802001,True
BEB,PJL,CENTRAL_SOUTH_ASIA,CENTRAL_SOUTH_ASIA,1918.0713314016275,0.8747517190084804,0.42608510970889923,1.7519660303600342,False
CLM,French,AMERICA,EUROPE,8560.00941565571,0.6909770980811203,0.425615046054471,1.7500332344563523,True
CLM,Russian,AMERICA,EUROPE,10923.77396057028,0.6257380949622835,0.4256113414142828,1.7500180018100653,True
CHB,Han,EAST_ASIA,EAST_ASIA,0.0,0.9268649187054582,0.42526327572135825,1.7485868340540407,False
ITU,PJL,CENTRAL_SOUTH_ASIA,CENTRAL_SOUTH_ASIA,2177.762110358577,0.8656144373598887,0.4241147878634134,1.743864510584969,False
Adygei,CLM,EUROPE,AMERICA,11504.650474292046,0.6073940450019523,0.4232983520912731,1.7405075105251975,True
ITU,STU,CENTRAL_SOUTH_ASIA,CENTRAL_SOUTH_ASIA,579.8638903538038,0.908085593697174,0.42248706491732235,1.7371716803418813,False
Basque,PUR,EUROPE,AMERICA,6582.195764423121,0.7408548210112668,0.4209089636090415,1.7306828831002605,True
GIH,STU,CENTRAL_SOUTH_ASIA,CENTRAL_SOUTH_ASIA,1888.749472566479,0.8694570702096642,0.4199812347047172,1.7268682707406084,True
CEU,FIN,EUROPE,EUROPE,1708.695537880889,0.872978734735908,0.4185337612528406,1.7209165858312991,False
CHS,Japanese,EAST_ASIA,EAST_ASIA,2902.3497300501,0.8400037904872308,0.41850134830406616,1.7207833110843,False
FIN,IBS,EUROPE,EUROPE,3057.7895137416426,0.8356115170185028,0.41839891017718295,1.7203621085723517,False
CHB,Japanese,EAST_ASIA,EAST_ASIA,2093.2871455411755,0.8617731528519681,0.41794215882471347,1.718484049856819,False
Brahui,CLM,CENTRAL_SOUTH_ASIA,AMERICA,14404.226665760913,0.5215212392157924,0.41744820284212075,1.7164530140795144,True
CLM,Pathan,AMERICA,CENTRAL_SOUTH_ASIA,14398.523125556374,0.5213058126200713,0.4170753696432637,1.714920007915947,True
CLM,KHV,AMERICA,EAST_ASIA,17713.32551481646,0.4293912203609277,0.4166428684097872,1.7131416602293608,True
CLM,MXL,AMERICA,AMERICA,3707.384682404085,0.8155080354371307,0.41622299029359155,1.7114152159587106,True
Balochi,CLM,CENTRAL_SOUTH_ASIA,AMERICA,14444.815294156124,0.5184457556841668,0.4154928864159275,1.708413193209839,True
PUR,Sindhi,AMERICA,CENTRAL_SOUTH_ASIA,13137.57959199813,0.5504552894322686,0.41142526036582083,1.6916880307913185,True
Orcadian,PUR,EUROPE,AMERICA,6773.958998847236,0.7254341743803049,0.4107806088274526,1.6890373688204927,True
BEB,GIH,CENTRAL_SOUTH_ASIA,CENTRAL_SOUTH_ASIA,1817.6617023870788,0.8605933281188197,0.40915560858620514,1.6823557337266557,True
GIH,ITU,CENTRAL_SOUTH_ASIA,CENTRAL_SOUTH_ASIA,1368.303282735654,0.8728655170246621,0.4090263801457551,1.681824375477644,True
Balochi,PUR,CENTRAL_SOUTH_ASIA,AMERICA,12807.063862744031,0.5551821720520422,0.4070305524717818,1.6736179814789367,True
JPT,Japanese,EAST_ASIA,EAST_ASIA,0.0,0.9083973672448808,0.4067957242607809,1.6726524207511166,False
FIN,GBR,EUROPE,EUROPE,1857.7606173242928,0.8541084296118122,0.40377736204680875,1.6602415949660656,False
Han,JPT,EAST_ASIA,EAST_ASIA,2093.2871455411755,0.8469946236467614,0.40316362961950675,1.6577180654179475,False
CLM,Druze,AMERICA,MIDDLE_EAST,11538.141133620466,0.5848181003914171,0.4016466844618089,1.6514807284971116,True
CLM,PUR,AMERICA,AMERICA,1713.419139236666,0.8556947339276286,0.4013801226437071,1.6503846863222877,True
JPT,PEL,EAST_ASIA,AMERICA,15490.149021521083,0.4749520245062612,0.4008483305339124,1.6481980769094164,True
PJL,PUR,CENTRAL_SOUTH_ASIA,AMERICA,13000.742119046146,0.5419218843165943,0.3991154074604157,1.6410726874301464,True
Hazara,PEL,CENTRAL_SOUTH_ASIA,AMERICA,15605.890286270384,0.4694465707935138,0.39853711034516853,1.6386948599062972,True
BEB,CLM,CENTRAL_SOUTH_ASIA,AMERICA,16437.781579419334,0.445522452235073,0.3975715715349158,1.634724781727051,True
CHS,MXL,EAST_ASIA,AMERICA,13534.165016987334,0.5254391257148002,0.3973540821068713,1.633830514170607,True
KHV,Maya,EAST_ASIA,AMERICA,15994.009793041689,0.457423279466722,0.39722516161977234,1.633300422156434,False
Hazara,PUR,CENTRAL_SOUTH_ASIA,AMERICA,12367.456432186,0.55656419053223,0.39628026191654436,1.6294152073380055,True
CLM,Palestinian,AMERICA,MIDDLE_EAST,11527.74170596796,0.5788389926821946,0.3953805728001928,1.6257158882728322,True
KHV,Karitiana,EAST_ASIA,AMERICA,18649.890071433096,0.3822582518805875,0.3953572579189957,1.6256200227311166,False
CLM,Sindhi,AMERICA,CENTRAL_SOUTH_ASIA,14763.79193157874,0.4880301603390342,0.3938804251201433,1.6195476187978306,True
French,IBS,EUROPE,EUROPE,826.0210284996801,0.8726175860592172,0.3938125149501576,1.6192683874700515,False
CDX,MXL,EAST_ASIA,AMERICA,14386.06317045895,0.4973028827037064,0.3927285692294926,1.614811446736646,True
CLM,PJL,AMERICA,CENTRAL_SOUTH_ASIA,14690.970777949577,0.4883568396132302,0.3921973823588775,1.6126273259310007,True
Han,PEL,EAST_ASIA,AMERICA,16645.13654643956,0.4341968573353095,0.39196856994238194,1.6116865007956216,True
CEU,Russian,EUROPE,EUROPE,2108.4301395711464,0.8348382216087028,0.39142514472870843,1.6094520586790042,False
BergamoItalian,CLM,EUROPE,AMERICA,9152.426540855384,0.6397211705040863,0.3907086775185048,1.6065061068361877,True
GIH,PJL,CENTRAL_SOUTH_ASIA,CENTRAL_SOUTH_ASIA,945.980924376755,0.8658468006849976,0.39035238910412356,1.6050411291010276,True
Bedouin,CLM,MIDDLE_EAST,AMERICA,11561.219142556803,0.5727151004089202,0.39018059258612564,1.6043347405021111,True
CDX,Japanese,EAST_ASIA,EAST_ASIA,4121.798419246279,0.7777017486994096,0.3898537157044428,1.6029906963668688,False
IBS,Russian,EUROPE,EUROPE,3466.126263649359,0.7949024899020347,0.38895918220361825,1.5993125760318625,False
CHS,Karitiana,EAST_ASIA,AMERICA,18506.27613446261,0.3761149194960443,0.38525046053362594,1.5840631476105647,False
CEU,French,EUROPE,EUROPE,560.469478759848,0.8670822919138558,0.38094851514076744,1.5663745168158836,False
BEB,PUR,CENTRAL_SOUTH_ASIA,AMERICA,14724.499926594988,0.4754907625940348,0.3802566445509518,1.563529700737729,True
GBR,Russian,EUROPE,EUROPE,2500.382707610005,0.8125828238578906,0.3799868746061524,1.5624204674682922,False
JPT,Xibo,EAST_ASIA,EAST_ASIA,4988.080721816932,0.7436491268249603,0.37970879846857464,1.5612770810044405,False
French,TSI,EUROPE,EUROPE,762.6072616416097,0.8588759738645796,0.378320806275927,1.5555699696398004,False
French,GBR,EUROPE,EUROPE,630.5825873300046,0.8620688318716199,0.37787004036374344,1.5537165217069933,False
CHS,NorthernHan,EAST_ASIA,EAST_ASIA,1890.7029912915737,0.8259466782022103,0.376524756009987,1.548185015359432,False
IBS,Palestinian,EUROPE,MIDDLE_EAST,3610.663785612218,0.7781214447275765,0.3761670911772781,1.5467143781020338,False
KHV,NorthernHan,EAST_ASIA,EAST_ASIA,2842.0709302826463,0.7967252203544068,0.37355920067862575,1.5359913195852528,False
Burusho,CLM,CENTRAL_SOUTH_ASIA,AMERICA,14414.040455233611,0.4763399414376696,0.37253774654304267,1.5317913301785944,True
FIN,TSI,EUROPE,EUROPE,2156.256193877839,0.8137469303141861,0.37165375940133444,1.528156574097571,False
CHB,Karitiana,EAST_ASIA,AMERICA,16689.829087633927,0.4095128807162604,0.3685180204304685,1.5152631215176708,False
Druze,IBS,MIDDLE_EAST,EUROPE,3607.834455100617,0.7685686723821192,0.3665362348192587,1.5071144653192228,False
CHS,Maya,EAST_ASIA,AMERICA,14939.876568627777,0.4557569916785898,0.3664668495524676,1.5068291687255246,False
Colombian,KHV,AMERICA,EAST_ASIA,18001.54763591108,0.3711729643605573,0.36637898169641203,1.5064678758864598,False
