Date,doy,spawn_doy,tau,n_bins,fish_g_m2,n_schools,shoal_biomass,shoal_area,birds_total,alcids,larus,gannets,shearwaters,date,year,birds_per_bin,fish_per_bin
05-08-2010,217,200,17,216,0.00518991,10.0,1.841570836,53.1,351,8,229,20,3,2010-08-05,2010,1.625,0.00518991
07-07-2010,188,200,-12,212,4.92e-05,1.0,0.569052748,70.0,188,100,13,55,0,2010-07-07,2010,0.8867924528301887,4.92e-05
10-07-2010,191,200,-9,224,0.001407576,7.0,0.966793837,47.85714286,399,92,75,232,0,2010-07-10,2010,1.78125,0.001407576
09-07-2012,191,196,-5,165,0.004795336,4.0,0.100662885,58.75,644,402,9,48,172,2012-07-09,2012,3.903030303030303,0.004795336
14-07-2012,196,196,0,168,0.125342178,23.0,2.203123739,442.826087,341,90,73,28,125,2012-07-14,2012,2.0297619047619047,0.125342178
15-07-2012,197,196,1,172,0.059036122,9.0,11.7884052,333.6111111,603,230,124,61,154,2012-07-15,2012,3.505813953488372,0.059036122
16-07-2012,198,196,2,157,0.013855397,12.0,3.041336166,130.0,1114,201,44,39,656,2012-07-16,2012,7.095541401273885,0.013855397
18-07-2012,200,196,4,165,0.028698076,9.0,1.901841265,758.2222222,548,341,31,23,76,2012-07-18,2012,3.3212121212121213,0.028698076
22-07-2012,204,196,8,161,0.007232272,10.0,0.911620091,101.45,386,153,22,16,153,2012-07-22,2012,2.3975155279503104,0.007232272
23-07-2012,205,196,9,158,0.067654048,19.0,2.277732883,312.3684211,412,77,8,18,259,2012-07-23,2012,2.607594936708861,0.067654048
11-07-2014,192,197,-5,149,0.125463368,28.0,1.230975694,628.2285714,129,52,28,35,2,2014-07-11,2014,0.8657718120805369,0.125463368
14-07-2014,195,197,-2,148,0.253857206,6.0,2.647508016,993.1666667,492,311,109,44,7,2014-07-14,2014,3.324324324324324,0.253857206
18-07-2014,199,197,2,143,0.040476332,11.0,1.067621112,389.6818182,2835,366,48,46,1817,2014-07-18,2014,19.825174825174827,0.040476332
24-07-2014,205,197,8,145,0.01937046,9.0,0.770405569,774.3666667,1348,188,18,12,825,2014-07-24,2014,9.296551724137931,0.01937046
13-07-2015,194,201,-7,102,0.000644811,2.0,0.100022151,413.75,250,180,14,35,0,2015-07-13,2015,2.450980392156863,0.000644811
19-07-2015,200,201,-1,134,0.125611119,20.0,0.549019115,191.62,70,23,17,22,0,2015-07-19,2015,0.5223880597014925,0.125611119
26-07-2015,207,201,6,292,0.002251324,4.0,0.580667501,189.375,468,12,34,16,1,2015-07-26,2015,1.6027397260273972,0.002251324
28-07-2015,209,201,8,144,0.010926373,1.0,0.113529308,80.0,331,34,11,18,59,2015-07-28,2015,2.298611111111111,0.010926373
05-08-2015,217,201,16,124,0.04020567,9.0,0.593918134,560.2222222,338,13,28,11,6,2015-08-05,2015,2.725806451612903,0.04020567
11-08-2015,223,201,22,23,0.000131652,12.0,2.166314148,226.6666667,0,0,0,0,0,2015-08-11,2015,0.0,0.000131652
14-07-2016,196,197,-1,137,0.02712773,2.0,0.027258949,93.75,298,79,18,69,0,2016-07-14,2016,2.1751824817518246,0.02712773
03-08-2016,216,197,19,135,0.004990211,5.0,0.084892335,1821.0,899,372,56,26,295,2016-08-03,2016,6.659259259259259,0.004990211
16-08-2016,229,197,32,130,0.00964939,11.0,0.473606918,242.8090909,291,23,21,7,0,2016-08-16,2016,2.2384615384615385,0.00964939
14-07-2017,195,216,-21,65,0.00062212,10.0,0.013010872,422.96,55,43,4,6,1,2017-07-14,2017,0.8461538461538461,0.00062212
21-07-2017,202,216,-14,134,0.000827523,2.0,0.47873117,220.75,112,6,6,8,2,2017-07-21,2017,0.835820895522388,0.000827523
04-08-2017,216,216,0,136,0.004809773,7.0,11.58525428,184.2714286,4159,2625,11,15,1361,2017-08-04,2017,30.580882352941178,0.004809773
09-08-2017,221,216,5,130,0.048131741,4.0,14.9317621,141.025,4007,3135,50,57,531,2017-08-09,2017,30.823076923076922,0.048131741
15-08-2017,227,216,11,133,0.10865975,9.0,0.01945434,553.4444444,307,75,6,40,79,2017-08-15,2017,2.308270676691729,0.10865975
9-07-2018,190,191,1,137,0.002044264881053563,,,,297,225,19,53,0,2018-07-09,2018,2.167883211678832,0.002044264881053563
18-07-2018,199,191,-8,139,0.00041863233169256995,,,,98,52,16,12,3,2018-07-18,2018,0.7050359712230215,0.00041863233169256995
24-07-2018,205,191,-14,138,0.03755996912506784,,,,480,403,26,36,2,2018-07-24,2018,3.4782608695652173,0.03755996912506784
28-07-2018,209,191,-18,136,0.25929303826467476,,,,335,93,24,17,109,2018-07-28,2018,2.463235294117647,0.25929303826467476
07-08-2018,220,191,-29,143,0.005249944638325351,,,,733,214,30,7,408,2018-08-07,2018,5.125874125874126,0.005249944638325351
13-08-2018,225,191,-34,135,0.07451522366649037,,,,263,13,77,12,5,2018-08-13,2018,1.9481481481481482,0.07451522366649037
12-07-2019,193,203,10,136,0.00047018192107965375,,,,94,62,17,15,0,2019-07-12,2019,0.6911764705882353,0.00047018192107965375
17-07-2019,198,203,5,136,0.0017075262726272558,,,,75,30,6,17,4,2019-07-17,2019,0.5514705882352942,0.0017075262726272558
22-07-2019,203,203,0,133,0.0007156649546865504,,,,1700,536,5,27,656,2019-07-22,2019,12.781954887218046,0.0007156649546865504
30-07-2019,211,203,-8,130,0.00809444536530153,,,,717,111,14,35,297,2019-07-30,2019,5.515384615384615,0.00809444536530153
7-08-2019,220,203,-17,133,0.09830137186725166,,,,1068,75,11,20,332,2019-08-07,2019,8.030075187969924,0.09830137186725166
14-08-2019,226,203,-23,131,0.032980649528179536,,,,758,9,94,18,117,2019-08-14,2019,5.786259541984733,0.032980649528179536
12-07-2020,197,211,14,136,0.00028565,,,,65,24,16,24,0,2020-07-12,2020,0.47794117647058826,0.00028565
17-07-2020,202,211,9,136,0.0019916104669724056,,,,217,7,18,140,1,2020-07-17,2020,1.5955882352941178,0.0019916104669724056
22-07-2020,212,211,-1,132,0.003286520243509106,,,,302,44,17,114,13,2020-07-22,2020,2.287878787878788,0.003286520243509106
30-07-2020,217,211,-6,130,0.00021806907697810216,,,,360,47,38,30,28,2020-07-30,2020,2.769230769230769,0.00021806907697810216
07-08-2020,224,211,-13,133,0.000796945011507561,,,,180,0,63,29,0,2020-08-07,2020,1.3533834586466165,0.000796945011507561
17-08-2020,229,211,-18,131,0.004708827208816059,,,,184,18,38,11,51,2020-08-17,2020,1.4045801526717556,0.004708827208816059
