identified_name,accepted_name,genus,class,guild,n_occurrences
Camptosaurus n. sp. nanus,Camptosaurus dispar,Camptosaurus,Ornithischia,herbivore,1
Camptosaurus nanus,Camptosaurus dispar,Camptosaurus,Ornithischia,herbivore,1
Ceratosaurus ? sp.,Ceratosaurus,Ceratosaurus,Theropoda,predator,1
Ceratosaurus n. sp. dentisulcatus,Ceratosaurus nasicornis,Ceratosaurus,Theropoda,predator,1
Camptosaurus n. sp. aphanoecetes,Uteodon aphanoecetes,Uteodon,Ornithischia,herbivore,1
Camptosaurus n. sp. medius,Camptosaurus dispar,Camptosaurus,Ornithischia,herbivore,1
Camptonotus sp.,Camptosaurus dispar,Camptosaurus,Ornithischia,herbivore,1
Camptonotus n. sp. dispar,Camptosaurus dispar,Camptosaurus,Ornithischia,herbivore,1
Camptosaurus ? depressus,Osmakasaurus depressus,Osmakasaurus,Ornithischia,herbivore,1
Camptosaurus cf. browni,Camptosaurus dispar,Camptosaurus,Ornithischia,herbivore,1
Camptosaurus dispar,Camptosaurus dispar,Camptosaurus,Ornithischia,herbivore,1
Camptosaurus medius,Camptosaurus dispar,Camptosaurus,Ornithischia,herbivore,1
Camarasaurus grandis ?,Camarasaurus grandis,Camarasaurus,Sauropoda,herbivore,1
Camarasaurus n. sp. leptodirus,Camarasaurus supremus,Camarasaurus,Sauropoda,herbivore,1
Camarasaurus lentus ?,Camarasaurus lentus,Camarasaurus,Sauropoda,herbivore,1
Camarasaurus n. sp. annae,Camarasaurus lentus,Camarasaurus,Sauropoda,herbivore,1
Camptonotus n. sp. amplus,Allosaurus,Allosaurus,Theropoda,predator,1
Camarosaurus sp.,Camarasaurus,Camarasaurus,Sauropoda,herbivore,1
Apatosaurus cf. louisae,Apatosaurus louisae,Apatosaurus,Sauropoda,herbivore,1
Amphicoelias n. sp. brontodiplodocus,Amphicoelias altus,Amphicoelias,Sauropoda,herbivore,1
Amphicoelias n. sp. latus,Camarasaurus supremus,Camarasaurus,Sauropoda,herbivore,1
Amphicoelias n. sp. fragillimus,Maraapunisaurus fragillimus,Maraapunisaurus,Sauropoda,herbivore,1
Antrodemus ? sp.,Allosaurus,Allosaurus,Theropoda,predator,1
Apatosaurus parvus,Brontosaurus parvus,Brontosaurus,Sauropoda,herbivore,1
Brachiosaurus ? altithorax,Brachiosaurus altithorax,Brachiosaurus,Sauropoda,herbivore,1
Brontosaurus n. sp. giganteus,Brontosaurus,Brontosaurus,Sauropoda,herbivore,1
Brontosaurus excelsus,Brontosaurus excelsus,Brontosaurus,Sauropoda,herbivore,1
Eobrontosaurus yahnahpin,Brontosaurus yahnahpin,Brontosaurus,Sauropoda,herbivore,1
Hesperosaurus sp.,Hesperosaurus mjosi,Hesperosaurus,Ornithischia,herbivore,1
Haplocanthosaurus n. sp. utterbacki,Haplocanthosaurus priscus,Haplocanthosaurus,Sauropoda,herbivore,1
Galeamopus sp.,Galeamopus,Galeamopus,Sauropoda,herbivore,1
Haplocanthosaurus n. sp. delfsi,Haplocanthosaurus delfsi,Haplocanthosaurus,Sauropoda,herbivore,1
Galeamopus pabsti,Galeamopus pabsti,Galeamopus,Sauropoda,herbivore,1
Fruitadens ? sp.,Fruitadens haagarorum,Fruitadens,Ornithischia,herbivore,1
Galeamopus hayi,Galeamopus hayi,Galeamopus,Sauropoda,herbivore,1
Galeamopus n. sp. pabsti,Galeamopus pabsti,Galeamopus,Sauropoda,herbivore,1
Edmarka rex,Torvosaurus tanneri,Torvosaurus,Theropoda,predator,1
Elaphrosaurus ? sp.,Elaphrosaurus,Elaphrosaurus,Theropoda,predator,1
Marshosaurus sp.,Marshosaurus bicentesimus,Marshosaurus,Theropoda,predator,1
Marshosaurus bicentesimus,Marshosaurus bicentesimus,Marshosaurus,Theropoda,predator,1
Laosaurus n. sp. altus,Dryosaurus altus,Dryosaurus,Ornithischia,herbivore,1
Laelaps n. sp. trihedrodon,Allosaurus fragilis,Allosaurus,Theropoda,predator,1
Laelaps trihedrodon,Allosaurus fragilis,Allosaurus,Theropoda,predator,1
Laosaurus consors ?,Nanosaurus agilis,Nanosaurus,Ornithischia,herbivore,1
Mymoorapelta maysi,Mymoorapelta maysi,Mymoorapelta,Ornithischia,herbivore,1
Morosaurus n. sp. robustus,Camarasaurus grandis,Camarasaurus,Sauropoda,herbivore,1
Morosaurus n. sp. agilis,Smitanosaurus agilis,Smitanosaurus,Sauropoda,herbivore,1
Morosaurus n. sp. lentus,Camarasaurus lentus,Camarasaurus,Sauropoda,herbivore,1
Morosaurus ? sp.,Camarasaurus,Camarasaurus,Sauropoda,herbivore,1
Laosaurus n. sp. consors,Nanosaurus agilis,Nanosaurus,Ornithischia,herbivore,1
Drinker ? sp.,Nanosaurus agilis,Nanosaurus,Ornithischia,herbivore,1
Dryosaurus ? sp.,Dryosaurus,Dryosaurus,Ornithischia,herbivore,1
Dryosaurus n. sp. elderae,Dryosaurus elderae,Dryosaurus,Ornithischia,herbivore,1
Dryosaurus n. sp. altus,Dryosaurus altus,Dryosaurus,Ornithischia,herbivore,1
Dryosaurus elderae,Dryosaurus elderae,Dryosaurus,Ornithischia,herbivore,1
Drinker sp.,Nanosaurus agilis,Nanosaurus,Ornithischia,herbivore,1
Diplodocus n. sp. hayi,Galeamopus hayi,Galeamopus,Sauropoda,herbivore,1
Diplodocus n. sp. carnegii,Diplodocus carnegii,Diplodocus,Sauropoda,herbivore,1
Diplodocus carnegii,Diplodocus carnegii,Diplodocus,Sauropoda,herbivore,1
Diplodocus carnegiei,Diplodocus carnegii,Diplodocus,Sauropoda,herbivore,1
Stegosaurus n. sp. stenops,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,1
Stegosaurus n. sp. longispinus,Miragaia longispinus,Miragaia,Ornithischia,herbivore,1
Stegosaurus n. sp. duplex,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,1
Stegosaurus n. sp. affinis,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,1
Stegosaurus armatus,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,1
Ornitholestes ? sp.,Ornitholestes hermanni,Ornitholestes,Theropoda,predator,1
Pleurocoelus n. sp. montanus,Camarasaurus grandis,Camarasaurus,Sauropoda,herbivore,1
Poicilopleuron n. sp. valens,Allosaurus fragilis,Allosaurus,Theropoda,predator,1
Ornitholestes ? hermanni,Ornitholestes hermanni,Ornitholestes,Theropoda,predator,1
Ornitholestes sp.,Ornitholestes hermanni,Ornitholestes,Theropoda,predator,1
Stegosaurus n. sp. ungulatus,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,1
Stokesosaurus sp.,Stokesosaurus clevelandi,Stokesosaurus,Theropoda,predator,1
Supersaurus sp.,Supersaurus vivianae,Supersaurus,Sauropoda,herbivore,1
Tanycolagreus ? sp.,Tanycolagreus topwilsoni,Tanycolagreus,Theropoda,predator,1
Supersaurus vivianae,Supersaurus vivianae,Supersaurus,Sauropoda,herbivore,1
Stegosaurus n. sp. sulcatus,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,1
aff. Camarasaurus sp.,Camarasaurus,Camarasaurus,Sauropoda,herbivore,1
cf. Camarasaurus sp.,Camarasaurus,Camarasaurus,Sauropoda,herbivore,1
cf. Stegosaurus armatus,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,1
n. gen. Allosaurus n. sp. fragilis,Allosaurus fragilis,Allosaurus,Theropoda,predator,1
n. gen. Amphicoelias n. sp. altus,Amphicoelias altus,Amphicoelias,Sauropoda,herbivore,1
n. gen. Apatosaurus n. sp. ajax,Apatosaurus ajax,Apatosaurus,Sauropoda,herbivore,1
n. gen. Barosaurus n. sp. lentus,Barosaurus lentus,Barosaurus,Sauropoda,herbivore,1
n. gen. Brachiosaurus n. sp. altithorax,Brachiosaurus altithorax,Brachiosaurus,Sauropoda,herbivore,1
n. gen. Brontosaurus n. sp. excelsus,Brontosaurus excelsus,Brontosaurus,Sauropoda,herbivore,1
n. gen. Camarasaurus n. sp. supremus,Camarasaurus supremus,Camarasaurus,Sauropoda,herbivore,1
n. gen. Cathetosaurus n. sp. lewisi,Camarasaurus lewisi,Camarasaurus,Sauropoda,herbivore,1
n. gen. Ceratosaurus n. sp. nasicornis,Ceratosaurus nasicornis,Ceratosaurus,Theropoda,predator,1
n. gen. Coelurus n. sp. fragilis,Coelurus fragilis,Coelurus,Theropoda,predator,1
n. gen. Creosaurus n. sp. atrox,Allosaurus fragilis,Allosaurus,Theropoda,predator,1
n. gen. Diplodocus n. sp. longus,Diplodocus longus,Diplodocus,Sauropoda,herbivore,1
n. gen. Diracodon n. sp. laticeps,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,1
n. gen. Drinker n. sp. nisti,Nanosaurus agilis,Nanosaurus,Ornithischia,herbivore,1
n. gen. Dyslocosaurus n. sp. polyonychius,Dyslocosaurus polyonychius,Dyslocosaurus,Sauropoda,herbivore,1
n. gen. Dystylosaurus n. sp. edwini,Supersaurus vivianae,Supersaurus,Sauropoda,herbivore,1
n. gen. Edmarka n. sp. rex,Torvosaurus tanneri,Torvosaurus,Theropoda,predator,1
n. gen. Elosaurus n. sp. parvus,Brontosaurus parvus,Brontosaurus,Sauropoda,herbivore,1
n. gen. Epanterias n. sp. amplexus,Allosaurus fragilis,Allosaurus,Theropoda,predator,1
n. gen. Fosterovenator n. sp. churei,Fosterovenator churei,Fosterovenator,Theropoda,predator,1
n. gen. Fruitadens n. sp. haagarorum,Fruitadens haagarorum,Fruitadens,Ornithischia,herbivore,1
n. gen. Gargoyleosaurus n. sp. parkpini,Gargoyleosaurus parkpinorum,Gargoyleosaurus,Ornithischia,herbivore,1
n. gen. Haplocanthus n. sp. priscus,Haplocanthosaurus priscus,Haplocanthosaurus,Sauropoda,herbivore,1
n. gen. Hesperornithoides n. sp. miessleri,Hesperornithoides miessleri,Hesperornithoides,Theropoda,predator,1
n. gen. Hesperosaurus n. sp. mjosi,Hesperosaurus mjosi,Hesperosaurus,Ornithischia,herbivore,1
n. gen. Hypsirophus n. sp. discurus,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,1
n. gen. Kaatedocus n. sp. siberi,Kaatedocus siberi,Kaatedocus,Sauropoda,herbivore,1
n. gen. Labrosaurus n. sp. ferox,Allosaurus fragilis,Allosaurus,Theropoda,predator,1
n. gen. Marshosaurus n. sp. bicentesimus,Marshosaurus bicentesimus,Marshosaurus,Theropoda,predator,1
n. gen. Morosaurus n. sp. impar,Camarasaurus grandis,Camarasaurus,Sauropoda,herbivore,1
n. gen. Mymoorapelta n. sp. maysi,Mymoorapelta maysi,Mymoorapelta,Ornithischia,herbivore,1
n. gen. Nanosaurus n. sp. agilis,Nanosaurus agilis,Nanosaurus,Ornithischia,herbivore,1
n. gen. Ornitholestes n. sp. hermanni,Ornitholestes hermanni,Ornitholestes,Theropoda,predator,1
n. gen. Saurophaganax n. sp. maximus,Saurophaganax maximus,Saurophaganax,Theropoda,predator,1
n. gen. Saurophagus n. sp. maximus,Allosaurus fragilis,Allosaurus,Theropoda,predator,1
n. gen. Seismosaurus n. sp. halli,Diplodocus hallorum,Diplodocus,Sauropoda,herbivore,1
n. gen. Stegosaurus n. sp. armatus,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,1
n. gen. Stokesosaurus n. sp. clevelandi,Stokesosaurus clevelandi,Stokesosaurus,Theropoda,predator,1
n. gen. Supersaurus n. sp. vivianae,Supersaurus vivianae,Supersaurus,Sauropoda,herbivore,1
n. gen. Suuwassea n. sp. emilieae,Suuwassea emilieae,Suuwassea,Sauropoda,herbivore,1
n. gen. Symphyrophus n. sp. musculosus,Camptosaurus dispar,Camptosaurus,Ornithischia,herbivore,1
n. gen. Tanycolagreus n. sp. topwilsoni,Tanycolagreus topwilsoni,Tanycolagreus,Theropoda,predator,1
n. gen. Torvosaurus n. sp. tanneri,Torvosaurus tanneri,Torvosaurus,Theropoda,predator,1
n. gen. Uintasaurus n. sp. douglassi,Camarasaurus lentus,Camarasaurus,Sauropoda,herbivore,1
n. gen. Ultrasaurus n. sp. macintoshi,Supersaurus vivianae,Supersaurus,Sauropoda,herbivore,1
