collection_no,collection_name,lng,lat,systems_tract,n_occurrences,n_genera,n_herbivore,n_predator
57893,Freezeout Hills Quarry 4,-106.390556,42.035831,,1,1,1,0
57894,Freezeout Hills Quarry 6 (FMNH),-106.390556,42.035831,6.0,6,6,4,2
57895,Freezeout Hills Quarry L,-106.390556,42.035831,,1,1,1,0
57896,Freezeout Hills Quarry O,-106.390556,42.035831,,2,2,2,0
57897,"Carnegie Quarry D, Sheep Creek",-105.916199,42.152302,4.0,2,2,2,0
57898,"Carnegie Quarry F, Sheep Creek",-105.886398,42.146099,,1,1,1,0
57899,"Carnegie Quarry G, Sheep Creek",-105.886398,42.146099,,1,1,1,0
57900,"Carnegie Quarry J, Sheep Creek",-105.908424,42.149494,,2,2,2,0
57901,"Carnegie Quarry K, Sheep Creek",-105.908501,42.152802,,1,1,1,0
57902,"Carnegie Quarry 4, Sheep Creek",-105.908424,42.149494,,1,1,1,0
57903,Quarry R (AMNH),-105.963402,41.9077,,4,4,3,1
57904,Wonderland North (SDSM V951),-103.344597,44.184399,6.0,1,1,1,0
57905,"Hatch Ranch, Piedmont Butte",-103.377998,44.23307,6.0,2,2,1,1
57910,Acoma Site,-107.597702,34.936798,,1,1,0,1
57913,Rainbow Park microsite (DNM 96),-109.1651,40.504601,5.0,5,5,4,1
58507,Bobcat Pit,-104.240555,44.021111,,2,2,1,1
58508,Paint Creek,-109.207924,44.839115,,1,1,1,0
58509,Red Fork Powder River Quarry B,-106.780556,43.649166,6.0,3,3,2,1
58510,Poison Creek Quarry (MSM),-106.778,44.087002,5.0,9,9,7,2
58511,"SDSM V923, Blacktail Creek",-104.612999,44.677502,,1,1,1,0
58512,Dyer Ranch Quarry 1,-106.3153,42.181629,,1,1,1,0
58513,Dyer Ranch Quarry 2,-106.3153,42.181629,,1,1,1,0
58514,Hanksville-Burpee Quarry,-110.813889,38.25222,4.0,7,7,6,1
58515,"Utah Field House Quarry, DNM",-109.524025,40.456348,3.0,1,1,1,0
58516,Mill Canyon Quarry (BYU),-109.741203,38.710346,3.0,5,5,4,1
58517,Floy Junction,-109.935837,38.924442,,2,2,2,0
58518,Cisco sauropod site,-109.320557,38.970001,,1,1,1,0
58551,Emery County sauropod site,-111.1502,38.8396,,1,1,0,1
62561,Red Canyon Ranch,-107.814163,44.632221,5.0,4,4,2,2
64053,"Sand Bench, San Rafael Swell (BYU)",-110.898888,38.863888,,1,1,0,1
66909,Alameda Parkway Morrison dinosaur site,-105.192596,39.675598,,1,1,1,0
68097,Sinbad Valley,-108.99778,38.502777,,1,1,1,0
68099,"NMMNH L-555, San Ysidro Camarasaurus Quarry",-106.823196,35.515598,4.0,2,2,1,1
69890,Mother's Day Quarry,-108.826668,45.22361,4.0,2,2,2,0
70024,Pi̱on Locality,-110.22583,36.100834,,1,1,1,0
70026,Wilson Creek,-105.208885,38.503334,2.0,1,1,0,1
70027,Radium Locality,-106.558609,39.952778,,1,1,0,1
70028,Blue Mesa Quarry,-107.334442,38.452778,3.0,2,2,1,1
70029,Masonville locality,-105.210831,40.487499,5.0,2,2,1,1
70030,Villegreen,-103.520279,37.305832,,1,1,1,0
70031,Cactus Park Quarry 3A (CU-Denver),-108.477219,38.853611,4.0,2,2,1,1
70032,Cactus Park Quarry (BYU Loc. 681),-108.477219,38.853611,4.0,3,3,3,0
71476,FPA General Site (LACM),-108.769997,39.146,4.0,6,6,6,0
73998,Aurora Quarry 3 (AMNH),-106.07917,41.901386,4.0,1,1,0,1
74000,Como Bluff (AMNH 222),-106.07917,41.901386,,2,2,1,1
74663,Cottonwood Creek Dinosaur Trail (Tate-UW),-106.740685,42.520729,5.0,2,2,2,0
74664,Jimbo Quarry (2A) (PROXY),-105.439041,42.629375,6.0,2,2,1,1
