collection_no,collection_name,lng,lat,systems_tract,n_occurrences,n_genera,n_herbivore,n_predator
185607,Howe-Scott Quarry,-107.816666,44.650002,5.0,3,3,3,0
188393,Bull Canyon (UNM/1),-104.169296,34.9911,,1,1,1,0
188395,5 km west of Exter,-107.401108,33.773609,,1,1,0,1
188398,Little Wagonhound Creek (UW),-106.27417,41.730278,,1,1,1,0
190894,Sheep Mountain anticline,-108.124908,44.637482,,1,1,1,0
191718,"Cisco Mammal Quarry, OMNH V1728",-109.269165,38.992222,4.0,1,1,1,0
192428,Montezuma Canyon,-109.197891,37.559715,,1,1,0,1
192432,White Mesa,-109.467621,37.465836,,1,1,1,0
192450,"Stegosurus Knob, FPA",-108.771576,39.150227,4.0,1,1,1,0
192453,"Ceratosaurus Pond, FPA",-108.771576,39.150227,4.0,1,1,0,1
192455,"Fossil Ridge, FPA",-108.771576,39.150227,4.0,2,2,1,1
192746,"Becky Quarry, Como Bluff",-105.979721,41.893055,,1,1,1,0
193250,DNM 116,-109.292778,40.438133,,1,1,0,1
196439,Griffin Ranch,-106.291,41.967098,,1,1,1,0
207744,Twin Juniper Quarry,-109.022301,39.139599,,1,1,1,0
207747,Boris Quarry,-106.00222,41.893055,,1,1,1,0
207748,McKinsey-REX pipeline quarry (PROXY),-105.706497,41.3139,,1,1,1,0
207749,Sheridan College Quarry 1,-106.717598,44.058601,,3,3,3,0
215054,JRDI 5ES Quarry,-108.792999,46.867001,,2,2,1,1
220417,Aaron Scott Quarry [PROXY],-111.024002,39.005001,4.0,9,9,6,3
221673,foot of Freezeout Mountains [PROXY],-111.725281,44.844444,,1,1,1,0
224376,Sheridan College Allosaur Quarry (PROXY),-106.717598,44.058601,,1,1,0,1
225118,ARCH 3151 locality [PROXY],-109.716454,38.777451,,1,1,1,0
225131,"Blue Peak, near Grants",-107.813301,35.341,,1,1,1,0
225132,Concho Springs,-107.230202,35.095699,,1,1,1,0
225938,SDSM V932,-104.734703,44.458099,,1,1,0,1
226819,Hulett (BHI) [PROXY],-104.600281,44.683056,,1,1,1,0
227262,Nickopod Quarry (VMNH),-107.851501,44.655998,4.0,6,6,5,1
227263,Little Al site (VMNH),-107.851501,44.655998,4.0,1,1,0,1
227703,UCM Loc. 86050,-105.188614,40.673889,,1,1,0,1
