oid,cid,tna,tid,rnk,lng,lat,env,lt1,ldc,tpm,tps,tpt,cct,gsc,ccx,ccd,cnm,aut,pby,oei,guild,genus,collection_no,body_fossil,is_ootaxon
occ:403444,col:38704,Gallimimus bullatus,txn:57265,3.0,100.369415,43.439934,terrestrial indet.,sandstone,,body,autochthonous,snapshot,taxonomic,small collection,"selective quarrying,mechanical,field collection",1964,"Tsagan Hushu, site 3 [PMPE]",Osmólska et al.,1972,Maastrichtian,predator,Gallimimus,38704,True,False
occ:404785,col:38021,Barsboldia sicinskii,txn:67253,3.0,101.040001,43.529999,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1970,"Nemegt, Northern Sayr, site 23 [PMPE]",Maryanska and Osmólska,1981,Maastrichtian,herbivore,Barsboldia,38021,True,False
occ:404787,col:37003,Gallimimus bullatus,txn:57265,3.0,101.044724,43.529167,terrestrial indet.,conglomerate,"""gravels""",body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,mechanical,field collection",1970,"Nemegt, Northern Sayr, site 14 [PMPE]",Osmólska et al.,1972,Maastrichtian,predator,Gallimimus,37003,True,False
occ:404836,col:37020,Borogovia gracilicrus,txn:64791,3.0,100.456665,43.601665,terrestrial indet.,not reported,,body,parautochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),mechanical,field collection",1970-1971,"Altan Ula IV, general [PMPE]",Osmolska,1981,Maastrichtian,predator,Borogovia,37020,True,False
occ:513489,col:51972,Tochisaurus nemegtensis,txn:66620,3.0,101.275002,43.491669,terrestrial indet.,not reported,,body,,snapshot,taxonomic,small collection,"mechanical,field collection,survey of museum collection","1946, 1948–1949",Nemegt locality (PIN coll. 551) [MPE],Kurzanov and Osmólska,1991,Maastrichtian,predator,Tochisaurus,51972,True,False
occ:513562,col:52008,Anserimimus planinychus,txn:66672,3.0,99.599998,43.540001,terrestrial indet.,not reported,,body,,snapshot,taxonomic,small collection,field collection,1970s,Bugin Tsav [SMPE],Barsbold,1988,Maastrichtian,predator,Anserimimus,52008,True,False
occ:513569,col:52012,Zanabazar junior,txn:57262,3.0,99.599998,43.540001,terrestrial indet.,not reported,,body,,snapshot,taxonomic,small collection,survey of museum collection,1964–1967,Bugin Tsav [SMPE],Barsbold,1974,Maastrichtian,predator,Zanabazar,52012,True,False
occ:520879,col:53227,Saurolophus angustirostris,txn:64295,3.0,101.275002,43.491669,terrestrial indet.,not reported,,body,,snapshot,taxonomic,outcrop,"selective quarrying,mechanical,field collection",1948-1949,foot of Nemegtu Mountain [SMPE] (PIN coll. 551),Rozhdestvensky,1952,Maastrichtian,herbivore,Saurolophus,53227,True,False
occ:529494,col:54095,Nemegtomaia barsboldi,txn:68044,3.0,101.275002,43.491669,fluvial indet.,not reported,,body,,,taxonomic,small collection,"selective quarrying,surface (float),surface (in situ),mechanical,field collection",1996,"Red Walls, Nemegt",Lü et al.,2004,Maastrichtian,predator,Nemegtomaia,54095,True,False
occ:534085,col:55257,Gallimimus,txn:38547,5.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Watabe and Suzuki,2000,Maastrichtian,predator,Gallimimus,55257,True,False
occ:534086,col:55257,Saurolophus,txn:38768,5.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Watabe and Suzuki,2000,Maastrichtian,herbivore,Saurolophus,55257,True,False
occ:534087,col:55257,Tarbosaurus,txn:53224,5.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Watabe and Suzuki,2000,Maastrichtian,predator,Tarbosaurus,55257,True,False
occ:534088,col:55257,Sauropoda,txn:38653,25.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Watabe and Weishampel,1994,Maastrichtian,herbivore,,55257,True,False
occ:534089,col:55257,Elongatoolithus,txn:67185,5.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Simon et al.,2019,Maastrichtian,predator,Elongatoolithus,55257,True,True
occ:534090,col:55258,Elongatoolithidae,txn:65566,9.0,99.833054,43.474724,eolian indet.,sandstone,"""well-sorted medium to fine, reddish to pale orange cemented sand beds and massive mud beds with conglomerates of gravel-sized clasts. The sediments in the reddish sand beds exhibit large-scale trough cross-bedding.""",body,,,general faunal/floral,outcrop,field collection,"1994, 1997, 2006","Khermin Tsav I, Upper White Beds [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,predator,,55258,True,False
occ:565449,col:59087,Theropoda,txn:38513,25.0,107.783333,43.575001,fluvial indet.,sandstone,"""bluish white hard medium to coarse sandstone""; ""In the eastern area (dinosaur footprint area), the section is composed of one unit: alternation of mudstone and sandstone. Thickness of the beds in the eastern area is 16 m. On the top sandstone layers in this area, there are many ripple marks preserved. The strike trend of the ripple mark is NNE-SSE to NE-SW (31.2 + 180 degree, N = 18). Paleocurrent direction on trough cross-stratification on the hard sandstone layers is north to northwest (338.5 degree, standard deviation = 5.42, N = 9)""","cast,mold/impression,trace",autochthonous,,paleoecologic,outcrop,"surface (in situ),observed (not collected)","1995–1996, 2001",Shar Tsav tracksite,Ishigaki,1997,Maastrichtian,predator,,59087,False,False
occ:610219,col:65335,Paraspheroolithus irenensis,txn:68510,3.0,100.484444,43.849724,terrestrial indet.,not reported,,"body,soft parts",autochthonous,snapshot,taxonomic,small collection,"surface (in situ),field collection","1980, 1987",Gooreeliyn-Tsav [SMPE/SMGE[,Mikhailov,1994,Maastrichtian,herbivore,Paraspheroolithus,65335,True,True
occ:610240,col:65345,Ovaloolithus dinornithoides,txn:84309,3.0,100.477776,43.572224,terrestrial indet.,not reported,,body,,snapshot,paleoecologic,small collection,field collection,,Altan Ula III [SMPE] (PIN coll. 4231),Mikhailov,1994,Maastrichtian,herbivore,Ovaloolithus,65345,True,True
occ:610249,col:65347,Laevisoolithus sochavai,txn:86625,3.0,99.599998,43.540001,terrestrial indet.,sandstone,,body,autochthonous,snapshot,paleoecologic,small collection,"surface (in situ),mechanical,field collection",1967–1968,Bugin Tsav [SMPE/SMGE],Mikhailov,1991,Maastrichtian,predator,Laevisoolithus,65347,True,True
occ:646266,col:69801,Mononykus olecranus,txn:67287,3.0,99.599998,43.540001,terrestrial indet.,sandstone,"""variegated, predominantly red sandstones""",body,,snapshot,taxonomic,outcrop,"mechanical,survey of museum collection",1987,Bugin Tsav [SMPE],Perle et al.,1993,Maastrichtian,predator,Mononykus,69801,True,False
occ:678493,col:37019,Homalocephale calathocercos,txn:52836,3.0,101.275002,43.491669,terrestrial indet.,not reported,,body,,,general faunal/floral,outcrop,"selective quarrying,mechanical,field collection",1970,Omnogov,Maryańska and Osmólska,1974,Maastrichtian,herbivore,Homalocephale,37019,True,False
occ:680824,col:73437,Tarbosaurus bataar,txn:63705,3.0,100.477776,43.572224,terrestrial indet.,not reported,,body,,,taxonomic,small collection,"mechanical,peel or thin section,survey of museum collection",1948–1949,Altan Ula II [SMPE] (PIN coll. 553),Maleev,1955,Maastrichtian,predator,Tarbosaurus,73437,True,False
occ:711602,col:76192,Dinosauria,txn:52775,25.0,104.916779,47.733334,terrestrial indet.,sandstone,"""a tabular fine to medium grained muddy sand...The bone-bed is densely calcite-cemented and contains abundant small calcareous nodules and granule-sized rip-up clasts...Mudstones underlie the bone-bed and trough-cross bedded sands occur above.""",body,,,general faunal/floral,small collection,"surface (float),field collection",,Ulan Khushu microsite,Winkler et al.,2007,Maastrichtian,herbivore,,76192,True,False
occ:741702,col:53227,Ankylosauridae,txn:38831,9.0,101.275002,43.491669,terrestrial indet.,not reported,,body,,snapshot,taxonomic,outcrop,"selective quarrying,mechanical,field collection",1948-1949,foot of Nemegtu Mountain [SMPE] (PIN coll. 551),Maleev,1956,Maastrichtian,herbivore,,53227,True,False
occ:741703,col:53227,Carnosauria,txn:53943,11.0,101.275002,43.491669,terrestrial indet.,not reported,,body,,snapshot,taxonomic,outcrop,"selective quarrying,mechanical,field collection",1948-1949,foot of Nemegtu Mountain [SMPE] (PIN coll. 551),Maleev,1956,Maastrichtian,predator,,53227,True,False
occ:741956,col:65335,Elongatoolithus sigillarius,txn:84318,3.0,100.484444,43.849724,terrestrial indet.,not reported,,"body,soft parts",autochthonous,snapshot,taxonomic,small collection,"surface (in situ),field collection","1980, 1987",Gooreeliyn-Tsav [SMPE/SMGE[,Mikhailov,1994,Maastrichtian,predator,Elongatoolithus,65335,True,True
occ:783843,col:84444,Teviornis gobiensis,txn:134342,3.0,100.477776,43.572224,terrestrial indet.,not reported,,body,,,taxonomic,outcrop,"surface (in situ),field collection","1987, 1994",Gurilyn Tsav [RMPE],Kurochkin et al.,2002,Maastrichtian,predator,Teviornis,84444,True,False
occ:809200,col:88554,Therizinosaurus cheloniformis,txn:66673,3.0,101.275002,43.491669,terrestrial indet.,not reported,,body,,,taxonomic,outcrop,survey of museum collection,1948,"Therizinosaurus type, Nemegt (PROXY)",Maleev,1954,Maastrichtian,predator,Therizinosaurus,88554,True,False
occ:899613,col:59087,Avimimus,txn:38615,5.0,107.783333,43.575001,fluvial indet.,sandstone,"""bluish white hard medium to coarse sandstone""; ""In the eastern area (dinosaur footprint area), the section is composed of one unit: alternation of mudstone and sandstone. Thickness of the beds in the eastern area is 16 m. On the top sandstone layers in this area, there are many ripple marks preserved. The strike trend of the ripple mark is NNE-SSE to NE-SW (31.2 + 180 degree, N = 18). Paleocurrent direction on trough cross-stratification on the hard sandstone layers is north to northwest (338.5 degree, standard deviation = 5.42, N = 9)""","cast,mold/impression,trace",autochthonous,,paleoecologic,outcrop,"surface (in situ),observed (not collected)","1995–1996, 2001",Shar Tsav tracksite,Ishigaki et al.,2009,Maastrichtian,predator,Avimimus,59087,False,False
occ:899616,col:59087,Ankylosauridae,txn:38831,9.0,107.783333,43.575001,fluvial indet.,sandstone,"""bluish white hard medium to coarse sandstone""; ""In the eastern area (dinosaur footprint area), the section is composed of one unit: alternation of mudstone and sandstone. Thickness of the beds in the eastern area is 16 m. On the top sandstone layers in this area, there are many ripple marks preserved. The strike trend of the ripple mark is NNE-SSE to NE-SW (31.2 + 180 degree, N = 18). Paleocurrent direction on trough cross-stratification on the hard sandstone layers is north to northwest (338.5 degree, standard deviation = 5.42, N = 9)""","cast,mold/impression,trace",autochthonous,,paleoecologic,outcrop,"surface (in situ),observed (not collected)","1995–1996, 2001",Shar Tsav tracksite,Ishigaki,1997,Maastrichtian,herbivore,,59087,False,False
occ:899620,col:100266,Dinosauria,txn:52775,25.0,100.01667,43.866669,crevasse splay,sandstone,"""preserved in the mudstone layers, as natural casts made of fine- to medium-grained sandstone""","cast,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",1998,Bugin Tsav tracksite [HMNS-GIN],Suzuki and Watabe,2000,Maastrichtian,herbivore,,100266,False,False
occ:899621,col:100266,Ankylosauridae,txn:38831,9.0,100.01667,43.866669,crevasse splay,sandstone,"""preserved in the mudstone layers, as natural casts made of fine- to medium-grained sandstone""","cast,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",1998,Bugin Tsav tracksite [HMNS-GIN],Ishigaki et al.,2009,Maastrichtian,herbivore,,100266,False,False
occ:899622,col:100266,Tarbosaurus,txn:53224,5.0,100.01667,43.866669,crevasse splay,sandstone,"""preserved in the mudstone layers, as natural casts made of fine- to medium-grained sandstone""","cast,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",1998,Bugin Tsav tracksite [HMNS-GIN],Ishigaki et al.,2009,Maastrichtian,predator,Tarbosaurus,100266,False,False
occ:899623,col:100266,Hadrosauridae,txn:38755,9.0,100.01667,43.866669,crevasse splay,sandstone,"""preserved in the mudstone layers, as natural casts made of fine- to medium-grained sandstone""","cast,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",1998,Bugin Tsav tracksite [HMNS-GIN],Suzuki and Watabe,2000,Maastrichtian,herbivore,,100266,False,False
occ:899624,col:100266,Sauropoda,txn:38653,25.0,100.01667,43.866669,crevasse splay,sandstone,"""preserved in the mudstone layers, as natural casts made of fine- to medium-grained sandstone""","cast,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",1998,Bugin Tsav tracksite [HMNS-GIN],Suzuki and Watabe,2000,Maastrichtian,herbivore,,100266,False,False
occ:899629,col:100268,Tarbosaurus,txn:53224,5.0,99.98333,43.816666,fluvial-lacustrine indet.,sandstone,,"cast,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",2006,Bugin Tsav II tracksite [HMNS-GIN],Ishigaki et al.,2009,Maastrichtian,predator,Tarbosaurus,100268,False,False
occ:899630,col:100268,Saurolophus,txn:38768,5.0,99.98333,43.816666,fluvial-lacustrine indet.,sandstone,,"cast,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",2006,Bugin Tsav II tracksite [HMNS-GIN],Ishigaki et al.,2009,Maastrichtian,herbivore,Saurolophus,100268,False,False
occ:899631,col:100268,Ankylosauridae,txn:38831,9.0,99.98333,43.816666,fluvial-lacustrine indet.,sandstone,,"cast,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",2006,Bugin Tsav II tracksite [HMNS-GIN],Ishigaki et al.,2009,Maastrichtian,herbivore,,100268,False,False
occ:899632,col:100268,Dinosauria,txn:52775,25.0,99.98333,43.816666,fluvial-lacustrine indet.,sandstone,,"cast,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",2006,Bugin Tsav II tracksite [HMNS-GIN],Watabe et al.,2010,Maastrichtian,herbivore,,100268,False,False
occ:899635,col:100270,Dinosauria,txn:52775,25.0,100.5,43.599998,fluvial-lacustrine indet.,not reported,,trace,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",1997,Altan Ula III tracksite [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,herbivore,,100270,False,False
occ:899637,col:100272,Dinosauria,txn:52775,25.0,100.449997,43.599998,fluvial-lacustrine indet.,not reported,,trace,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",1997,Altan Ula IV tracksite [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,herbivore,,100272,False,False
occ:899639,col:100273,Saurolophus,txn:38768,5.0,100.133331,43.866669,fluvial-lacustrine indet.,sandstone,"""alternation of sandstone and mudstone layers. Thick sandstone layers are developed in the upper part of geologic section of this locality. Those layers might be partly of eolian origin. In the beds paleosol (calcareous concretions) are frequently developed. The paleocurrent direction observed in the trough-cross-stratification in sandstone layers shows south, southwest, and west. Strike of wave ripple mark on hard gray fine-grained sandstone layer with dinosaur footprints is 155 (or 335) degree.""","cast,trace",autochthonous,,general faunal/floral,outcrop,"surface (in situ),observed (not collected)","1998, 2006",Gurilin Tsav tracksite [HMNS-GIN],Ishigaki et al.,2009,Maastrichtian,herbivore,Saurolophus,100273,False,False
occ:899640,col:100273,Ankylosauridae,txn:38831,9.0,100.133331,43.866669,fluvial-lacustrine indet.,sandstone,"""alternation of sandstone and mudstone layers. Thick sandstone layers are developed in the upper part of geologic section of this locality. Those layers might be partly of eolian origin. In the beds paleosol (calcareous concretions) are frequently developed. The paleocurrent direction observed in the trough-cross-stratification in sandstone layers shows south, southwest, and west. Strike of wave ripple mark on hard gray fine-grained sandstone layer with dinosaur footprints is 155 (or 335) degree.""","cast,trace",autochthonous,,general faunal/floral,outcrop,"surface (in situ),observed (not collected)","1998, 2006",Gurilin Tsav tracksite [HMNS-GIN],Ishigaki et al.,2009,Maastrichtian,herbivore,,100273,False,False
occ:899641,col:100273,Dinosauria,txn:52775,25.0,100.133331,43.866669,fluvial-lacustrine indet.,sandstone,"""alternation of sandstone and mudstone layers. Thick sandstone layers are developed in the upper part of geologic section of this locality. Those layers might be partly of eolian origin. In the beds paleosol (calcareous concretions) are frequently developed. The paleocurrent direction observed in the trough-cross-stratification in sandstone layers shows south, southwest, and west. Strike of wave ripple mark on hard gray fine-grained sandstone layer with dinosaur footprints is 155 (or 335) degree.""","cast,trace",autochthonous,,general faunal/floral,outcrop,"surface (in situ),observed (not collected)","1998, 2006",Gurilin Tsav tracksite [HMNS-GIN],Suzuki and Watabe,2000,Maastrichtian,herbivore,,100273,False,False
occ:899642,col:100274,Dinosauria,txn:52775,25.0,100.449997,43.849998,fluvial-lacustrine indet.,not reported,,trace,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",,Ulan Khushu tracksite [HMNS-GIN],Ishigaki et al.,2009,Maastrichtian,herbivore,,100274,False,False
occ:899643,col:100275,Theropoda,txn:38513,25.0,99.833336,43.466667,fluvial-lacustrine indet.,not reported,,trace,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",1997,Khermeen Tsav I tracksite [HMNS-GIN],Ishigaki et al.,2009,Maastrichtian,predator,,100275,False,False
occ:899644,col:100275,Ankylosauridae,txn:38831,9.0,99.833336,43.466667,fluvial-lacustrine indet.,not reported,,trace,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",1997,Khermeen Tsav I tracksite [HMNS-GIN],Ishigaki et al.,2009,Maastrichtian,herbivore,,100275,False,False
occ:899645,col:100275,Dinosauria,txn:52775,25.0,99.833336,43.466667,fluvial-lacustrine indet.,not reported,,trace,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",1997,Khermeen Tsav I tracksite [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,herbivore,,100275,False,False
occ:937808,col:55257,Elmisaurus,txn:38556,5.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Matsumoto et al.,2010,Maastrichtian,predator,Elmisaurus,55257,True,False
