website_domain,registry_systems,reachable_systems,motorized_declared_systems,motorized_micromobility_systems,evaluable_vehicle_feeds,battery_percent_feeds,range_feeds,last_reported_feeds
hamilton.socialbicycles.com,1,1,0,0,1,0,0,0
heartland.bcycle.com,1,1,0,0,0,0,0,0
heartlandbikeshare.org,1,1,0,0,0,0,0,0
hertlein.me,1,1,1,0,1,1,1,0
hertzbildeling.no,1,0,0,0,0,0,0,0
hyre.no,1,0,0,0,0,0,0,0
ilevia.fr,1,1,0,0,0,0,0,0
jacksoncounty.bcycle.com,1,1,0,0,0,0,0,0
karlsruhe.stadtmobil.de,1,1,1,0,1,1,1,0
knot.city,1,0,0,0,0,0,0,0
kolumbus.no,1,0,0,0,0,0,0,0
koninskirower.pl,1,1,0,0,1,0,0,0
koszalinskirowermiejski.pl,1,1,0,0,1,0,0,0
kotobike.jp,1,0,0,0,0,0,0,0
kvb-rad.de,1,1,0,0,1,0,0,0
lastenvelofreiburg.de,1,1,0,0,1,0,1,1
leoandgo.com,1,1,1,0,1,0,1,1
libiavelo.be,1,1,0,0,0,0,0,0
lodzkirowerpubliczny.pl,1,0,0,0,0,0,0,0
lovelolibreservice.fr,1,1,0,0,0,0,0,0
lundahoj.se,1,1,0,0,0,0,0,0
madison.bcycle.com,1,1,0,0,0,0,0,0
mbajk.si,1,1,0,0,0,0,0,0
metrorower.transportgzm.pl,1,1,0,0,1,0,0,0
mibicitubici.gob.ar,1,1,0,0,0,0,0,0
mikar.de,1,1,1,0,1,0,1,0
mobilite.lepuyenvelay.fr,1,1,1,0,1,1,1,1
mobility.ch,1,1,1,0,0,0,0,0
mybuxi.ch,1,1,1,0,0,0,0,0
nashville.bcycle.com,1,1,0,0,0,0,0,0
nextbike.es,1,0,0,0,0,0,0,0
nextbike.lv,1,1,0,0,0,0,0,0
nextbike.ro,1,1,0,0,1,0,0,0
ns.nl,1,1,0,0,0,0,0,0
oberschwabenmobil.de,1,1,1,0,1,1,1,0
oli-bike.de,1,0,0,0,0,0,0,0
ontibici.com,1,0,0,0,0,0,0,0
optymo.fr,2,2,1,0,0,0,0,0
oslobysykkel.no,1,0,0,0,0,0,0,0
ostrowskirowermiejski.pl,1,0,0,0,0,0,0,0
otto.no,1,0,0,0,0,0,0,0
pacersbikeshare.org,1,1,0,0,0,0,0,0
peacehealthrides.com,1,1,0,0,1,0,0,0
piaseczynskirower.pl,1,1,0,0,1,1,1,0
prishtinabike.com,1,1,0,0,1,0,0,0
pruszkowskirower.pl,1,1,0,0,1,1,1,0
quickrent.ch,1,1,1,0,1,1,0,0
reddybikeshare.socialbicycles.com,1,1,0,0,1,0,0,0
regioradstuttgart.de,1,1,0,0,1,0,0,0
relaybikeshare.com,1,1,0,0,0,0,0,0
rgv.bcycle.com,1,0,0,0,0,0,0,0
rhein-neckar.stadtmobil.de,1,1,1,0,1,1,1,0
rideindego.com,1,1,0,0,0,0,0,0
rower.jastrzebie.pl,1,1,0,0,1,0,0,0
rower.tarnow.pl,1,1,0,0,1,0,0,0
rower.wolsztyn.pl,1,1,0,0,1,0,0,0
rowery.grodzisk.pl,1,1,0,0,1,0,0,0
rtcbikeshare.bcycle.com,1,1,0,0,0,0,0,0
ryde-technology.com,11,0,0,0,0,0,0,0
sanantonio.bcycle.com,1,1,0,0,0,0,0,0
santabarbara.bcycle.com,1,1,0,0,0,0,0,0
santacruz.bcycle.com,1,1,0,0,0,0,0,0
sevici.es,1,1,0,0,0,0,0,0
sharedmobility.ch,1,1,0,0,1,0,0,0
shastalivingstreets.org,1,1,0,0,0,0,0,0
slatinavelocity.ro,1,1,0,0,0,0,0,0
sloboziabikecity.ro,1,1,0,0,1,0,0,0
sponti-car.ch,1,0,0,0,0,0,0,0
stadtrad-greifswald.de,1,1,0,0,1,0,0,0
stadtrad-innsbruck.at,1,1,0,0,1,0,0,0
stadtrad.hamburg.de,1,0,0,0,0,0,0,0
stadtradlueneburg.de,1,0,0,0,0,0,0,0
stadtwerk-tauberfranken.de,1,1,1,0,1,1,1,0
stadtwerke-wertheim.de,1,1,1,0,1,1,1,0
star.fr,1,1,0,0,0,0,0,0
stuttgart.stadtmobil.de,1,1,1,0,1,1,1,0
