Combo,Size,S_n,T_n,S_pct,T_pct,P_uni,aOR,CI_lo,CI_hi,P_adj,Model
A+D+E+F,4,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
B+C+D+E,4,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
B+C+D+F,4,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
B+C+E+F,4,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
B+D+E+F,4,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9215290703220606,0.6722591966535493,1.2632267906128578,0.6115604506063195,full
C+D+E+F,4,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
A+B+C+D+E,5,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
A+B+C+D+F,5,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+B+C+E+F,5,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
A+B+D+E+F,5,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
A+C+D+E+F,5,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
B+C+D+E+F,5,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
A+B+C+D+E+F,6,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
