specialty,specialty_en,outcome,year,forecast_mean,forecast_lower,forecast_upper
産婦人科,Obstetrics & gynaecology,physicians,2033,12934.795590286758,12708.368612984852,13161.222567588664
産婦人科,Obstetrics & gynaecology,facilities,2024,5388.166315646243,5384.221911368474,5392.110719924011
産婦人科,Obstetrics & gynaecology,facilities,2025,5357.705325164512,5352.961014872454,5362.44963545657
産婦人科,Obstetrics & gynaecology,facilities,2026,5313.935240481496,5306.102302569087,5321.768178393905
産婦人科,Obstetrics & gynaecology,facilities,2027,5254.893055977831,5246.164428011317,5263.621683944345
産婦人科,Obstetrics & gynaecology,facilities,2028,5264.054660880663,5252.810628022752,5275.298693738573
産婦人科,Obstetrics & gynaecology,facilities,2029,5203.816759460102,5190.35112789669,5217.282391023514
産婦人科,Obstetrics & gynaecology,facilities,2030,5112.05884377101,5095.096841940483,5129.020845601538
産婦人科,Obstetrics & gynaecology,facilities,2031,5267.374618080065,5237.4614300086005,5297.28780615153
産婦人科,Obstetrics & gynaecology,facilities,2032,5044.925665080127,5004.486236625545,5085.36509353471
産婦人科,Obstetrics & gynaecology,facilities,2033,4934.016829353041,4882.606638010371,4985.427020695712
小児科,Paediatrics,physicians,2024,18784.191659350643,18649.946659790716,18918.43665891057
小児科,Paediatrics,physicians,2025,19170.9839750249,18925.176990037373,19416.79096001243
小児科,Paediatrics,physicians,2026,19413.810103214302,19018.923877485464,19808.69632894314
小児科,Paediatrics,physicians,2027,19639.180381073686,19119.6478844593,20158.71287768807
小児科,Paediatrics,physicians,2028,19944.546734746877,19344.448138596406,20544.645330897347
小児科,Paediatrics,physicians,2029,20215.009310415353,19526.21325856776,20903.805362262945
小児科,Paediatrics,physicians,2030,20506.154759206787,19726.750365174346,21285.559153239228
小児科,Paediatrics,physicians,2031,20824.14770137315,19958.91420220931,21689.381200536987
小児科,Paediatrics,physicians,2032,21139.838252104568,20182.727817915602,22096.948686293534
小児科,Paediatrics,physicians,2033,21462.136540684638,20414.652356730454,22509.620724638822
小児科,Paediatrics,facilities,2024,19800.961702935572,19772.117820738684,19829.80558513246
小児科,Paediatrics,facilities,2025,19719.007067292816,19687.49293016597,19750.521204419663
小児科,Paediatrics,facilities,2026,19558.69023167546,19520.343422591304,19597.037040759617
小児科,Paediatrics,facilities,2027,19494.94872217455,19452.0831676029,19537.8142767462
小児科,Paediatrics,facilities,2028,19395.545031931826,19349.543356382543,19441.54670748111
小児科,Paediatrics,facilities,2029,19283.33812662212,19224.437076642906,19342.23917660133
小児科,Paediatrics,facilities,2030,19279.83571490471,19219.473947543982,19340.19748226544
小児科,Paediatrics,facilities,2031,19153.02239351545,19082.21622848524,19223.82855854566
小児科,Paediatrics,facilities,2032,19143.779337727246,19060.473740271496,19227.084935182997
小児科,Paediatrics,facilities,2033,19137.177054707892,19051.099048147425,19223.25506126836
精神科,Psychiatry,physicians,2024,17227.569274877136,17115.689969051196,17339.448580703076
精神科,Psychiatry,physicians,2025,15129.352856682079,14987.405793167409,15271.299920196749
精神科,Psychiatry,physicians,2026,13567.638262488957,12920.576012492229,14214.700512485686
精神科,Psychiatry,physicians,2027,14164.360409533063,13363.92286648165,14964.797952584477
精神科,Psychiatry,physicians,2028,17559.028173147733,16508.98368942386,18609.072656871605
精神科,Psychiatry,physicians,2029,22304.339703637994,19860.47033065324,24748.20907662275
精神科,Psychiatry,physicians,2030,25151.171546330155,21285.29470592349,29017.04838673682
精神科,Psychiatry,physicians,2031,21952.012807638825,17612.21844767527,26291.80716760238
精神科,Psychiatry,physicians,2032,11792.911460836991,7303.574453164039,16282.248468509943
精神科,Psychiatry,physicians,2033,-583.4972363660372,-7212.053515776078,6045.059043044003
精神科,Psychiatry,facilities,2024,5245.262267347207,5243.404031663985,5247.120503030429
精神科,Psychiatry,facilities,2025,5242.6603182712515,5239.745586496019,5245.575050046484
精神科,Psychiatry,facilities,2026,5224.802285874326,5216.679018356475,5232.925553392177
精神科,Psychiatry,facilities,2027,5229.449878263567,5220.28483083793,5238.614925689205
精神科,Psychiatry,facilities,2028,5273.533641685401,5263.214650165728,5283.852633205073
精神科,Psychiatry,facilities,2029,5358.0668577807655,5329.333942632172,5386.799772929359
精神科,Psychiatry,facilities,2030,5426.368282281006,5374.323312771285,5478.413251790727
精神科,Psychiatry,facilities,2031,5393.187467394817,5326.445810151234,5459.9291246384
精神科,Psychiatry,facilities,2032,5204.196999834064,5136.123771808659,5272.270227859469
精神科,Psychiatry,facilities,2033,4920.653490131663,4835.26441051853,5006.042569744795
眼科,Ophthalmology,physicians,2024,12928.392553471822,12883.614805579431,12973.170301364213
眼科,Ophthalmology,physicians,2025,13023.630480204734,12950.8818214224,13096.37913898707
眼科,Ophthalmology,physicians,2026,13096.696394272902,13005.841984905557,13187.550803640246
眼科,Ophthalmology,physicians,2027,12737.419555401722,12646.055151419792,12828.783959383652
眼科,Ophthalmology,physicians,2028,13575.878207940266,13462.514025374012,13689.24239050652
眼科,Ophthalmology,physicians,2029,12638.305768245888,12522.148481469534,12754.463055022241
眼科,Ophthalmology,physicians,2030,12308.285231980683,12171.799686617871,12444.770777343494
眼科,Ophthalmology,physicians,2031,16254.396796464516,15904.393452329201,16604.40014059983
眼科,Ophthalmology,physicians,2032,6764.123696328841,6083.241086067389,7445.006306590293
眼科,Ophthalmology,physicians,2033,18420.7798127598,17601.914307981442,19239.645317538158
眼科,Ophthalmology,facilities,2024,8563.242422962194,8550.741372299239,8575.743473625149
眼科,Ophthalmology,facilities,2025,8464.322636222474,8437.335583406666,8491.309689038282
眼科,Ophthalmology,facilities,2026,8454.71466713785,8422.414306540106,8487.015027735595
眼科,Ophthalmology,facilities,2027,8637.287607785483,8594.817687093107,8679.75752847786
眼科,Ophthalmology,facilities,2028,8254.383935983935,8204.047965734086,8304.719906233784
眼科,Ophthalmology,facilities,2029,8725.440761481013,8659.035042869957,8791.84648009207
眼科,Ophthalmology,facilities,2030,8828.778539579174,8738.44590443407,8919.11117472428
眼科,Ophthalmology,facilities,2031,7704.792576097311,7559.059503147184,7850.5256490474385
眼科,Ophthalmology,facilities,2032,10292.216222902314,9991.99775545314,10592.434690351489
