country,iso3,year,gdp_pc_ppp,happiness
Turkmenistan,TKM,2021,16259.8700051884,5.474
Trinidad and Tobago,TTO,2019,33748.7060849924,6.1919
Tunisia,TUN,2023,12650.9615158166,4.422
Turkey,TUR,2023,35069.1701714685,4.975
Tanzania,TZA,2023,3620.79345703125,3.781
Uganda,UGA,2023,2791.05576885861,4.372
Ukraine,UKR,2023,15916.9580078125,4.873
Uruguay,URY,2023,31100.9696889882,6.611
United States,USA,2023,74351.6718197429,6.725
Uzbekistan,UZB,2023,10514.0955721447,6.195
Vietnam,VNM,2023,13534.7997843016,6.043
South Africa,ZAF,2023,13695.3755694076,5.422
Zambia,ZMB,2023,3673.4841969922,3.502
Zimbabwe,ZWE,2023,5218.04526596398,3.341
