Country,iso3,gdp_pc_ppp,democracy,gdp_year,fh_edition
Kiribati,KIR,3127.17745381556,0.9,2022,2024
Kenya,KEN,5491.69378280246,0.52,2022,2024
Kazakhstan,KAZ,33506.2614893237,0.23,2022,2024
Jordan,JOR,10158.4738771524,0.33,2022,2024
Japan,JPN,46819.360613609,0.96,2022,2024
Jamaica,JAM,11096.6377085321,0.8,2022,2024
Italy,ITA,52333.3274270604,0.9,2022,2024
Israel,ISR,48132.3637205177,0.74,2022,2024
Ireland,IRL,123007.47648651,0.97,2022,2024
Iraq,IRQ,13433.3977166956,0.3,2022,2024
"Iran, Islamic Rep.",IRN,16377.9610645368,0.11,2022,2024
Indonesia,IDN,13334.2653947637,0.57,2022,2024
India,IND,8347.38478647086,0.66,2022,2024
Iceland,ISL,66581.2441801002,0.94,2022,2024
Hungary,HUN,40610.9711368238,0.65,2022,2024
Honduras,HND,6352.58710177732,0.48,2022,2024
Haiti,HTI,3029.77866381702,0.3,2022,2024
Guyana,GUY,37068.1993827588,0.73,2022,2024
Guinea-Bissau,GNB,2600.802474483,0.43,2022,2024
Guinea,GIN,3792.01068836277,0.3,2022,2024
Guatemala,GTM,12144.4800461597,0.46,2022,2024
Grenada,GRD,16376.4273099594,0.89,2022,2024
Greece,GRC,35828.1756641776,0.85,2022,2024
Ghana,GHA,6728.45413832472,0.8,2022,2024
Germany,DEU,63777.9291029299,0.93,2022,2024
Georgia,GEO,20966.5280391134,0.58,2022,2024
Gabon,GAB,18662.0497970472,0.2,2022,2024
France,FRA,53673.8137406422,0.89,2022,2024
Finland,FIN,57068.3056478074,1.0,2022,2024
Fiji,FJI,12118.3182710082,0.66,2022,2024
Ethiopia,ETH,2655.59276743639,0.2,2022,2024
Eswatini,SWZ,9927.60567008139,0.17,2022,2024
Estonia,EST,43124.6196563775,0.95,2022,2024
Equatorial Guinea,GNQ,16932.7706827155,0.05,2022,2024
El Salvador,SLV,11085.6166169553,0.53,2022,2024
"Egypt, Arab Rep.",EGY,16360.390775011,0.18,2022,2024
Ecuador,ECU,14186.6388544625,0.67,2022,2024
Dominican Republic,DOM,22986.95808105,0.68,2022,2024
Dominica,DMA,17550.8009946466,0.93,2022,2024
Djibouti,DJI,6180.67998594606,0.24,2022,2024
Denmark,DNK,69089.4692492289,0.97,2022,2024
Czechia,CZE,48390.661678675,0.94,2022,2024
Cyprus,CYP,50840.9140625,0.92,2022,2024
Croatia,HRV,39863.9109377649,0.83,2022,2024
Cote d'Ivoire,CIV,6272.26395760029,0.49,2022,2024
Costa Rica,CRI,25290.0087466975,0.91,2022,2024
Comoros,COM,3465.8402271705,0.42,2022,2024
Colombia,COL,18458.7209460704,0.7,2022,2024
China,CHN,21499.3125559757,0.09,2022,2024
Chile,CHL,29560.4513805785,0.94,2022,2024
Chad,TCD,2449.48251052296,0.15,2022,2024
Central African Republic,CAF,1136.80171107045,0.05,2022,2024
Canada,CAN,58583.1299860138,0.97,2022,2024
Cameroon,CMR,4843.65038202917,0.15,2022,2024
Cambodia,KHM,6458.3681488084,0.23,2022,2024
Cabo Verde,CPV,8850.1066918812,0.92,2022,2024
Burundi,BDI,1028.11134640179,0.14,2022,2024
Burkina Faso,BFA,2469.19956941259,0.27,2022,2024
Bulgaria,BGR,32433.6587569626,0.78,2022,2024
Brunei Darussalam,BRN,76357.829114996,0.28,2022,2024
Brazil,BRA,18554.0461828566,0.72,2022,2024
Botswana,BWA,18647.3734588832,0.72,2022,2024
Bosnia and Herzegovina,BIH,19298.117076437,0.51,2022,2024
Bolivia,BOL,11487.7148799194,0.66,2022,2024
Bhutan,BTN,14061.3120274588,0.63,2022,2024
Benin,BEN,3588.32519938147,0.61,2022,2024
Belize,BLZ,12565.3645829576,0.87,2022,2024
Belgium,BEL,62602.9270469765,0.96,2022,2024
Belarus,BLR,26537.5083081674,0.08,2022,2024
Barbados,BRB,20494.5343836936,0.94,2022,2024
Bangladesh,BGD,7888.16389098304,0.4,2022,2024
Bahrain,BHR,57572.997981018,0.12,2022,2024
"Bahamas, The",BHS,34342.9285316569,0.91,2022,2024
Azerbaijan,AZE,21051.2442291612,0.07,2022,2024
Austria,AUT,65694.4591501468,0.93,2022,2024
Australia,AUS,60029.1329190733,0.95,2022,2024
Armenia,ARM,17886.1783877168,0.54,2022,2024
Argentina,ARG,27825.0273492567,0.85,2022,2024
Antigua and Barbuda,ATG,27785.5572316838,0.85,2022,2024
Angola,AGO,8750.99363032299,0.28,2022,2024
Andorra,AND,63913.3835079105,0.93,2022,2024
Algeria,DZA,14782.2002970247,0.32,2022,2024
Albania,ALB,19388.7927279351,0.68,2022,2024
Afghanistan,AFG,1981.71016810561,0.06,2022,2024
