species,body_mass_kg,bmr_watts
Xerospermophilus tereticaudus,0.1251,0.501
Mustela erminea,0.1255,1.276
Macroderma gigas,0.126,0.639
Spalacopus cyanus,0.1262,0.561
Petaurus breviceps,0.1293,0.517
Cryptomys damarensis,0.1313,0.418
Thallomys paedulcus,0.13240000000000002,0.487
Spalax ehrenbergi,0.1338,0.585
Jaculus orientalis,0.139,0.775
Thomomys bottae,0.143,0.67
Rousettus aegyptiacus,0.146,0.684
Phascogale tapoatafa,0.15369999999999998,0.694
Octodontomys gliroides,0.1541,0.715
Sigmodon hispidus,0.1596,1.085
Gymnobelideus leadbeateri,0.166,0.574
Galago moholi,0.17,0.285
Galago senegalensis,0.1715,0.764
Tarsius tarsier,0.173,0.831
Glis glis,0.1744,0.664
Neotoma albigula,0.1776,0.735
Callithrix jacchus,0.19,0.848
Georychus capensis,0.193,0.637
Pteropus pumilus,0.19419999999999998,0.705
Geomys bursarius,0.197,0.769
Tachyoryctes splendens,0.197,0.856
Ictidomys tridecemlineatus,0.1984,0.983
Octodon degus,0.1996,0.958
Arctocebus calabarensis,0.206,0.731
Rattus norvegicus,0.2069,1.404
Petrodromus tetradactylus,0.208,0.852
Conilurus penicillatus,0.2132,0.908
Tamiasciurus hudsonicus,0.2196,1.615
Paraxerus cepapi,0.2236,0.811
Saguinus geoffroyi,0.225,1.305
Mustela frenata,0.225,1.344
Heliosciurus rufobrachium,0.23,0.744
Cyclopes didactylus,0.24,0.636
Xerospermophilus mohavensis,0.24,0.629
Spermophilus citellus,0.24,1.272
Callospermophilus lateralis,0.2496,0.967
Pteropus rodricensis,0.2545,0.753
Neotoma cinerea,0.2565,1.152
Callospermophilus saturatus,0.25660000000000005,0.849
Urogale everetti,0.2606,1.25
Euoticus elegantulus,0.2615,1.205
Urocitellus richardsonii,0.26630000000000004,0.788
Loris tardigradus,0.284,0.714
Urocitellus beldingi,0.29369999999999996,0.796
Cheirogaleus medius,0.3,1.088
Dobsonia moluccensis,0.31239999999999996,1.411
Galea musteloides,0.322,1.473
Thrichomys apereoides,0.323,1.153
Metachirus nudicaudatus,0.336,1.144
Caluromys derbianus,0.3427,1.194
Cannomys badius,0.344,0.96
Pteropus scapulatus,0.362,1.353
Cricetus cricetus,0.3653,1.251
Hemiechinus auritus,0.3985,0.845
Setifer setosus,0.42760000000000004,0.573
Isoodon auratus,0.428,0.837
Brachylagus idahoensis,0.432,2.145
Chinchilla lanigera,0.4367,1.31
Myrmecobius fasciatus,0.4382,0.907
Sciurus carolinensis,0.44,2.062
Atelerix albiventris,0.45,0.828
Paraechinus aethiopicus,0.4515,0.63
Proechimys semispinosus,0.498,1.75
Galerella sanguinea,0.5196000000000001,2.202
Pteropus hypomelanus,0.5207999999999999,1.618
Xerus inauris,0.5285,1.775
Pteropus giganteus,0.5622,1.622
Dasyurus hallucatus,0.571,1.501
Pteropus poliocephalus,0.598,1.768
Poliocitellus franklinii,0.607,2.19
Herpestes javanicus,0.611,2.248
Spilogale putorius,0.624,1.674
Sciurus aberti,0.624,2.402
Cavia porcellus,0.6391,2.13
Perameles nasuta,0.645,1.763
Tenrec ecaudatus,0.65,0.729
Neovison vison,0.66,2.722
Sylvilagus audubonii,0.6869,2.506
Perameles gunnii,0.695,1.902
Aplodontia rufa,0.7068,1.892
Isoodon obesulus,0.717,1.238
Echinosorex gymnura,0.7212000000000001,2.816
Philander opossum,0.751,1.886
Geocapromys ingrahami,0.775,1.483
Kerodon rupestris,0.801,2.011
Lutreolina crassicaudata,0.812,2.265
Erinaceus concolor,0.8227000000000001,1.937
Saimiri sciureus,0.8367,4.429
Suricata suricatta,0.85,1.729
Pseudocheirus peregrinus,0.8593,2.27
Echymipera rufescens,0.8866,2.255
Hydromys chrysogaster,0.9,2.97
Myoprocta acouchy,0.914,2.804
Aotus trivirgatus,0.9145,2.499
Martes martes,0.92,4.0
Chironectes minimus,0.9405,2.793
Dasyurus viverrinus,0.9452999999999999,2.26
Martes americana,0.9665,3.579
Perodicticus potto,0.9686,1.942
Ondatra zibethicus,0.9763,4.363
Otolemur crassicaudatus,0.9935,2.595
Leptailurus serval,1.012,1.44
Bettongia penicillata,1.018,3.132
Pteropus vampyrus,1.0243,4.486
Ornithorhynchus anatinus,1.0303,1.931
Potorous tridactylus,1.0455,2.556
Chaetophractus vellerosus,1.11,1.707
Cynomys ludovicianus,1.1122999999999998,2.358
Nycticebus coucang,1.1285999999999998,1.504
Petauroides volans,1.1405,3.191
Vulpes zerda,1.1592,2.693
Tolypeutes matacus,1.16,1.172
Procyon cancrivorus,1.16,2.588
Erinaceus europaeus,1.2135,2.434
Didelphis marsupialis,1.2443,3.31
Macrotis lagotis,1.2455,2.4
Bassariscus sumichrasti,1.28,3.537
Otolemur garnettii,1.314,3.927
Dasyurus geoffroii,1.3267,2.991
Bettongia gaimardi,1.385,3.578
Isoodon macrourus,1.551,3.202
Lepus americanus,1.6034000000000002,6.708
Heterohyrax brucei,1.6044,3.872
Tragulus javanicus,1.6155,4.883
Cricetomys gambianus,1.6867,6.024
Genetta tigrina,1.699,4.189
Zaedyus pichiy,1.74,2.192
Vulpes macrotis,1.769,4.928
Vulpes velox,1.769,4.948
Dasyurus maculatus,1.782,3.142
Trichosurus vulpecula,1.9935,3.8
Arctogalidia trivirgata,2.01,3.085
Chaetophractus nationi,2.15,3.118
Oryctolagus cuniculus,2.1679,7.395
Fossa fossana,2.26,5.02262
Lepus californicus,2.3,7.314
Pedetes capensis,2.3,4.427
Potos flavus,2.318,4.294
Eulemur fulvus,2.3741,4.239
Geocapromys brownii,2.456,4.11
Procavia capensis,2.458,4.954
Lepus townsendii,2.5231999999999997,7.698
Capromys pilorides,2.63,3.375
Marmota monax,2.65,3.696
Lagorchestes conspicillatus,2.66,4.749
Dasyprocta leporina,2.687,8.694
Setonix brachyurus,2.7023,4.695
Aepyprymnus rufescens,2.82,5.978
Didelphis virginiana,2.8466,5.299
Tachyglossus aculeatus,2.909,2.327
Eira barbara,2.95,6.811
Erythrocebus patas,3.0,5.958
Lepus timidus,3.0145,8.443
Coendou prehensilis,3.28,5.123
Paradoxurus hermaphroditus,3.2826,5.534
Propithecus verreauxi,3.35,3.738
Dasypus novemcinctus,3.4137,4.655
Tamandua tetradactyla,3.5,5.015
Vulpes lagopus,3.6,7.665
Leopardus wiedii,3.6,5.227
Manis pentadactyla,3.6375,3.727
Nasua narica,3.67,6.733
Dasyprocta azarae,3.849,10.521
Tamandua mexicana,3.8842,5.124
Nasua nasua,3.9243,5.591
Choloepus hoffmanni,4.005199999999999,3.891
Cabassous centralis,4.0617,4.812
Philantomba monticola,4.2,10.075
Spilocuscus maculatus,4.25,6.27
Nandinia binotata,4.27,5.565
Madoqua kirkii,4.29,11.966
Marmota flaviventris,4.295,8.626
Chaetophractus villosus,4.54,4.508
Vulpes vulpes,4.5803,13.731
Alouatta palliata,4.67,11.464
Phascolarctos cinereus,4.732399999999999,5.744
Macropus eugenii,4.796,7.78
Procyon lotor,4.8422,10.428
Cerdocyon thous,5.444,8.502
Ailurus fulgens,5.74,4.898
Sarcophilus harrisii,6.1268,8.664
Lagostomus maximus,6.794,10.623
Erethizon dorsatus,6.871,13.675
Dendrolagus matschiei,6.96,7.96
Canis mesomelas,7.72,21.533
Proteles cristata,7.9026000000000005,11.563
Euphractus sexcinctus,8.19,6.901
Puma yagouaroundi,8.4,9.69
Cercopithecus mitis,8.648700000000002,19.276
Lycaon pictus,8.75,33.01
Taxidea taxus,9.0,15.062
Cuniculus paca,9.156,15.323
Lynx rufus,9.4,23.446
Raphicerus campestris,9.6,20.619
Lutra lutra,10.0,25.104
Canis latrans,10.1489,19.423
Leopardus pardalis,10.5,17.368
Colobus guereza,10.6236,17.037
Meles meles,11.05,16.647
Hystrix africaeaustralis,11.3,13.175
Zaglossus bruijni,11.848600000000001,6.493
Papio hamadryas,12.6708,21.095
Gulo gulo,12.7,31.765
Arctictis binturong,14.28,12.747
Manis crassicaudata,15.91,6.923
Pecari tajacu,20.5,33.165
Capreolus capreolus,21.5,46.347
Hydrochoerus hydrochaeris,26.385,36.754
Enhydra lutris,26.8328,98.479
Lasiorhinus latifrons,27.348200000000002,16.001
Phoca vitulina,27.4,73.29
Phocoena phocoena,28.5,107.675
Macropus rufus,28.5,31.353
Macropus robustus,29.6479,33.056
Myrmecophaga tridactyla,30.6,14.543
Oreamnos americanus,32.0,46.414
Hyaena hyaena,34.3,31.954
Antilocapra americana,34.779300000000006,50.973
Puma concolor,37.2,49.326
Acinonyx jubatus,38.4461,61.77
Priodontes maximus,45.19,16.892
Orycteropus afer,48.0,34.275
Panthera onca,50.4,62.419
Histriophoca fasciata,54.0,118.59
Odocoileus virginianus,61.8625,123.447
Melursus ursinus,66.957,47.064
Cervus elaphus,67.0,112.43
Ovis canadensis,67.0308,114.674
Homo sapiens,70.0,82.78
Rangifer tarandus,85.0,119.66
Panthera leo,98.0,94.58
Kobus ellipsiprymnus,100.0,148.949
Lama glama,115.0,148.94
Sus scrofa,135.0,104.15
Panthera tigris,137.9,133.859
Taurotragus oryx,141.404,190.209
Trichechus inunguis,167.594,55.015
Equus asinus,177.5,164.92
Connochaetes taurinus,196.5,230.073
Alces alces,325.0,286.847
Bos taurus,347.0,306.77
Camelus dromedarius,407.0,224.779
Trichechus manatus,450.0,70.0056
Elephas maximus,3672.0,2336.5
