iso3_o,iso3_d,gdp_o,gdp_d,dist,tradeflow_baci
ABW,VCT,3310055.866,910149.699,958,7.007
ABW,YEM,3310055.866,21887614.217,12159,256.181
ABW,ZAF,3310055.866,387934574.098,11417,33.086
AFG,AGO,18799450.743,69309104.807,7593,2.716
AFG,ARE,18799450.743,417215559.513,1684,1014691.013
AFG,ARG,18799450.743,452818426.183,15271,26.642
AFG,ARM,18799450.743,13619291.361,2265,4.958
AFG,ATG,18799450.743,1687533.333,12303,0.483
AFG,AUS,18799450.743,1391952510.37,11415,1983.319
AFG,AUT,18799450.743,445011872.704,4571,1515.439
AFG,AZE,18799450.743,48174235.294,1821,107.525
AFG,BEL,18799450.743,535376258.147,5420,3235.012
AFG,BFA,18799450.743,16178162.03,7482,9.741
AFG,BGD,18799450.743,351238438.543,2382,312.758
AFG,BGR,18799450.743,68915416.142,4043,108.474
AFG,BHR,18799450.743,38653318.085,2006,680.625
AFG,BIH,18799450.743,20201323.283,4438,2.67
AFG,BLR,18799450.743,64409647.194,3878,51.984
AFG,BOL,18799450.743,40895322.851,15338,4.662
AFG,BRA,18799450.743,1873288158.977,13759,467.425
AFG,BRB,18799450.743,5304164.323,12467,7.053
AFG,BRN,18799450.743,13469422.959,5734,1.964
AFG,BWA,18799450.743,16695925.027,7986,0.521
AFG,CAF,18799450.743,2221301.401,6186,136.219
AFG,CAN,18799450.743,1742015045.482,10777,3788.847
AFG,CHE,18799450.743,731767398.053,5165,2251.246
AFG,CHL,18799450.743,278584733.103,16337,1.486
AFG,CHN,18799450.743,14279937500.608,4852,37857.276
AFG,CIV,18799450.743,58539424.93,8139,30.013
AFG,COD,18799450.743,51775830.726,7087,109.757
AFG,COG,18799450.743,12750338.736,7085,1.054
AFG,COL,18799450.743,323109543.324,14220,55.382
AFG,COM,18799450.743,1195019.559,5803,0.563
AFG,CRI,18799450.743,64417670.083,14339,11.03
AFG,CYP,18799450.743,25758357.775,3258,621.802
AFG,CZE,18799450.743,252498032.247,4712,236.177
AFG,DEU,18799450.743,3888326788.627,4787,20437.107
AFG,DNK,18799450.743,347561349.211,4861,15568.684
AFG,DOM,18799450.743,88941299.734,12721,126.481
AFG,ECU,18799450.743,108108009,15209,43.834
AFG,EGY,18799450.743,303080865.604,3587,1008.176
AFG,ESP,18799450.743,1393046093.137,6295,1787.764
AFG,EST,18799450.743,31045591.753,4239,6.258
AFG,ETH,18799450.743,95912590.628,4195,23.69
AFG,FIN,18799450.743,268508200.125,4259,1731.755
AFG,FJI,18799450.743,5496264.766,12875,1.614
AFG,FRA,18799450.743,2728870246.706,5594,5488.491
AFG,GBR,18799450.743,2878673912.414,5720,5115.322
AFG,GEO,18799450.743,17470436.259,2268,52.593
AFG,GHA,18799450.743,68337537.816,7835,85.728
AFG,GRC,18799450.743,205144152.831,4060,1016.76
AFG,GRD,18799450.743,1213485.185,12710,0.263
AFG,GTM,18799450.743,77020015.201,14161,165.26
AFG,HKG,18799450.743,363052489.184,4574,280.246
AFG,HND,18799450.743,25089976.947,14077,4.517
AFG,HRV,18799450.743,62246206.341,4610,0.028
AFG,HUN,18799450.743,163526491.433,4371,255.528
AFG,IDN,18799450.743,1119099868.265,5999,346.25
AFG,IND,18799450.743,2831552222.52,1002,608039.016
AFG,IRL,18799450.743,399122063.504,6091,537.108
AFG,IRN,18799450.743,291362916.336,1621,14808.362
AFG,IRQ,18799450.743,233636097.8,2288,14227.057
AFG,ISL,18799450.743,24857740.445,6662,8.746
AFG,ISR,18799450.743,397934596.953,3199,258.456
AFG,ITA,18799450.743,2011285742.552,4941,4154.23
AFG,JAM,18799450.743,15830768.55,13173,311.787
AFG,JOR,18799450.743,44502895.915,3096,10757.1
AFG,JPN,18799450.743,5123318151.511,6282,809.626
AFG,KAZ,18799450.743,181667190.076,1177,3032.952
AFG,KEN,18799450.743,100379713.697,5206,26.143
AFG,KGZ,18799450.743,8871026.074,1038,199.793
AFG,KHM,18799450.743,27089389.787,4420,45.694
AFG,KOR,18799450.743,1651422932.448,5137,87.36
AFG,KWT,18799450.743,136196760.181,2079,587.905
AFG,LBN,18799450.743,51605959.131,3091,1949.61
AFG,LCA,18799450.743,2118791.548,12496,0.558
AFG,LKA,18799450.743,83902574.443,3246,71.659
AFG,LTU,18799450.743,54697379.017,4046,6.984
AFG,LUX,18799450.743,70195715.496,5310,24.366
AFG,LVA,18799450.743,34308783.825,4186,0.222
AFG,MAR,18799450.743,119870439.114,6902,479.916
AFG,MDG,18799450.743,14191911.512,6343,0.939
AFG,MDV,18799450.743,5607762.625,3390,96.368
AFG,MEX,18799450.743,1269404276.771,13907,1758.429
AFG,MKD,18799450.743,12606338.449,4204,0.199
AFG,MLI,18799450.743,17280250.805,8058,97.326
AFG,MLT,18799450.743,15719500.921,4912,1.96
AFG,MMR,18799450.743,68697759.361,3327,1630.809
AFG,MNE,18799450.743,5542201.151,4378,0.52
AFG,MOZ,18799450.743,15390031.04,7735,701.795
AFG,MWI,18799450.743,11025370.769,6543,0.335
AFG,MYS,18799450.743,365276379.481,4836,131.928
AFG,NAM,18799450.743,12543203.411,8380,12.755
AFG,NER,18799450.743,12916455.161,7080,31.73
AFG,NGA,18799450.743,448120428.859,7393,215.153
AFG,NIC,18799450.743,12596636.042,14229,1.464
AFG,NLD,18799450.743,910194347.569,5366,4204.371
AFG,NOR,18799450.743,404941363.636,5017,188.64
AFG,NPL,18799450.743,34186190.996,1713,7.025
AFG,NZL,18799450.743,213434571.358,13464,65.548
AFG,OMN,18799450.743,88060858.257,1587,7.474
AFG,PAK,18799450.743,320909489.23,1086,607627.344
AFG,PER,18799450.743,228323495.041,15795,53.588
AFG,PHL,18799450.743,376823278.561,5622,91.528
AFG,POL,18799450.743,597280564.672,4268,1712.4
AFG,PRT,18799450.743,239986922.639,6799,17.207
AFG,PYF,18799450.743,6008055.248,15750,11.808
AFG,QAT,18799450.743,175837550.996,1992,52.122
AFG,ROU,18799450.743,249881592.298,3817,361.499
AFG,RUS,18799450.743,1693113904.263,3370,5011.271
AFG,SAU,18799450.743,803616264.791,2426,12872.649
AFG,SEN,18799450.743,23398811.424,8796,670.724
AFG,SGP,18799450.743,375472731.271,5147,863.163
AFG,SLV,18799450.743,26896660,14202,13.109
AFG,SOM,18799450.743,6476674.592,4364,75.467
AFG,SRB,18799450.743,51514222.382,4264,4.93
AFG,SVK,18799450.743,105284375.641,4516,66.883
AFG,SVN,18799450.743,54178877.606,4722,4.795
AFG,SWE,18799450.743,533879529.188,4599,570.576
AFG,SWZ,18799450.743,4466066.557,7839,17.215
AFG,SYC,18799450.743,1684228.529,4566,143.572
AFG,THA,18799450.743,544081056.185,3905,1116.65
AFG,TJK,18799450.743,8300784.857,446,2987.783
AFG,TKM,18799450.743,45231428.571,1041,1111.409
AFG,TUN,18799450.743,41772900.763,5261,135.91
AFG,TUR,18799450.743,761004425.605,3583,28888.763
AFG,TWN,18799450.743,610872000,5109,283.31
AFG,UGA,18799450.743,35353060.634,5368,0.928
AFG,UKR,18799450.743,153882982.016,3580,155.785
AFG,URY,18799450.743,61231149.881,15081,15.063
AFG,USA,18799450.743,21372572437,10862,35989.44
AFG,UZB,18799450.743,59907674.027,748,3196.281
AFG,VNM,18799450.743,330391329.476,4624,438.216
AFG,YEM,18799450.743,21887614.217,3279,544.151
AFG,ZAF,18799450.743,387934574.098,8000,395.439
AFG,ZMB,18799450.743,23308667.781,7019,2.086
AFG,ZWE,18799450.743,19284289.739,7061,0.158
AGO,ALB,69309104.807,15401830.754,5595,48.57
AGO,AND,69309104.807,3155149.348,5809,0.047
AGO,ARE,69309104.807,417215559.513,5919,2418502.281
AGO,ARG,69309104.807,452818426.183,7780,444.534
AGO,ARM,69309104.807,13619291.361,6309,318.975
AGO,ATG,69309104.807,1687533.333,8742,30.752
AGO,AUS,69309104.807,1391952510.37,13535,725.168
AGO,AUT,69309104.807,445011872.704,6326,115.14
AGO,AZE,69309104.807,48174235.294,6623,459.599
AGO,BEL,69309104.807,535376258.147,6668,386340.446
AGO,BEN,69309104.807,14391686.633,2077,9483.005
AGO,BFA,69309104.807,16178162.03,2858,330.143
AGO,BGD,69309104.807,351238438.543,9121,1.323
AGO,BGR,69309104.807,68915416.142,5798,6784.461
AGO,BHR,69309104.807,38653318.085,5599,34.313
AGO,BHS,69309104.807,13192800,10485,9.698
AGO,BIH,69309104.807,20201323.283,5857,9.02
AGO,BOL,69309104.807,40895322.851,8829,49.31
AGO,BRA,69309104.807,1873288158.977,6559,272994.031
AGO,BRB,69309104.807,5304164.323,8410,0.023
AGO,BRN,69309104.807,13469422.959,11387,68757.45
AGO,BWA,69309104.807,16695925.027,2208,13936.91
AGO,CAF,69309104.807,2221301.401,1574,328.267
AGO,CAN,69309104.807,1742015045.482,10896,39064.545
AGO,CHE,69309104.807,731767398.053,6242,17610.59
AGO,CHL,69309104.807,278584733.103,8912,180393.054
AGO,CHN,69309104.807,14279937500.608,12250,21553911.338
AGO,CIV,69309104.807,58539424.93,2476,5756.046
AGO,CMR,69309104.807,39670977.333,1418,1400.113
AGO,COD,69309104.807,51775830.726,549,142069.143
AGO,COG,69309104.807,12750338.736,554,139538.312
AGO,COL,69309104.807,323109543.324,9802,152.447
AGO,CPV,69309104.807,1981845.741,4831,173.134
AGO,CRI,69309104.807,64417670.083,10979,0.134
AGO,CUB,69309104.807,103428000,10968,1940.841
AGO,CUW,69309104.807,2995185.487,9380,34.949
AGO,CYP,69309104.807,25758357.775,5310,627.184
AGO,CZE,69309104.807,252498032.247,6529,494.621
AGO,DEU,69309104.807,3888326788.627,6799,4781.081
AGO,DJI,69309104.807,3088853.639,4008,9.241
AGO,DNK,69309104.807,347561349.211,7150,489.891
AGO,DOM,69309104.807,88941299.734,9609,5.566
AGO,DZA,69309104.807,171767403.748,5158,145.492
AGO,ECU,69309104.807,108108009,10326,10.136
AGO,EGY,69309104.807,303080865.604,4714,526.52
AGO,ESP,69309104.807,1393046093.137,5724,1072469.14
AGO,EST,69309104.807,31045591.753,7638,88.395
AGO,ETH,69309104.807,95912590.628,3450,62.958
AGO,FIN,69309104.807,268508200.125,7720,949.401
AGO,FRA,69309104.807,2728870246.706,6479,520775.621
AGO,GAB,69309104.807,16874405.84,1103,4067.732
AGO,GBR,69309104.807,2878673912.414,6808,54716.145
AGO,GEO,69309104.807,17470436.259,6458,0.888
AGO,GHA,69309104.807,68337537.816,2380,25929.995
AGO,GIN,69309104.807,13442861.444,3609,1783.011
AGO,GMB,69309104.807,1813608.28,4124,45.215
AGO,GNB,69309104.807,1439638.443,3927,74.441
AGO,GNQ,69309104.807,11364134.109,1244,1200.995
AGO,GRC,69309104.807,205144152.831,5294,17222.533
AGO,GTM,69309104.807,77020015.201,11735,8.172
AGO,GUY,69309104.807,5173760.192,8107,11.574
AGO,HKG,69309104.807,363052489.184,11507,44763.247
AGO,HUN,69309104.807,163526491.433,6266,456.98
AGO,IDN,69309104.807,1119099868.265,10308,80500.756
AGO,IND,69309104.807,2831552222.52,8019,3485429.474
AGO,IRL,69309104.807,399122063.504,7132,5.391
AGO,IRN,69309104.807,291362916.336,6351,4.162
AGO,IRQ,69309104.807,233636097.8,5716,35.217
AGO,ISL,69309104.807,24857740.445,8613,0.058
AGO,ISR,69309104.807,397934596.953,5075,189864.255
AGO,ITA,69309104.807,2011285742.552,5618,546259.596
AGO,JAM,69309104.807,15830768.55,10320,2.5
AGO,JPN,69309104.807,5123318151.511,13852,58907.606
AGO,KAZ,69309104.807,181667190.076,8625,25.353
AGO,KEN,69309104.807,100379713.697,2743,6590.057
AGO,KHM,69309104.807,27089389.787,10394,81.089
AGO,KOR,69309104.807,1651422932.448,12697,77208.638
AGO,KWT,69309104.807,136196760.181,5634,52258.855
AGO,LBN,69309104.807,51605959.131,5282,336.126
AGO,LBR,69309104.807,3319596.5,3149,80.784
AGO,LBY,69309104.807,69252306.372,4616,15.306
AGO,LKA,69309104.807,83902574.443,7593,153.231
AGO,LSO,69309104.807,2451257.579,2712,0.07
AGO,LTU,69309104.807,54697379.017,7130,0.094
AGO,LUX,69309104.807,70195715.496,6512,0.146
AGO,MAC,69309104.807,55204758.07,11440,3.326
AGO,MAR,69309104.807,119870439.114,5188,8174.381
AGO,MDG,69309104.807,14191911.512,3863,0.777
AGO,MEX,69309104.807,1269404276.771,12680,299.269
AGO,MHL,69309104.807,239462.2,17620,9.108
AGO,MLI,69309104.807,17280250.805,3341,35.456
AGO,MLT,69309104.807,15719500.921,4953,27.458
AGO,MOZ,69309104.807,15390031.04,2779,5695.002
AGO,MRT,69309104.807,7889655.284,4379,1547.129
AGO,MUS,69309104.807,14045808.843,4917,0.497
AGO,MWI,69309104.807,11025370.769,2312,2113.729
AGO,MYS,69309104.807,365276379.481,9901,243364.853
AGO,NAM,69309104.807,12543203.411,1573,4171.148
AGO,NGA,69309104.807,448120428.859,2013,13978.996
AGO,NLD,69309104.807,910194347.569,6829,160736.396
AGO,NOR,69309104.807,404941363.636,7625,200181.906
AGO,NZL,69309104.807,213434571.358,14593,7.998
AGO,OMN,69309104.807,88060858.257,6101,80.702
AGO,PAK,69309104.807,320909489.23,6929,167.684
AGO,PAN,69309104.807,66984427.2,10469,24049.768
AGO,PER,69309104.807,228323495.041,9843,62170.804
AGO,PHL,69309104.807,376823278.561,12162,1387.664
AGO,POL,69309104.807,597280564.672,6807,238695.497
AGO,PRT,69309104.807,239986922.639,5752,1178534.505
AGO,PRY,69309104.807,37925338.329,7680,254.325
AGO,PYF,69309104.807,6008055.248,16537,3.059
AGO,QAT,69309104.807,175837550.996,5602,215.897
AGO,ROU,69309104.807,249881592.298,6040,35.717
AGO,RUS,69309104.807,1693113904.263,7506,29614.184
AGO,RWA,69309104.807,10356327.149,2013,7.407
AGO,SAU,69309104.807,803616264.791,5192,632.224
AGO,SDN,69309104.807,32338079.165,3436,74.335
AGO,SEN,69309104.807,23398811.424,4271,2151.971
AGO,SGP,69309104.807,375472731.271,10108,290285.183
AGO,SLE,69309104.807,4076578.543,3504,1.677
AGO,SMR,69309104.807,1616231.696,5844,0.985
AGO,SOM,69309104.807,6476674.592,3760,47.355
AGO,STP,69309104.807,427425.04,1245,4427.052
AGO,SVK,69309104.807,105284375.641,6324,0.084
AGO,SVN,69309104.807,54178877.606,6080,0.259
AGO,SWE,69309104.807,533879529.188,7569,75628.574
AGO,SWZ,69309104.807,4466066.557,2704,18.027
AGO,TCA,69309104.807,1197415,9796,1.312
AGO,TCD,69309104.807,11314951.343,2325,48.275
AGO,TGO,69309104.807,7220395.248,2126,22650.72
AGO,THA,69309104.807,544081056.185,9958,619170.957
AGO,TKM,69309104.807,45231428.571,6985,6.294
AGO,TLS,69309104.807,2047931.7,12289,3.738
AGO,TTO,69309104.807,23886216.403,8555,135.714
AGO,TUN,69309104.807,41772900.763,5064,77.161
AGO,TUR,69309104.807,761004425.605,5750,2470.343
AGO,TWN,69309104.807,610872000,12260,179344.368
AGO,TZA,69309104.807,61136873.692,2879,120.035
AGO,UGA,69309104.807,35353060.634,2372,17.828
AGO,UKR,69309104.807,153882982.016,6778,312.986
AGO,URY,69309104.807,61231149.881,7577,409678.813
AGO,USA,69309104.807,21372572437,10415,1018098.898
AGO,UZB,69309104.807,59907674.027,7961,0.079
AGO,VNM,69309104.807,330391329.476,10570,55756.254
AGO,YEM,69309104.807,21887614.217,4339,9.303
AGO,ZAF,69309104.807,387934574.098,2478,499437.447
AGO,ZMB,69309104.807,23308667.781,1791,397.033
AGO,ZWE,69309104.807,19284289.739,2169,2.765
ALB,ARE,15401830.754,417215559.513,3718,12468.257
ALB,ARG,15401830.754,452818426.183,11592,703.564
ALB,ARM,15401830.754,13619291.361,2082,1746.221
ALB,ATG,15401830.754,1687533.333,8088,0.092
ALB,AUS,15401830.754,1391952510.37,15708,5636.234
ALB,AUT,15401830.754,445011872.704,811,36432.927
ALB,AZE,15401830.754,48174235.294,2525,863.191
ALB,BEL,15401830.754,535376258.147,1591,5771.14
ALB,BEN,15401830.754,14391686.633,4234,9.872
ALB,BFA,15401830.754,16178162.03,3824,64.21
ALB,BGR,15401830.754,68915416.142,328,31598.898
ALB,BHR,15401830.754,38653318.085,3280,551.927
ALB,BIH,15401830.754,20201323.283,305,20579.342
ALB,BLR,15401830.754,64409647.194,1512,846.407
ALB,BMU,15401830.754,7423465,7314,3.254
ALB,BOL,15401830.754,40895322.851,11039,64.032
ALB,BRA,15401830.754,1873288158.977,9920,1552.465
ALB,BRB,15401830.754,5304164.323,8183,13.624
ALB,BRN,15401830.754,13469422.959,10079,1.771
ALB,BWA,15401830.754,16695925.027,7332,0.01
ALB,CAN,15401830.754,1742015045.482,7619,10595.683
ALB,CHE,15401830.754,731767398.053,1122,21366.473
ALB,CHL,15401830.754,278584733.103,12403,1019.524
ALB,CHN,15401830.754,14279937500.608,8660,77829.516
ALB,CIV,15401830.754,58539424.93,4638,724.15
ALB,COD,15401830.754,51775830.726,5076,88.634
ALB,COG,15401830.754,12750338.736,5070,2.935
ALB,COL,15401830.754,323109543.324,10001,297.268
ALB,CRI,15401830.754,64417670.083,10426,122.527
ALB,CYP,15401830.754,25758357.775,1367,997.016
ALB,CZE,15401830.754,252498032.247,1060,55100.192
ALB,DEU,15401830.754,3888326788.627,1336,164768.111
ALB,DNK,15401830.754,347561349.211,1681,1589.116
ALB,DOM,15401830.754,88941299.734,8654,784.249
ALB,ECU,15401830.754,108108009,10982,73.475
ALB,EGY,15401830.754,303080865.604,1621,2065.441
ALB,ESP,15401830.754,1393046093.137,1979,216904.863
ALB,EST,15401830.754,31045591.753,2043,12500.015
ALB,ETH,15401830.754,95912590.628,4035,218.93
ALB,FIN,15401830.754,268508200.125,2125,2524.2
ALB,FRA,15401830.754,2728870246.706,1604,94560.163
ALB,GBR,15401830.754,2878673912.414,1895,7898.869
ALB,GEO,15401830.754,17470436.259,2081,145.064
ALB,GHA,15401830.754,68337537.816,4386,34.215
ALB,GMB,15401830.754,1813608.28,4691,790.522
ALB,GRC,15401830.754,205144152.831,504,159583.559
ALB,GTM,15401830.754,77020015.201,10571,0.148
ALB,HKG,15401830.754,363052489.184,8757,1766.402
ALB,HND,15401830.754,25089976.947,10357,146.377
ALB,HRV,15401830.754,62246206.341,587,9364.898
ALB,HUN,15401830.754,163526491.433,688,22126.192
ALB,IDN,15401830.754,1119099868.265,10216,456.792
ALB,IND,15401830.754,2831552222.52,5325,60506.16
ALB,IRL,15401830.754,399122063.504,2359,2033.451
ALB,IRQ,15401830.754,233636097.8,2342,824.45
ALB,ISL,15401830.754,24857740.445,3676,142.49
ALB,ISR,15401830.754,397934596.953,1681,3560.683
ALB,ITA,15401830.754,2011285742.552,615,1244613.34
ALB,JOR,15401830.754,44502895.915,1773,45.481
ALB,JPN,15401830.754,5123318151.511,9510,18016.984
ALB,KAZ,15401830.754,181667190.076,4620,444.077
ALB,KEN,15401830.754,100379713.697,5022,9.816
ALB,KGZ,15401830.754,8871026.074,4452,20.141
ALB,KHM,15401830.754,27089389.787,8765,3.221
ALB,KOR,15401830.754,1651422932.448,8569,3314.139
ALB,KWT,15401830.754,136196760.181,2865,2124.136
ALB,LBN,15401830.754,51605959.131,1606,1561.038
ALB,LCA,15401830.754,2118791.548,8234,0.197
ALB,LKA,15401830.754,83902574.443,7019,185.681
ALB,LTU,15401830.754,54697379.017,1539,1114.415
ALB,LUX,15401830.754,70195715.496,1408,485.127
ALB,LVA,15401830.754,34308783.825,1764,560.484
ALB,MAC,15401830.754,55204758.07,8712,491.786
ALB,MAR,15401830.754,119870439.114,2562,1707.099
ALB,MDA,15401830.754,11971345.003,958,427.382
ALB,MDG,15401830.754,14191911.512,7257,11.201
ALB,MEX,15401830.754,1269404276.771,10812,1309.195
ALB,MHL,15401830.754,239462.2,13914,651.819
ALB,MKD,15401830.754,12606338.449,154,75558.307
ALB,MLI,15401830.754,17280250.805,4172,127.571
ALB,MLT,15401830.754,15719500.921,759,10923.509
ALB,MMR,15401830.754,68697759.361,7666,116.476
ALB,MNE,15401830.754,5542201.151,132,49156.771
ALB,MNG,15401830.754,14206359.007,6573,293.478
ALB,MOZ,15401830.754,15390031.04,7563,1299.969
ALB,MRT,15401830.754,7889655.284,4267,172.645
ALB,MUS,15401830.754,14045808.843,7840,562.428
ALB,MYS,15401830.754,365276379.481,9102,2733.523
ALB,NER,15401830.754,12916455.161,3529,32.807
ALB,NGA,15401830.754,448120428.859,4193,237.652
ALB,NIC,15401830.754,12596636.042,10431,61.691
ALB,NLD,15401830.754,910194347.569,1668,13486.534
ALB,NOR,15401830.754,404941363.636,2160,4605.744
ALB,NPL,15401830.754,34186190.996,6056,0.014
ALB,NZL,15401830.754,213434571.358,17808,452.347
ALB,PAK,15401830.754,320909489.23,4704,253.809
ALB,PER,15401830.754,228323495.041,11455,813.507
ALB,PHL,15401830.754,376823278.561,9856,1219.6
ALB,POL,15401830.754,597280564.672,1215,27717.481
ALB,PRT,15401830.754,239986922.639,2477,896.608
ALB,PRY,15401830.754,37925338.329,10855,4.063
ALB,PSE,15401830.754,17133500,1702,71.724
ALB,PYF,15401830.754,6008055.248,17181,88.269
ALB,QAT,15401830.754,175837550.996,3410,341.282
ALB,ROU,15401830.754,249881592.298,618,38628.573
ALB,RUS,15401830.754,1693113904.263,2062,24097.245
ALB,RWA,15401830.754,10356327.149,4903,2.185
ALB,SAU,15401830.754,803616264.791,3096,4104.186
ALB,SEN,15401830.754,23398811.424,4646,4853.508
ALB,SGP,15401830.754,375472731.271,9418,944.083
ALB,SLV,15401830.754,26896660,10540,25.547
ALB,SRB,15401830.754,51514222.382,391,112481.652
ALB,STP,15401830.754,427425.04,4727,2.393
ALB,SVK,15401830.754,105284375.641,788,6480.716
ALB,SVN,15401830.754,54178877.606,677,13068.226
ALB,SWE,15401830.754,533879529.188,2006,23688.574
ALB,SYC,15401830.754,1684228.529,6243,3.555
ALB,TGO,15401830.754,7220395.248,4314,0.851
ALB,THA,15401830.754,544081056.185,8245,648.851
ALB,TJK,15401830.754,8300784.857,4141,0.277
ALB,TUN,15401830.754,41772900.763,973,1095.339
ALB,TUR,15401830.754,761004425.605,767,21985.033
ALB,TWN,15401830.754,610872000,9118,3396.716
ALB,UGA,15401830.754,35353060.634,4721,4.304
ALB,UKR,15401830.754,153882982.016,1308,2581.247
ALB,URY,15401830.754,61231149.881,11454,388.055
ALB,USA,15401830.754,21372572437,7454,49903.175
ALB,VCT,15401830.754,910149.699,8313,2.619
ALB,ZAF,15401830.754,387934574.098,7524,1346.59
ALB,ZMB,15401830.754,23308667.781,6342,22.473
ALB,ZWE,15401830.754,19284289.739,6651,0.691
AND,ARE,3155149.348,417215559.513,5232,407.074
AND,ARG,3155149.348,452818426.183,10492,2.819
AND,ARM,3155149.348,13619291.361,3569,25.492
AND,ATG,3155149.348,1687533.333,6570,1.114
AND,AUT,3155149.348,445011872.704,1322,201.23
AND,BDI,3155149.348,2581268.126,5805,40.089
AND,BEL,3155149.348,535376258.147,952,174.095
AND,BEN,3155149.348,14391686.633,3996,0.919
AND,BFA,3155149.348,16178162.03,3354,3.182
AND,BGR,3155149.348,68915416.142,1784,24.025
AND,BIH,3155149.348,20201323.283,1374,27.319
AND,BLR,3155149.348,64409647.194,2293,15.7
AND,BOL,3155149.348,40895322.851,9654,1.198
AND,BRA,3155149.348,1873288158.977,8827,12.352
AND,BRB,3155149.348,5304164.323,6678,1.035
AND,CAN,3155149.348,1742015045.482,6308,435.775
AND,CHE,3155149.348,731767398.053,770,761.701
AND,CHL,3155149.348,278584733.103,11168,81.445
AND,CHN,3155149.348,14279937500.608,9802,187.425
AND,CIV,3155149.348,58539424.93,4153,44.996
AND,COD,3155149.348,51775830.726,5371,110.73
