cancer,age_group,incidence_per_100k,sensitivity,specificity,true_positives,false_positives,total_positives,ppv,fp_to_tp_ratio
Prostate,10-14 yrs.,0.019,0.7,0.99,0.013,1000.0,1000.013,1.3e-05,74928.557143
Prostate,15-19 yrs.,0.0,0.7,0.99,0.0,1000.0,1000.0,0.0,inf
Prostate,20-24 yrs.,0.032,0.7,0.99,0.022,1000.0,1000.022,2.2e-05,44535.7
Prostate,25-29 yrs.,0.031,0.7,0.99,0.022,1000.0,1000.021,2.2e-05,46271.414286
Prostate,30-34 yrs.,0.016,0.7,0.99,0.011,1000.0,1000.011,1.1e-05,91142.842857
Prostate,35-39 yrs.,0.085,0.7,0.99,0.06,999.999,1000.059,6e-05,16778.557143
Prostate,40-44 yrs.,0.386,0.7,0.99,0.27,999.996,1000.267,0.00027,3697.604762
Prostate,45-49 yrs.,2.194,0.7,0.99,1.536,999.978,1001.514,0.001534,651.057143
Prostate,50-54 yrs.,11.169,0.7,0.99,7.818,999.888,1007.706,0.007758,127.89454
Prostate,55-59 yrs.,37.601,0.7,0.99,26.321,999.624,1025.945,0.025655,37.978464
Prostate,60-64 yrs.,96.151,0.7,0.99,67.306,999.038,1066.344,0.063118,14.843332
Prostate,65-69 yrs.,179.883,0.7,0.99,125.918,998.201,1124.119,0.112015,7.927397
Prostate,70-74 yrs.,272.712,0.7,0.99,190.898,997.273,1188.171,0.160666,5.224107
Prostate,75-79 yrs.,316.91,0.7,0.99,221.837,996.831,1218.668,0.182032,4.493533
Prostate,80-84 yrs.,286.819,0.7,0.99,200.774,997.132,1197.905,0.167604,4.96645
Prostate,85-89 yrs.,220.684,0.7,0.99,154.479,997.793,1152.272,0.134064,6.459107
Prostate,90-94 yrs.,151.392,0.7,0.99,105.975,998.486,1104.461,0.095951,9.421938
Prostate,95-99 yrs.,115.359,0.7,0.99,80.751,998.846,1079.598,0.074798,12.369423
Prostate,100+ yrs.,45.455,0.7,0.99,31.818,999.545,1031.364,0.030851,31.414286
Liver,0-4 yrs.,0.93,0.7,0.99,0.651,999.991,1000.642,0.00065,1536.45188
Liver,5-9 yrs.,0.124,0.7,0.99,0.087,999.999,1000.086,8.7e-05,11521.414286
Liver,10-14 yrs.,0.114,0.7,0.99,0.08,999.999,1000.079,8e-05,12488.080952
Liver,15-19 yrs.,0.127,0.7,0.99,0.089,999.999,1000.088,8.9e-05,11212.230612
Liver,20-24 yrs.,0.289,0.7,0.99,0.202,999.997,1000.199,0.000202,4948.398413
Liver,25-29 yrs.,0.232,0.7,0.99,0.162,999.998,1000.16,0.000162,6169.509524
Liver,30-34 yrs.,0.596,0.7,0.99,0.417,999.994,1000.411,0.000417,2398.481955
Liver,35-39 yrs.,0.795,0.7,0.99,0.556,999.992,1000.548,0.000556,1797.689796
Liver,40-44 yrs.,1.687,0.7,0.99,1.181,999.983,1001.164,0.00118,846.768702
Liver,45-49 yrs.,3.236,0.7,0.99,2.265,999.968,1002.233,0.00226,441.390073
Liver,50-54 yrs.,7.201,0.7,0.99,5.04,999.928,1004.968,0.005015,198.382425
Liver,55-59 yrs.,13.238,0.7,0.99,9.267,999.868,1009.134,0.009183,107.897602
Liver,60-64 yrs.,26.319,0.7,0.99,18.423,999.737,1018.16,0.018094,54.265645
Liver,65-69 yrs.,44.026,0.7,0.99,30.818,999.56,1030.378,0.02991,32.433935
Liver,70-74 yrs.,63.718,0.7,0.99,44.602,999.363,1043.965,0.042724,22.405996
Liver,75-79 yrs.,80.147,0.7,0.99,56.103,999.199,1055.302,0.053163,17.81007
Liver,80-84 yrs.,98.83,0.7,0.99,69.181,999.012,1068.192,0.064764,14.440621
Liver,85-89 yrs.,117.14,0.7,0.99,81.998,998.829,1080.827,0.075866,12.181135
Liver,90-94 yrs.,113.337,0.7,0.99,79.336,998.867,1078.202,0.073581,12.590394
Liver,95-99 yrs.,94.992,0.7,0.99,66.494,999.05,1065.544,0.062404,15.02463
Liver,100+ yrs.,94.318,0.7,0.99,66.023,999.057,1065.08,0.061989,15.132014
Pancreatic,0-4 yrs.,0.024,0.7,0.99,0.017,1000.0,1000.017,1.7e-05,58385.7
Pancreatic,5-9 yrs.,0.083,0.7,0.99,0.058,999.999,1000.057,5.8e-05,17282.128571
Pancreatic,10-14 yrs.,0.381,0.7,0.99,0.267,999.996,1000.263,0.000267,3746.414286
Pancreatic,15-19 yrs.,0.346,0.7,0.99,0.242,999.997,1000.239,0.000242,4130.812782
Pancreatic,20-24 yrs.,0.417,0.7,0.99,0.292,999.996,1000.288,0.000292,3425.80989
Pancreatic,25-29 yrs.,0.556,0.7,0.99,0.389,999.994,1000.383,0.000389,2570.620635
Pancreatic,30-34 yrs.,1.082,0.7,0.99,0.757,999.989,1000.746,0.000756,1320.896687
Pancreatic,35-39 yrs.,1.859,0.7,0.99,1.301,999.981,1001.283,0.0013,768.469902
Pancreatic,40-44 yrs.,3.335,0.7,0.99,2.335,999.967,1002.301,0.002329,428.281357
Pancreatic,45-49 yrs.,6.67,0.7,0.99,4.669,999.933,1004.603,0.004648,214.153947
Pancreatic,50-54 yrs.,13.355,0.7,0.99,9.348,999.866,1009.215,0.009263,106.956788
Pancreatic,55-59 yrs.,24.786,0.7,0.99,17.35,999.752,1017.102,0.017058,57.622863
Pancreatic,60-64 yrs.,38.905,0.7,0.99,27.234,999.611,1026.845,0.026522,36.705037
Pancreatic,65-69 yrs.,62.766,0.7,0.99,43.936,999.372,1043.309,0.042112,22.746005
Pancreatic,70-74 yrs.,90.927,0.7,0.99,63.649,999.091,1062.739,0.059891,15.696971
Pancreatic,75-79 yrs.,117.405,0.7,0.99,82.183,998.826,1081.009,0.076025,12.15364
Pancreatic,80-84 yrs.,140.288,0.7,0.99,98.202,998.597,1096.799,0.089535,10.16882
Pancreatic,85-89 yrs.,155.768,0.7,0.99,109.037,998.442,1107.48,0.098455,9.156875
Pancreatic,90-94 yrs.,156.717,0.7,0.99,109.702,998.433,1108.135,0.098997,9.101318
Pancreatic,95-99 yrs.,154.925,0.7,0.99,108.447,998.451,1106.898,0.097974,9.206773
Pancreatic,100+ yrs.,120.455,0.7,0.99,84.318,998.795,1083.114,0.077848,11.845553
Ovarian,0-4 yrs.,0.122,0.7,0.99,0.086,999.999,1000.084,8.6e-05,11677.128571
Ovarian,5-9 yrs.,0.393,0.7,0.99,0.275,999.996,1000.271,0.000275,3638.331579
Ovarian,10-14 yrs.,0.763,0.7,0.99,0.534,999.992,1000.526,0.000534,1873.2
Ovarian,15-19 yrs.,1.529,0.7,0.99,1.07,999.985,1001.055,0.001069,934.339456
Ovarian,20-24 yrs.,2.919,0.7,0.99,2.043,999.971,1002.014,0.002039,489.389168
Ovarian,25-29 yrs.,3.52,0.7,0.99,2.464,999.965,1002.429,0.002458,405.875439
Ovarian,30-34 yrs.,4.608,0.7,0.99,3.226,999.954,1003.18,0.003215,309.995432
Ovarian,35-39 yrs.,6.343,0.7,0.99,4.44,999.937,1004.377,0.004421,225.201438
Ovarian,40-44 yrs.,9.324,0.7,0.99,6.527,999.907,1006.433,0.006485,153.201973
Ovarian,45-49 yrs.,13.955,0.7,0.99,9.769,999.86,1009.629,0.009675,102.355436
Ovarian,50-54 yrs.,16.743,0.7,0.99,11.72,999.833,1011.552,0.011586,85.311033
Ovarian,55-59 yrs.,17.575,0.7,0.99,12.302,999.824,1012.126,0.012155,81.271919
Ovarian,60-64 yrs.,16.915,0.7,0.99,11.841,999.831,1011.672,0.011704,84.440157
Ovarian,65-69 yrs.,15.794,0.7,0.99,11.056,999.842,1010.898,0.010936,90.437232
Ovarian,70-74 yrs.,14.994,0.7,0.99,10.496,999.85,1010.346,0.010388,95.263432
Ovarian,75-79 yrs.,14.435,0.7,0.99,10.104,999.856,1009.96,0.010005,98.953012
Ovarian,80-84 yrs.,13.265,0.7,0.99,9.286,999.867,1009.153,0.009202,107.676617
Ovarian,85-89 yrs.,14.124,0.7,0.99,9.887,999.859,1009.746,0.009791,101.129588
Ovarian,90-94 yrs.,14.021,0.7,0.99,9.814,999.86,1009.674,0.00972,101.877203
Ovarian,95-99 yrs.,13.856,0.7,0.99,9.699,999.861,1009.561,0.009608,103.083821
Ovarian,100+ yrs.,19.318,0.7,0.99,13.523,999.807,1013.33,0.013345,73.935294
