cancer,prevalence_per_100k,sensitivity,specificity,follow_up_rate,actual_cases,true_positives,false_positives,total_positives,ppv,followed_positives,followed_true_positives,followed_false_positives,additional_visits,fp_specialist_visits,tp_specialist_visits,total_visits,fp_to_tp_ratio,visits_per_detected_case,ct_visits,mri_visits,endoscopy_visits,specialist_visits,primary_care_visits,ct_visits_utilization_pct,mri_visits_utilization_pct,endoscopy_visits_utilization_pct,primary_care_visits_utilization_pct,specialist_total_visits,specialist_total_visits_utilization_pct,max_capacity_utilization_pct
Colorectal,123.844,0.7,0.99,0.1,123.844,86.691,998.762,1085.452,0.079866,108.545,8.669,99.876,184.49,249.69,43.345,542.69,11.520983,6.260072,32.564,5.427,103.118,108.545,108.545,0.573663,0.202695,3.992159,0.905827,293.036,4.079405,4.079405
Colorectal,123.844,0.7,0.99,0.2,123.844,86.691,998.762,1085.452,0.079866,217.09,17.338,199.752,368.981,499.381,86.691,1085.379,11.520983,12.520143,65.127,10.855,206.236,217.09,217.09,1.147325,0.405389,7.984318,1.811654,586.071,8.15881,8.15881
Colorectal,123.844,0.7,0.99,0.3,123.844,86.691,998.762,1085.452,0.079866,325.636,26.007,299.628,553.471,749.071,130.036,1628.069,11.520983,18.780215,97.691,16.282,309.354,325.636,325.636,1.720988,0.608084,11.976477,2.717482,879.107,12.238215,12.238215
Colorectal,123.844,0.7,0.99,0.4,123.844,86.691,998.762,1085.452,0.079866,434.181,34.676,399.505,737.962,998.762,173.381,2170.759,11.520983,25.040287,130.254,21.709,412.472,434.181,434.181,2.29465,0.810778,15.968637,3.623309,1172.143,16.31762,16.31762
Colorectal,123.844,0.7,0.99,0.5,123.844,86.691,998.762,1085.452,0.079866,542.726,43.345,499.381,922.452,1248.452,216.727,2713.449,11.520983,31.300358,162.818,27.136,515.59,542.726,542.726,2.868313,1.013473,19.960796,4.529136,1465.179,20.397025,20.397025
Colorectal,123.844,0.7,0.99,0.6,123.844,86.691,998.762,1085.452,0.079866,651.271,52.014,599.257,1106.943,1498.142,260.072,3256.138,11.520983,37.56043,195.381,32.564,618.708,651.271,651.271,3.441975,1.216167,23.952955,5.434963,1758.214,24.476429,24.476429
Colorectal,123.844,0.7,0.99,0.7,123.844,86.691,998.762,1085.452,0.079866,759.817,60.683,699.133,1291.433,1747.833,303.417,3798.828,11.520983,43.820502,227.945,37.991,721.826,759.817,759.817,4.015638,1.418862,27.945114,6.34079,2051.25,28.555834,28.555834
Colorectal,123.844,0.7,0.99,0.8,123.844,86.691,998.762,1085.452,0.079866,868.362,69.353,799.009,1475.924,1997.523,346.763,4341.518,11.520983,50.080573,260.509,43.418,824.944,868.362,868.362,4.589301,1.621557,31.937273,7.246618,2344.286,32.635239,32.635239
Colorectal,123.844,0.7,0.99,0.9,123.844,86.691,998.762,1085.452,0.079866,976.907,78.022,898.885,1660.414,2247.214,390.108,4884.208,11.520983,56.340645,293.072,48.845,928.062,976.907,976.907,5.162963,1.824251,35.929432,8.152445,2637.321,36.714644,36.714644
Colorectal,123.844,0.7,0.99,1.0,123.844,86.691,998.762,1085.452,0.079866,1085.452,86.691,998.762,1844.905,2496.904,433.453,5426.897,11.520983,62.600717,325.636,54.273,1031.18,1085.452,1085.452,5.736626,2.026946,39.921591,9.058272,2930.357,40.794049,40.794049
Lung,99.702,0.7,0.99,0.0,99.702,69.791,999.003,1068.794,0.065299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.314177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung,99.702,0.7,0.99,0.1,99.702,69.791,999.003,1068.794,0.065299,106.879,6.979,99.9,234.696,299.701,41.875,566.022,14.314177,8.11023,96.191,16.032,5.344,106.879,106.879,1.694576,0.598752,0.206889,0.891926,341.576,4.755137,4.755137
Lung,99.702,0.7,0.99,0.2,99.702,69.791,999.003,1068.794,0.065299,213.759,13.958,199.801,469.392,599.402,83.749,1132.045,14.314177,16.220461,192.383,32.064,10.688,213.759,213.759,3.389153,1.197503,0.413778,1.783852,683.151,9.510275,9.510275
Lung,99.702,0.7,0.99,0.3,99.702,69.791,999.003,1068.794,0.065299,320.638,20.937,299.701,704.089,899.103,125.624,1698.067,14.314177,24.330691,288.574,48.096,16.032,320.638,320.638,5.083729,1.796255,0.620667,2.675777,1024.727,14.265412,14.265412
Lung,99.702,0.7,0.99,0.4,99.702,69.791,999.003,1068.794,0.065299,427.518,27.916,399.601,938.785,1198.804,167.499,2264.089,14.314177,32.440922,384.766,64.128,21.376,427.518,427.518,6.778305,2.395007,0.827556,3.567703,1366.302,19.02055,19.02055
Lung,99.702,0.7,0.99,0.5,99.702,69.791,999.003,1068.794,0.065299,534.397,34.896,499.501,1173.481,1498.504,209.373,2830.112,14.314177,40.551152,480.957,80.16,26.72,534.397,534.397,8.472882,2.993758,1.034445,4.459629,1707.878,23.775687,23.775687
Lung,99.702,0.7,0.99,0.6,99.702,69.791,999.003,1068.794,0.065299,641.276,41.875,599.402,1408.177,1798.205,251.248,3396.134,14.314177,48.661383,577.149,96.191,32.064,641.276,641.276,10.167458,3.59251,1.241335,5.351555,2049.454,28.530825,28.530825
Lung,99.702,0.7,0.99,0.7,99.702,69.791,999.003,1068.794,0.065299,748.156,48.854,699.302,1642.873,2097.906,293.123,3962.157,14.314177,56.771613,673.34,112.223,37.408,748.156,748.156,11.862034,4.191261,1.448224,6.24348,2391.029,33.285962,33.285962
Lung,99.702,0.7,0.99,0.8,99.702,69.791,999.003,1068.794,0.065299,855.035,55.833,799.202,1877.569,2397.607,334.998,4528.179,14.314177,64.881844,769.532,128.255,42.752,855.035,855.035,13.55661,4.790013,1.655113,7.135406,2732.605,38.0411,38.0411
Lung,99.702,0.7,0.99,0.9,99.702,69.791,999.003,1068.794,0.065299,961.915,62.812,899.103,2112.266,2697.308,376.872,5094.201,14.314177,72.992074,865.723,144.287,48.096,961.915,961.915,15.251187,5.388765,1.862002,8.027332,3074.18,42.796237,42.796237
Lung,99.702,0.7,0.99,1.0,99.702,69.791,999.003,1068.794,0.065299,1068.794,69.791,999.003,2346.962,2997.009,418.747,5660.224,14.314177,81.102305,961.915,160.319,53.44,1068.794,1068.794,16.945763,5.987516,2.068891,8.919258,3415.756,47.551375,47.551375
Breast,83.168,0.7,0.99,0.0,83.168,58.217,999.168,1057.386,0.055058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.16269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast,83.168,0.7,0.99,0.1,83.168,58.217,999.168,1057.386,0.055058,105.739,5.822,99.917,173.162,249.792,29.109,432.222,17.16269,7.424263,10.574,31.722,5.287,105.739,105.739,0.186276,1.184721,0.204681,0.882405,278.901,3.88263,3.88263
Breast,83.168,0.7,0.99,0.2,83.168,58.217,999.168,1057.386,0.055058,211.477,11.643,199.834,346.324,499.584,58.217,864.444,17.16269,14.848525,21.148,63.443,10.574,211.477,211.477,0.372553,2.369442,0.409362,1.764811,557.802,7.76526,7.76526
Breast,83.168,0.7,0.99,0.3,83.168,58.217,999.168,1057.386,0.055058,317.216,17.465,299.75,519.487,749.376,87.326,1296.665,17.16269,22.272788,31.722,95.165,15.861,317.216,317.216,0.558829,3.554163,0.614042,2.647216,836.702,11.647891,11.647891
Breast,83.168,0.7,0.99,0.4,83.168,58.217,999.168,1057.386,0.055058,422.954,23.287,399.667,692.649,999.168,116.435,1728.887,17.16269,29.697051,42.295,126.886,21.148,422.954,422.954,0.745106,4.738884,0.818723,3.529621,1115.603,15.530521,15.530521
Breast,83.168,0.7,0.99,0.5,83.168,58.217,999.168,1057.386,0.055058,528.693,29.109,499.584,865.811,1248.96,145.544,2161.109,17.16269,37.121313,52.869,158.608,26.435,528.693,528.693,0.931382,5.923605,1.023404,4.412027,1394.504,19.413151,19.413151
Breast,83.168,0.7,0.99,0.6,83.168,58.217,999.168,1057.386,0.055058,634.431,34.93,599.501,1038.973,1498.752,174.652,2593.331,17.16269,44.545576,63.443,190.329,31.722,634.431,634.431,1.117659,7.108326,1.228085,5.294432,1673.405,23.295781,23.295781
Breast,83.168,0.7,0.99,0.7,83.168,58.217,999.168,1057.386,0.055058,740.17,40.752,699.418,1212.136,1748.545,203.761,3025.552,17.16269,51.969839,74.017,222.051,37.009,740.17,740.17,1.303935,8.293048,1.432765,6.176837,1952.306,27.178412,27.178412
Breast,83.168,0.7,0.99,0.8,83.168,58.217,999.168,1057.386,0.055058,845.909,46.574,799.335,1385.298,1998.337,232.87,3457.774,17.16269,59.394101,84.591,253.773,42.295,845.909,845.909,1.490212,9.477769,1.637446,7.059243,2231.207,31.061042,31.061042
Breast,83.168,0.7,0.99,0.9,83.168,58.217,999.168,1057.386,0.055058,951.647,52.396,899.251,1558.46,2248.129,261.979,3889.996,17.16269,66.818364,95.165,285.494,47.582,951.647,951.647,1.676488,10.66249,1.842127,7.941648,2510.107,34.943672,34.943672
Breast,83.168,0.7,0.99,1.0,83.168,58.217,999.168,1057.386,0.055058,1057.386,58.217,999.168,1731.622,2497.921,291.087,4322.218,17.16269,74.242627,105.739,317.216,52.869,1057.386,1057.386,1.862765,11.847211,2.046808,8.824053,2789.008,38.826302,38.826302
Prostate,82.101,0.7,0.99,0.0,82.101,57.47,999.179,1056.649,0.054389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.385956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prostate,82.101,0.7,0.99,0.1,82.101,57.47,999.179,1056.649,0.054389,105.665,5.747,99.918,167.118,249.795,22.988,436.564,17.385956,7.596312,10.566,42.266,5.283,105.665,105.665,0.186147,1.578528,0.204538,0.881791,272.783,3.797462,3.797462
Prostate,82.101,0.7,0.99,0.2,82.101,57.47,999.179,1056.649,0.054389,211.33,11.494,199.836,334.236,499.589,45.976,873.127,17.385956,15.192624,21.133,84.532,10.566,211.33,211.33,0.372294,3.157056,0.409076,1.763582,545.566,7.594924,7.594924
Prostate,82.101,0.7,0.99,0.3,82.101,57.47,999.179,1056.649,0.054389,316.995,17.241,299.754,501.354,749.384,68.965,1309.691,17.385956,22.788936,31.699,126.798,15.85,316.995,316.995,0.55844,4.735584,0.613615,2.645373,818.349,11.392386,11.392386
Prostate,82.101,0.7,0.99,0.4,82.101,57.47,999.179,1056.649,0.054389,422.66,22.988,399.672,668.472,999.179,91.953,1746.254,17.385956,30.385248,42.266,169.064,21.133,422.66,422.66,0.744587,6.314112,0.818153,3.527163,1091.132,15.189848,15.189848
Prostate,82.101,0.7,0.99,0.5,82.101,57.47,999.179,1056.649,0.054389,528.325,28.735,499.589,835.59,1248.974,114.941,2182.818,17.385956,37.98156,52.832,211.33,26.416,528.325,528.325,0.930734,7.892641,1.022691,4.408954,1363.915,18.987311,18.987311
Prostate,82.101,0.7,0.99,0.6,82.101,57.47,999.179,1056.649,0.054389,633.99,34.482,599.507,1002.708,1498.768,137.929,2619.382,17.385956,45.577873,63.399,253.596,31.699,633.99,633.99,1.116881,9.471169,1.227229,5.290745,1636.698,22.784773,22.784773
Prostate,82.101,0.7,0.99,0.7,82.101,57.47,999.179,1056.649,0.054389,739.655,40.229,699.425,1169.826,1748.563,160.917,3055.945,17.385956,53.174185,73.965,295.862,36.983,739.655,739.655,1.303027,11.049697,1.431768,6.172536,1909.481,26.582235,26.582235
Prostate,82.101,0.7,0.99,0.8,82.101,57.47,999.179,1056.649,0.054389,845.32,45.976,799.343,1336.944,1998.358,183.905,3492.509,17.385956,60.770497,84.532,338.128,42.266,845.32,845.32,1.489174,12.628225,1.636306,7.054327,2182.263,30.379697,30.379697
Prostate,82.101,0.7,0.99,0.9,82.101,57.47,999.179,1056.649,0.054389,950.985,51.723,899.261,1504.062,2248.153,206.894,3929.072,17.385956,68.366809,95.098,380.394,47.549,950.985,950.985,1.675321,14.206753,1.840844,7.936118,2455.046,34.177159,34.177159
Prostate,82.101,0.7,0.99,1.0,82.101,57.47,999.179,1056.649,0.054389,1056.649,57.47,999.179,1671.18,2497.947,229.882,4365.636,17.385956,75.963121,105.665,422.66,52.832,1056.649,1056.649,1.861468,15.785281,2.045382,8.817908,2727.829,37.974621,37.974621
Liver,26.229,0.7,0.99,0.0,26.229,18.36,999.738,1018.098,0.018034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.451095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver,26.229,0.7,0.99,0.1,26.229,18.36,999.738,1018.098,0.018034,101.81,1.836,99.974,157.305,249.934,9.18,442.372,54.451095,24.093971,40.724,30.543,10.181,101.81,101.81,0.717421,1.140702,0.394151,0.849619,259.115,3.607182,3.607182
Liver,26.229,0.7,0.99,0.2,26.229,18.36,999.738,1018.098,0.018034,203.62,3.672,199.948,314.61,499.869,18.36,884.744,54.451095,48.187942,81.448,61.086,20.362,203.62,203.62,1.434842,2.281404,0.788303,1.699238,518.229,7.214365,7.214365
Liver,26.229,0.7,0.99,0.3,26.229,18.36,999.738,1018.098,0.018034,305.429,5.508,299.921,471.914,749.803,27.54,1327.117,54.451095,72.281913,122.172,91.629,30.543,305.429,305.429,2.152263,3.422106,1.182454,2.548857,777.344,10.821547,10.821547
Liver,26.229,0.7,0.99,0.4,26.229,18.36,999.738,1018.098,0.018034,407.239,7.344,399.895,629.219,999.738,36.721,1769.489,54.451095,96.375883,162.896,122.172,40.724,407.239,407.239,2.869684,4.562808,1.576606,3.398476,1036.458,14.428729,14.428729
Liver,26.229,0.7,0.99,0.5,26.229,18.36,999.738,1018.098,0.018034,509.049,9.18,499.869,786.524,1249.672,45.901,2211.861,54.451095,120.469854,203.62,152.715,50.905,509.049,509.049,3.587105,5.70351,1.970757,4.248095,1295.573,18.035911,18.035911
Liver,26.229,0.7,0.99,0.6,26.229,18.36,999.738,1018.098,0.018034,610.859,11.016,599.843,943.829,1499.607,55.081,2654.233,54.451095,144.563825,244.344,183.258,61.086,610.859,610.859,4.304526,6.844212,2.364909,5.097714,1554.687,21.643094,21.643094
Liver,26.229,0.7,0.99,0.7,26.229,18.36,999.738,1018.098,0.018034,712.669,12.852,699.816,1101.133,1749.541,64.261,3096.605,54.451095,168.657796,285.067,213.801,71.267,712.669,712.669,5.021948,7.984915,2.75906,5.947333,1813.802,25.250276,25.250276
Liver,26.229,0.7,0.99,0.8,26.229,18.36,999.738,1018.098,0.018034,814.478,14.688,799.79,1258.438,1999.475,73.441,3538.978,54.451095,192.751767,325.791,244.344,81.448,814.478,814.478,5.739369,9.125617,3.153211,6.796952,2072.917,28.857458,28.857458
Liver,26.229,0.7,0.99,0.9,26.229,18.36,999.738,1018.098,0.018034,916.288,16.524,899.764,1415.743,2249.41,82.621,3981.35,54.451095,216.845738,366.515,274.886,91.629,916.288,916.288,6.45679,10.266319,3.547363,7.646571,2332.031,32.46464,32.46464
Liver,26.229,0.7,0.99,1.0,26.229,18.36,999.738,1018.098,0.018034,1018.098,18.36,999.738,1573.048,2499.344,91.801,4423.722,54.451095,240.939708,407.239,305.429,101.81,1018.098,1018.098,7.174211,11.407021,3.941514,8.49619,2591.146,36.071823,36.071823
Pancreatic,38.195,0.7,0.99,0.0,38.195,26.737,999.618,1026.355,0.02605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.387661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pancreatic,38.195,0.7,0.99,0.1,38.195,26.737,999.618,1026.355,0.02605,102.635,2.674,99.962,213.292,299.885,16.042,531.462,37.387661,19.877707,61.581,30.791,20.527,102.635,102.635,1.084859,1.149953,0.794696,0.856509,315.927,4.398084,4.398084
Pancreatic,38.195,0.7,0.99,0.2,38.195,26.737,999.618,1026.355,0.02605,205.271,5.347,199.924,426.584,599.771,32.084,1062.924,37.387661,39.755414,123.163,61.581,41.054,205.271,205.271,2.169718,2.299906,1.589392,1.713019,631.855,8.796167,8.796167
Pancreatic,38.195,0.7,0.99,0.3,38.195,26.737,999.618,1026.355,0.02605,307.906,8.021,299.885,639.876,899.656,48.126,1594.385,37.387661,59.633121,184.744,92.372,61.581,307.906,307.906,3.254577,3.449859,2.384088,2.569528,947.782,13.194251,13.194251
Pancreatic,38.195,0.7,0.99,0.4,38.195,26.737,999.618,1026.355,0.02605,410.542,10.695,399.847,853.168,1199.542,64.168,2125.847,37.387661,79.510828,246.325,123.163,82.108,410.542,410.542,4.339436,4.599812,3.178784,3.426037,1263.709,17.592335,17.592335
Pancreatic,38.195,0.7,0.99,0.5,38.195,26.737,999.618,1026.355,0.02605,513.177,13.368,499.809,1066.459,1499.427,80.21,2657.309,37.387661,99.388535,307.906,153.953,102.635,513.177,513.177,5.424294,5.749765,3.973479,4.282547,1579.637,21.990419,21.990419
Pancreatic,38.195,0.7,0.99,0.6,38.195,26.737,999.618,1026.355,0.02605,615.813,16.042,599.771,1279.751,1799.312,96.252,3188.771,37.387661,119.266242,369.488,184.744,123.163,615.813,615.813,6.509153,6.899718,4.768175,5.139056,1895.564,26.388502,26.388502
Pancreatic,38.195,0.7,0.99,0.7,38.195,26.737,999.618,1026.355,0.02605,718.448,18.716,699.733,1493.043,2099.198,112.294,3720.233,37.387661,139.143949,431.069,215.534,143.69,718.448,718.448,7.594012,8.049671,5.562871,5.995565,2211.492,30.786586,30.786586
Pancreatic,38.195,0.7,0.99,0.8,38.195,26.737,999.618,1026.355,0.02605,821.084,21.389,799.694,1706.335,2399.083,128.336,4251.695,37.387661,159.021657,492.65,246.325,164.217,821.084,821.084,8.678871,9.199624,6.357567,6.852075,2527.419,35.18467,35.18467
Pancreatic,38.195,0.7,0.99,0.9,38.195,26.737,999.618,1026.355,0.02605,923.719,24.063,899.656,1919.627,2698.969,144.378,4783.156,37.387661,178.899364,554.231,277.116,184.744,923.719,923.719,9.76373,10.349577,7.152263,7.708584,2843.346,39.582753,39.582753
Pancreatic,38.195,0.7,0.99,1.0,38.195,26.737,999.618,1026.355,0.02605,1026.355,26.737,999.618,2132.919,2998.854,160.419,5314.618,37.387661,198.777071,615.813,307.906,205.271,1026.355,1026.355,10.848589,11.49953,7.946959,8.565093,3159.274,43.980837,43.980837
Ovarian,10.276,0.7,0.99,0.0,10.276,7.193,999.897,1007.09,0.007142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.009259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovarian,10.276,0.7,0.99,0.1,10.276,7.193,999.897,1007.09,0.007142,100.709,0.719,99.99,203.576,299.969,4.316,500.668,139.009259,69.604583,40.284,50.355,5.035,100.709,100.709,0.709664,1.880615,0.194945,0.840433,304.285,4.236008,4.236008
Ovarian,10.276,0.7,0.99,0.2,10.276,7.193,999.897,1007.09,0.007142,201.418,1.439,199.979,407.152,599.938,8.632,1001.335,139.009259,139.209167,80.567,100.709,10.071,201.418,201.418,1.419329,3.761229,0.38989,1.680866,608.57,8.472016,8.472016
Ovarian,10.276,0.7,0.99,0.3,10.276,7.193,999.897,1007.09,0.007142,302.127,2.158,299.969,610.728,899.908,12.947,1502.003,139.009259,208.81375,120.851,151.064,15.106,302.127,302.127,2.128993,5.641844,0.584835,2.521299,912.855,12.708024,12.708024
Ovarian,10.276,0.7,0.99,0.4,10.276,7.193,999.897,1007.09,0.007142,402.836,2.877,399.959,814.304,1199.877,17.263,2002.67,139.009259,278.418333,161.134,201.418,20.142,402.836,402.836,2.838657,7.522458,0.77978,3.361732,1217.14,16.944032,16.944032
Ovarian,10.276,0.7,0.99,0.5,10.276,7.193,999.897,1007.09,0.007142,503.545,3.597,499.949,1017.88,1499.846,21.579,2503.338,139.009259,348.022917,201.418,251.773,25.177,503.545,503.545,3.548321,9.403073,0.974725,4.202165,1521.425,21.18004,21.18004
Ovarian,10.276,0.7,0.99,0.6,10.276,7.193,999.897,1007.09,0.007142,604.254,4.316,599.938,1221.456,1799.815,25.895,3004.006,139.009259,417.6275,241.702,302.127,30.213,604.254,604.254,4.257986,11.283687,1.16967,5.042597,1825.71,25.416048,25.416048
Ovarian,10.276,0.7,0.99,0.7,10.276,7.193,999.897,1007.09,0.007142,704.963,5.035,699.928,1425.032,2099.784,30.211,3504.673,139.009259,487.232083,281.985,352.482,35.248,704.963,704.963,4.96765,13.164302,1.364614,5.88303,2129.995,29.652057,29.652057
Ovarian,10.276,0.7,0.99,0.8,10.276,7.193,999.897,1007.09,0.007142,805.672,5.754,799.918,1628.608,2399.753,34.527,4005.341,139.009259,556.836667,322.269,402.836,40.284,805.672,805.672,5.677314,15.044917,1.559559,6.723463,2434.28,33.888065,33.888065
Ovarian,10.276,0.7,0.99,0.9,10.276,7.193,999.897,1007.09,0.007142,906.381,6.474,899.908,1832.184,2699.723,38.842,4506.008,139.009259,626.44125,362.552,453.191,45.319,906.381,906.381,6.386979,16.925531,1.754504,7.563896,2738.565,38.124073,38.124073
Ovarian,10.276,0.7,0.99,1.0,10.276,7.193,999.897,1007.09,0.007142,1007.09,7.193,999.897,2035.76,2999.692,43.158,5006.676,139.009259,696.045833,402.836,503.545,50.355,1007.09,1007.09,7.096643,18.806146,1.949449,8.404329,3042.85,42.360081,42.360081
