indicator,iso3,year,value
GB.XPD.RSDV.GD.ZS,COL,2005,0.16557
GB.XPD.RSDV.GD.ZS,COL,2006,0.16427
GB.XPD.RSDV.GD.ZS,COL,2007,0.18307
GB.XPD.RSDV.GD.ZS,COL,2008,0.19541
GB.XPD.RSDV.GD.ZS,COL,2009,0.19351
GB.XPD.RSDV.GD.ZS,COL,2010,0.19358
GB.XPD.RSDV.GD.ZS,COL,2011,0.19842
GB.XPD.RSDV.GD.ZS,COL,2012,0.22116
GB.XPD.RSDV.GD.ZS,COL,2013,0.25761
GB.XPD.RSDV.GD.ZS,COL,2014,0.30317
GB.XPD.RSDV.GD.ZS,COL,2015,0.36542
GB.XPD.RSDV.GD.ZS,COL,2016,0.27051
GB.XPD.RSDV.GD.ZS,COL,2017,0.26109
GB.XPD.RSDV.GD.ZS,COL,2018,0.31233
GB.XPD.RSDV.GD.ZS,COL,2019,0.32201
GB.XPD.RSDV.GD.ZS,COL,2020,0.2894
GB.XPD.RSDV.GD.ZS,CRI,1996,0.30221
GB.XPD.RSDV.GD.ZS,CRI,1997,0.29569
GB.XPD.RSDV.GD.ZS,CRI,1998,0.26526
GB.XPD.RSDV.GD.ZS,CRI,1999,0.36759
GB.XPD.RSDV.GD.ZS,CRI,2000,0.41135
GB.XPD.RSDV.GD.ZS,CRI,2003,0.3619
GB.XPD.RSDV.GD.ZS,CRI,2004,0.37288
GB.XPD.RSDV.GD.ZS,CRI,2006,0.42693
GB.XPD.RSDV.GD.ZS,CRI,2007,0.35655
GB.XPD.RSDV.GD.ZS,CRI,2008,0.38593
GB.XPD.RSDV.GD.ZS,CRI,2009,0.51718
GB.XPD.RSDV.GD.ZS,CRI,2010,0.4799
GB.XPD.RSDV.GD.ZS,CRI,2011,0.46235
GB.XPD.RSDV.GD.ZS,CRI,2012,0.54713
GB.XPD.RSDV.GD.ZS,CRI,2013,0.54253
GB.XPD.RSDV.GD.ZS,CRI,2014,0.55627
GB.XPD.RSDV.GD.ZS,CRI,2015,0.43665
GB.XPD.RSDV.GD.ZS,CRI,2016,0.44335
GB.XPD.RSDV.GD.ZS,CRI,2017,0.42587
GB.XPD.RSDV.GD.ZS,CRI,2018,0.37144
GB.XPD.RSDV.GD.ZS,CRI,2020,0.33002
GB.XPD.RSDV.GD.ZS,CRI,2021,0.27385
GB.XPD.RSDV.GD.ZS,CRI,2022,0.33789
GB.XPD.RSDV.GD.ZS,CRI,2023,0.33738
GB.XPD.RSDV.GD.ZS,CZE,1996,0.88366
GB.XPD.RSDV.GD.ZS,CZE,1997,0.98251
GB.XPD.RSDV.GD.ZS,CZE,1998,1.05423
GB.XPD.RSDV.GD.ZS,CZE,1999,1.04295
GB.XPD.RSDV.GD.ZS,CZE,2000,1.10377
GB.XPD.RSDV.GD.ZS,CZE,2001,1.09343
GB.XPD.RSDV.GD.ZS,CZE,2002,1.09272
GB.XPD.RSDV.GD.ZS,CZE,2003,1.13817
GB.XPD.RSDV.GD.ZS,CZE,2004,1.13619
GB.XPD.RSDV.GD.ZS,CZE,2005,1.15998
GB.XPD.RSDV.GD.ZS,CZE,2006,1.22564
GB.XPD.RSDV.GD.ZS,CZE,2007,1.2967
GB.XPD.RSDV.GD.ZS,CZE,2008,1.2352
GB.XPD.RSDV.GD.ZS,CZE,2009,1.28943
GB.XPD.RSDV.GD.ZS,CZE,2010,1.31352
GB.XPD.RSDV.GD.ZS,CZE,2011,1.5323
GB.XPD.RSDV.GD.ZS,CZE,2012,1.757
GB.XPD.RSDV.GD.ZS,CZE,2013,1.86743
GB.XPD.RSDV.GD.ZS,CZE,2014,1.94392
GB.XPD.RSDV.GD.ZS,CZE,2015,1.906
GB.XPD.RSDV.GD.ZS,CZE,2016,1.65411
GB.XPD.RSDV.GD.ZS,CZE,2017,1.74513
GB.XPD.RSDV.GD.ZS,CZE,2018,1.87652
GB.XPD.RSDV.GD.ZS,CZE,2019,1.89547
GB.XPD.RSDV.GD.ZS,CZE,2020,1.94537
GB.XPD.RSDV.GD.ZS,CZE,2021,1.93302
GB.XPD.RSDV.GD.ZS,CZE,2022,1.89089
GB.XPD.RSDV.GD.ZS,CZE,2023,1.83369
GB.XPD.RSDV.GD.ZS,DEU,1996,2.13663
GB.XPD.RSDV.GD.ZS,DEU,1997,2.18161
GB.XPD.RSDV.GD.ZS,DEU,1998,2.20748
GB.XPD.RSDV.GD.ZS,DEU,1999,2.32772
GB.XPD.RSDV.GD.ZS,DEU,2000,2.38654
GB.XPD.RSDV.GD.ZS,DEU,2001,2.3792
GB.XPD.RSDV.GD.ZS,DEU,2002,2.40856
GB.XPD.RSDV.GD.ZS,DEU,2003,2.44232
GB.XPD.RSDV.GD.ZS,DEU,2004,2.40278
GB.XPD.RSDV.GD.ZS,DEU,2005,2.40266
GB.XPD.RSDV.GD.ZS,DEU,2006,2.43043
GB.XPD.RSDV.GD.ZS,DEU,2007,2.41918
GB.XPD.RSDV.GD.ZS,DEU,2008,2.57152
GB.XPD.RSDV.GD.ZS,DEU,2009,2.68864
GB.XPD.RSDV.GD.ZS,DEU,2010,2.67632
GB.XPD.RSDV.GD.ZS,DEU,2011,2.75016
GB.XPD.RSDV.GD.ZS,DEU,2012,2.82499
GB.XPD.RSDV.GD.ZS,DEU,2013,2.78067
GB.XPD.RSDV.GD.ZS,DEU,2014,2.82218
GB.XPD.RSDV.GD.ZS,DEU,2015,2.87725
GB.XPD.RSDV.GD.ZS,DEU,2016,2.88393
GB.XPD.RSDV.GD.ZS,DEU,2017,2.9886
GB.XPD.RSDV.GD.ZS,DEU,2018,3.05057
GB.XPD.RSDV.GD.ZS,DEU,2019,3.11256
GB.XPD.RSDV.GD.ZS,DEU,2020,3.0897
GB.XPD.RSDV.GD.ZS,DEU,2021,3.0786
GB.XPD.RSDV.GD.ZS,DEU,2022,3.07096
GB.XPD.RSDV.GD.ZS,DEU,2023,3.1539
GB.XPD.RSDV.GD.ZS,DNK,1996,1.80812
GB.XPD.RSDV.GD.ZS,DNK,1997,1.89238
GB.XPD.RSDV.GD.ZS,DNK,1998,2.00749
GB.XPD.RSDV.GD.ZS,DNK,1999,2.12857
GB.XPD.RSDV.GD.ZS,DNK,2000,2.18774
GB.XPD.RSDV.GD.ZS,DNK,2001,2.32339
GB.XPD.RSDV.GD.ZS,DNK,2002,2.43935
GB.XPD.RSDV.GD.ZS,DNK,2003,2.50711
GB.XPD.RSDV.GD.ZS,DNK,2004,2.41328
GB.XPD.RSDV.GD.ZS,DNK,2005,2.38721
GB.XPD.RSDV.GD.ZS,DNK,2006,2.39875
GB.XPD.RSDV.GD.ZS,DNK,2007,2.50921
GB.XPD.RSDV.GD.ZS,DNK,2008,2.76081
GB.XPD.RSDV.GD.ZS,DNK,2009,3.04209
GB.XPD.RSDV.GD.ZS,DNK,2010,2.91389
GB.XPD.RSDV.GD.ZS,DNK,2011,2.94198
GB.XPD.RSDV.GD.ZS,DNK,2012,2.9845
GB.XPD.RSDV.GD.ZS,DNK,2013,2.96145
GB.XPD.RSDV.GD.ZS,DNK,2014,2.91543
GB.XPD.RSDV.GD.ZS,DNK,2015,3.06422
GB.XPD.RSDV.GD.ZS,DNK,2016,3.10209
GB.XPD.RSDV.GD.ZS,DNK,2017,2.93576
GB.XPD.RSDV.GD.ZS,DNK,2018,2.97895
GB.XPD.RSDV.GD.ZS,DNK,2019,2.90605
GB.XPD.RSDV.GD.ZS,DNK,2020,2.96533
GB.XPD.RSDV.GD.ZS,DNK,2021,2.74323
GB.XPD.RSDV.GD.ZS,DNK,2022,2.86709
GB.XPD.RSDV.GD.ZS,DNK,2023,3.04841
GB.XPD.RSDV.GD.ZS,ESP,1996,0.78795
GB.XPD.RSDV.GD.ZS,ESP,1997,0.77825
GB.XPD.RSDV.GD.ZS,ESP,1998,0.8487
GB.XPD.RSDV.GD.ZS,ESP,1999,0.83921
GB.XPD.RSDV.GD.ZS,ESP,2000,0.88315
GB.XPD.RSDV.GD.ZS,ESP,2001,0.88838
GB.XPD.RSDV.GD.ZS,ESP,2002,0.95947
GB.XPD.RSDV.GD.ZS,ESP,2003,1.0232
GB.XPD.RSDV.GD.ZS,ESP,2004,1.04013
GB.XPD.RSDV.GD.ZS,ESP,2005,1.09866
GB.XPD.RSDV.GD.ZS,ESP,2006,1.17567
GB.XPD.RSDV.GD.ZS,ESP,2007,1.23823
GB.XPD.RSDV.GD.ZS,ESP,2008,1.32156
GB.XPD.RSDV.GD.ZS,ESP,2009,1.35898
GB.XPD.RSDV.GD.ZS,ESP,2010,1.35436
GB.XPD.RSDV.GD.ZS,ESP,2011,1.32726
GB.XPD.RSDV.GD.ZS,ESP,2012,1.29268
GB.XPD.RSDV.GD.ZS,ESP,2013,1.26864
GB.XPD.RSDV.GD.ZS,ESP,2014,1.23401
GB.XPD.RSDV.GD.ZS,ESP,2015,1.21165
GB.XPD.RSDV.GD.ZS,ESP,2016,1.1808
GB.XPD.RSDV.GD.ZS,ESP,2017,1.20198
GB.XPD.RSDV.GD.ZS,ESP,2018,1.23288
GB.XPD.RSDV.GD.ZS,ESP,2019,1.24207
GB.XPD.RSDV.GD.ZS,ESP,2020,1.39637
GB.XPD.RSDV.GD.ZS,ESP,2021,1.39617
GB.XPD.RSDV.GD.ZS,ESP,2022,1.40684
GB.XPD.RSDV.GD.ZS,ESP,2023,1.49362
GB.XPD.RSDV.GD.ZS,EST,1998,0.56501
GB.XPD.RSDV.GD.ZS,EST,1999,0.67708
GB.XPD.RSDV.GD.ZS,EST,2000,0.6
GB.XPD.RSDV.GD.ZS,EST,2001,0.69889
GB.XPD.RSDV.GD.ZS,EST,2002,0.71182
GB.XPD.RSDV.GD.ZS,EST,2003,0.76445
GB.XPD.RSDV.GD.ZS,EST,2004,0.84566
GB.XPD.RSDV.GD.ZS,EST,2005,0.91687
GB.XPD.RSDV.GD.ZS,EST,2006,1.11259
GB.XPD.RSDV.GD.ZS,EST,2007,1.05869
GB.XPD.RSDV.GD.ZS,EST,2008,1.25182
GB.XPD.RSDV.GD.ZS,EST,2009,1.39673
GB.XPD.RSDV.GD.ZS,EST,2010,1.57892
GB.XPD.RSDV.GD.ZS,EST,2011,2.29632
GB.XPD.RSDV.GD.ZS,EST,2012,2.10485
GB.XPD.RSDV.GD.ZS,EST,2013,1.70141
GB.XPD.RSDV.GD.ZS,EST,2014,1.40794
GB.XPD.RSDV.GD.ZS,EST,2015,1.44125
GB.XPD.RSDV.GD.ZS,EST,2016,1.21835
GB.XPD.RSDV.GD.ZS,EST,2017,1.25152
GB.XPD.RSDV.GD.ZS,EST,2018,1.38298
GB.XPD.RSDV.GD.ZS,EST,2019,1.59093
GB.XPD.RSDV.GD.ZS,EST,2020,1.72614
GB.XPD.RSDV.GD.ZS,EST,2021,1.75152
GB.XPD.RSDV.GD.ZS,EST,2022,1.76094
GB.XPD.RSDV.GD.ZS,EST,2023,1.83878
GB.XPD.RSDV.GD.ZS,FIN,1996,2.45511
GB.XPD.RSDV.GD.ZS,FIN,1997,2.6226
GB.XPD.RSDV.GD.ZS,FIN,1998,2.78542
GB.XPD.RSDV.GD.ZS,FIN,1999,3.05687
GB.XPD.RSDV.GD.ZS,FIN,2000,3.24271
GB.XPD.RSDV.GD.ZS,FIN,2001,3.19405
GB.XPD.RSDV.GD.ZS,FIN,2002,3.25409
GB.XPD.RSDV.GD.ZS,FIN,2003,3.29898
GB.XPD.RSDV.GD.ZS,FIN,2004,3.30943
GB.XPD.RSDV.GD.ZS,FIN,2005,3.32412
GB.XPD.RSDV.GD.ZS,FIN,2006,3.33285
GB.XPD.RSDV.GD.ZS,FIN,2007,3.33727
GB.XPD.RSDV.GD.ZS,FIN,2008,3.53719
GB.XPD.RSDV.GD.ZS,FIN,2009,3.73427
GB.XPD.RSDV.GD.ZS,FIN,2010,3.70524
GB.XPD.RSDV.GD.ZS,FIN,2011,3.62434
GB.XPD.RSDV.GD.ZS,FIN,2012,3.4095
GB.XPD.RSDV.GD.ZS,FIN,2013,3.28462
GB.XPD.RSDV.GD.ZS,FIN,2014,3.16344
GB.XPD.RSDV.GD.ZS,FIN,2015,2.88826
GB.XPD.RSDV.GD.ZS,FIN,2016,2.74716
GB.XPD.RSDV.GD.ZS,FIN,2017,2.74723
GB.XPD.RSDV.GD.ZS,FIN,2018,2.77601
GB.XPD.RSDV.GD.ZS,FIN,2019,2.81534
GB.XPD.RSDV.GD.ZS,FIN,2020,2.93278
GB.XPD.RSDV.GD.ZS,FIN,2021,3.01133
GB.XPD.RSDV.GD.ZS,FIN,2022,2.982
GB.XPD.RSDV.GD.ZS,FIN,2023,3.0938
GB.XPD.RSDV.GD.ZS,FRA,1996,2.23224
GB.XPD.RSDV.GD.ZS,FRA,1997,2.15216
GB.XPD.RSDV.GD.ZS,FRA,1998,2.10343
GB.XPD.RSDV.GD.ZS,FRA,1999,2.1165
GB.XPD.RSDV.GD.ZS,FRA,2000,2.10066
GB.XPD.RSDV.GD.ZS,FRA,2001,2.1494
GB.XPD.RSDV.GD.ZS,FRA,2002,2.18758
GB.XPD.RSDV.GD.ZS,FRA,2003,2.13086
GB.XPD.RSDV.GD.ZS,FRA,2004,2.10438
GB.XPD.RSDV.GD.ZS,FRA,2005,2.05599
GB.XPD.RSDV.GD.ZS,FRA,2006,2.05331
GB.XPD.RSDV.GD.ZS,FRA,2007,2.02815
GB.XPD.RSDV.GD.ZS,FRA,2008,2.06363
GB.XPD.RSDV.GD.ZS,FRA,2009,2.21273
GB.XPD.RSDV.GD.ZS,FRA,2010,2.17771
GB.XPD.RSDV.GD.ZS,FRA,2011,2.18761
GB.XPD.RSDV.GD.ZS,FRA,2012,2.22761
GB.XPD.RSDV.GD.ZS,FRA,2013,2.23369
GB.XPD.RSDV.GD.ZS,FRA,2014,2.27173
GB.XPD.RSDV.GD.ZS,FRA,2015,2.22401
GB.XPD.RSDV.GD.ZS,FRA,2016,2.22468
GB.XPD.RSDV.GD.ZS,FRA,2017,2.20422
GB.XPD.RSDV.GD.ZS,FRA,2018,2.20407
GB.XPD.RSDV.GD.ZS,FRA,2019,2.19668
GB.XPD.RSDV.GD.ZS,FRA,2020,2.2742
GB.XPD.RSDV.GD.ZS,FRA,2021,2.21278
GB.XPD.RSDV.GD.ZS,FRA,2022,2.21937
GB.XPD.RSDV.GD.ZS,FRA,2023,2.17832
GB.XPD.RSDV.GD.ZS,GBR,1996,1.5754
GB.XPD.RSDV.GD.ZS,GBR,1997,1.53729
GB.XPD.RSDV.GD.ZS,GBR,1998,1.54777
GB.XPD.RSDV.GD.ZS,GBR,1999,1.62268
GB.XPD.RSDV.GD.ZS,GBR,2000,1.60963
GB.XPD.RSDV.GD.ZS,GBR,2001,1.59544
GB.XPD.RSDV.GD.ZS,GBR,2002,1.61383
GB.XPD.RSDV.GD.ZS,GBR,2003,1.58131
GB.XPD.RSDV.GD.ZS,GBR,2004,1.53089
GB.XPD.RSDV.GD.ZS,GBR,2005,1.55004
GB.XPD.RSDV.GD.ZS,GBR,2006,1.57625
GB.XPD.RSDV.GD.ZS,GBR,2007,1.6183
GB.XPD.RSDV.GD.ZS,GBR,2008,1.60901
GB.XPD.RSDV.GD.ZS,GBR,2009,1.66991
GB.XPD.RSDV.GD.ZS,GBR,2010,1.63887
GB.XPD.RSDV.GD.ZS,GBR,2011,1.64681
GB.XPD.RSDV.GD.ZS,GBR,2012,1.57587
GB.XPD.RSDV.GD.ZS,GBR,2013,1.62096
GB.XPD.RSDV.GD.ZS,GBR,2014,2.26488
GB.XPD.RSDV.GD.ZS,GBR,2015,2.27566
GB.XPD.RSDV.GD.ZS,GBR,2016,2.32051
GB.XPD.RSDV.GD.ZS,GBR,2017,2.32602
GB.XPD.RSDV.GD.ZS,GBR,2018,2.70889
GB.XPD.RSDV.GD.ZS,GBR,2019,2.6707
GB.XPD.RSDV.GD.ZS,GBR,2020,2.93993
GB.XPD.RSDV.GD.ZS,GBR,2021,2.89968
GB.XPD.RSDV.GD.ZS,GBR,2022,2.75224
GB.XPD.RSDV.GD.ZS,GBR,2023,2.67614
GB.XPD.RSDV.GD.ZS,GRC,1997,0.44268
GB.XPD.RSDV.GD.ZS,GRC,1999,0.59085
GB.XPD.RSDV.GD.ZS,GRC,2001,0.57753
GB.XPD.RSDV.GD.ZS,GRC,2003,0.56163
GB.XPD.RSDV.GD.ZS,GRC,2004,0.54073
GB.XPD.RSDV.GD.ZS,GRC,2005,0.59224
GB.XPD.RSDV.GD.ZS,GRC,2006,0.57051
GB.XPD.RSDV.GD.ZS,GRC,2007,0.58513
GB.XPD.RSDV.GD.ZS,GRC,2008,0.67086
GB.XPD.RSDV.GD.ZS,GRC,2009,0.63414
GB.XPD.RSDV.GD.ZS,GRC,2010,0.60491
GB.XPD.RSDV.GD.ZS,GRC,2011,0.6837
GB.XPD.RSDV.GD.ZS,GRC,2012,0.71953
GB.XPD.RSDV.GD.ZS,GRC,2013,0.82288
GB.XPD.RSDV.GD.ZS,GRC,2014,0.84553
GB.XPD.RSDV.GD.ZS,GRC,2015,0.9716
GB.XPD.RSDV.GD.ZS,GRC,2016,1.00556
GB.XPD.RSDV.GD.ZS,GRC,2017,1.1492
GB.XPD.RSDV.GD.ZS,GRC,2018,1.2066
GB.XPD.RSDV.GD.ZS,GRC,2019,1.26236
GB.XPD.RSDV.GD.ZS,GRC,2020,1.48872
GB.XPD.RSDV.GD.ZS,GRC,2021,1.43353
GB.XPD.RSDV.GD.ZS,GRC,2022,1.47714
GB.XPD.RSDV.GD.ZS,GRC,2023,1.4943
GB.XPD.RSDV.GD.ZS,HUN,1996,0.62791
GB.XPD.RSDV.GD.ZS,HUN,1997,0.69745
GB.XPD.RSDV.GD.ZS,HUN,1998,0.65606
GB.XPD.RSDV.GD.ZS,HUN,1999,0.67067
GB.XPD.RSDV.GD.ZS,HUN,2000,0.78999
GB.XPD.RSDV.GD.ZS,HUN,2001,0.91225
GB.XPD.RSDV.GD.ZS,HUN,2002,0.98314
GB.XPD.RSDV.GD.ZS,HUN,2003,0.91985
