dialogue_id,shape,cluster,n_turns,mean_value,linear_z,quadratic_z,purchase_intention_change,after_purchase_intention
27,increasing,1.0,25,30.44,0.19800650529488767,0.6160017918868333,1.0,6
28,inverted_u,3.0,21,18.047619047619047,6.032058592360758,-5.5804748545356615,1.0,6
29,inverted_u,1.0,51,31.745098039215687,1.1059506320962744,-1.5295918697579836,2.0,6
30,decreasing,1.0,52,26.057692307692307,-0.2840952225969145,-0.10588207376285363,1.0,5
31,inverted_u,0.0,31,25.870967741935484,1.9201120960833116,-2.0371189302363715,2.0,6
32,inverted_u,0.0,9,51.0,4.050969306926692,-3.357174667677488,2.0,6
33,inverted_u,0.0,14,52.57142857142857,2.9493604108132456,-1.5349333966858618,1.0,6
34,inverted_u,0.0,13,29.923076923076923,2.3481383102941327,-2.858693331035569,1.0,6
35,inverted_u,3.0,21,38.42857142857143,6.672976931609296,-7.129587024856099,0.0,6
36,inverted_u,0.0,15,42.46666666666667,4.20253490217939,-3.06878720242848,1.0,5
37,decreasing,1.0,17,27.41176470588235,-0.5726845774455545,-1.4582798751721047,1.0,6
38,inverted_u,0.0,28,31.535714285714285,1.8532412231465882,-2.093775207354221,-1.0,5
39,inverted_u,1.0,40,27.65,1.9140829062362488,-1.6357707005971756,-1.0,5
40,inverted_u,0.0,15,36.333333333333336,4.552254090202583,-4.128464600069821,-1.0,5
41,inverted_u,0.0,23,26.782608695652176,3.626903621191148,-3.619352429959945,0.0,5
42,u_shape,2.0,12,26.583333333333332,-2.5858904892190986,4.750793322668151,0.0,3
43,increasing,1.0,33,29.454545454545453,0.47604957643802764,1.278340505775791,1.0,5
44,inverted_u,3.0,12,27.416666666666668,6.666927817078215,-6.813944083457575,-1.0,4
45,inverted_u,0.0,37,26.945945945945947,3.521517006437758,-3.4648001244507247,3.0,6
46,inverted_u,0.0,17,28.823529411764707,2.2327817306951028,-2.0796746377217237,1.0,7
47,inverted_u,0.0,19,35.473684210526315,3.2873383102994356,-1.828280024501983,2.0,5
48,inverted_u,0.0,20,31.8,4.807537066437674,-4.390351137789258,1.0,6
49,inverted_u,0.0,26,27.384615384615383,2.918028327707775,-3.6055224311974756,3.0,5
50,inverted_u,1.0,25,23.48,1.6511910910812715,-2.0092214965089346,1.0,7
51,u_shape,1.0,19,29.36842105263158,-0.10700126154451137,0.41007841244730797,-1.0,4
52,inverted_u,1.0,21,39.42857142857143,0.38746423982022493,-1.208588839262474,-2.0,3
53,decreasing,1.0,27,26.62962962962963,-0.8799451186523146,-1.096214687506457,1.0,7
54,inverted_u,0.0,10,31.6,2.406447026469362,-3.927847789212733,3.0,6
55,inverted_u,1.0,27,31.62962962962963,0.8783172266284084,-1.7617203343128742,0.0,2
56,inverted_u,0.0,44,23.568181818181817,2.3551215018214924,-2.7158196778015493,-1.0,1
57,increasing,1.0,19,34.68421052631579,0.21731124058697127,0.658882039344429,0.0,5
58,inverted_u,1.0,36,25.61111111111111,1.2942039175251931,-1.6978906256642856,0.0,5
59,inverted_u,0.0,15,39.4,4.613267061810367,-4.42589435853289,0.0,5
60,inverted_u,1.0,32,24.625,0.2857918080136518,-1.3666678880264882,-1.0,5
61,inverted_u,0.0,17,33.411764705882355,2.050646187042805,-2.411608407083998,0.0,5
62,inverted_u,1.0,28,24.5,1.971852149538782,-1.392875663940135,-2.0,1
63,inverted_u,0.0,14,27.428571428571427,2.8891503726156977,-1.7099468132201616,1.0,5
64,inverted_u,3.0,11,30.09090909090909,5.755697232292442,-5.24895296770411,2.0,7
65,inverted_u,0.0,13,31.307692307692307,3.493505679709662,-3.512815454428805,1.0,6
66,inverted_u,0.0,10,32.9,4.530898303079356,-2.5410830715104273,0.0,2
67,inverted_u,0.0,12,31.333333333333332,2.630003740052648,-2.4210095594556207,0.0,5
68,inverted_u,0.0,20,28.75,3.707469312150737,-3.023523030732144,2.0,5
69,u_shape,2.0,13,24.307692307692307,-3.7195387344421027,6.5442778980457454,1.0,6
70,increasing,1.0,19,23.263157894736842,0.06206680119576834,2.0409607850422895,1.0,5
71,inverted_u,0.0,13,29.153846153846153,3.7597414910930365,-2.214292027722005,1.0,5
72,decreasing,1.0,25,31.72,-0.44137109009598985,-0.21132105902832138,1.0,6
73,u_shape,1.0,12,26.25,-0.7501887054350794,2.9510536381370103,2.0,6
74,inverted_u,1.0,10,27.1,0.6121529341928339,-0.629994917238618,1.0,6
75,inverted_u,0.0,13,33.76923076923077,3.4330609293482857,-4.180049569573349,2.0,6
76,inverted_u,0.0,10,33.5,2.039736304745682,-3.341043001461845,-1.0,1
77,inverted_u,3.0,22,31.545454545454547,6.005567539301872,-5.3405276743739805,0.0,5
78,inverted_u,1.0,24,19.583333333333332,0.6269381017475001,-0.4105464849296991,1.0,6
79,decreasing,1.0,21,35.904761904761905,-0.5462610506728295,-0.49587755088199525,0.0,4
80,inverted_u,0.0,10,33.8,2.2678002938279898,-3.014250374824454,,5
81,inverted_u,1.0,7,34.142857142857146,0.9649847250473556,-2.406434631112663,3.0,6
82,u_shape,2.0,15,34.93333333333333,-7.530721482894865,6.717103264104858,3.0,5
83,u_shape,2.0,11,20.90909090909091,-2.622040448585729,6.1637483712114545,2.0,5
84,inverted_u,0.0,14,31.071428571428573,3.9997237733063464,-4.223698073051116,-1.0,2
85,inverted_u,3.0,19,27.0,7.389983912243314,-7.538401587846081,2.0,6
86,inverted_u,0.0,17,34.529411764705884,3.468440331982557,-2.9569861988061312,2.0,6
87,inverted_u,3.0,13,38.23076923076923,8.626613145322008,-7.630807416940706,0.0,5
88,inverted_u,0.0,23,29.043478260869566,4.147517295262895,-4.904414880214819,0.0,5
89,inverted_u,0.0,10,30.2,3.8876716893209387,-3.8209044517745636,2.0,5
90,decreasing,1.0,24,25.416666666666668,-0.09436603493929273,-0.3998958322657147,4.0,6
91,inverted_u,0.0,13,34.61538461538461,2.3056849000273436,-2.5063738185978903,0.0,2
92,inverted_u,3.0,51,23.54901960784314,5.01650806519821,-5.268848457973888,1.0,5
93,inverted_u,3.0,15,32.733333333333334,7.624036055192668,-7.049737102075502,2.0,5
94,inverted_u,0.0,15,44.86666666666667,3.4127887997292667,-3.9027598170207862,0.0,5
95,inverted_u,1.0,21,27.428571428571427,1.18442799548133,-2.4256349018046905,2.0,7
96,inverted_u,0.0,27,27.666666666666668,2.6605910466932086,-3.5483367265084484,0.0,5
97,u_shape,1.0,22,30.363636363636363,-0.6134400832471504,1.4943362297768814,2.0,5
98,inverted_u,0.0,27,26.37037037037037,3.629302476539052,-2.950350926405968,1.0,6
99,u_shape,2.0,7,68.57142857142857,-4.711814338687431,5.975644205451737,0.0,7
100,u_shape,2.0,8,46.25,-2.842820740306234,2.844016100056888,-3.0,1
101,inverted_u,1.0,12,32.0,0.4555459506802781,-2.3138298637168915,2.0,6
102,inverted_u,0.0,9,64.22222222222223,2.5478001894294064,-1.843322445223228,2.0,5
103,inverted_u,0.0,8,54.5,1.907855848767318,-1.8687204742796388,2.0,6
104,inverted_u,0.0,14,40.92857142857143,2.0274496080832494,-3.783446855038615,0.0,5
105,inverted_u,0.0,10,32.2,2.7978729741093713,-3.764912410105654,-1.0,3
106,increasing,1.0,9,45.77777777777778,0.0428235600747689,2.5472630788295336,1.0,6
107,inverted_u,0.0,15,45.0,4.016264674656181,-4.010437447011305,0.0,5
108,inverted_u,3.0,8,61.125,10.093642632890479,-10.979930765485973,3.0,6
