dialogue_id,cluster,n_turns,mean_verbosity,linear_z,quadratic_z,purchase_intention_change,after_purchase_intention
39,0.0,40,27.65,1.7931364170723234,-1.4769440757424008,-1.0,5
40,0.0,15,36.333333333333336,5.190098727113968,-4.607418191324454,-1.0,5
41,0.0,23,26.782608695652176,3.529511508322815,-3.7653217732026407,0.0,5
42,1.0,12,26.583333333333332,-3.734887553718899,5.229100142556396,0.0,3
43,1.0,33,29.454545454545453,0.10193968648373149,1.4036721227864692,1.0,5
44,0.0,12,27.416666666666668,4.723892411822996,-5.148820873220159,-1.0,4
45,0.0,37,26.945945945945947,3.316899551301083,-3.184775583216448,3.0,6
46,0.0,17,28.823529411764707,2.626211390639093,-2.667039691627404,1.0,7
47,0.0,19,35.473684210526315,3.18881667933152,-1.8103130059283512,2.0,5
48,0.0,20,31.8,4.011732875174633,-3.2060590335370724,1.0,6
49,0.0,26,27.384615384615383,3.3981980817312483,-3.974782921556669,3.0,5
50,0.0,25,23.48,1.8079937108011124,-2.040561000725842,1.0,7
51,1.0,19,29.36842105263158,-0.03556843476591156,0.3268839956219324,-1.0,4
52,0.0,21,39.42857142857143,1.5323667607831115,-2.1887888194913483,-2.0,3
53,1.0,27,26.62962962962963,-0.46707927909474833,-1.5939216821879651,1.0,7
54,1.0,10,31.6,-0.783446655644172,-1.2112963663214575,3.0,6
55,0.0,27,31.62962962962963,2.630066656237556,-3.466018673608154,0.0,2
56,0.0,44,23.568181818181817,2.391047278350876,-2.807293297244544,-1.0,1
57,1.0,19,34.68421052631579,0.1732270094785644,0.6243087761518119,0.0,5
58,0.0,36,25.61111111111111,1.4973093588688047,-2.0260641921770413,0.0,5
59,0.0,15,39.4,3.983749413593379,-3.69380623256014,0.0,5
60,1.0,32,24.625,0.1895792935041109,-1.1909185896029764,-1.0,5
61,0.0,17,33.411764705882355,1.0222807241107945,-1.182955902918092,0.0,5
62,0.0,28,24.5,1.9424180281094088,-1.3538507609454282,-2.0,1
63,1.0,14,27.428571428571427,-0.6113024152848747,1.8801527615226485,1.0,5
64,0.0,11,30.09090909090909,5.737678605612242,-5.533211902036352,2.0,7
65,0.0,13,31.307692307692307,3.2426350177011685,-3.446657649146659,1.0,6
66,1.0,10,32.9,-0.6688620745955843,2.635814625372734,0.0,2
67,0.0,12,31.333333333333332,2.531056107886638,-2.381802835584245,0.0,5
68,0.0,20,28.75,1.9444919943674877,-1.0266378418194149,2.0,5
69,1.0,13,24.307692307692307,-5.248912898803511,7.200798720495986,1.0,6
70,1.0,19,23.263157894736842,-0.9698420786063561,2.262447600972903,1.0,5
71,1.0,13,29.153846153846153,-0.8285480763434706,2.308155063781045,1.0,5
72,1.0,25,31.72,-0.9058199118107073,0.18955174871592012,1.0,6
73,1.0,12,26.25,-3.431231983054336,4.811742730971229,2.0,6
74,1.0,10,27.1,-0.5616345539202686,0.4605042162368763,1.0,6
75,0.0,13,33.76923076923077,2.5335452317993026,-3.1870745672104306,2.0,6
76,0.0,10,33.5,1.796492864728722,-3.2782542734315547,-1.0,1
77,0.0,22,31.545454545454547,4.2041339737604115,-3.0192162830458815,0.0,5
78,1.0,24,19.583333333333332,-0.1201376340209833,0.3176052393658229,1.0,6
79,1.0,21,35.904761904761905,-0.8268531860429218,-0.19393554633713242,0.0,4
80,0.0,10,33.8,5.500470703130007,-6.040548317480436,,5
81,0.0,7,34.142857142857146,0.7623943326512442,-2.105660537798673,3.0,6
82,1.0,15,34.93333333333333,-7.456842111115315,6.264199127827897,3.0,5
83,1.0,11,20.90909090909091,-6.411597105040616,7.880108583564838,2.0,5
84,0.0,14,31.071428571428573,4.38794363685837,-4.2030603384388465,-1.0,2
85,0.0,19,27.0,5.5745550898255605,-4.56966674357629,2.0,6
86,0.0,17,34.529411764705884,4.076595014140611,-3.2136248447953744,2.0,6
87,0.0,13,38.23076923076923,7.719542508626909,-6.346080288018574,0.0,5
88,0.0,23,29.043478260869566,3.4870389515412694,-3.647419264507166,0.0,5
89,0.0,10,30.2,3.026643907772412,-2.8696704798166306,2.0,5
90,1.0,24,25.416666666666668,0.3210867267316336,-0.7832697419900728,4.0,6
91,0.0,13,34.61538461538461,2.857108648935415,-3.0802789138877644,0.0,2
92,0.0,51,23.54901960784314,4.111079839149481,-4.7703808501211205,1.0,5
93,0.0,15,32.733333333333334,6.5835434626554346,-5.595623739507846,2.0,5
94,0.0,15,44.86666666666667,3.952414884433809,-4.257575992018296,0.0,5
95,0.0,21,27.428571428571427,1.4585013882896207,-2.701275568717332,2.0,7
96,0.0,27,27.666666666666668,2.3533653748377388,-3.225420630367035,0.0,5
97,1.0,22,30.363636363636363,-1.529569157086372,2.228283365367551,2.0,5
98,0.0,27,26.37037037037037,4.806033652647936,-3.9431930382026277,1.0,6
99,1.0,7,68.57142857142857,-5.170521282163329,6.257708876537257,0.0,7
100,1.0,8,46.25,-0.4100786256485547,0.2814265077980265,-3.0,1
101,1.0,12,32.0,-2.294839231450934,0.46720507067677725,2.0,6
102,0.0,9,64.22222222222223,2.4121081958317117,-1.7199557460769372,2.0,5
103,0.0,8,54.5,2.90242451352035,-2.9926799402910325,2.0,6
104,0.0,14,40.92857142857143,1.9629817866408632,-3.9551091741774096,0.0,5
105,0.0,10,32.2,3.030311059789317,-3.9124729918203576,-1.0,3
106,1.0,9,45.77777777777778,0.20326076679025606,1.8731306040871343,1.0,6
107,0.0,15,45.0,4.668495376289188,-4.86805413248387,0.0,5
108,0.0,8,61.125,10.060368190893847,-9.974512330214505,3.0,6
