species,event_year,kind,obs_redist,env_pred_redist,hist_pred_redist,n_routes
3370,2012,hot,0.0,0.43037974683544306,0.14240506329113925,632
3370,2016,hot,0.0,0.32667617689015693,0.28815977175463625,701
3370,2008,cold,0.0,0.4751552795031056,0.2981366459627329,644
3370,2009,cold,0.0,0.3884673748103187,0.22306525037936267,659
3370,2014,cold,0.0,0.5016835016835017,0.21548821548821548,594
3420,2012,hot,0.0,0.35507246376811596,0.34782608695652173,138
3420,2016,hot,0.0,0.425,0.41875,160
3420,2008,cold,0.0,0.48344370860927155,0.4966887417218543,151
3420,2009,cold,0.0,0.6012658227848101,0.6139240506329114,158
3420,2014,cold,0.0,0.41304347826086957,0.37681159420289856,138
3600,2012,hot,0.0,0.36101083032490977,0.24548736462093862,277
3600,2016,hot,0.0,0.30030959752321984,0.30030959752321984,323
3600,2008,cold,0.0,0.273015873015873,0.2761904761904762,315
3600,2009,cold,0.0,0.35714285714285715,0.20408163265306123,294
3600,2014,cold,0.0,0.3212996389891697,0.27075812274368233,277
3870,2012,hot,0.0,0.4509394572025052,0.24843423799582465,479
3870,2016,hot,0.0,0.3368869936034115,0.3006396588486141,469
3870,2008,cold,0.0,0.3352380952380952,0.26857142857142857,525
3870,2009,cold,0.0,0.258,0.212,500
3870,2014,cold,0.0,0.21777777777777776,0.22666666666666666,450
3930,2012,hot,0.0,0.0,0.0,293
3930,2016,hot,0.0,0.0,0.0,285
3930,2008,cold,0.0,0.16184971098265896,0.1676300578034682,346
3930,2009,cold,0.0,0.012461059190031152,0.003115264797507788,321
3930,2014,cold,0.0,0.0035587188612099642,0.0035587188612099642,281
3940,2012,hot,0.0,0.6080536912751678,0.3503355704697987,745
3940,2016,hot,0.0,0.3265625,0.321875,640
3940,2008,cold,0.0,0.12907608695652173,0.15489130434782608,736
3940,2009,cold,0.0,0.35436241610738256,0.2389261744966443,745
3940,2014,cold,0.0,0.30970724191063176,0.3081664098613251,649
4020,2012,hot,0.0,0.8149779735682819,0.34801762114537443,227
4020,2016,hot,0.0,0.178743961352657,0.34782608695652173,207
4020,2008,cold,0.0,0.12601626016260162,0.21138211382113822,246
4020,2009,cold,0.0,0.7468879668049793,0.43983402489626555,241
4020,2014,cold,0.0,0.23923444976076555,0.33014354066985646,209
4050,2012,hot,0.0,0.07488986784140969,0.2841409691629956,454
4050,2016,hot,0.0,0.07972665148063782,0.3097949886104784,439
4050,2008,cold,0.0,0.05309734513274336,0.0752212389380531,452
4050,2009,cold,0.0,0.08898305084745763,0.1228813559322034,472
4050,2014,cold,0.0,0.056179775280898875,0.30337078651685395,445
4090,2012,hot,0.0,0.1922110552763819,0.2449748743718593,796
