species,HG_A,HG_B,HG_C,HG_D,HG_A_8Bstyle,n_years_x,n_routes_x,HG,HG_lo,HG_hi,EG,HG_lagenv,n_routes_y,n_years_y,n_common_eval,n_eval_M1,n_eval_M3
6080,0.2769417885189551,0.0153073996596314,0.2866151289594084,-0.001812662664492,0.5853390721297971,28,1324,-0.001812662664492,-0.006093616725583,0.00298050050031,-0.0057812440261397,0.0002481371913594,1324,28,11630,11630,11630
6110,0.2559403905050648,0.0406113975371498,0.26695825508868,0.0284294035832186,0.3819310914761527,29,1606,0.0284294035832186,-0.1136362580158404,0.0563266866460223,-0.0017360103608916,0.0288624296279731,1606,29,12457,12457,12457
6120,0.4922400149269502,0.0017266449549199,0.5115143138108375,-0.0056636109209016,0.5825925328172297,32,2333,-0.0056636109209016,-0.0192851483364238,0.0054249104646407,-0.0131264998930404,-0.0065197519212898,2333,32,15629,15629,15629
6130,0.2393262166974383,0.0314731322460359,0.2405672200899032,0.0053465550181392,0.4877975654997348,32,3094,0.0053465550181392,-0.000224858567205,0.0125507701591325,-0.0065411924858748,0.0055287239843095,3094,32,37567,37567,37567
6140,0.2080206076581614,0.0255952316964999,-0.0168970236858295,0.0153639963707007,0.3377659844301658,31,2479,0.0153639963707007,-0.0037753321019551,0.0181651401383874,0.0031922191822989,0.0150090576035399,2479,31,20607,20607,20607
6170,-0.2000887690124787,-0.0366454413240175,-0.1171113553603457,0.0228044101559999,-0.2067254154008826,31,2363,0.0228044101559999,-1.9172304283491857,-0.0880429965825786,-0.0044488322312384,0.0262746048572871,2363,31,11521,11521,11521
6190,0.1089221379766632,0.0123043994174489,0.1071637134552018,0.0060145628340085,0.2372861360122765,31,2118,0.0060145628340085,-0.0001851435390628,0.0145442903327414,-0.0043775316115381,0.0075841133233447,2118,31,19353,19353,19353
6240,0.4267170850551377,0.0325893360251229,0.4535415991162855,0.0114514879002027,0.8295346223330647,31,2289,0.0114514879002027,0.0017322976332499,0.0209698362920596,-0.0041954075643814,0.010911875154828,2289,31,26164,26164,26164
6270,0.4739424365477928,0.0184351694614109,0.5039405367883224,6.707016824569756e-05,0.7940614703439176,31,2127,6.707016824569756e-05,-0.004475660674213,0.0075655385669865,-0.0019800544704,3.974319188837505e-05,2127,31,20081,20081,20081
6280,0.1398011806775581,0.0158208992965507,0.1310331923305016,0.0068679875894221,0.3414548368914915,30,1427,0.0068679875894221,-0.0019197500079892,0.0134929277386805,-0.0443048743240835,0.0102172526255452,1427,30,9648,9648,9648
6290,0.2340356192343444,0.0261397539040266,0.2394977872890529,0.0126023618597723,0.4862264629378787,29,786,0.0126023618597723,0.0019717697443905,0.0243349835375681,-0.0033763803235142,0.0113572651505644,786,29,5657,5657,5657
6310,0.3204311322513421,0.0613500148114461,0.3262834479870646,0.0386229066910943,0.6775756353396161,29,1089,0.0386229066910943,0.0115191321871988,0.057441631237194,0.008167661038719,0.0393610598830838,1089,29,11224,11224,11224
6360,0.190735016936653,0.0361241503444178,0.2049213068449844,0.0192839841968406,0.4468575981874104,29,1267,0.0192839841968406,0.0064768714865843,0.0277102586396196,-0.0516276290542233,0.0205075088917678,1267,29,9424,9424,9424
6450,0.3739159208038797,0.0198209180992557,0.3790338206231477,0.0051060316658407,0.7047413225780036,29,743,0.0051060316658407,-0.0027046363779332,0.0123223048256355,-0.0015366754442002,0.0055335131046453,743,29,5813,5813,5813
6480,0.3966902019440711,0.0841647064747033,0.4007216972257308,0.0747098322706278,0.6783542112300174,29,1353,0.0747098322706278,0.0261162336056006,0.0808044326402056,0.0011691330605285,0.0712699319758027,1353,29,10405,10405,10405
6520,0.4316937111878618,0.0324346125740593,0.4343691739940819,0.0012209285881615,0.7698923338966275,31,2516,0.0012209285881615,-0.0033622239545876,0.0066696792052432,0.0005909248505048,0.0014922181427656,2516,31,24368,24368,24368
6550,0.3959696264823722,0.0249158402204597,1.4280542085793817,0.0453562490169721,0.6999369705839387,29,734,0.0453562490169721,-0.0462417588118691,0.1600022645299321,-0.1340818129661216,-0.0142337271891233,734,29,6485,6485,6485
6590,0.3069156174189899,0.0452064431041295,0.3299674149791709,0.0239841940686235,0.6827565745263987,29,830,0.0239841940686235,0.0105724571832945,0.0356577998444051,-0.0001925192556959,0.0309427432873733,830,29,8186,8186,8186
6670,0.3090748030824591,0.0795931111383867,0.3067642345826988,0.0323747747524451,0.6587165733305765,29,733,0.0323747747524451,0.0091445949559586,0.0528804889247049,-0.0069032574650046,0.0326333288848634,733,29,6363,6363,6363
6710,0.3230944492177408,0.0514978400913457,0.3440905368462782,0.0178436201243538,0.6639366526966366,29,1127,0.0178436201243538,0.0055414320665271,0.0328080038474109,0.1521842119323583,0.0174599848154553,1127,29,9870,9870,9870
6740,0.3895228098318974,0.0254354719071874,0.4082289619102848,0.017547952594404,0.8088833583826901,30,1404,0.017547952594404,0.0059070370171022,0.0266800764501673,-0.004079790022775,0.0179529354289834,1404,30,15482,15482,15482
6750,0.5108620538987764,0.0104111144988082,0.5094349382849616,0.0039242064612573,0.740930338030076,31,773,0.0039242064612573,-0.0059069211621149,0.0142537682351804,-0.0011301369021742,0.0039193574335325,773,31,4247,4247,4247
6810,0.3126280564836883,0.0318345760416294,0.3228836011676075,0.0088884772495521,0.7355869840503976,31,2809,0.0088884772495521,0.0042780609533879,0.0221957912131825,-0.0074885808566226,0.0065331728708195,2809,31,32301,32301,32301
6830,0.3821324506260322,0.061236156699083,0.4023605476438702,-0.0121401077687096,0.7666998113632681,29,1450,-0.0121401077687096,-0.0138503336543967,0.0067767869769437,0.0104389194554309,-0.0001719275097862,1450,29,12249,12249,12249
6850,0.4963667195656168,0.0133334154767702,0.5124375978418092,-0.0067527155268161,0.7700968034834066,29,738,-0.0067527155268161,-0.0197196273310918,0.0053033957755443,-0.0045568876033492,-0.0066786359081281,738,29,3844,3844,3844
6870,0.3673864319150954,0.0484855741099178,0.375574736074671,0.031205558393189,0.6872759584536245,29,1484,0.031205558393189,0.0180084839520029,0.0410831112878923,-0.0028551298897566,0.0382545660468831,1484,29,11708,11708,11708
6882,0.618956272804289,0.052322336920795,0.6270360131476563,-0.013448439267738,0.7183587527133859,31,2710,-0.013448439267738,-0.0249884644367665,-0.0007134141954775,-0.0024991806588074,-0.0136254849981933,2710,31,30810,30810,30810
70,0.0859539066745702,-0.0002523686596875,0.0915942343034008,0.0021601498076666,0.1996026835504211,31,659,0.0021601498076666,-0.0095130108273323,0.015915808252022,-0.0049789818054502,0.0016656354456083,659,31,3083,3083,3083
7030,0.3609783334862093,0.0415780492005107,0.3841023460097228,-0.0150154239029389,0.7472630741251441,29,1955,-0.0150154239029389,-0.0193129229431378,0.0037664666739581,-0.0289209954233522,-0.0120334794637977,1955,29,21868,21868,21868
7040,0.4817730712358343,0.0237832047933993,0.5043730815420294,0.0042665175162768,0.8146260568321759,30,2248,0.0042665175162768,-0.000300760647667,0.0217847548656241,-0.0059368675986538,0.0082893170501514,2248,30,22455,22455,22455
7050,0.1653486537525312,0.0150093613084683,0.1689708703205632,-0.007092962669938,0.3940131171221466,30,2074,-0.007092962669938,-0.020681335709485,0.0145662044603211,-0.0183848530634203,-0.0044105032230645,2074,30,21692,21692,21692
7180,0.3358440385876593,0.0731545920623211,0.3478919194180111,0.038853140500383,0.6883115550160888,29,1406,0.038853140500383,-0.0045416630321693,0.0531545301060862,-0.0046909775639987,0.0582383436276823,1406,29,16518,16518,16518
7210,0.3102669275693714,0.0410648965001705,0.3173131974169183,0.0190793880637794,0.7031815839819032,31,2296,0.0190793880637794,0.0108914173824698,0.0306049775090142,-0.0024964311219483,0.0181446299321541,2296,31,24050,24050,24050
7280,0.3061962824125742,0.0213790536414293,0.3437467346284911,-0.005588385077144,0.5979173632863557,30,1290,-0.005588385077144,-0.0138869226978783,0.0010212729059653,-0.012952185360137,-0.0097647360448325,1290,30,9573,9573,9573
7310,0.2035203833243646,0.0465363013317292,0.2076040668753611,0.0264699159313147,0.5535662575991667,30,1511,0.0264699159313147,0.0102050081175474,0.0385299843821737,-0.00204419828077,0.0263425692925087,1511,30,19670,19670,19670
7350,0.1918874324278554,0.0171309921195598,0.1989527728227728,0.0006673658647444,0.4577484836637224,31,1736,0.0006673658647444,-0.0045377453292258,0.0091416433571275,0.0084925755030075,0.0010556422971426,1736,31,17949,17949,17949
7360,0.1966250528949453,0.0449629121497676,0.2033334757949251,0.0178931199183889,0.4307765356659786,29,987,0.0178931199183889,8.621371296747837e-05,0.0267820346106833,0.0005041471058969,0.0175895815171295,987,29,12760,12760,12760
7480,0.2090133549328595,0.0238936524501386,0.2385976930597468,0.0062855757031197,0.4260653605172012,30,808,0.0062855757031197,-2.1162328502702388e-06,0.0128482875475602,-0.0313539646754094,0.0085239886909651,808,30,4708,4708,4708
7490,0.3358667789679881,0.0379970837889034,0.3409550753000618,0.0268661253938571,0.6715147462727036,31,827,0.0268661253938571,0.0097501327254186,0.0409038110903404,-0.0330648239038305,0.0266934186389238,827,31,5926,5926,5926
7510,0.2611844555613084,0.071925309996727,0.3217474696043946,0.0325576790177966,0.5633131655401821,29,1709,0.0325576790177966,0.0093287747468895,0.0483401227944762,0.0018907268009756,0.0069919883969951,1709,29,14464,14464,14464
7550,0.3152272260577146,0.0375017394665599,0.321220082106296,5.975747314446167e-05,0.6564639131522512,30,1605,5.975747314446167e-05,-0.0054035537650921,0.0094494213088146,-0.0087742025784474,-0.0031632868786288,1605,30,17706,17706,17706
7560,0.2826412427169601,0.0224139226173238,0.2932734796175859,0.0127761557054079,0.6264187927801586,31,986,0.0127761557054079,0.0032766101626562,0.0213178847289622,-0.0024780207959581,0.0134587628004761,986,31,9738,9738,9738
7580,0.4265191509415661,0.0153801046206489,0.5162681877737412,0.0086902121019725,0.8117765825679956,31,876,0.0086902121019725,-0.000602394645509,0.0155144853282068,-0.0088287972998603,0.0083557817063417,876,31,7295,7295,7295
7590,0.4287861661963054,0.0179997437574352,0.5326491817557055,-0.0104313423783257,0.7124164524907358,31,1189,-0.0104313423783257,-0.0248989558785009,-0.0019585490862166,-0.0147317625521594,-0.01390110296742,1189,31,10822,10822,10822
7610,0.3297552663014285,0.036729497932852,0.3376170217368437,0.0052812411958688,0.8050242223122904,32,3092,0.0052812411958688,0.0017629504630422,0.0124470199250726,-0.0024020607710538,0.0051319864950845,3092,32,40946,40946,40946
7660,0.2388017462876183,0.0321611111756191,0.2437263327286513,0.0053546984498454,0.515267011243647,29,2020,0.0053546984498454,-0.0031192894438833,0.0126155859096014,0.0018691175372576,0.0074653685874552,2020,29,21792,21792,21792
