species,n_routes,n_years,M0,M1,M2,M3,M5,M5b,M6,M6b,HG,HG_lo,HG_hi,EG,HG_lagenv,HG_lagenv2,M1_nodemean,M3_nodemean
5170,957,29,0.0,-0.0013385539028736293,0.0016387595440990887,-6.47252474159643e-05,-0.004820312463374554,-0.012629305296044668,-0.0021921554135087007,-0.011191459656341607,0.001273828655457665,-0.012335457207035846,0.014523673103855711,-0.001703484791515053,0.0026281570498658535,0.0014378456397030615,0.488786089376513,0.6925161420593515
5190,2490,31,0.0,-0.006784985796597365,0.01258885179729019,-0.002711203537697271,-0.0015954099118073994,-0.010123968279610596,-0.021126036252833158,-0.03900667621248788,0.004073782258900094,0.003419291473638066,0.027826498901094253,-0.015300055334987461,-0.01953062634102576,-0.028882707932877283,0.27120083136837925,0.7889407079663014
5290,2476,31,0.0,0.006004136935435667,0.0015721661606344917,0.005015195235350767,-0.007745000837930283,-0.0056317425266150245,-0.01140238974005725,-0.0040728562031606685,-0.0009889417000849,-0.005288200745919782,0.010260594992724668,0.003443029074716275,-0.003657388902126968,0.001558886323454356,0.5548680465525553,0.7684534151838625
5330,989,30,0.0,-0.012443402872308829,0.006058814817493374,-0.004943641257260989,-0.15847103577592536,-0.18189018692407966,-0.14579562671129875,-0.16665549541750613,0.00749976161504784,-0.006519281430166057,0.025337218656061256,-0.011002456074754363,0.012675409064626608,0.015234691506573528,0.37406725907767757,0.4231237291164909
540,872,29,0.0,-0.011848142575605403,0.00417025748741684,-0.0072192800533368295,-0.012560934845849747,-0.025348593801175046,-0.007711150493308727,-0.01989146619569393,0.004628862522268573,-0.00020576949579304872,0.017420399652585586,-0.01138953754075367,0.00484978435254102,0.005457127605481116,0.0997340985550117,0.2754697935285847
5400,1456,32,0.0,-0.0013249511035595685,0.010251814639591239,0.008783668649073983,-0.013704653463919136,-0.009580486955385048,-0.0032874748702358403,0.0016858175315730417,0.010108619752633552,0.0026546706353059273,0.02042279665945585,-0.0014681459905172556,0.010417178593683296,0.01126630448695809,0.4450376006639506,0.820998769527431
5420,1722,31,0.0,-0.004522967862373939,0.006989835923299825,0.007098294921187409,-0.007422812385523336,-0.012667621351819536,-0.0014314547845208914,-0.04449319005032559,0.011621262783561348,0.0058651351336985805,0.019455242060822654,0.00010845899788758384,0.005991357601002445,-0.03182556869850606,0.4102228010323933,0.8951934719046452
5460,1549,30,0.0,-0.0078561662383978,0.013260622372329833,0.004662665596283477,-0.015279854829978179,-0.0407760954861609,-0.002720188991469641,-0.02984552746128477,0.012518831834681277,-0.006026897562769895,0.037149675397070744,-0.008597956776046356,0.012559665838508538,0.01093056802487613,0.3219374517696014,0.7547944392255096
5580,676,29,0.0,-0.0020846026813814422,-0.006034049564997979,-0.007943437882989457,-0.0070695566466016935,-0.02577487532095213,-0.01459432177004083,-0.031257707046074446,-0.005858835201608015,-0.01366723145531626,-0.0015583639230968092,-0.0019093883179914783,-0.007524765123439137,-0.005482831725122317,0.2928270508686467,0.8753872130766213
5600,2762,31,0.0,-0.0010842033031446263,0.02421560169433834,0.01802338374341883,-0.0019277417341487801,-0.004633232394658515,0.01889757793529001,0.017145415329913316,0.019107587046563457,0.009226783368854309,0.03264269089803332,-0.00619221795091951,0.02082531966943879,0.02177864772457183,0.619649396130155,0.8749390419582566
5630,1596,30,0.0,-0.0062902874996597635,0.0046452595829115095,-0.001424240376127095,-0.009568603153231825,-0.007350808526176644,-0.004425005596907727,-0.00012045043512975973,0.0048660471235326686,-0.0006590550360057647,0.01104501354313975,-0.0060694999590386045,0.005143597556324098,0.0072303580910468845,0.5100235277049149,0.8341101887569935
5670,633,28,0.0,-0.0032150890409305966,0.0022960733150703128,0.00129481708586221,-0.04340604193940312,-0.04901171887800393,-0.04329471815945496,-0.053053044399423044,0.0045099061267928064,-0.002500167397252599,0.012974414410958729,-0.0010012562292081029,0.00011132377994815812,-0.004041325521419115,0.18346943061693977,0.8183688703817502
5810,2421,31,0.0,-0.0019239785317703983,0.01241450427503743,0.010407141896966232,-0.002672713168916596,-0.006377445905743073,0.00937437495528437,0.005263132585111574,0.01233112042873663,0.007530662071795809,0.02216858343681082,-0.002007362378071198,0.012047088124200966,0.011640578490854647,0.5897403337754119,0.9191808111455342
5830,667,30,0.0,-0.060067340550663983,0.004681249084184769,-0.052936141889246446,-0.17687328230245059,-0.15881119758417284,-0.15952533406962188,-0.14675634777230306,0.007131198661417537,-0.0002477609107127592,0.01562693887733788,-0.057617390973431215,0.017347948232828703,0.012054849811869772,0.3944266910337981,0.8109385374545924
5840,875,28,0.0,-0.00303852981231878,0.004006832987081488,0.001061963426474577,-0.010843942732887246,-0.015189883059662623,-0.005848300913669391,-0.008981964695622624,0.004100493238793357,-0.0024218940159180437,0.011628150056493107,-0.002944869560606911,0.004995641819217855,0.006207918364039999,0.5085437441986449,0.7760665952324048
5870,1551,30,0.0,-0.0088345687956628,-0.005497711381685866,-0.019072764132162634,-0.028920531088952206,-0.033027270693215316,-0.05529021472111273,-0.007967386171185975,-0.010238195336499833,-0.01604999565547079,0.017718617882984084,-0.013575052750476768,-0.026369683632160523,0.02505988452202934,0.37845461988126106,0.8768050619926594
5930,1917,30,0.0,-0.00040590776558513397,0.012184405045121305,0.012987452549052758,-0.0028247927932316674,0.0013520247989344814,0.008601416647442961,0.011855923826836534,0.013393360314637892,-0.0038610701389071612,0.020244400154249283,0.0008030475039314533,0.011426209440674628,0.010503899027902053,0.5673929535727611,0.9000371793355877
5950,1277,29,0.0,-0.008737410788970834,0.0015478939362845168,-0.00840840334062154,-0.049915772335586306,-0.06289055308921299,-0.02728943504143655,-0.03352819291205389,0.0003290074483492944,-0.0052346796280850864,0.007479840213819434,-0.009956297276906056,0.022626337294149756,0.029362360177159097,0.39907411398801207,0.711663641460034
5970,1383,29,0.0,0.000208988589861403,0.017664708983274435,0.013162444509237425,-0.004027742059277362,-0.006620947547914646,0.01427259150253124,0.011145992213622224,0.012953455919376022,-0.00016835373483087106,0.029321063976550425,-0.00450226447403701,0.0183003335618086,0.01776693976153687,0.43397442516309126,0.7961736626093421
5980,1951,30,0.0,-0.0014235835724660806,0.0024727385732586926,-0.00035770295170189925,-0.004756512670249791,-0.007134449668478204,-0.0036214287964462244,-0.006442392848012846,0.0010658806207641813,-0.0019804401138332527,0.006469588089602573,-0.002830441524960592,0.0011350838738035662,0.0006920568204653588,0.5690117341196947,0.9078406628916238
6080,1324,28,0.0,-0.006790820041460366,-0.002822238679812683,-0.008603482705952459,-0.013404671936790402,-0.01534561247736499,-0.013156534745430992,-0.01913349939632103,-0.001812662664492093,-0.006093616725583044,0.002980500500310029,-0.005781244026139776,0.0002481371913594099,-0.0037878869189560405,0.4953416774064605,0.781956806365869
6110,1606,29,0.0,-0.002817810522774966,0.027347603421335354,0.025611593060443694,-0.00634770713917443,-0.00951096053647671,0.02251472248879871,0.01937849982232387,0.02842940358321866,-0.11363625801584044,0.05632668664602232,-0.00173601036089166,0.02886242962797314,0.02888946035880058,0.31772438731800023,0.5846826424066802
6120,2333,32,0.0,-0.01183252966488113,-0.00436964069274226,-0.01749614058578275,-0.0154953357928167,-0.017100581943862325,-0.02201508771410654,-0.022467106467193076,-0.005663610920901618,-0.019285148336423842,0.005424910464640769,-0.013126499893040489,-0.00651975192128984,-0.005366524523330751,0.11626390891476857,0.627778222725606
