species,window,HG
6810,20,0.008428163766523111
6830,expand,-0.012140107768709663
6830,10,-0.013469414840548866
6830,20,-0.012303526377321128
6850,expand,-0.006752715526816111
6850,10,-0.008340336863956521
6850,20,-0.006720193188989532
6870,expand,0.03120555839318906
6870,10,0.00961611633566295
6870,20,0.030527844170630813
6882,expand,-0.013448439267738088
6882,10,-0.007016122977891559
6882,20,-0.01355178113843114
70,expand,0.002160149807666656
70,10,0.003432837831990998
70,20,0.0021305858316047477
7030,expand,-0.015015423902938974
7030,10,-0.013663690994947242
7030,20,-0.015087097499969282
7040,expand,0.004266517516276824
7040,10,-0.010019137188364002
7040,20,0.0035808907529459866
7050,expand,-0.0070929626699380854
7050,10,-0.010579069520323836
7050,20,-0.007168322949115513
7180,expand,0.03885314050038302
7180,10,0.015945482369683406
7180,20,0.03795655568091438
7210,expand,0.0190793880637794
7210,10,0.007749744723846375
7210,20,0.018846666475379137
7280,expand,-0.005588385077144098
7280,10,-0.0024544757426709918
7280,20,-0.0053562488153446886
7310,expand,0.026469915931314758
7310,10,0.007822947936834912
7310,20,0.026010193738558063
7350,expand,0.0006673658647444736
7350,10,-0.004032872560334799
7350,20,0.0003909460302646828
7360,expand,0.017893119918388933
7360,10,0.0037216442395934246
7360,20,0.017641111111454055
7480,expand,0.006285575703119717
7480,10,0.0012778353712807888
7480,20,0.006249440845920384
7490,expand,0.026866125393857132
7490,10,0.013401633530526924
7490,20,0.026824282456715753
7510,expand,0.032557679017796604
7510,10,0.015246467531852659
7510,20,0.03217630879482769
7550,expand,5.975747314446167e-05
7550,10,-0.0013524551055570377
7550,20,-0.0003230858268445935
7560,expand,0.01277615570540791
7560,10,0.0025768695572809808
7560,20,0.01196843434878736
7580,expand,0.008690212101972516
7580,10,0.0011073961851573166
7580,20,0.008640674019262606
7590,expand,-0.01043134237832577
7590,10,-0.005047522685953876
7590,20,-0.010257716243099013
7610,expand,0.005281241195868813
7610,10,0.0009334306094073153
7610,20,0.005104122467992522
7660,expand,0.005354698449845485
7660,10,0.004573494537737588
7660,20,0.005176728732708802
