species,event_year,lag,D
4120,2008,0,
4120,2008,1,
4120,2008,2,
4120,2008,3,
4120,2009,0,
4120,2009,1,
4120,2009,2,
4120,2009,3,
4120,2014,0,
4120,2014,1,
4120,2014,2,
4120,2014,3,
4130,2012,0,
4130,2012,1,
4130,2012,2,
4130,2012,3,
4130,2016,0,
4130,2016,1,
4130,2016,2,
4130,2016,3,
4130,2021,2,
4130,2023,0,
4130,1996,2,
4130,1996,3,
4130,1997,1,
4130,1997,2,
4130,1997,3,
4130,2008,0,
4130,2008,1,
4130,2008,2,
4130,2008,3,
4130,2009,0,
4130,2009,1,
4130,2009,2,
4130,2009,3,
4130,2014,0,
4130,2014,1,
4130,2014,2,
4130,2014,3,
4200,2012,0,
4200,2012,1,
4200,2012,2,
4200,2012,3,
4200,2016,0,
4200,2016,1,
4200,2016,2,
4200,2016,3,
4200,2021,2,
4200,2023,0,
4200,1996,2,
4200,1996,3,
4200,1997,1,
4200,1997,2,
4200,1997,3,
4200,2008,0,
4200,2008,1,
4200,2008,2,
4200,2008,3,
4200,2009,0,
4200,2009,1,
4200,2009,2,
4200,2009,3,
4200,2014,0,
4200,2014,1,
4200,2014,2,
4200,2014,3,
4230,2012,0,
4230,2012,1,
4230,2012,2,
4230,2012,3,
4230,2016,0,
4230,2016,1,
4230,2016,2,
4230,2016,3,
4230,2021,2,
4230,2023,0,
4230,1996,2,
4230,1996,3,
4230,1997,1,
4230,1997,2,
4230,1997,3,
4230,2008,0,
4230,2008,1,
4230,2008,2,
4230,2008,3,
4230,2009,0,
4230,2009,1,
4230,2009,2,
4230,2009,3,
4230,2014,0,
4230,2014,1,
4230,2014,2,
4230,2014,3,
4280,2012,0,
4280,2012,1,
4280,2012,2,
4280,2012,3,
4280,2016,0,
4280,2016,1,
4280,2016,2,
4280,2016,3,
4280,2021,2,
4280,2023,0,
4280,1996,2,
4280,1996,3,
4280,1997,1,
4280,1997,2,
4280,1997,3,
4280,2008,0,
4280,2008,1,
4280,2008,2,
4280,2008,3,
4280,2009,0,
4280,2009,1,
4280,2009,2,
4280,2009,3,
4280,2014,0,
4280,2014,1,
4280,2014,2,
4280,2014,3,
4440,2012,0,
4440,2012,1,
4440,2012,2,
4440,2012,3,
4440,2016,0,
4440,2016,1,
4440,2016,2,
4440,2016,3,
4440,2021,2,
4440,2023,0,
4440,1996,2,
4440,1996,3,
4440,1997,1,
4440,1997,2,
4440,1997,3,
4440,2008,0,
4440,2008,1,
4440,2008,2,
4440,2008,3,
4440,2009,0,
4440,2009,1,
4440,2009,2,
4440,2009,3,
4440,2014,0,
4440,2014,1,
4440,2014,2,
4440,2014,3,
4520,2012,0,
4520,2012,1,
4520,2012,2,
4520,2012,3,
4520,2016,0,
4520,2016,1,
4520,2016,2,
4520,2016,3,
4520,2021,2,
4520,2023,0,
4520,1996,2,
4520,1996,3,
4520,1997,1,
4520,1997,2,
4520,1997,3,
4520,2008,0,
4520,2008,1,
4520,2008,2,
4520,2008,3,
4520,2009,0,
4520,2009,1,
4520,2009,2,
4520,2009,3,
4520,2014,0,
4520,2014,1,
4520,2014,2,
4520,2014,3,
4560,2012,0,
4560,2012,1,
4560,2012,2,
4560,2012,3,
4560,2016,0,
4560,2016,1,
4560,2016,2,
4560,2016,3,
4560,2021,2,
4560,2023,0,
4560,1996,2,
4560,1996,3,
4560,1997,1,
4560,1997,2,
4560,1997,3,
4560,2008,0,
4560,2008,1,
4560,2008,2,
4560,2008,3,
4560,2009,0,
4560,2009,1,
4560,2009,2,
4560,2009,3,
4560,2014,0,
4560,2014,1,
4560,2014,2,
4560,2014,3,
4590,2012,0,
4590,2012,1,
4590,2012,2,
4590,2012,3,
4590,2016,0,
4590,2016,1,
4590,2016,2,
4590,2016,3,
4590,2021,2,
4590,2023,0,
4590,1996,2,
4590,1996,3,
4590,1997,1,
4590,1997,2,
4590,1997,3,
4590,2008,0,
4590,2008,1,
4590,2008,2,
4590,2008,3,
4590,2009,0,
4590,2009,1,
4590,2009,2,
4590,2009,3,
4590,2014,0,
4590,2014,1,
4590,2014,2,
4590,2014,3,
4610,2012,0,
4610,2012,1,
4610,2012,2,
4610,2012,3,
4610,2016,0,
4610,2016,1,
4610,2016,2,
4610,2016,3,
4610,2021,2,
4610,2023,0,
4610,1996,2,
4610,1996,3,
4610,1997,1,
4610,1997,2,
4610,1997,3,
4610,2008,0,
4610,2008,1,
4610,2008,2,
4610,2008,3,
4610,2009,0,
4610,2009,1,
4610,2009,2,
4610,2009,3,
4610,2014,0,
4610,2014,1,
4610,2014,2,
4610,2014,3,
4620,2012,0,
4620,2012,1,
4620,2012,2,
4620,2012,3,
4620,2016,0,
4620,2016,1,
4620,2016,2,
4620,2016,3,
4620,2021,2,
4620,2023,0,
4620,1996,2,
4620,1996,3,
4620,1997,1,
4620,1997,2,
4620,1997,3,
4620,2008,0,
4620,2008,1,
4620,2008,2,
4620,2008,3,
4620,2009,0,
4620,2009,1,
4620,2009,2,
4620,2009,3,
4620,2014,0,
4620,2014,1,
4620,2014,2,
4620,2014,3,
4650,2012,0,
4650,2012,1,
4650,2012,2,
4650,2012,3,
4650,2016,0,
4650,2016,1,
4650,2016,2,
4650,2016,3,
4650,2021,2,
4650,2023,0,
4650,1996,2,
4650,1996,3,
4650,1997,1,
4650,1997,2,
4650,1997,3,
4650,2008,0,
4650,2008,1,
4650,2008,2,
4650,2008,3,
4650,2009,0,
4650,2009,1,
4650,2009,2,
4650,2009,3,
4650,2014,0,
4650,2014,1,
4650,2014,2,
4650,2014,3,
4660,2012,0,
4660,2012,1,
4660,2012,2,
4660,2012,3,
4660,2016,0,
4660,2016,1,
4660,2016,2,
4660,2016,3,
4660,2021,2,
4660,2023,0,
4660,1996,2,
4660,1996,3,
4660,1997,1,
4660,1997,2,
4660,1997,3,
4660,2008,0,
4660,2008,1,
4660,2008,2,
4660,2008,3,
4660,2009,0,
4660,2009,1,
4660,2009,2,
4660,2009,3,
4660,2014,0,
4660,2014,1,
4660,2014,2,
4660,2014,3,
4661,2012,0,
4661,2012,1,
4661,2012,2,
4661,2012,3,
4661,2016,0,
4661,2016,1,
4661,2016,2,
4661,2016,3,
4661,2021,2,
4661,2023,0,
4661,1996,2,
4661,1996,3,
4661,1997,1,
4661,1997,2,
4661,1997,3,
4661,2008,0,
4661,2008,1,
4661,2008,2,
4661,2008,3,
4661,2009,0,
4661,2009,1,
4661,2009,2,
4661,2009,3,
4661,2014,0,
4661,2014,1,
4661,2014,2,
4661,2014,3,
4670,2012,0,
4670,2012,1,
4670,2012,2,
4670,2012,3,
4670,2016,0,
4670,2016,1,
4670,2016,2,
4670,2016,3,
4670,2021,2,
4670,2023,0,
4670,1996,2,
4670,1996,3,
4670,1997,1,
4670,1997,2,
4670,1997,3,
4670,2008,0,
4670,2008,1,
4670,2008,2,
4670,2008,3,
4670,2009,0,
4670,2009,1,
4670,2009,2,
4670,2009,3,
4670,2014,0,
4670,2014,1,
4670,2014,2,
4670,2014,3,
4740,2012,0,
4740,2012,1,
4740,2012,2,
4740,2012,3,
4740,2016,0,
4740,2016,1,
4740,2016,2,
4740,2016,3,
4740,2021,2,
4740,2023,0,
4740,1996,2,
4740,1996,3,
4740,1997,1,
4740,1997,2,
4740,1997,3,
4740,2008,0,
4740,2008,1,
4740,2008,2,
4740,2008,3,
4740,2009,0,
4740,2009,1,
4740,2009,2,
4740,2009,3,
4740,2014,0,
4740,2014,1,
4740,2014,2,
4740,2014,3,
4750,2012,0,
4750,2012,1,
4750,2012,2,
4750,2012,3,
4750,2016,0,
4750,2016,1,
4750,2016,2,
4750,2016,3,
4750,2021,2,
4750,2023,0,
4750,1996,2,
4750,1996,3,
4750,1997,1,
4750,1997,2,
4750,1997,3,
4750,2008,0,
4750,2008,1,
4750,2008,2,
4750,2008,3,
4750,2009,0,
4750,2009,1,
4750,2009,2,
4750,2009,3,
4750,2014,0,
4750,2014,1,
4750,2014,2,
4750,2014,3,
4770,2012,0,
4770,2012,1,
4770,2012,2,
4770,2012,3,
4770,2016,0,
4770,2016,1,
4770,2016,2,
4770,2016,3,
4770,2021,2,
4770,2023,0,
4770,1996,2,
4770,1996,3,
4770,1997,1,
4770,1997,2,
4770,1997,3,
4770,2008,0,
4770,2008,1,
4770,2008,2,
4770,2008,3,
4770,2009,0,
4770,2009,1,
4770,2009,2,
4770,2009,3,
4770,2014,0,
4770,2014,1,
4770,2014,2,
4770,2014,3,
4860,2012,0,
4860,2012,1,
4860,2012,2,
4860,2012,3,
4860,2016,0,
4860,2016,1,
4860,2016,2,
4860,2016,3,
4860,2021,2,
4860,2023,0,
4860,1996,2,
4860,1996,3,
4860,1997,1,
4860,1997,2,
4860,1997,3,
4860,2008,0,
4860,2008,1,
4860,2008,2,
4860,2008,3,
4860,2009,0,
4860,2009,1,
4860,2009,2,
4860,2009,3,
4860,2014,0,
4860,2014,1,
4860,2014,2,
4860,2014,3,
4880,2012,0,
4880,2012,1,
4880,2012,2,
4880,2012,3,
4880,2016,0,
4880,2016,1,
4880,2016,2,
4880,2016,3,
4880,2021,2,
4880,2023,0,
4880,1996,2,
4880,1996,3,
4880,1997,1,
4880,1997,2,
4880,1997,3,
4880,2008,0,
4880,2008,1,
4880,2008,2,
4880,2008,3,
4880,2009,0,
4880,2009,1,
4880,2009,2,
4880,2009,3,
4880,2014,0,
4880,2014,1,
4880,2014,2,
4880,2014,3,
4930,2012,0,
4930,2012,1,
4930,2012,2,
4930,2012,3,
4930,2016,0,
4930,2016,1,
4930,2016,2,
4930,2016,3,
4930,2021,2,
4930,2023,0,
4930,1996,2,
4930,1996,3,
4930,1997,1,
4930,1997,2,
4930,1997,3,
4930,2008,0,
4930,2008,1,
4930,2008,2,
4930,2008,3,
4930,2009,0,
4930,2009,1,
4930,2009,2,
4930,2009,3,
4930,2014,0,
4930,2014,1,
4930,2014,2,
4930,2014,3,
4940,2012,0,
4940,2012,1,
4940,2012,2,
4940,2012,3,
4940,2016,0,
4940,2016,1,
4940,2016,2,
4940,2016,3,
4940,2021,2,
4940,2023,0,
4940,1996,2,
4940,1996,3,
4940,1997,1,
4940,1997,2,
4940,1997,3,
4940,2008,0,
4940,2008,1,
4940,2008,2,
4940,2008,3,
4940,2009,0,
4940,2009,1,
4940,2009,2,
4940,2009,3,
4940,2014,0,
4940,2014,1,
4940,2014,2,
4940,2014,3,
4950,2012,0,
4950,2012,1,
4950,2012,2,
4950,2012,3,
4950,2016,0,
4950,2016,1,
4950,2016,2,
4950,2016,3,
4950,2021,2,
4950,2023,0,
4950,1996,2,
4950,1996,3,
4950,1997,1,
4950,1997,2,
4950,1997,3,
4950,2008,0,
4950,2008,1,
4950,2008,2,
4950,2008,3,
4950,2009,0,
4950,2009,1,
4950,2009,2,
4950,2009,3,
4950,2014,0,
4950,2014,1,
4950,2014,2,
4950,2014,3,
4980,2012,0,
4980,2012,1,
4980,2012,2,
4980,2012,3,
4980,2016,0,
4980,2016,1,
4980,2016,2,
4980,2016,3,
4980,2021,2,
4980,2023,0,
4980,1996,2,
4980,1996,3,
4980,1997,1,
4980,1997,2,
4980,1997,3,
4980,2008,0,
4980,2008,1,
4980,2008,2,
4980,2008,3,
4980,2009,0,
4980,2009,1,
4980,2009,2,
4980,2009,3,
4980,2014,0,
4980,2014,1,
4980,2014,2,
4980,2014,3,
5010,2012,0,
5010,2012,1,
5010,2012,2,
5010,2012,3,
5010,2016,0,
5010,2016,1,
5010,2016,2,
5010,2016,3,
5010,2021,2,
5010,2023,0,
5010,1996,2,
5010,1996,3,
5010,1997,1,
5010,1997,2,
5010,1997,3,
5010,2008,0,
5010,2008,1,
5010,2008,2,
5010,2008,3,
5010,2009,0,
5010,2009,1,
5010,2009,2,
5010,2009,3,
5010,2014,0,
5010,2014,1,
5010,2014,2,
5010,2014,3,
5011,2012,0,
5011,2012,1,
5011,2012,2,
5011,2012,3,
5011,2016,0,
5011,2016,1,
5011,2016,2,
5011,2016,3,
5011,2021,2,
5011,2023,0,
5011,1996,2,
5011,1996,3,
5011,1997,1,
5011,1997,2,
5011,1997,3,
5011,2008,0,
5011,2008,1,
5011,2008,2,
5011,2008,3,
5011,2009,0,
5011,2009,1,
5011,2009,2,
5011,2009,3,
5011,2014,0,
5011,2014,1,
5011,2014,2,
5011,2014,3,
5060,2012,0,
5060,2012,1,
5060,2012,2,
5060,2012,3,
5060,2016,0,
5060,2016,1,
5060,2016,2,
5060,2016,3,
5060,2021,2,
5060,2023,0,
5060,1996,2,
5060,1996,3,
5060,1997,1,
5060,1997,2,
5060,1997,3,
5060,2008,0,
5060,2008,1,
5060,2008,2,
5060,2008,3,
5060,2009,0,
5060,2009,1,
5060,2009,2,
5060,2009,3,
5060,2014,0,
5060,2014,1,
5060,2014,2,
5060,2014,3,
5070,2012,0,
5070,2012,1,
5070,2012,2,
5070,2012,3,
5070,2016,0,
5070,2016,1,
5070,2016,2,
5070,2016,3,
5070,2021,2,
5070,2023,0,
5070,1996,2,
5070,1996,3,
5070,1997,1,
5070,1997,2,
5070,1997,3,
5070,2008,0,
5070,2008,1,
5070,2008,2,
5070,2008,3,
5070,2009,0,
5070,2009,1,
5070,2009,2,
5070,2009,3,
5070,2014,0,
5070,2014,1,
5070,2014,2,
5070,2014,3,
5100,2012,0,
5100,2012,1,
5100,2012,2,
5100,2012,3,
5100,2016,0,
5100,2016,1,
5100,2016,2,
5100,2016,3,
5100,2021,2,
5100,2023,0,
5100,1996,2,
5100,1996,3,
5100,1997,1,
5100,1997,2,
5100,1997,3,
5100,2008,0,
5100,2008,1,
5100,2008,2,
5100,2008,3,
5100,2009,0,
5100,2009,1,
5100,2009,2,
5100,2009,3,
5100,2014,0,
5100,2014,1,
5100,2014,2,
5100,2014,3,
5110,2012,0,
5110,2012,1,
5110,2012,2,
5110,2012,3,
5110,2016,0,
5110,2016,1,
5110,2016,2,
5110,2016,3,
5110,2021,2,
5110,2023,0,
5110,1996,2,
5110,1996,3,
5110,1997,1,
5110,1997,2,
5110,1997,3,
5110,2008,0,
5110,2008,1,
5110,2008,2,
5110,2008,3,
5110,2009,0,
5110,2009,1,
5110,2009,2,
5110,2009,3,
5110,2014,0,
5110,2014,1,
5110,2014,2,
5110,2014,3,
5170,2012,0,
5170,2012,1,
5170,2012,2,
5170,2012,3,
5170,2016,0,
5170,2016,1,
5170,2016,2,
5170,2016,3,
5170,2021,2,
5170,2023,0,
5170,1996,2,
5170,1996,3,
5170,1997,1,
5170,1997,2,
5170,1997,3,
5170,2008,0,
5170,2008,1,
5170,2008,2,
5170,2008,3,
5170,2009,0,
5170,2009,1,
5170,2009,2,
5170,2009,3,
5170,2014,0,
5170,2014,1,
5170,2014,2,
5170,2014,3,
5190,2012,0,
5190,2012,1,
5190,2012,2,
5190,2012,3,
5190,2016,0,
5190,2016,1,
5190,2016,2,
5190,2016,3,
5190,2021,2,
5190,2023,0,
5190,1996,2,
5190,1996,3,
5190,1997,1,
5190,1997,2,
5190,1997,3,
5190,2008,0,
5190,2008,1,
5190,2008,2,
5190,2008,3,
5190,2009,0,
5190,2009,1,
5190,2009,2,
5190,2009,3,
5190,2014,0,
5190,2014,1,
5190,2014,2,
5190,2014,3,
5290,2012,0,
5290,2012,1,
5290,2012,2,
5290,2012,3,
5290,2016,0,
5290,2016,1,
5290,2016,2,
5290,2016,3,
5290,2021,2,
5290,2023,0,
5290,1996,2,
5290,1996,3,
5290,1997,1,
5290,1997,2,
5290,1997,3,
5290,2008,0,
5290,2008,1,
5290,2008,2,
5290,2008,3,
5290,2009,0,
5290,2009,1,
5290,2009,2,
5290,2009,3,
5290,2014,0,
5290,2014,1,
5290,2014,2,
5290,2014,3,
5330,2012,0,
5330,2012,1,
5330,2012,2,
5330,2012,3,
5330,2016,0,
5330,2016,1,
5330,2016,2,
5330,2016,3,
5330,2021,2,
5330,2023,0,
5330,1996,2,
5330,1996,3,
5330,1997,1,
5330,1997,2,
5330,1997,3,
5330,2008,0,
5330,2008,1,
5330,2008,2,
5330,2008,3,
5330,2009,0,
5330,2009,1,
5330,2009,2,
5330,2009,3,
5330,2014,0,
5330,2014,1,
5330,2014,2,
5330,2014,3,
540,2012,0,
540,2012,1,
540,2012,2,
540,2012,3,
540,2016,0,
540,2016,1,
540,2016,2,
540,2016,3,
540,2021,2,
540,2023,0,
540,1996,3,
540,1997,2,
540,1997,3,
540,2008,0,
540,2008,1,
540,2008,2,
540,2008,3,
540,2009,0,
540,2009,1,
540,2009,2,
540,2009,3,
540,2014,0,
540,2014,1,
540,2014,2,
540,2014,3,
5400,2012,0,
5400,2012,1,
5400,2012,2,
5400,2012,3,
5400,2016,0,
5400,2016,1,
5400,2016,2,
5400,2016,3,
5400,2021,2,
5400,2023,0,
5400,1996,2,
5400,1996,3,
5400,1997,1,
5400,1997,2,
5400,1997,3,
5400,2008,0,
5400,2008,1,
5400,2008,2,
5400,2008,3,
5400,2009,0,
5400,2009,1,
5400,2009,2,
5400,2009,3,
5400,2014,0,
5400,2014,1,
5400,2014,2,
5400,2014,3,
5420,2012,0,
5420,2012,1,
5420,2012,2,
5420,2012,3,
5420,2016,0,
5420,2016,1,
5420,2016,2,
5420,2016,3,
5420,2021,2,
5420,2023,0,
5420,1996,2,
5420,1996,3,
5420,1997,1,
5420,1997,2,
5420,1997,3,
5420,2008,0,
5420,2008,1,
5420,2008,2,
5420,2008,3,
5420,2009,0,
5420,2009,1,
5420,2009,2,
5420,2009,3,
5420,2014,0,
5420,2014,1,
5420,2014,2,
5420,2014,3,
5460,2012,0,
5460,2012,1,
5460,2012,2,
5460,2012,3,
5460,2016,0,
5460,2016,1,
5460,2016,2,
5460,2016,3,
5460,2021,2,
5460,2023,0,
5460,1996,2,
5460,1996,3,
5460,1997,1,
5460,1997,2,
5460,1997,3,
5460,2008,0,
5460,2008,1,
5460,2008,2,
5460,2008,3,
5460,2009,0,
