AOU,routes,years,nz,med_n,tot,nz_frac,included,reason
7520,109,26,941,4.0,1621,0.580505860579889,False,few_routes
7530,4,8,12,1.5,36,0.3333333333333333,False,few_routes
7540,537,30,3642,2.0,8612,0.42289828146771946,False,few_routes
7550,1932,33,24849,5.0,33550,0.740655737704918,True,
7560,1342,34,14725,6.0,20898,0.7046128816154656,True,
7570,152,27,1078,6.0,1986,0.5427995971802618,False,few_routes
7571,5,13,14,1.0,70,0.2,False,few_routes
7580,1410,33,12831,14.0,18623,0.6889867368308006,True,
7590,1764,34,17723,6.0,25162,0.704355774580717,True,
7610,4275,37,59493,30.0,64758,0.9186973038080237,True,
7621,1,2,2,1.5,23,0.08695652173913043,False,few_routes
7630,414,28,3852,9.0,5831,0.6606070999828503,False,few_routes
7640,7,19,41,2.0,128,0.3203125,False,few_routes
7650,7,14,30,1.0,141,0.2127659574468085,False,few_routes
7660,2473,30,30792,5.0,42156,0.7304298320523769,True,
7670,432,28,3283,3.0,7066,0.46461930370789695,False,few_routes
7680,775,31,6919,4.0,12228,0.5658325155381092,False,few_routes
77,12,10,14,1.0,187,0.0748663101604278,False,few_routes
770,418,32,2573,5.0,6387,0.402849538124315,False,few_routes
80,4,7,8,2.0,66,0.12121212121212122,False,few_routes
800,38,27,180,3.0,647,0.2782071097372488,False,few_routes
8110,1,7,7,4.0,9,0.7777777777777778,False,few_routes
860,1,1,1,1.0,16,0.0625,False,few_routes
90,1,1,1,1.0,16,0.0625,False,few_routes
900,1,5,5,2.0,11,0.45454545454545453,False,few_routes
